MDDELCC,HYDAT,Source
111,02OA050,#N/A
112,02OB009,#N/A
113,02OJ020,#N/A
114,02OJ021,#N/A
115,02OB010,#N/A
116,02OB011,#N/A
117,02OJ022,#N/A
118,02OD002,#N/A
119,02OC003,#N/A
124,02PA004,#N/A
126,02NG010,#N/A
127,02PA005,#N/A
128,02PK001,#N/A
129,02PC005,#N/A
130,02PC006,#N/A
131,02PC007,#N/A
140,02PE006,#N/A
141,02PH006,#N/A
142,02QA012,#N/A
143,02XA005,#N/A
144,02PG011,#N/A
540,02PG012,#N/A
580,02RH016,#N/A
582,02QC015,#N/A
583,02QC016,#N/A
584,02UA002,#N/A
1001,02MC010,QUEBEC HYDRO-ELECTRIC COMMISSION
1002,02MC018,QUEBEC HYDRO-ELECTRIC COMMISSION
1003,02OA016,WATER SURVEY OF CANADA (DOE) (CANADA)
1005,02OA017,#N/A
1006,02MC021,QUEBEC HYDRO-ELECTRIC COMMISSION
1011,02MB005,WATER SURVEY OF CANADA (DOE) (CANADA)
1012,02OA024,ADM. DE LA VOIE MARITIME DU SAINT-LAURENT
1013,02MC024,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
1014,02MC025,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
1015,02OA023,#N/A
1016,02PD003,#N/A
1017,02MC029,QUEBEC HYDRO-ELECTRIC COMMISSION
1019,02OC016,#N/A
1901,02OA096,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
1907,02OJ032,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
1908,02OJ033,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
2780,02UB003,#N/A
3057,02PE007,#N/A
9001,01BG007,#N/A
10101,01BH007,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
10801,01BG002,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
10802,01BG009,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
10901,01BG001,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
10902,01BG008,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
10903,01BG010,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
11001,01BG003,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
11002,01BG004,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
11003,01BG005,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
11201,01BF001,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
11202,01BF002,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
11203,01BF003,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
11204,01BF004,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
11501,01BD001,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
11502,01BD004,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
11503,01BD006,#N/A
11504,01BD007,#N/A
11505,01BD005,#N/A
11506,01BD003,#N/A
11507,01BD002,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
11508,01BD008,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
11509,01BD009,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
11601,01BJ007,WATER SURVEY OF CANADA (DOE) (CANADA)
11701,01AD005,#N/A
11702,01AD001,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
11703,01AD007,#N/A
11704,01AD008,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
11705,01AD010,#N/A
11706,01AD009,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
11707,01AD015,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
12801,01BG006,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
13001,01AA002,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
13101,01AD012,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
13102,01AD011,#N/A
13103,01AD014,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
13104,01AD013,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
13701,01AB001,#N/A
13801,01AA004,#N/A
20301,01BH008,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
20302,01BH012,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
20401,01BH002,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
20402,01BH003,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
20403,01BH009,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
20404,01BH010,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
20405,01BH011,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
20501,02QC013,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
20502,02QC014,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
20601,01BH001,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
20602,01BH005,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
20603,01BH006,#N/A
20701,02QC017,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
20801,02QC002,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
20802,02QC001,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
20901,02QC003,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
20902,02QC004,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
21401,02QC006,#N/A
21402,02QC007,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
21403,02QC010,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
21404,02QC011,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
21405,02QC008,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
21406,02QC012,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
21407,02QC009,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
21501,02QB002,#N/A
21502,02QB011,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
21601,02QB001,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
21602,02QB004,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
21603,02QB007,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
21604,02QB006,#N/A
21605,02QB008,MINISTERE DE L'ENVIRONNEMENT DU QUEBEC
