Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1997-06-06
Station:        010101         La Grande Rivière - à 2,3 km en amont de la branche ouest                                                                                      
Bassin versant: 534 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 48° 28' 40" // -64° 31' 43"

Date de création du fichier: 2012-06-29 22:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
010101         1972/10/01          7.190          J
010101         1972/10/02          6.770          MC
010101         1972/10/03          6.340          MC
010101         1972/10/04          6.260          MC
010101         1972/10/05          6.170          MC
010101         1972/10/06          5.720          MC
010101         1972/10/07          5.610          MC
010101         1972/10/08          197.0          MC
010101         1972/10/09          94.90          MC
010101         1972/10/10          37.70          MC
010101         1972/10/11          23.60          MC
010101         1972/10/12          18.10          MC
010101         1972/10/13          14.50          MC
010101         1972/10/14          12.30          MC
010101         1972/10/15          11.80          MC
010101         1972/10/16          10.60          MC
010101         1972/10/17          17.10          MC
010101         1972/10/18          21.60          MC
010101         1972/10/19          17.90          MC
010101         1972/10/20          15.00          MC
010101         1972/10/21          12.90          MC
010101         1972/10/22          11.30          MC
010101         1972/10/23          10.40          MC
010101         1972/10/24          9.910          MC
010101         1972/10/25          8.950          MC
010101         1972/10/26          8.300          MC
010101         1972/10/27          7.730          MC
010101         1972/10/28          7.390          MC
010101         1972/10/29          7.900          MC
010101         1972/10/30          9.370          MC
010101         1972/10/31          9.910          MC
010101         1972/11/01          9.850          MC
010101         1972/11/02          9.600          MC
010101         1972/11/03          9.490          MC
010101         1972/11/04          8.550          MC
010101         1972/11/05          7.900          MC
010101         1972/11/06          7.590          MC
010101         1972/11/07          7.360          MC
010101         1972/11/08          7.020          MC
010101         1972/11/09          6.650          MC
010101         1972/11/10          6.370          MC
010101         1972/11/11          6.090          MC
010101         1972/11/12          5.780          MC
010101         1972/11/13          5.490          MC
010101         1972/11/14          5.380          MC
010101         1972/11/15          5.270          MC
010101         1972/11/16          4.500          MC
