Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-30, préliminaires par la suite
Station:        011003         Cascapédia - à 2,5 km en aval du ruisseau Berry                                                                                                
Bassin versant: 1690 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 48° 37' 45" // -66° 9' 58"

Date de création du fichier: 2019-11-29 05:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
011003         1978/08/11          16.50          MC
011003         1978/08/12          15.00          MC
011003         1978/08/13          14.10          MC
011003         1978/08/14          13.50          MC
011003         1978/08/15          12.80          MC
011003         1978/08/16          12.40          MC
011003         1978/08/17          12.60          MC
011003         1978/08/18          16.80          MC
011003         1978/08/19          16.90          MC
011003         1978/08/20          14.30          MC
011003         1978/08/21          13.10          MC
011003         1978/08/22          12.20          MC
011003         1978/08/23          11.40          MC
011003         1978/08/24          10.90          MC
011003         1978/08/25          10.40          MC
011003         1978/08/26          10.10          MC
011003         1978/08/27          10.00          MC
011003         1978/08/28          9.980          MC
011003         1978/08/29          11.40          MC
011003         1978/08/30          13.80          MC
011003         1978/08/31          12.90          MC
011003         1978/09/01          11.20          MC
011003         1978/09/02          10.40          MC
011003         1978/09/03          10.30          MC
011003         1978/09/04          10.20          MC
011003         1978/09/05          10.20          MC
011003         1978/09/06          11.70          MC
011003         1978/09/07          12.20          MC
011003         1978/09/08          11.30          MC
011003         1978/09/09          11.10          MC
011003         1978/09/10          11.00          MC
011003         1978/09/11          10.40          MC
011003         1978/09/12          10.10          MC
011003         1978/09/13          11.20          MC
011003         1978/09/14          12.80          MC
011003         1978/09/15          12.00          MC
011003         1978/09/16          12.10          MC
011003         1978/09/17          13.40          MC
011003         1978/09/18          12.40          MC
011003         1978/09/19          11.10          MC
011003         1978/09/20          10.40          MC
011003         1978/09/21          9.910          J
011003         1978/09/22          9.580          MC
011003         1978/09/23          9.180          MC
011003         1978/09/24          8.840          MC
011003         1978/09/25          8.720          MC
011003         1978/09/26          8.720          MC
011003         1978/09/27          8.730          MC
011003         1978/09/28          8.690          MC
011003         1978/09/29          8.660          MC
