Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2001-05-29
Station:        011201         Nouvelle - au pont-route 132 à Nouvelle                                                                                                        
Bassin versant: 1140 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 48° 9' 26" // -66° 20' 55"

Date de création du fichier: 2012-06-29 23:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
011201         1964/05/16          83.30          MC
011201         1964/05/17          83.30          MC
011201         1964/05/18          102.0          MC
011201         1964/05/19          116.0          MC
011201         1964/05/20          116.0          MC
011201         1964/05/21          108.0          MC
011201         1964/05/22          33.70          MC
011201         1964/05/23          33.70          MC
011201         1964/05/24          108.0          MC
011201         1964/05/25          122.0          MC
011201         1964/05/26          87.20          MC
011201         1964/05/27          210.0          MC
011201         1964/05/28          153.0          MC
011201         1964/05/29          121.0          MC
011201         1964/05/30          99.40          MC
011201         1964/05/31          80.10          MC
011201         1964/06/01          63.10          MC
011201         1964/06/02          53.00          MC
011201         1964/06/03          48.40          MC
011201         1964/06/04          48.10          MC
011201         1964/06/05          43.60          MC
011201         1964/06/06          39.40          MC
011201         1964/06/07          39.40          MC
011201         1964/06/08          35.10          MC
011201         1964/06/09          31.40          MC
011201         1964/06/10          31.40          MC
011201         1964/06/11          42.80          MC
011201         1964/06/12          38.50          MC
011201         1964/06/13          38.50          MC
011201         1964/06/14          38.20          MC
011201         1964/06/15          42.20          MC
011201         1964/06/16          41.90          MC
011201         1964/06/17          37.90          MC
011201         1964/06/18          30.30          MC
011201         1964/06/19          33.70          MC
011201         1964/06/20          33.70          MC
011201         1964/06/21          41.10          MC
011201         1964/06/22          41.10          MC
011201         1964/06/23          40.80          MC
011201         1964/06/24          40.80          MC
011201         1964/06/25          36.80          MC
011201         1964/06/26          40.50          MC
011201         1964/06/27          36.20          MC
011201         1964/06/28          36.20          MC
011201         1964/06/29          36.20          MC
011201         1964/06/30          28.90          MC
011201         1964/07/01          28.90          MC
011201         1964/07/02          22.50          MC
011201         1964/07/03          17.00          MC
011201         1964/07/04          17.00          MC
011201         1964/07/05          16.90          MC
011201         1964/07/06          28.30          MC
011201         1964/07/07          47.90          MC
011201         1964/07/08          56.90          MC
011201         1964/07/09          47.60          MC
011201         1964/07/10          43.00          MC
011201         1964/07/11          35.10          MC
011201         1964/07/12          35.10          MC
011201         1964/07/13          35.10          MC
011201         1964/07/14          34.80          MC
011201         1964/07/15          29.40          MC
011201         1964/07/16          27.70          MC
011201         1964/07/17          26.10          MC
011201         1964/07/18          23.00          MC
011201         1964/07/19          24.40          MC
011201         1964/07/20          21.40          MC
011201         1964/07/21          21.30          MC
011201         1964/07/22          19.90          MC
011201         1964/07/23          18.50          MC
011201         1964/07/24          17.20          MC
011201         1964/07/25          15.90          MC
011201         1964/07/26          15.80          MC
011201         1964/07/27          15.70          MC
011201         1964/07/28          15.70          MC
011201         1964/07/29          18.10          MC
011201         1964/07/30          22.20          MC
011201         1964/07/31          20.70          MC
011201         1964/08/01          18.00          MC
011201         1964/08/02          17.90          MC
011201         1964/08/03          17.80          MC
011201         1964/08/04          17.80          MC
011201         1964/08/05          16.50          MC
011201         1964/08/06          15.20          MC
011201         1964/08/07          15.20          MC
011201         1964/08/08          15.10          MC
011201         1964/08/09          17.50          MC
011201         1964/08/10          15.00          MC
011201         1964/08/11          15.00          MC
011201         1964/08/12          15.00          MC
011201         1964/08/13          17.50          MC
011201         1964/08/14          20.00          MC
011201         1964/08/15          19.90          MC
011201         1964/08/16          19.90          MC
011201         1964/08/17          19.90          MC
011201         1964/08/18          21.30          MC
011201         1964/08/19          24.20          MC
011201         1964/08/20          25.60          MC
011201         1964/08/21          25.60          MC
011201         1964/08/22          25.60          MC
011201         1964/08/23          22.50          MC
011201         1964/08/24          22.50          MC
011201         1964/08/25          22.50          MC
011201         1964/08/26          19.60          MC
011201         1964/08/27          19.60          MC
011201         1964/08/28          17.00          MC
011201         1964/08/29          16.90          MC
011201         1964/08/30          16.90          MC
011201         1964/08/31          16.90          MC
011201         1964/09/01          14.50          MC
011201         1964/09/02          14.40          MC
011201         1964/09/03          14.40          MC
011201         1964/09/04          13.30          MC
011201         1964/09/05          13.30          MC
011201         1964/09/06          14.30          MC
011201         1964/09/07          12.10          MC
011201         1964/09/08          12.10          MC
011201         1964/09/09          11.10          MC
011201         1964/09/10          10.10          MC
011201         1964/09/11          11.10          MC
011201         1964/09/12          10.10          MC
011201         1964/09/13          10.10          MC
011201         1964/09/14          10.10          MC
011201         1964/09/15          8.330          MC
011201         1964/09/16          8.330          MC
011201         1964/09/17          8.350          MC
011201         1964/09/18          8.380          MC
011201         1964/09/19          8.380          MC
011201         1964/09/20          8.410          MC
011201         1964/09/21          7.620          MC
011201         1964/09/22          6.850          MC
011201         1964/09/23          6.850          MC
011201         1964/09/24          6.880          MC
011201         1964/09/25          6.880          MC
011201         1964/09/26          6.910          MC
011201         1964/09/27          6.910          MC
011201         1964/09/28          6.940          MC
011201         1964/09/29          6.940          MC
011201         1964/09/30          6.970          MC
011201         1964/10/01          5.550          MC
011201         1964/10/02          5.580          MC
011201         1964/10/03          5.580          MC
011201         1964/10/04          7.020          MC
011201         1964/10/05          7.020          MC
011201         1964/10/06          5.610          MC
011201         1964/10/07          5.640          MC
011201         1964/10/08          5.640          MC
011201         1964/10/09          5.660          MC
011201         1964/10/10          5.660          MC
011201         1964/10/11          5.690          MC
011201         1964/10/12          5.690          MC
011201         1964/10/13          5.720          MC
011201         1964/10/14          5.720          MC
011201         1964/10/15          5.720          MC
011201         1964/10/16          5.070          MC
011201         1964/10/17          4.450          MC
011201         1964/10/18          4.450          MC
011201         1964/10/19          5.690          MC
011201         1964/10/20          5.690          MC
011201         1964/10/21          6.400          MC
011201         1964/10/22          17.10          MC
011201         1964/10/23          14.70          MC
011201         1964/10/24          12.50          MC
011201         1964/10/25          11.50          MC
011201         1964/10/26          10.50          MC
011201         1964/10/27          10.50          MC
011201         1964/10/28          10.50          MC
011201         1964/10/29          10.50          MC
011201         1964/10/30          12.50          MC
011201         1964/10/31          14.60          MC
011201         1964/11/01          14.60          MC
011201         1964/11/02          14.60          MC
011201         1964/11/03          12.40          MC
011201         1964/11/04          12.40          MC
011201         1964/11/05          12.40          MC
011201         1964/11/06          12.40          MC
011201         1964/11/07          12.40          MC
011201         1964/11/08          12.40          MC
011201         1964/11/09          12.30          MC
011201         1964/11/10          12.30          MC
011201         1964/11/11          12.30          MC
011201         1964/11/12          11.30          MC
011201         1964/11/13          12.30          MC
011201         1964/11/14          12.30          MC
011201         1964/11/15          10.30          R
011201         1964/11/16          10.30          R
011201         1964/11/17          10.20          R
011201         1964/11/18          10.10          R
011201         1964/11/19          9.850          R
011201         1964/11/20          9.630          R
011201         1964/11/21          8.780          R
011201         1964/11/22          8.350          R
011201         1964/11/23          4.810          R
011201         1964/11/24          7.650          MC
011201         1964/11/25          9.320          MC
011201         1964/11/26          11.20          MC
011201         1964/11/27          14.30          MC
011201         1964/11/28          12.10          MC
011201         1964/11/29          14.30          MC
011201         1964/11/30          15.50          MC
011201         1964/12/01          14.30          R
011201         1964/12/02          14.20          R
011201         1964/12/03          14.00          R
011201         1964/12/04          13.80          R
011201         1964/12/05          13.60          R
011201         1964/12/06          13.60          R
011201         1964/12/07          13.50          R
011201         1964/12/08          13.50          R
011201         1964/12/09          13.40          R
011201         1964/12/10          13.30          R
011201         1964/12/11          13.30          R
011201         1964/12/12          13.20          R
011201         1964/12/13          13.60          R
011201         1964/12/14          15.10          R
011201         1964/12/15          13.10          R
011201         1964/12/16          8.350          R
011201         1964/12/17          8.070          R
011201         1964/12/18          7.790          R
011201         1964/12/19          7.500          R
011201         1964/12/20          7.220          R
011201         1964/12/21          6.940          R
011201         1964/12/22          6.800          R
011201         1964/12/23          6.650          R
011201         1964/12/24          6.400          R
011201         1964/12/25          6.430          R
011201         1964/12/26          6.800          R
011201         1964/12/27          24.10          R
011201         1964/12/28          58.90          R
011201         1964/12/29          44.50          R
011201         1964/12/30          27.80          R
011201         1964/12/31          24.40          R
011201         1965/01/01          42.80          MC
011201         1965/01/02          34.80          MC
011201         1965/01/03          38.50          MC
011201         1965/01/04          36.80          MC
011201         1965/01/05          27.80          MC
011201         1965/01/06          31.10          MC
011201         1965/01/07          31.10          MC
011201         1965/01/08          31.10          MC
011201         1965/01/09          32.80          MC
011201         1965/01/10          31.10          MC
011201         1965/01/11          21.50          MC
011201         1965/01/12          21.50          MC
011201         1965/01/13          26.10          MC
011201         1965/01/14          31.10          MC
011201         1965/01/15          29.40          MC
011201         1965/01/16          43.60          MC
011201         1965/01/17          43.60          MC
011201         1965/01/18          44.20          MC
011201         1965/01/19          40.50          MC
011201         1965/01/20          11.20          R
011201         1965/01/21          11.00          R
011201         1965/01/22          11.00          R
011201         1965/01/23          10.90          R
011201         1965/01/24          10.60          R
011201         1965/01/25          10.50          R
011201         1965/01/26          10.30          R
011201         1965/01/27          10.30          R
011201         1965/01/28          10.10          R
011201         1965/01/29          9.850          R
011201         1965/01/30          9.800          R
011201         1965/01/31          9.680          R
011201         1965/02/01          9.630          R
011201         1965/02/02          9.570          R
011201         1965/02/03          9.400          R
011201         1965/02/04          9.290          R
011201         1965/02/05          9.170          R
011201         1965/02/06          9.060          R
011201         1965/02/07          8.890          R
011201         1965/02/08          8.780          R
011201         1965/02/09          8.580          R
011201         1965/02/10          8.500          R
011201         1965/02/11          8.350          R
011201         1965/02/12          8.210          R
011201         1965/02/13          8.100          R
011201         1965/02/14          7.960          R
011201         1965/02/15          7.930          R
011201         1965/02/16          7.790          R
011201         1965/02/17          7.650          R
011201         1965/02/18          7.590          R
011201         1965/02/19          7.420          R
011201         1965/02/20          7.360          R
011201         1965/02/21          7.220          R
011201         1965/02/22          7.110          R
011201         1965/02/23          6.910          R
011201         1965/02/24          6.820          R
011201         1965/02/25          6.800          R
011201         1965/02/26          6.800          R
011201         1965/02/27          6.800          R
011201         1965/02/28          6.820          R
011201         1965/03/01          7.160          R
011201         1965/03/02          7.390          R
011201         1965/03/03          7.650          R
011201         1965/03/04          7.650          R
011201         1965/03/05          7.730          R
011201         1965/03/06          7.700          R
011201         1965/03/07          7.650          R
011201         1965/03/08          7.650          R
011201         1965/03/09          7.650          R
011201         1965/03/10          7.650          R
011201         1965/03/11          7.620          R
011201         1965/03/12          7.590          R
011201         1965/03/13          7.560          R
011201         1965/03/14          7.530          R
011201         1965/03/15          7.500          R
011201         1965/03/16          7.360          R
011201         1965/03/17          6.990          R
011201         1965/03/18          6.430          R
011201         1965/03/19          8.500          R
011201         1965/03/20          9.200          R
011201         1965/03/21          9.340          R
011201         1965/03/22          9.340          R
011201         1965/03/23          9.090          R
011201         1965/03/24          8.210          R
011201         1965/03/25          6.940          R
011201         1965/03/26          6.000          MC
011201         1965/03/27          5.640          MC
011201         1965/03/28          5.550          MC
011201         1965/03/29          5.610          MC
011201         1965/03/30          5.520          MC
011201         1965/03/31          3.480          MC
011201         1965/04/01          3.480          MC
011201         1965/04/02          5.580          MC
011201         1965/04/03          5.350          MC
011201         1965/04/04          5.350          MC
011201         1965/04/05          5.410          MC
011201         1965/04/06          5.320          MC
011201         1965/04/07          5.320          MC
011201         1965/04/08          5.300          MC
011201         1965/04/09          5.300          MC
011201         1965/04/10          5.350          MC
011201         1965/04/11          5.380          MC
011201         1965/04/12          5.380          MC
011201         1965/04/13          5.490          MC
