Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-30, préliminaires par la suite
Station:        011204         Nouvelle - à 0,2 km en amont du pont-route 132 à Nouvelle                                                                                      
Bassin versant: 1139 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 48° 9' 32" // -66° 20' 56"

Date de création du fichier: 2019-11-29 23:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
011204         2002/07/17          37.91          J
011204         2002/07/18          36.89          MJ
011204         2002/07/19          34.22          MJ
011204         2002/07/20          31.52          MJ
011204         2002/07/21          28.96          MJ
011204         2002/07/22          26.85          MJ
011204         2002/07/23          26.62          MJ
011204         2002/07/24          24.37          MJ
011204         2002/07/25          22.08          MJ
011204         2002/07/26          20.60          MJ
011204         2002/07/27          19.27          MJ
011204         2002/07/28          18.24          MJ
011204         2002/07/29          17.44          MJ
011204         2002/07/30          16.80          MJ
011204         2002/07/31          16.15          MJ
011204         2002/08/01          15.41          MJ
011204         2002/08/02          14.20          MJ
011204         2002/08/03          13.79          MJ
011204         2002/08/04          13.33          MJ
011204         2002/08/05          12.57          MJ
011204         2002/08/06          12.21          MJ
011204         2002/08/07          12.72          MJ
011204         2002/08/08          11.67          MJ
011204         2002/08/09          10.70          MJ
011204         2002/08/10          10.05          MJ
011204         2002/08/11          9.534          MJ
011204         2002/08/12          9.044          MJ
011204         2002/08/13          8.986          MJ
011204         2002/08/14          8.493          MJ
011204         2002/08/15          8.535          MJ
011204         2002/08/16          8.108          MJ
011204         2002/08/17          7.899          MJ
011204         2002/08/18          7.739          MJ
011204         2002/08/19          8.492          MJ
011204         2002/08/20          7.564          MJ
011204         2002/08/21          6.984          MJ
011204         2002/08/22          6.829          MJ
011204         2002/08/23          7.105          MJ
011204         2002/08/24          6.465          MJ
011204         2002/08/25          6.109          MJ
011204         2002/08/26          5.884          MJ
011204         2002/08/27          5.658          MJ
011204         2002/08/28          5.361          MJ
011204         2002/08/29          5.141          MJ
011204         2002/08/30          5.192          MJ
011204         2002/08/31          5.011          MJ
011204         2002/09/01          4.726          MJ
011204         2002/09/02          4.544          MJ
011204         2002/09/03          4.353          MJ
011204         2002/09/04          4.650          MJ
011204         2002/09/05          5.278          MJ
011204         2002/09/06          4.625          MJ
011204         2002/09/07          4.209          MJ
011204         2002/09/08          4.312          MJ
011204         2002/09/09          4.692          MJ
011204         2002/09/10          4.660          MJ
011204         2002/09/11          6.551          MJ
011204         2002/09/12          9.823          MJ
011204         2002/09/13          7.689          MJ
011204         2002/09/14          6.640          MJ
011204         2002/09/15          6.559          MJ
011204         2002/09/16          7.152          MJ
011204         2002/09/17          6.454          MJ
011204         2002/09/18          5.874          MJ
011204         2002/09/19          5.494          MJ
011204         2002/09/20          5.295          MJ
011204         2002/09/21          5.384          MJ
011204         2002/09/22          6.189          MJ
011204         2002/09/23          8.015          MJ
011204         2002/09/24          8.074          MJ
011204         2002/09/25          7.398          MJ
011204         2002/09/26          6.915          MJ
011204         2002/09/27          6.609          MJ
011204         2002/09/28          7.046          MJ
011204         2002/09/29          6.624          MJ
011204         2002/09/30          6.188          MJ
011204         2002/10/01          6.106          MJ
011204         2002/10/02          6.115          MJ
011204         2002/10/03          5.808          MJ
011204         2002/10/04          5.520          MJ
011204         2002/10/05          5.756          MJ
011204         2002/10/06          5.602          MJ
011204         2002/10/07          5.218          MJ
011204         2002/10/08          5.099          MJ
011204         2002/10/09          4.935          J
011204         2002/10/10          4.970          MJ
011204         2002/10/11          5.031          MJ
011204         2002/10/12          4.824          MJ
011204         2002/10/13          4.774          MJ
011204         2002/10/14          6.304          MJ
011204         2002/10/15          6.762          MJ
011204         2002/10/16          5.885          MJ
011204         2002/10/17          5.853          MJ
011204         2002/10/18          6.406          MJ
011204         2002/10/19          6.140          MJ
011204         2002/10/20          6.174          MJ
011204         2002/10/21          5.843          MJ
011204         2002/10/22          5.625          MJ
011204         2002/10/23          5.708          MJ
011204         2002/10/24          5.640          MJ
011204         2002/10/25          5.585          MJ
011204         2002/10/26          5.533          MJ
011204         2002/10/27          6.026          MJ
011204         2002/10/28          6.538          MJ
011204         2002/10/29          6.259          MJ
011204         2002/10/30          6.060          MJ
011204         2002/10/31          5.855          MJ
011204         2002/11/01          5.717          MJ
011204         2002/11/02          6.021          MJ
011204         2002/11/03          5.540          MJ
011204         2002/11/04          5.659          MJ
011204         2002/11/05          5.010          MJ
011204         2002/11/06          4.690          R
011204         2002/11/07          4.460          R
011204         2002/11/08          4.310          R
011204         2002/11/09          4.210          R
011204         2002/11/10          4.140          R
011204         2002/11/11          6.437          MJ
011204         2002/11/12          7.201          MJ
011204         2002/11/13          7.552          MJ
011204         2002/11/14          7.760          MJ
011204         2002/11/15          8.073          MJ
011204         2002/11/16          7.905          MJ
011204         2002/11/17          6.595          MJ
011204         2002/11/18          6.090          R
011204         2002/11/19          5.720          R
011204         2002/11/20          5.510          R
011204         2002/11/21          9.448          MJ
011204         2002/11/22          9.795          MJ
011204         2002/11/23          12.57          MJ
011204         2002/11/24          13.38          MJ
011204         2002/11/25          12.45          MJ
011204         2002/11/26          12.00          MJ
011204         2002/11/27          11.80          MJ
011204         2002/11/28          11.19          MJ
011204         2002/11/29          9.993          MJ
011204         2002/11/30          9.270          R
011204         2002/12/01          9.050          R
011204         2002/12/02          8.850          R
011204         2002/12/03          8.660          R
011204         2002/12/04          8.490          R
011204         2002/12/05          8.320          R
011204         2002/12/06          8.160          R
011204         2002/12/07          8.010          R
011204         2002/12/08          7.870          R
011204         2002/12/09          7.730          R
011204         2002/12/10          7.600          R
011204         2002/12/11          7.480          R
011204         2002/12/12          7.360          R
011204         2002/12/13          7.240          R
011204         2002/12/14          7.120          R
011204         2002/12/15          7.010          R
011204         2002/12/16          6.900          R
011204         2002/12/17          6.790          R
011204         2002/12/18          6.680          R
011204         2002/12/19          6.570          R
011204         2002/12/20          7.430          R
011204         2002/12/21          7.790          R
011204         2002/12/22          7.220          R
011204         2002/12/23          6.490          R
011204         2002/12/24          6.060          R
011204         2002/12/25          5.960          R
011204         2002/12/26          5.870          R
011204         2002/12/27          5.780          R
011204         2002/12/28          5.690          R
011204         2002/12/29          5.610          R
011204         2002/12/30          5.520          R
011204         2002/12/31          5.440          R
011204         2003/01/01          5.370          R
011204         2003/01/02          5.290          R
011204         2003/01/03          5.220          R
011204         2003/01/04          5.150          R
011204         2003/01/05          5.080          R
011204         2003/01/06          5.010          R
011204         2003/01/07          4.940          R
011204         2003/01/08          4.880          R
011204         2003/01/09          4.810          R
011204         2003/01/10          4.750          R
011204         2003/01/11          4.690          R
011204         2003/01/12          4.630          R
011204         2003/01/13          4.580          R
011204         2003/01/14          4.520          R
011204         2003/01/15          4.470          R
011204         2003/01/16          4.420          R
011204         2003/01/17          4.370          R
011204         2003/01/18          4.320          R
011204         2003/01/19          4.270          R
011204         2003/01/20          4.220          R
011204         2003/01/21          4.170          R
011204         2003/01/22          4.130          R
011204         2003/01/23          4.080          J
011204         2003/01/24          4.040          R
011204         2003/01/25          4.000          R
011204         2003/01/26          3.960          R
011204         2003/01/27          3.920          R
011204         2003/01/28          3.880          R
011204         2003/01/29          3.840          R
011204         2003/01/30          3.800          R
011204         2003/01/31          3.770          R
011204         2003/02/01          3.730          R
011204         2003/02/02          3.700          R
011204         2003/02/03          3.660          R
011204         2003/02/04          3.630          R
011204         2003/02/05          3.600          R
011204         2003/02/06          3.560          R
011204         2003/02/07          3.530          R
011204         2003/02/08          3.500          R
011204         2003/02/09          3.470          R
011204         2003/02/10          3.440          R
011204         2003/02/11          3.420          R
011204         2003/02/12          3.390          R
011204         2003/02/13          3.360          R
011204         2003/02/14          3.330          R
011204         2003/02/15          3.310          R
011204         2003/02/16          3.280          R
011204         2003/02/17          3.260          R
011204         2003/02/18          3.230          R
011204         2003/02/19          3.210          R
011204         2003/02/20          3.180          R
011204         2003/02/21          3.160          R
011204         2003/02/22          3.140          R
011204         2003/02/23          3.110          R
011204         2003/02/24          3.090          R
011204         2003/02/25          3.070          R
011204         2003/02/26          3.050          R
011204         2003/02/27          3.030          R
011204         2003/02/28          3.010          R
011204         2003/03/01          2.970          R
011204         2003/03/02          2.950          R
