Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-30, préliminaires par la suite
Station:        011508         Décharge du lac Matapédia - au pont couvert en amont d'Amqui                                                                                   
Bassin versant: 555 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 48° 29' 30" // -67° 26' 56"

Date de création du fichier: 2019-12-01 06:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
011508         1982/10/01          1.640          MC
011508         1982/10/02          1.670          MC
011508         1982/10/03          1.390          MC
011508         1982/10/04          1.560          MC
011508         1982/10/05          1.420          MC
011508         1982/10/06          1.400          MC
011508         1982/10/07          1.310          MC
011508         1982/10/08          1.190          MC
011508         1982/10/09          1.180          MC
011508         1982/10/10          1.170          MC
011508         1982/10/11          1.050          MC
011508         1982/10/12          0.973          MC
011508         1982/10/13          0.965          MC
011508         1982/10/14          0.967          MC
011508         1982/10/15          0.968          MC
011508         1982/10/16          1.000          MC
011508         1982/10/17          1.160          MC
011508         1982/10/18          1.020          MC
011508         1982/10/19          0.988          MC
011508         1982/10/20          0.949          MC
011508         1982/10/21          1.060          MC
011508         1982/10/22          1.080          MC
011508         1982/10/23          0.981          MC
011508         1982/10/24          0.956          MC
011508         1982/10/25          0.918          J
011508         1982/10/26          0.923          MC
011508         1982/10/27          0.868          MC
011508         1982/10/28          0.861          MC
011508         1982/10/29          0.802          MC
011508         1982/10/30          0.755          MC
011508         1982/10/31          0.884          MC
011508         1982/11/01          0.830          MC
011508         1982/11/02          0.729          MC
011508         1982/11/03          0.778          MC
011508         1982/11/04          0.988          MC
011508         1982/11/05          1.410          MC
011508         1982/11/06          1.740          MC
011508         1982/11/07          2.080          MC
011508         1982/11/08          2.330          MC
011508         1982/11/09          2.410          MC
011508         1982/11/10          2.420          MC
011508         1982/11/11          2.150          MC
011508         1982/11/12          2.260          MC
011508         1982/11/13          2.660          MC
011508         1982/11/14          2.630          MC
011508         1982/11/15          2.470          MC
011508         1982/11/16          2.940          MC
011508         1982/11/17          2.710          MC
011508         1982/11/18          2.730          MC
011508         1982/11/19          2.560          MC
011508         1982/11/20          2.510          MC
011508         1982/11/21          2.660          MC
011508         1982/11/22          2.900          MC
011508         1982/11/23          2.990          MC
011508         1982/11/24          3.780          MC
011508         1982/11/25          4.010          MC
011508         1982/11/26          3.890          MC
011508         1982/11/27          4.140          MC
011508         1982/11/28          3.730          MC
011508         1982/11/29          3.830          MC
011508         1982/11/30          3.960          MC
011508         1982/12/01          3.720          MC
011508         1982/12/02          3.870          MC
011508         1982/12/03          3.730          MC
011508         1982/12/04          4.640          MC
011508         1982/12/05          4.280          MC
011508         1982/12/06          4.610          MC
011508         1982/12/07          5.520          MC
011508         1982/12/08          5.530          MC
011508         1982/12/09          5.560          MC
011508         1982/12/10          4.990          MC
011508         1982/12/11          5.150          MC
011508         1982/12/12          5.170          MC
011508         1982/12/13          4.960          MC
011508         1982/12/14          4.800          MC
011508         1982/12/15          4.790          MC
011508         1982/12/16          5.000          MC
011508         1982/12/17          5.230          MC
011508         1982/12/18          4.900          MC
011508         1982/12/19          4.760          MC
011508         1982/12/20          4.890          MC
011508         1982/12/21          4.910          MC
011508         1982/12/22          4.910          MC
011508         1982/12/23          4.740          MC
011508         1982/12/24          4.590          MC
011508         1982/12/25          4.720          MC
011508         1982/12/26          5.100          MC
