Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-30, préliminaires par la suite
Station:        011707         Madawaska - à 6 km en aval du barrage Témiscouata                                                                                              
Bassin versant: 2708 km²       Régime: Influencé mensuellement                           
Coordonnées:    (NAD83) 47° 32' 15" // -68° 35' 59"

Date de création du fichier: 2019-11-30 00:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
011707         2004/08/11          11.82          J
011707         2004/08/12          29.66          MJ
011707         2004/08/13          118.7          MJ
011707         2004/08/14          221.6          MJ
011707         2004/08/15          219.7          MJ
011707         2004/08/16          221.4          MJ
011707         2004/08/17          223.6          MJ
011707         2004/08/18          222.2          MJ
011707         2004/08/19          218.0          MJ
011707         2004/08/20          212.6          MJ
011707         2004/08/21          204.4          MJ
011707         2004/08/22          194.5          MJ
011707         2004/08/23          183.3          MJ
011707         2004/08/24          173.9          MJ
011707         2004/08/25          161.9          MJ
011707         2004/08/26          106.1          MJ
011707         2004/08/27          47.07          MJ
011707         2004/08/28          35.58          MJ
011707         2004/08/29          35.67          MJ
011707         2004/08/30          51.55          MJ
011707         2004/08/31          101.1          MJ
011707         2004/09/01          100.6          MJ
011707         2004/09/02          98.83          MJ
011707         2004/09/03          98.95          MJ
011707         2004/09/04          101.2          MJ
011707         2004/09/05          99.83          MJ
011707         2004/09/06          98.42          MJ
011707         2004/09/07          97.66          MJ
011707         2004/09/08          96.96          MJ
011707         2004/09/09          94.35          J
011707         2004/09/10          152.6          MJ
011707         2004/09/11          197.0          MJ
011707         2004/09/12          199.1          MJ
011707         2004/09/13          201.0          MJ
011707         2004/09/14          197.0          MJ
011707         2004/09/15          191.0          MJ
011707         2004/09/16          185.3          MJ
011707         2004/09/17          178.3          MJ
011707         2004/09/18          170.9          MJ
011707         2004/09/19          164.1          MJ
011707         2004/09/20          136.0          MJ
011707         2004/09/21          72.81          MJ
011707         2004/09/22          46.56          MJ
011707         2004/09/23          32.81          MJ
011707         2004/09/24          32.67          MJ
011707         2004/09/25          32.77          MJ
011707         2004/09/26          32.92          MJ
011707         2004/09/27          33.01          MJ
011707         2004/09/28          33.10          MJ
011707         2004/09/29          40.21          MJ
011707         2004/09/30          53.63          MJ
011707         2004/10/01          53.55          MJ
011707         2004/10/02          53.34          MJ
011707         2004/10/03          53.00          MJ
011707         2004/10/04          52.63          MJ
011707         2004/10/05          52.12          MJ
011707         2004/10/06          65.54          MJ
011707         2004/10/07          79.51          MJ
011707         2004/10/08          77.32          MJ
011707         2004/10/09          36.25          MJ
011707         2004/10/10          7.417          MJ
011707         2004/10/11          7.156          MJ
011707         2004/10/12          7.286          MJ
011707         2004/10/13          7.283          MJ
011707         2004/10/14          6.938          MJ
011707         2004/10/15          6.794          MJ
011707         2004/10/16          8.495          MJ
011707         2004/10/17          8.969          MJ
011707         2004/10/18          8.230          MJ
011707         2004/10/19          7.756          MJ
011707         2004/10/20          7.556          MJ
011707         2004/10/21          7.500          MJ
011707         2004/10/22          16.92          MJ
011707         2004/10/23          26.89          MJ
011707         2004/10/24          26.85          MJ
011707         2004/10/25          26.77          MJ
011707         2004/10/26          26.77          MJ
011707         2004/10/27          26.69          MJ
011707         2004/10/28          26.59          MJ
011707         2004/10/29          26.41          MJ
011707         2004/10/30          26.33          MJ
011707         2004/10/31          26.30          MJ
011707         2004/11/01          26.32          MJ
011707         2004/11/02          22.37          MJ
011707         2004/11/03          18.55          MJ
011707         2004/11/04          18.02          MJ
011707         2004/11/05          18.17          MJ
011707         2004/11/06          18.20          MJ
011707         2004/11/07          18.15          MJ
011707         2004/11/08          18.09          MJ
011707         2004/11/09          19.87          MJ
011707         2004/11/10          18.96          MJ
011707         2004/11/11          19.11          MJ
011707         2004/11/12          18.93          MJ
011707         2004/11/13          18.82          MJ
011707         2004/11/14          19.07          MJ
011707         2004/11/15          19.20          MJ
011707         2004/11/16          18.07          MJ
011707         2004/11/17          14.89          MJ
011707         2004/11/18          14.87          MJ
011707         2004/11/19          15.01          MJ
011707         2004/11/20          15.08          MJ
011707         2004/11/21          14.92          MJ
011707         2004/11/22          14.87          MJ
011707         2004/11/23          14.88          MJ
011707         2004/11/24          14.86          MJ
011707         2004/11/25          27.59          MJ
011707         2004/11/26          49.25          MJ
011707         2004/11/27          55.07          MJ
011707         2004/11/28          79.61          MJ
011707         2004/11/29          83.39          MJ
011707         2004/11/30          81.30          MJ
011707         2004/12/01          80.94          MJ
011707         2004/12/02          81.62          MJ
011707         2004/12/03          79.35          MJ
011707         2004/12/04          78.88          MJ
011707         2004/12/05          78.80          MJ
011707         2004/12/06          63.15          MJ
011707         2004/12/07          34.82          MJ
011707         2004/12/08          35.53          MJ
011707         2004/12/09          44.16          MJ
011707         2004/12/10          62.77          MJ
011707         2004/12/11          63.03          MJ
011707         2004/12/12          62.85          MJ
011707         2004/12/13          62.48          MJ
011707         2004/12/14          62.05          MJ
011707         2004/12/15          47.74          MJ
011707         2004/12/16          30.73          MJ
011707         2004/12/17          31.23          MJ
011707         2004/12/18          30.66          MJ
011707         2004/12/19          30.78          MJ
011707         2004/12/20          31.04          MJ
011707         2004/12/21          30.69          MJ
011707         2004/12/22          30.64          MJ
011707         2004/12/23          30.81          MJ
011707         2004/12/24          70.42          MJ
011707         2004/12/25          100.8          MJ
011707         2004/12/26          97.60          MJ
011707         2004/12/27          88.89          MJ
011707         2004/12/28          65.68          MJ
011707         2004/12/29          45.37          MJ
011707         2004/12/30          49.38          MJ
011707         2004/12/31          45.28          MJ
011707         2005/01/01          45.24          MJ
011707         2005/01/02          45.08          MJ
011707         2005/01/03          45.23          MJ
011707         2005/01/04          45.01          MJ
011707         2005/01/05          44.73          MJ
011707         2005/01/06          44.86          MJ
011707         2005/01/07          44.83          MJ
011707         2005/01/08          44.61          MJ
011707         2005/01/09          44.38          MJ
011707         2005/01/10          44.40          MJ
011707         2005/01/11          50.16          MJ
011707         2005/01/12          57.78          MJ
011707         2005/01/13          57.32          MJ
011707         2005/01/14          57.13          MJ
011707         2005/01/15          56.58          MJ
011707         2005/01/16          55.76          MJ
011707         2005/01/17          55.10          MJ
011707         2005/01/18          54.44          MJ
011707         2005/01/19          54.48          MJ
011707         2005/01/20          53.46          MJ
011707         2005/01/21          53.46          MJ
011707         2005/01/22          52.89          MJ
011707         2005/01/23          51.60          MJ
011707         2005/01/24          50.91          MJ
011707         2005/01/25          51.99          MJ
011707         2005/01/26          56.10          MJ
011707         2005/01/27          55.31          MJ
011707         2005/01/28          54.28          MJ
011707         2005/01/29          53.61          MJ
011707         2005/01/30          52.32          MJ
011707         2005/01/31          50.97          MJ
011707         2005/02/01          51.11          MJ
011707         2005/02/02          51.60          MJ
011707         2005/02/03          49.87          MJ
011707         2005/02/04          48.07          MJ
011707         2005/02/05          46.34          MJ
011707         2005/02/06          44.55          MJ
011707         2005/02/07          42.67          MJ
011707         2005/02/08          41.41          MJ
011707         2005/02/09          40.32          MJ
011707         2005/02/10          39.09          MJ
011707         2005/02/11          38.64          MJ
011707         2005/02/12          37.08          MJ
011707         2005/02/13          35.90          MJ
011707         2005/02/14          34.55          MJ
011707         2005/02/15          33.69          MJ
011707         2005/02/16          32.93          MJ
011707         2005/02/17          32.58          MJ
011707         2005/02/18          31.49          MJ
011707         2005/02/19          30.47          MJ
011707         2005/02/20          29.60          MJ
011707         2005/02/21          28.85          MJ
011707         2005/02/22          27.90          MJ
011707         2005/02/23          27.35          MJ
011707         2005/02/24          26.42          MJ
011707         2005/02/25          25.71          MJ
011707         2005/02/26          25.06          MJ
011707         2005/02/27          24.65          MJ
011707         2005/02/28          23.60          MJ
011707         2005/03/01          23.32          MJ
011707         2005/03/02          23.12          MJ
011707         2005/03/03          22.55          MJ
011707         2005/03/04          21.97          MJ
011707         2005/03/05          21.45          MJ
011707         2005/03/06          21.00          MJ
011707         2005/03/07          18.37          MJ
011707         2005/03/08          10.51          MJ
011707         2005/03/09          44.53          MJ
011707         2005/03/10          51.52          MJ
011707         2005/03/11          35.46          MJ
011707         2005/03/12          18.74          MJ
011707         2005/03/13          11.66          MJ
011707         2005/03/14          10.60          MJ
011707         2005/03/15          11.92          MJ
011707         2005/03/16          15.77          J
011707         2005/03/17          15.68          MJ
011707         2005/03/18          15.66          MJ
011707         2005/03/19          15.63          MJ
011707         2005/03/20          15.53          MJ
011707         2005/03/21          15.48          MJ
011707         2005/03/22          15.33          MJ
011707         2005/03/23          15.39          MJ
011707         2005/03/24          13.88          MJ
011707         2005/03/25          10.06          MJ
011707         2005/03/26          9.978          MJ
011707         2005/03/27          10.01          MJ
011707         2005/03/28          10.09          MJ
011707         2005/03/29          10.24          MJ
011707         2005/03/30          10.52          MJ
011707         2005/03/31          10.65          MJ
011707         2005/04/01          10.74          MJ
011707         2005/04/02          10.88          MJ
011707         2005/04/03          12.84          MJ
011707         2005/04/04          22.28          MJ
011707         2005/04/05          46.41          MJ
011707         2005/04/06          66.62          MJ
011707         2005/04/07          71.26          MJ
011707         2005/04/08          76.31          MJ
011707         2005/04/09          79.93          MJ
011707         2005/04/10          83.57          MJ
011707         2005/04/11          86.21          MJ
011707         2005/04/12          88.01          MJ
011707         2005/04/13          88.21          MJ
011707         2005/04/14          89.75          MJ
011707         2005/04/15          89.64          MJ
011707         2005/04/16          89.08          MJ
011707         2005/04/17          90.57          MJ
011707         2005/04/18          95.37          MJ
011707         2005/04/19          101.7          MJ
011707         2005/04/20          114.0          MJ
011707         2005/04/21          126.6          MJ
011707         2005/04/22          135.8          MJ
011707         2005/04/23          144.3          MJ
011707         2005/04/24          156.0          MJ
011707         2005/04/25          176.1          J
011707         2005/04/26          201.1          MJ
011707         2005/04/27          219.2          MJ
011707         2005/04/28          243.4          MJ
011707         2005/04/29          273.5          MJ
011707         2005/04/30          295.4          MJ
011707         2005/05/01          324.9          MJ
011707         2005/05/02          347.5          J
011707         2005/05/03          359.7          MJ
011707         2005/05/04          364.0          MJ
011707         2005/05/05          361.0          MJ
011707         2005/05/06          353.0          MJ
011707         2005/05/07          342.1          MJ
011707         2005/05/08          329.0          MJ
011707         2005/05/09          314.6          MJ
011707         2005/05/10          299.1          MJ
011707         2005/05/11          284.6          MJ
011707         2005/05/12          273.5          MJ
011707         2005/05/13          258.4          MJ
011707         2005/05/14          242.9          MJ
011707         2005/05/15          229.6          MJ
011707         2005/05/16          219.1          MJ
011707         2005/05/17          210.5          MJ
011707         2005/05/18          201.3          MJ
011707         2005/05/19          191.9          MJ
011707         2005/05/20          182.4          MJ
011707         2005/05/21          174.0          MJ
011707         2005/05/22          167.0          MJ
011707         2005/05/23          164.0          MJ
011707         2005/05/24          158.4          MJ
011707         2005/05/25          152.2          MJ
011707         2005/05/26          145.8          MJ
011707         2005/05/27          119.6          MJ
011707         2005/05/28          75.20          MJ
011707         2005/05/29          75.17          MJ
011707         2005/05/30          57.87          MJ
011707         2005/05/31          21.17          MJ
011707         2005/06/01          20.70          MJ
011707         2005/06/02          17.78          MJ
011707         2005/06/03          14.35          MJ
011707         2005/06/04          14.15          MJ
011707         2005/06/05          13.99          MJ
011707         2005/06/06          21.87          MJ
011707         2005/06/07          49.53          MJ
011707         2005/06/08          58.09          MJ
011707         2005/06/09          54.96          MJ
011707         2005/06/10          38.75          MJ
011707         2005/06/11          39.02          MJ
011707         2005/06/12          38.73          MJ
011707         2005/06/13          38.62          MJ
011707         2005/06/14          34.67          MJ
011707         2005/06/15          31.31          MJ
011707         2005/06/16          35.87          MJ
011707         2005/06/17          82.83          MJ
011707         2005/06/18          114.3          MJ
011707         2005/06/19          136.1          MJ
011707         2005/06/20          132.5          MJ
011707         2005/06/21          123.5          MJ
