Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1982-08-26
Station:        013103         Lac Pohénégamook - à Estcourt                                                                                                                  
Bassin versant: 389 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 47° 27' 36" // -69° 13' 30"
Constante géodésique: 162.388 m
Date de création du fichier: 2012-06-23 21:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
013103         1968/07/15          44.48          PL
013103         1968/07/16          44.47          PL
013103         1968/07/17          44.46          PL
013103         1968/07/18          44.46          PL
013103         1968/07/19          44.45          PL
013103         1968/07/20          44.45          PL
013103         1968/07/21          44.45          PL
013103         1968/07/22          44.44          PL
013103         1968/07/23          44.43          PL
013103         1968/07/24          44.43          PL
013103         1968/07/25          44.43          PL
013103         1968/07/26          44.42          PL
013103         1968/07/27          44.41          PL
013103         1968/07/28          44.42          PL
013103         1968/07/29          44.42          PL
013103         1968/07/30          44.42          PL
013103         1968/07/31          44.39          PL
013103         1968/08/01          44.41          PL
013103         1968/08/02          44.38          PL
013103         1968/08/03          44.37          PL
013103         1968/08/04          44.38          PL
013103         1968/08/05          44.38          PL
013103         1968/08/06          44.37          PL
013103         1968/08/07          44.38          PL
013103         1968/08/08          44.38          PL
013103         1968/08/09          44.37          PL
013103         1968/08/10          44.37          PL
013103         1968/08/11          44.37          PL
013103         1968/08/12          44.36          PL
013103         1968/08/13          44.34          PL
013103         1968/08/14          44.34          PL
013103         1968/08/15          44.35          PL
013103         1968/08/16          44.34          PL
013103         1968/08/17          44.35          PL
013103         1968/08/18          44.34          PL
013103         1968/08/19          44.33          PL
013103         1968/08/20          44.33          PL
013103         1968/08/21          44.35          PL
013103         1968/08/22          44.36          PL
013103         1968/08/23          44.36          PL
013103         1968/08/24          44.36          PL
013103         1968/08/25          44.37          PL
013103         1968/08/26          44.37          PL
013103         1968/08/27          44.38          PL
013103         1968/08/28          44.38          PL
013103         1968/08/29          44.38          PL
013103         1968/08/30          44.38          PL
013103         1968/08/31          44.38          PL
013103         1968/09/01          44.38          PL
013103         1968/09/02          44.38          PL
013103         1968/09/03          44.38          PL
013103         1968/09/04          44.39          PL
013103         1968/09/05          44.38          PL
013103         1968/09/06          44.38          PL
013103         1968/09/07          44.38          PL
013103         1968/09/08          44.38          PL
013103         1968/09/09          44.38          PL
013103         1968/09/10          44.38          PL
013103         1968/09/11          44.39          PL
013103         1968/09/12          44.39          PL
013103         1968/09/13          44.39          PL
013103         1968/09/14          44.39          PL
013103         1968/09/15          44.39          PL
013103         1968/09/16          44.39          PL
013103         1968/09/17          44.39          PL
013103         1968/09/18          44.39          PL
013103         1968/09/19          44.39          PL
013103         1968/09/20          44.39          PL
013103         1968/09/21          44.39          PL
013103         1968/09/22          44.39          PL
013103         1968/09/23          44.39          PL
013103         1968/09/24          44.39          PL
013103         1968/09/25          44.39          PL
013103         1968/09/26          44.39          PL
013103         1968/09/27          44.39          PL
013103         1968/09/28          44.39          PL
013103         1968/09/29          44.39          PL
013103         1968/09/30          44.39          PL
