Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1981-09-30
Station:        020401         York - à 4,3 km en amont du pont-route 132 à Sunny Bank                                                                                        
Bassin versant: 1010 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 48° 50' 3" // -64° 37' 41"

Date de création du fichier: 2012-06-30 01:00
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
020401         1945/10/01          4.250          E
020401         1945/10/02          4.250          E
020401         1945/10/03          4.250          E
020401         1945/10/04          4.250          E
020401         1945/10/05          4.250          E
020401         1945/10/06          4.250          E
020401         1945/10/07          4.250          E
020401         1945/10/08          4.250          E
020401         1945/10/09          4.250          E
020401         1945/10/10          4.250          E
020401         1945/10/11          4.250          E
020401         1945/10/12          4.250          E
020401         1945/10/13          4.250          E
020401         1945/10/14          4.250          E
020401         1945/10/15          4.250          E
020401         1945/10/16          4.250          E
020401         1945/10/17          4.250          E
020401         1945/10/18          4.250          E
020401         1945/10/19          4.250          E
020401         1945/10/20          2.800          MC
020401         1945/10/21          2.800          E
020401         1945/10/22          2.830          MC
020401         1945/10/23          2.830          MC
020401         1945/10/24          2.800          MC
020401         1945/10/25          2.800          MC
020401         1945/10/26          2.920          MC
020401         1945/10/27          4.080          MC
020401         1945/10/28          3.770          MC
020401         1945/10/29          3.540          MC
020401         1945/10/30          3.600          MC
020401         1945/10/31          3.400          MC
020401         1945/11/01          3.990          MC
020401         1945/11/02          3.990          MC
020401         1945/11/03          3.990          MC
020401         1945/11/04          4.020          MC
020401         1945/11/05          4.080          MC
020401         1945/11/06          4.900          MC
020401         1945/11/07          5.010          MC
020401         1945/11/08          5.150          MC
020401         1945/11/09          5.150          MC
020401         1945/11/10          5.440          MC
020401         1945/11/11          5.550          MC
020401         1945/11/12          5.470          MC
020401         1945/11/13          5.800          MC
020401         1945/11/14          5.860          MC
020401         1945/11/15          5.800          MC
020401         1945/11/16          6.030          R
020401         1945/11/17          6.030          R
020401         1945/11/18          6.030          R
020401         1945/11/19          6.030          R
020401         1945/11/20          6.030          R
020401         1945/11/21          6.030          R
020401         1945/11/22          6.030          R
020401         1945/11/23          6.030          R
020401         1945/11/24          6.030          R
020401         1945/11/25          6.030          R
020401         1945/11/26          6.030          R
020401         1945/11/27          6.030          R
020401         1945/11/28          6.030          R
020401         1945/11/29          6.030          R
020401         1945/11/30          6.030          R
020401         1945/12/01          4.420          R
020401         1945/12/02          4.420          R
020401         1945/12/03          4.420          R
020401         1945/12/04          4.420          R
020401         1945/12/05          4.420          R
020401         1945/12/06          4.420          R
020401         1945/12/07          4.420          R
020401         1945/12/08          4.420          R
020401         1945/12/09          4.420          R
020401         1945/12/10          4.420          R
020401         1945/12/11          4.420          R
020401         1945/12/12          4.420          R
020401         1945/12/13          4.420          R
020401         1945/12/14          4.420          R
020401         1945/12/15          4.420          R
020401         1945/12/16          4.420          R
020401         1945/12/17          4.420          R
020401         1945/12/18          4.420          R
020401         1945/12/19          4.420          R
020401         1945/12/20          4.420          R
020401         1945/12/21          4.420          R
020401         1945/12/22          4.420          R
020401         1945/12/23          4.420          R
020401         1945/12/24          4.420          R
020401         1945/12/25          4.420          R
020401         1945/12/26          4.420          R
020401         1945/12/27          4.420          R
020401         1945/12/28          4.420          R
020401         1945/12/29          4.420          R
