Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-30, préliminaires par la suite
Station:        020404         York - à 1,4 km en aval du ruisseau Dinner Island                                                                                              
Bassin versant: 647 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 48° 48' 25" // -64° 54' 60"

Date de création du fichier: 2019-11-29 07:00
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
020404         1980/10/01          11.30          MC
020404         1980/10/02          10.40          MC
020404         1980/10/03          9.800          MC
020404         1980/10/04          9.890          MC
020404         1980/10/05          11.50          MC
020404         1980/10/06          11.40          MC
020404         1980/10/07          11.50          MC
020404         1980/10/08          11.70          MC
020404         1980/10/09          12.40          MC
020404         1980/10/10          12.90          MC
020404         1980/10/11          12.40          MC
020404         1980/10/12          15.70          MC
020404         1980/10/13          26.80          MC
020404         1980/10/14          28.70          MC
020404         1980/10/15          26.20          MC
020404         1980/10/16          23.30          MC
020404         1980/10/17          19.80          MC
020404         1980/10/18          18.20          MC
020404         1980/10/19          16.60          MC
020404         1980/10/20          15.20          MC
020404         1980/10/21          13.50          MC
020404         1980/10/22          12.30          MC
020404         1980/10/23          11.50          MC
020404         1980/10/24          10.50          MC
020404         1980/10/25          9.380          MC
020404         1980/10/26          11.40          MC
020404         1980/10/27          16.10          MC
020404         1980/10/28          15.60          MC
020404         1980/10/29          15.50          MC
020404         1980/10/30          15.10          MC
020404         1980/10/31          14.40          MC
020404         1980/11/01          13.80          MC
020404         1980/11/02          13.10          MC
020404         1980/11/03          12.50          MC
020404         1980/11/04          11.60          MC
020404         1980/11/05          10.70          MC
020404         1980/11/06          10.20          MC
020404         1980/11/07          9.530          MC
020404         1980/11/08          9.190          MC
020404         1980/11/09          8.760          MC
020404         1980/11/10          8.170          MC
020404         1980/11/11          7.950          MC
020404         1980/11/12          8.910          MC
020404         1980/11/13          9.350          MC
020404         1980/11/14          8.950          MC
020404         1980/11/15          8.530          MC
020404         1980/11/16          8.360          MC
020404         1980/11/17          8.360          MC
020404         1980/11/18          8.180          MC
020404         1980/11/19          7.740          MC
020404         1980/11/20          6.850          MC
020404         1980/11/21          6.210          MC
020404         1980/11/22          7.620          MC
020404         1980/11/23          6.360          MC
020404         1980/11/24          6.040          MC
020404         1980/11/25          7.010          MC
020404         1980/11/26          7.690          MC
020404         1980/11/27          7.390          MC
020404         1980/11/28          5.830          MC
020404         1980/11/29          6.350          MC
020404         1980/11/30          6.510          MC
020404         1980/12/01          5.870          MC
020404         1980/12/02          5.370          MC
020404         1980/12/03          6.650          MC
020404         1980/12/04          41.10          MC
020404         1980/12/05          42.00          MC
020404         1980/12/06          33.50          MC
020404         1980/12/07          27.40          MC
020404         1980/12/08          23.00          MC
020404         1980/12/09          20.40          MC
020404         1980/12/10          16.00          MC
020404         1980/12/11          15.10          R
020404         1980/12/12          14.60          R
020404         1980/12/13          13.60          R
020404         1980/12/14          12.70          R
020404         1980/12/15          11.80          R
020404         1980/12/16          10.90          R
020404         1980/12/17          10.30          R
020404         1980/12/18          9.700          R
020404         1980/12/19          9.200          R
020404         1980/12/20          8.600          R
020404         1980/12/21          8.200          R
020404         1980/12/22          7.800          R
020404         1980/12/23          7.400          R
020404         1980/12/24          7.100          R
020404         1980/12/25          6.700          R
020404         1980/12/26          6.400          R
020404         1980/12/27          6.100          R
020404         1980/12/28          5.900          R
020404         1980/12/29          5.600          R
020404         1980/12/30          5.300          R
020404         1980/12/31          5.100          R
020404         1981/01/01          4.900          R
020404         1981/01/02          4.700          R
020404         1981/01/03          4.600          R
020404         1981/01/04          4.400          R
020404         1981/01/05          4.200          R
020404         1981/01/06          4.100          R
020404         1981/01/07          4.000          R
020404         1981/01/08          3.850          R
020404         1981/01/09          3.750          R
020404         1981/01/10          3.650          R
020404         1981/01/11          3.550          R
020404         1981/01/12          3.450          R
020404         1981/01/13          3.400          R
020404         1981/01/14          3.350          R
020404         1981/01/15          3.250          J
020404         1981/01/16          3.200          R
020404         1981/01/17          3.150          R
020404         1981/01/18          3.050          R
020404         1981/01/19          3.000          R
020404         1981/01/20          2.950          R
020404         1981/01/21          2.900          R
020404         1981/01/22          2.900          R
020404         1981/01/23          2.870          R
020404         1981/01/24          2.850          R
020404         1981/01/25          2.840          R
020404         1981/01/26          2.800          R
020404         1981/01/27          2.780          R
020404         1981/01/28          2.780          R
020404         1981/01/29          2.780          R
020404         1981/01/30          2.790          R
020404         1981/01/31          2.800          R
020404         1981/02/01          2.800          R
020404         1981/02/02          2.830          R
020404         1981/02/03          3.000          R
020404         1981/02/04          3.800          R
020404         1981/02/05          5.000          R
020404         1981/02/06          6.600          R
020404         1981/02/07          6.750          R
020404         1981/02/08          6.500          R
020404         1981/02/09          5.800          R
020404         1981/02/10          5.300          R
020404         1981/02/11          5.200          R
020404         1981/02/12          8.000          R
020404         1981/02/13          10.00          R
020404         1981/02/14          15.00          R
020404         1981/02/15          19.80          R
020404         1981/02/16          19.30          R
020404         1981/02/17          18.00          R
020404         1981/02/18          15.00          R
020404         1981/02/19          14.20          R
020404         1981/02/20          13.90          R
020404         1981/02/21          16.00          R
020404         1981/02/22          22.00          R
020404         1981/02/23          35.00          R
020404         1981/02/24          40.00          R
020404         1981/02/25          40.00          R
020404         1981/02/26          37.50          R
020404         1981/02/27          30.00          R
020404         1981/02/28          25.00          R
020404         1981/03/01          19.00          R
020404         1981/03/02          16.50          R
020404         1981/03/03          13.30          R
020404         1981/03/04          12.00          R
020404         1981/03/05          11.00          R
020404         1981/03/06          9.800          R
020404         1981/03/07          9.000          R
020404         1981/03/08          8.000          R
020404         1981/03/09          7.500          R
020404         1981/03/10          6.770          MC
020404         1981/03/11          6.570          MC
020404         1981/03/12          5.870          MC
020404         1981/03/13          5.490          MC
020404         1981/03/14          5.580          MC
020404         1981/03/15          5.300          MC
020404         1981/03/16          4.850          MC
020404         1981/03/17          4.860          MC
020404         1981/03/18          24.60          MC
020404         1981/03/19          32.10          MC
020404         1981/03/20          22.20          MC
020404         1981/03/21          16.70          MC
020404         1981/03/22          13.50          MC
020404         1981/03/23          11.20          MC
020404         1981/03/24          9.670          MC
020404         1981/03/25          8.250          MC
020404         1981/03/26          8.110          MC
020404         1981/03/27          8.170          MC
020404         1981/03/28          6.970          MC
020404         1981/03/29          7.170          MC
020404         1981/03/30          6.860          MC
020404         1981/03/31          6.510          MC
020404         1981/04/01          6.040          MC
020404         1981/04/02          6.650          MC
020404         1981/04/03          7.610          MC
020404         1981/04/04          7.730          MC
020404         1981/04/05          10.40          MC
020404         1981/04/06          21.60          MC
020404         1981/04/07          32.20          MC
020404         1981/04/08          30.00          MC
020404         1981/04/09          30.20          MC
020404         1981/04/10          41.10          MC
020404         1981/04/11          49.00          MC
020404         1981/04/12          43.70          MC
020404         1981/04/13          36.40          MC
020404         1981/04/14          31.60          MC
020404         1981/04/15          29.60          MC
020404         1981/04/16          24.30          MC
020404         1981/04/17          21.90          MC
020404         1981/04/18          20.00          MC
020404         1981/04/19          18.00          MC
020404         1981/04/20          16.00          MC
020404         1981/04/21          14.20          MC
020404         1981/04/22          12.60          MC
020404         1981/04/23          12.50          MC
020404         1981/04/24          12.40          MC
020404         1981/04/25          11.70          MC
020404         1981/04/26          11.60          MC
020404         1981/04/27          11.90          MC
020404         1981/04/28          15.20          MC
020404         1981/04/29          21.00          MC
020404         1981/04/30          27.00          MC
020404         1981/05/01          31.20          MC
020404         1981/05/02          42.20          MC
020404         1981/05/03          54.50          MC
020404         1981/05/04          60.60          MC
020404         1981/05/05          74.40          MC
020404         1981/05/06          280.0          R
020404         1981/05/07          221.0          MC
020404         1981/05/08          153.0          MC
020404         1981/05/09          129.0          MC
020404         1981/05/10          148.0          MC
020404         1981/05/11          149.0          MC
020404         1981/05/12          132.0          MC
020404         1981/05/13          128.0          MC
020404         1981/05/14          153.0          MC
020404         1981/05/15          137.0          MC
020404         1981/05/16          137.0          J
020404         1981/05/17          208.0          MC
020404         1981/05/18          235.0          MC
020404         1981/05/19          131.0          MC
020404         1981/05/20          93.40          MC
020404         1981/05/21          75.30          MC
020404         1981/05/22          71.20          MC
020404         1981/05/23          72.40          MC
020404         1981/05/24          72.00          MC
020404         1981/05/25          73.30          MC
020404         1981/05/26          78.40          MC
020404         1981/05/27          80.60          MC
020404         1981/05/28          76.20          MC
020404         1981/05/29          68.90          MC
020404         1981/05/30          68.10          MC
020404         1981/05/31          67.60          MC
020404         1981/06/01          59.20          MC
020404         1981/06/02          49.10          MC
020404         1981/06/03          42.60          MC
020404         1981/06/04          38.40          MC
020404         1981/06/05          34.30          MC
020404         1981/06/06          32.50          MC
020404         1981/06/07          43.00          MC
020404         1981/06/08          38.80          MC
020404         1981/06/09          34.10          MC
020404         1981/06/10          42.00          MC
020404         1981/06/11          56.70          MC
020404         1981/06/12          55.10          MC
020404         1981/06/13          48.50          MC
020404         1981/06/14          42.30          MC
020404         1981/06/15          37.20          MC
020404         1981/06/16          32.40          MC
020404         1981/06/17          30.00          MC
020404         1981/06/18          27.10          MC
020404         1981/06/19          23.30          MC
020404         1981/06/20          20.40          MC
020404         1981/06/21          18.40          MC
020404         1981/06/22          16.70          MC
020404         1981/06/23          18.20          MC
020404         1981/06/24          17.60          MC
020404         1981/06/25          15.50          MC
020404         1981/06/26          18.40          MC
020404         1981/06/27          23.80          MC
020404         1981/06/28          23.00          MC
020404         1981/06/29          21.30          MC
020404         1981/06/30          20.00          MC
020404         1981/07/01          19.30          MC
020404         1981/07/02          16.00          MC
020404         1981/07/03          14.30          MC
020404         1981/07/04          12.90          MC
020404         1981/07/05          12.40          MC
020404         1981/07/06          12.50          MC
020404         1981/07/07          13.40          MC
020404         1981/07/08          12.80          MC
020404         1981/07/09          12.70          MC
020404         1981/07/10          11.60          MC
020404         1981/07/11          10.90          MC
020404         1981/07/12          10.50          J
020404         1981/07/13          9.830          MC
020404         1981/07/14          9.570          MC
020404         1981/07/15          13.40          MC
020404         1981/07/16          14.80          MC
020404         1981/07/17          13.20          MC
020404         1981/07/18          12.20          MC
020404         1981/07/19          11.80          MC
020404         1981/07/20          11.30          MC
020404         1981/07/21          10.80          MC
020404         1981/07/22          10.60          MC
020404         1981/07/23          10.00          MC
020404         1981/07/24          9.260          MC
