Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1997-06-08
Station:        020502         Au Renard - à 4,7 km de l'embouchure                                                                                                           
Bassin versant: 59.8 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 48° 58' 56" // -64° 25' 37"

Date de création du fichier: 2012-06-30 01:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
020502         1977/07/10          0.390          J
020502         1977/07/11          0.370          MC
020502         1977/07/12          0.340          MC
020502         1977/07/13          0.330          MC
020502         1977/07/14          0.330          MC
020502         1977/07/15          0.330          MC
020502         1977/07/16          0.310          MC
020502         1977/07/17          0.270          MC
020502         1977/07/18          0.270          MC
020502         1977/07/19          0.250          MC
020502         1977/07/20          0.240          MC
020502         1977/07/21          0.240          MC
020502         1977/07/22          0.220          MC
020502         1977/07/23          0.210          MC
020502         1977/07/24          0.230          MC
020502         1977/07/25          0.230          MC
020502         1977/07/26          0.230          MC
020502         1977/07/27          0.250          MC
020502         1977/07/28          0.230          MC
020502         1977/07/29          0.230          MC
020502         1977/07/30          0.220          MC
020502         1977/07/31          0.220          MC
020502         1977/08/01          0.220          MC
020502         1977/08/02          0.300          MC
020502         1977/08/03          0.340          MC
020502         1977/08/04          0.300          MC
020502         1977/08/05          0.370          MC
020502         1977/08/06          0.310          MC
020502         1977/08/07          0.290          MC
020502         1977/08/08          0.250          MC
020502         1977/08/09          0.320          MC
020502         1977/08/10          0.310          MC
020502         1977/08/11          0.250          MC
020502         1977/08/12          0.240          MC
020502         1977/08/13          0.220          MC
020502         1977/08/14          0.210          MC
020502         1977/08/15          0.210          MC
020502         1977/08/16          0.180          MC
020502         1977/08/17          0.180          MC
020502         1977/08/18          0.250          MC
020502         1977/08/19          0.260          MC
020502         1977/08/20          0.220          MC
020502         1977/08/21          0.200          MC
020502         1977/08/22          0.180          MC
020502         1977/08/23          0.200          MC
020502         1977/08/24          0.180          MC
020502         1977/08/25          0.180          MC
020502         1977/08/26          0.180          MC
020502         1977/08/27          0.160          MC
020502         1977/08/28          0.160          MC
020502         1977/08/29          0.150          MC
020502         1977/08/30          0.160          MC
020502         1977/08/31          0.140          MC
020502         1977/09/01          0.140          MC
020502         1977/09/02          0.140          MC
020502         1977/09/03          0.130          MC
020502         1977/09/04          0.120          MC
020502         1977/09/05          0.120          MC
020502         1977/09/06          0.140          MC
020502         1977/09/07          0.140          MC
020502         1977/09/08          0.130          MC
020502         1977/09/09          0.120          MC
020502         1977/09/10          0.120          MC
020502         1977/09/11          0.120          MC
020502         1977/09/12          0.120          MC
020502         1977/09/13          0.110          J
020502         1977/09/14          0.114          MC
020502         1977/09/15          0.118          MC
020502         1977/09/16          0.119          MC
020502         1977/09/17          0.116          MC
020502         1977/09/18          0.114          MC
020502         1977/09/19          0.111          MC
020502         1977/09/20          0.110          MC
020502         1977/09/21          0.109          MC
020502         1977/09/22          0.110          MC
020502         1977/09/23          0.125          MC
020502         1977/09/24          0.128          MC
020502         1977/09/25          0.124          MC
020502         1977/09/26          0.117          MC
020502         1977/09/27          0.209          MC
020502         1977/09/28          0.215          MC
020502         1977/09/29          0.276          MC
020502         1977/09/30          0.168          MC
020502         1977/10/01          1.020          MC
020502         1977/10/02          9.050          MC
020502         1977/10/03          8.190          MC
020502         1977/10/04          4.940          MC
020502         1977/10/05          3.550          MC
020502         1977/10/06          2.810          MC
020502         1977/10/07          2.510          MC
020502         1977/10/08          2.050          MC
020502         1977/10/09          1.700          MC
020502         1977/10/10          2.020          MC
020502         1977/10/11          1.850          MC
020502         1977/10/12          1.610          MC
020502         1977/10/13          1.740          MC
020502         1977/10/14          1.650          MC
020502         1977/10/15          2.190          MC
020502         1977/10/16          4.290          MC
020502         1977/10/17          4.190          MC
020502         1977/10/18          15.50          MC
020502         1977/10/19          10.80          MC
020502         1977/10/20          7.020          MC
020502         1977/10/21          6.440          MC
020502         1977/10/22          5.060          MC
020502         1977/10/23          6.080          MC
020502         1977/10/24          4.890          MC
020502         1977/10/25          4.160          MC
020502         1977/10/26          3.870          MC
020502         1977/10/27          3.550          MC
020502         1977/10/28          3.060          MC
020502         1977/10/29          2.620          MC
020502         1977/10/30          2.280          MC
020502         1977/10/31          1.970          MC
020502         1977/11/01          1.690          MC
020502         1977/11/02          1.480          MC
020502         1977/11/03          1.330          J
020502         1977/11/04          1.270          MC
020502         1977/11/05          1.120          MC
020502         1977/11/06          1.050          MC
020502         1977/11/07          0.937          MC
020502         1977/11/08          0.919          MC
020502         1977/11/09          0.918          MC
020502         1977/11/10          0.852          MC
020502         1977/11/11          0.793          MC
020502         1977/11/12          0.757          MC
020502         1977/11/13          0.758          MC
020502         1977/11/14          0.918          MC
020502         1977/11/15          0.794          MC
020502         1977/11/16          0.698          MC
020502         1977/11/17          0.649          MC
020502         1977/11/18          0.720          MC
020502         1977/11/19          0.706          MC
020502         1977/11/20          0.634          MC
020502         1977/11/21          0.609          MC
020502         1977/11/22          0.587          MC
020502         1977/11/23          0.575          MC
020502         1977/11/24          0.555          MC
020502         1977/11/25          0.539          MC
020502         1977/11/26          0.494          MC
020502         1977/11/27          0.600          R
020502         1977/11/28          0.540          R
020502         1977/11/29          0.513          MC
020502         1977/11/30          0.489          MC
020502         1977/12/01          0.497          MC
020502         1977/12/02          0.486          MC
020502         1977/12/03          0.479          MC
020502         1977/12/04          0.457          MC
020502         1977/12/05          0.431          MC
020502         1977/12/06          0.392          MC
020502         1977/12/07          0.366          MC
020502         1977/12/08          0.415          MC
020502         1977/12/09          0.386          MC
020502         1977/12/10          0.376          MC
020502         1977/12/11          0.379          MC
020502         1977/12/12          0.420          MC
020502         1977/12/13          0.420          MC
020502         1977/12/14          0.420          MC
020502         1977/12/15          0.355          MC
020502         1977/12/16          0.359          MC
020502         1977/12/17          0.356          MC
020502         1977/12/18          0.360          MC
020502         1977/12/19          0.345          MC
020502         1977/12/20          0.344          MC
020502         1977/12/21          0.346          MC
020502         1977/12/22          0.338          MC
020502         1977/12/23          0.369          MC
020502         1977/12/24          0.346          MC
020502         1977/12/25          0.296          MC
020502         1977/12/26          0.950          R
020502         1977/12/27          0.920          R
020502         1977/12/28          0.860          R
020502         1977/12/29          0.750          R
