Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1995-08-20
Station:        020701         De la Grande Vallée - à 5,6 km de l'estuaire                                                                                                   
Bassin versant: 128 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 49° 11' 19" // -65° 9' 8"

Date de création du fichier: 2012-06-30 01:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
020701         1989/08/13          1.350          J
020701         1989/08/14          1.790          MC
020701         1989/08/15          1.530          MC
020701         1989/08/16          2.190          MC
020701         1989/08/17          2.610          MC
020701         1989/08/18          2.790          MC
020701         1989/08/19          2.230          MC
020701         1989/08/20          2.010          MC
020701         1989/08/21          1.750          MC
020701         1989/08/22          1.650          MC
020701         1989/08/23          2.350          MC
020701         1989/08/24          4.500          MC
020701         1989/08/25          5.840          MC
020701         1989/08/26          6.700          MC
020701         1989/08/27          5.090          MC
020701         1989/08/28          4.200          MC
020701         1989/08/29          3.700          MC
020701         1989/08/30          3.510          MC
020701         1989/08/31          3.230          MC
020701         1989/09/01          2.870          MC
020701         1989/09/02          3.520          MC
020701         1989/09/03          3.600          MC
020701         1989/09/04          2.870          MC
020701         1989/09/05          2.560          MC
020701         1989/09/06          2.280          MC
020701         1989/09/07          2.080          MC
020701         1989/09/08          1.960          MC
020701         1989/09/09          1.830          MC
020701         1989/09/10          1.710          MC
020701         1989/09/11          1.580          MC
020701         1989/09/12          1.480          MC
020701         1989/09/13          1.420          MC
020701         1989/09/14          1.320          MC
020701         1989/09/15          1.180          MC
020701         1989/09/16          1.080          MC
020701         1989/09/17          1.020          MC
020701         1989/09/18          0.994          MC
020701         1989/09/19          0.994          MC
020701         1989/09/20          0.950          MC
020701         1989/09/21          0.869          MC
020701         1989/09/22          0.851          MC
020701         1989/09/23          0.892          MC
020701         1989/09/24          0.766          MC
020701         1989/09/25          0.727          MC
020701         1989/09/26          0.698          MC
020701         1989/09/27          0.671          MC
020701         1989/09/28          0.644          MC
020701         1989/09/29          0.649          MC
020701         1989/09/30          0.619          MC
020701         1989/10/01          0.606          MC
020701         1989/10/02          0.565          MC
020701         1989/10/03          0.567          MC
020701         1989/10/04          0.554          MC
020701         1989/10/05          0.520          MC
020701         1989/10/06          0.513          MC
020701         1989/10/07          0.480          MC
020701         1989/10/08          0.466          MC
020701         1989/10/09          0.503          MC
020701         1989/10/10          0.562          MC
020701         1989/10/11          0.627          MC
020701         1989/10/12          0.694          MC
020701         1989/10/13          0.636          MC
020701         1989/10/14          0.590          MC
020701         1989/10/15          0.565          MC
020701         1989/10/16          0.560          MC
020701         1989/10/17          0.627          MC
020701         1989/10/18          0.654          MC
020701         1989/10/19          0.591          MC
020701         1989/10/20          0.561          MC
020701         1989/10/21          0.567          MC
020701         1989/10/22          0.626          MC
020701         1989/10/23          0.651          MC
020701         1989/10/24          0.636          MC
020701         1989/10/25          0.623          MC
020701         1989/10/26          0.597          MC
020701         1989/10/27          0.587          MC
020701         1989/10/28          0.563          MC
020701         1989/10/29          0.570          MC
020701         1989/10/30          0.572          MC
020701         1989/10/31          0.603          MC
020701         1989/11/01          0.569          MC
020701         1989/11/02          0.590          MC
020701         1989/11/03          0.620          MC
020701         1989/11/04          0.592          MC
020701         1989/11/05          0.574          MC
020701         1989/11/06          0.550          MC
020701         1989/11/07          0.549          MC
020701         1989/11/08          0.646          MC
020701         1989/11/09          0.731          MC
020701         1989/11/10          0.726          MC
020701         1989/11/11          0.629          MC
020701         1989/11/12          0.601          MC
020701         1989/11/13          0.599          MC
020701         1989/11/14          0.587          MC
020701         1989/11/15          0.575          MC
020701         1989/11/16          0.566          MC
020701         1989/11/17          0.647          MC
020701         1989/11/18          0.704          MC
020701         1989/11/19          0.707          MC
020701         1989/11/20          0.606          J
020701         1989/11/21          0.574          R
020701         1989/11/22          0.559          R
020701         1989/11/23          0.545          R
020701         1989/11/24          0.533          R
020701         1989/11/25          0.520          R
020701         1989/11/26          0.508          R
020701         1989/11/27          0.500          R
020701         1989/11/28          0.492          R
020701         1989/11/29          0.483          R
020701         1989/11/30          0.475          R
020701         1989/12/01          0.466          R
020701         1989/12/02          0.456          R
020701         1989/12/03          0.450          R
020701         1989/12/04          0.445          R
020701         1989/12/05          0.438          R
020701         1989/12/06          0.428          R
020701         1989/12/07          0.422          R
020701         1989/12/08          0.415          R
020701         1989/12/09          0.407          R
020701         1989/12/10          0.403          R
020701         1989/12/11          0.397          R
020701         1989/12/12          0.389          R
020701         1989/12/13          0.382          R
020701         1989/12/14          0.375          R
020701         1989/12/15          0.369          R
020701         1989/12/16          0.362          R
020701         1989/12/17          0.357          R
020701         1989/12/18          0.352          R
020701         1989/12/19          0.346          R
020701         1989/12/20          0.340          R
020701         1989/12/21          0.335          R
020701         1989/12/22          0.331          R
020701         1989/12/23          0.326          R
020701         1989/12/24          0.320          R
020701         1989/12/25          0.315          R
020701         1989/12/26          0.310          R
020701         1989/12/27          0.305          R
020701         1989/12/28          0.299          R
020701         1989/12/29          0.294          R
020701         1989/12/30          0.288          R
020701         1989/12/31          0.282          R
020701         1990/01/01          0.277          R
020701         1990/01/02          0.270          R
020701         1990/01/03          0.268          R
020701         1990/01/04          0.262          R
020701         1990/01/05          0.258          R
020701         1990/01/06          0.253          R
020701         1990/01/07          0.249          R
020701         1990/01/08          0.244          R
020701         1990/01/09          0.240          R
020701         1990/01/10          0.236          R
020701         1990/01/11          0.232          R
020701         1990/01/12          0.228          R
020701         1990/01/13          0.224          R
020701         1990/01/14          0.220          R
020701         1990/01/15          0.214          R
020701         1990/01/16          0.211          R
020701         1990/01/17          0.207          R
020701         1990/01/18          0.204          J
020701         1990/01/19          0.201          R
020701         1990/01/20          0.197          R
020701         1990/01/21          0.194          R
020701         1990/01/22          0.191          R
020701         1990/01/23          0.189          R
020701         1990/01/24          0.187          R
020701         1990/01/25          0.192          R
020701         1990/01/26          0.205          R
020701         1990/01/27          0.215          R
020701         1990/01/28          0.210          R
020701         1990/01/29          0.205          R
020701         1990/01/30          0.200          R
020701         1990/01/31          0.196          R
020701         1990/02/01          0.191          R
020701         1990/02/02          0.188          R
020701         1990/02/03          0.185          R
020701         1990/02/04          0.182          R
