Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1975-06-19
Station:        021405         Sainte-Anne - à 8,4 km en amont du pont-route 132                                                                                              
Bassin versant: 786 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 49° 3' 55" // -66° 29' 35"

Date de création du fichier: 2012-06-30 02:00
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
021405         1968/06/19          17.30          MC
021405         1968/06/20          18.50          MC
021405         1968/06/21          20.30          MC
021405         1968/06/22          27.70          MC
021405         1968/06/23          22.30          MC
021405         1968/06/24          18.30          MC
021405         1968/06/25          18.70          MC
021405         1968/06/26          18.30          MC
021405         1968/06/27          18.00          MC
021405         1968/06/28          16.40          MC
021405         1968/06/29          15.10          MC
021405         1968/06/30          18.10          MC
021405         1968/07/01          18.20          MC
021405         1968/07/02          16.20          MC
021405         1968/07/03          15.50          MC
021405         1968/07/04          15.40          MC
021405         1968/07/05          13.70          MC
021405         1968/07/06          13.80          MC
021405         1968/07/07          14.80          MC
021405         1968/07/08          14.90          MC
021405         1968/07/09          14.00          MC
021405         1968/07/10          12.80          MC
021405         1968/07/11          12.20          MC
021405         1968/07/12          11.40          MC
021405         1968/07/13          11.00          MC
021405         1968/07/14          10.30          MC
021405         1968/07/15          9.680          MC
021405         1968/07/16          10.10          MC
021405         1968/07/17          10.60          MC
021405         1968/07/18          9.910          MC
021405         1968/07/19          9.460          MC
021405         1968/07/20          9.320          MC
021405         1968/07/21          9.320          MC
021405         1968/07/22          9.290          MC
021405         1968/07/23          9.060          MC
021405         1968/07/24          8.520          MC
021405         1968/07/25          8.690          MC
021405         1968/07/26          10.10          MC
021405         1968/07/27          9.490          MC
021405         1968/07/28          8.500          MC
021405         1968/07/29          9.510          MC
021405         1968/07/30          9.540          MC
021405         1968/07/31          9.290          MC
021405         1968/08/01          8.440          MC
021405         1968/08/02          8.410          MC
021405         1968/08/03          7.960          MC
021405         1968/08/04          7.420          MC
021405         1968/08/05          7.050          MC
021405         1968/08/06          6.680          MC
021405         1968/08/07          6.540          MC
021405         1968/08/08          6.800          MC
021405         1968/08/09          6.820          MC
021405         1968/08/10          6.820          MC
021405         1968/08/11          6.820          MC
021405         1968/08/12          6.970          MC
021405         1968/08/13          9.260          MC
021405         1968/08/14          12.60          MC
021405         1968/08/15          21.40          MC
021405         1968/08/16          93.20          MC
021405         1968/08/17          51.30          MC
021405         1968/08/18          43.30          MC
021405         1968/08/19          36.20          MC
021405         1968/08/20          29.70          MC
021405         1968/08/21          29.70          MC
021405         1968/08/22          32.00          MC
021405         1968/08/23          27.00          MC
021405         1968/08/24          24.90          MC
021405         1968/08/25          21.20          MC
021405         1968/08/26          31.40          MC
021405         1968/08/27          36.20          MC
021405         1968/08/28          32.30          MC
021405         1968/08/29          27.00          MC
021405         1968/08/30          24.70          MC
021405         1968/08/31          23.00          MC
021405         1968/09/01          23.40          MC
021405         1968/09/02          23.00          MC
021405         1968/09/03          19.40          MC
021405         1968/09/04          18.00          MC
021405         1968/09/05          17.60          MC
021405         1968/09/06          15.90          MC
021405         1968/09/07          14.30          MC
021405         1968/09/08          14.60          MC
021405         1968/09/09          13.60          MC
021405         1968/09/10          12.70          MC
021405         1968/09/11          11.60          MC
021405         1968/09/12          11.10          MC
021405         1968/09/13          11.10          MC
021405         1968/09/14          10.20          MC
021405         1968/09/15          9.880          MC
021405         1968/09/16          9.880          MC
021405         1968/09/17          9.570          MC
