Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-30, préliminaires par la suite
Station:        021601         Matane - à 8,5 km en amont du pont-route 132 à Matane                                                                                          
Bassin versant: 1655 km²       Régime: Influencé journellement                           
Coordonnées:    (NAD83) 48° 46' 25" // -67° 32' 25"

Date de création du fichier: 2019-11-26 18:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
021601         1926/10/01          13.50          MC
021601         1926/10/02          15.20          MC
021601         1926/10/03          19.40          MC
021601         1926/10/04          18.20          MC
021601         1926/10/05          19.40          MC
021601         1926/10/06          18.20          MC
021601         1926/10/07          37.90          MC
021601         1926/10/08          36.20          MC
021601         1926/10/09          29.40          MC
021601         1926/10/10          27.90          MC
021601         1926/10/11          36.20          MC
021601         1926/10/12          29.40          MC
021601         1926/10/13          31.10          MC
021601         1926/10/14          51.80          MC
021601         1926/10/15          60.00          MC
021601         1926/10/16          62.00          MC
021601         1926/10/17          58.00          MC
021601         1926/10/18          87.50          MC
021601         1926/10/19          79.00          MC
021601         1926/10/20          68.20          MC
021601         1926/10/21          64.00          MC
021601         1926/10/22          60.00          MC
021601         1926/10/23          58.00          MC
021601         1926/10/24          60.00          MC
021601         1926/10/25          62.00          MC
021601         1926/10/26          93.70          MC
021601         1926/10/27          85.20          MC
021601         1926/10/28          74.80          MC
021601         1926/10/29          64.00          MC
021601         1926/10/30          60.00          MC
021601         1926/10/31          56.10          MC
021601         1926/11/01          48.10          MC
021601         1926/11/02          46.20          MC
021601         1926/11/03          42.20          MC
021601         1926/11/04          38.20          MC
021601         1926/11/05          34.80          MC
021601         1926/11/06          34.80          MC
021601         1926/11/07          29.70          MC
021601         1926/11/08          29.70          MC
021601         1926/11/09          28.20          MC
021601         1926/11/10          60.30          MC
021601         1926/11/11          146.0          MC
021601         1926/11/12          108.0          MC
021601         1926/11/13          83.50          MC
021601         1926/11/14          70.80          MC
021601         1926/11/15          64.60          MC
021601         1926/11/16          64.60          MC
021601         1926/11/17          96.60          MC
021601         1926/11/18          115.0          MC
021601         1926/11/19          94.30          MC
021601         1926/11/20          108.0          MC
021601         1926/11/21          98.80          MC
021601         1926/11/22          81.60          MC
021601         1926/11/23          73.10          MC
021601         1926/11/24          56.40          MC
021601         1926/11/25          56.40          MC
021601         1926/11/26          56.40          MC
021601         1926/11/27          64.60          MC
021601         1926/11/28          81.60          MC
021601         1926/11/29          66.50          MC
021601         1926/11/30          66.50          MC
021601         1926/12/01          54.10          MC
021601         1926/12/02          44.20          MC
021601         1926/12/03          22.80          R
021601         1926/12/04          22.80          R
021601         1926/12/05          22.80          R
021601         1926/12/06          22.80          R
021601         1926/12/07          22.80          R
021601         1926/12/08          22.80          R
021601         1926/12/09          22.80          R
021601         1926/12/10          22.80          R
021601         1926/12/11          22.80          R
021601         1926/12/12          22.80          R
021601         1926/12/13          22.80          R
021601         1926/12/14          22.80          R
021601         1926/12/15          22.80          R
021601         1926/12/16          22.80          R
021601         1926/12/17          22.80          R
021601         1926/12/18          22.80          R
021601         1926/12/19          22.80          R
021601         1926/12/20          22.80          R
021601         1926/12/21          22.80          R
021601         1926/12/22          22.80          R
021601         1926/12/23          22.80          R
021601         1926/12/24          22.80          R
021601         1926/12/25          22.80          R
021601         1926/12/26          22.80          R
021601         1926/12/27          22.80          R
021601         1926/12/28          22.80          R
021601         1926/12/29          22.80          R
021601         1926/12/30          22.80          R
021601         1926/12/31          22.80          R
021601         1927/01/01          9.260          R
021601         1927/01/02          9.260          R
021601         1927/01/03          9.260          R
021601         1927/01/04          9.260          R
021601         1927/01/05          9.260          R
021601         1927/01/06          9.260          R
021601         1927/01/07          9.260          R
021601         1927/01/08          9.260          R
021601         1927/01/09          9.260          R
021601         1927/01/10          9.260          R
021601         1927/01/11          9.260          R
021601         1927/01/12          9.260          R
021601         1927/01/13          9.260          R
021601         1927/01/14          9.260          R
021601         1927/01/15          9.260          R
021601         1927/01/16          9.260          R
021601         1927/01/17          9.260          R
021601         1927/01/18          9.260          R
021601         1927/01/19          9.260          R
021601         1927/01/20          9.260          R
021601         1927/01/21          9.260          R
021601         1927/01/22          9.260          R
021601         1927/01/23          9.260          R
021601         1927/01/24          9.260          R
021601         1927/01/25          9.260          R
021601         1927/01/26          9.260          R
021601         1927/01/27          9.260          J
021601         1927/01/28          9.260          R
021601         1927/01/29          9.260          R
021601         1927/01/30          9.260          R
021601         1927/01/31          9.260          R
021601         1927/02/01          6.370          R
021601         1927/02/02          6.370          R
021601         1927/02/03          6.370          R
021601         1927/02/04          6.370          R
021601         1927/02/05          6.370          R
021601         1927/02/06          6.370          R
021601         1927/02/07          6.370          R
021601         1927/02/08          6.370          R
021601         1927/02/09          6.370          R
021601         1927/02/10          6.370          R
021601         1927/02/11          6.370          R
021601         1927/02/12          6.370          R
021601         1927/02/13          6.370          R
