Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1926-09-30
Station:        021602         Matane - à 4,5 km en amont du pont-route 132 à Matane                                                                                          
Bassin versant: 1680 km²       Régime: Influencé journellement                           
Coordonnées:    (NAD83) 48° 49' 6" // -67° 32' 21"

Date de création du fichier: 2012-06-29 22:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
021602         1922/11/13          7.500          MC
021602         1922/11/14          10.30          MC
021602         1922/11/15          10.30          MC
021602         1922/11/16          10.30          MC
021602         1922/11/17          9.340          MC
021602         1922/11/18          8.440          MC
021602         1922/11/19          8.440          MC
021602         1922/11/20          8.440          MC
021602         1922/11/21          8.440          MC
021602         1922/11/22          8.440          MC
021602         1922/11/23          8.440          MC
021602         1922/11/24          9.340          MC
021602         1922/11/25          9.340          MC
021602         1922/11/26          8.440          MC
021602         1922/11/27          8.440          MC
021602         1922/11/28          7.560          MC
021602         1922/11/29          8.440          MC
021602         1922/11/30          8.440          MC
021602         1922/12/01          9.340          MC
021602         1922/12/02          9.340          MC
021602         1922/12/03          9.340          MC
021602         1922/12/04          7.560          MC
021602         1922/12/05          5.180          MC
021602         1922/12/06          10.30          MC
021602         1922/12/07          9.340          MC
021602         1922/12/08          8.890          MC
021602         1922/12/09          6.710          MC
021602         1922/12/10          5.890          MC
021602         1922/12/11          7.560          MC
021602         1922/12/12          8.440          MC
021602         1922/12/13          9.340          MC
021602         1922/12/14          8.440          MC
021602         1922/12/15          8.890          MC
021602         1922/12/16          8.440          MC
021602         1922/12/17          7.560          MC
