Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2003-09-11
Station:        021607         Lac Matane - dans la réserve faunique de Matane                                                                                                
Bassin versant: 147 km²        Régime: Influencé                                         
Coordonnées:    (NAD83) 48° 41' 25" // -66° 58' 20"
Constante géodésique: aucune
Date de création du fichier: 2012-06-23 20:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
021607         1971/06/16          27.70          PL
021607         1971/06/17          27.68          PL
021607         1971/06/18          27.68          PL
021607         1971/06/19          27.68          PL
021607         1971/06/20          27.67          PL
021607         1971/06/21          27.67          PL
021607         1971/06/22          27.65          PL
021607         1971/06/23          27.64          PL
021607         1971/06/24          27.64          PL
021607         1971/06/25          27.63          PL
021607         1971/06/26          27.63          PL
021607         1971/06/27          27.63          PL
021607         1971/06/28          27.61          PL
021607         1971/06/29          27.60          PL
021607         1971/06/30          27.59          PL
021607         1971/07/01          27.59          PL
021607         1971/07/02          27.59          PL
021607         1971/07/03          27.46          PL
021607         1971/07/04          27.10          PL
021607         1971/07/05          26.85          PL
021607         1971/07/06          26.73          PL
021607         1971/07/07          26.67          PL
021607         1971/07/08          26.62          PL
021607         1971/07/09          26.58          PL
021607         1971/07/10          26.57          PL
021607         1971/07/11          26.55          PL
021607         1971/07/12          26.51          PL
021607         1971/07/13          26.48          PL
021607         1971/07/14          26.46          PL
021607         1971/07/15          26.47          PL
021607         1971/07/16          26.46          PL
021607         1971/07/17          26.46          PL
021607         1971/07/18          26.46          PL
021607         1971/07/19          26.46          PL
021607         1971/07/20          26.47          PL
021607         1971/07/21          26.47          PL
021607         1971/07/22          26.47          PL
021607         1971/07/23          26.46          PL
021607         1971/07/24          26.46          PL
021607         1971/07/25          26.47          PL
021607         1971/07/26          26.47          PL
021607         1971/07/27          26.46          PL
021607         1971/07/28          26.45          PL
021607         1971/07/29          26.44          PL
021607         1971/07/30          26.44          PL
021607         1971/07/31          26.44          PL
021607         1971/08/01          26.45          PL
021607         1971/08/02          26.42          PL
021607         1971/08/03          26.43          PL
021607         1971/08/04          26.44          PL
021607         1971/08/05          26.44          PL
021607         1971/08/06          26.44          PL
021607         1971/08/07          26.44          PL
021607         1971/08/08          26.43          PL
021607         1971/08/09          26.42          PL
021607         1971/08/10          26.42          PL
021607         1971/08/11          26.43          PL
021607         1971/08/12          26.33          PL
021607         1971/08/13          26.12          PL
021607         1971/08/14          26.00          PL
021607         1971/08/15          25.90          PL
021607         1971/08/16          25.87          PL
021607         1971/08/17          25.87          PL
021607         1971/08/18          25.86          PL
021607         1971/08/19          25.79          PL
021607         1971/08/20          25.78          PL
021607         1971/08/21          25.76          PL
021607         1971/08/22          25.74          PL
021607         1971/08/23          25.70          PL
021607         1971/08/24          25.81          PL
021607         1971/08/25          26.25          PL
021607         1971/08/26          26.40          PL
021607         1971/08/27          26.36          PL
021607         1971/08/28          26.27          PL
021607         1971/08/29          26.22          PL
021607         1971/08/30          26.61          PL
021607         1971/08/31          26.72          PL
021607         1971/09/01          26.65          PL
021607         1971/09/02          26.53          PL
021607         1971/09/03          26.41          PL
021607         1971/09/04          26.33          PL
021607         1971/09/05          26.25          PL
021607         1971/09/06          26.21          PL
021607         1971/09/07          26.18          PL
021607         1971/09/08          26.13          PL
021607         1971/09/09          26.09          PL
021607         1971/09/10          26.04          PL
021607         1971/09/11          26.00          PL
021607         1971/09/12          25.94          PL
021607         1971/09/13          25.91          PL
021607         1971/09/14          25.88          PL
021607         1971/09/15          25.87          PL
021607         1971/09/16          25.88          PL
021607         1971/09/17          25.90          PL
021607         1971/09/18          25.93          PL
021607         1971/09/19          25.93          PL
021607         1971/09/20          25.89          PL
021607         1971/09/21          25.89          PL
021607         1971/09/22          25.90          PL
021607         1971/09/23          25.90          PL
021607         1971/09/24          25.89          PL
021607         1971/09/25          25.87          PL
021607         1971/09/26          25.86          PL
021607         1971/09/27          25.84          PL
021607         1971/09/28          25.82          PL
021607         1971/09/29          25.79          PL
021607         1971/09/30          25.79          PL
021607         1971/10/01          25.78          PL
021607         1971/10/02          25.77          PL
021607         1971/10/03          25.81          PL
021607         1971/10/04          25.84          PL
021607         1971/10/05          25.87          PL
021607         1971/10/06          25.90          PL
021607         1971/10/07          25.90          PL
021607         1971/10/08          25.94          PL
021607         1971/10/09          26.03          PL
021607         1971/10/10          26.07          PL
021607         1971/10/11          26.09          PL
021607         1971/10/12          26.21          PL
021607         1971/10/13          26.40          PL
021607         1971/10/14          26.42          PL
021607         1971/10/15          26.38          PL
021607         1971/10/16          26.33          PL
021607         1971/10/17          26.29          PL
021607         1971/10/18          26.25          PL
021607         1971/10/19          26.23          PL
021607         1971/10/20          26.22          PL
021607         1971/10/21          26.22          PL
021607         1971/10/22          26.19          PL
021607         1971/10/23          26.19          PL
021607         1971/10/24          26.19          PL
021607         1971/10/25          26.18          PL
021607         1971/10/26          26.17          PL
021607         1971/10/27          26.17          PL
021607         1971/10/28          26.20          PL
021607         1971/10/29          26.35          PL
021607         1971/10/30          26.49          PL
021607         1971/10/31          26.63          PL
021607         1971/11/01          26.75          PL
021607         1971/11/02          26.88          PL
021607         1971/11/03          26.99          PL
021607         1971/11/04          27.08          PL
021607         1971/11/05          26.80          PL
021607         1971/11/06          26.79          PL
021607         1971/11/07          26.77          PL
021607         1971/11/08          26.78          PL
021607         1971/11/09          26.77          PL
021607         1971/11/10          26.76          PL
021607         1971/11/11          26.76          PL
021607         1971/11/12          26.75          PL
021607         1971/11/13          26.74          PL
021607         1971/11/14          26.74          PL
021607         1971/11/15          26.74          PL
021607         1971/11/16          26.72          PL
021607         1971/11/17          26.71          PL
021607         1971/11/18          26.72          PL
021607         1971/11/19          26.72          PL
021607         1971/11/20          26.74          PL
021607         1971/11/21          26.72          PL
021607         1971/11/22          26.72          PL
021607         1971/11/23          26.73          PL
021607         1971/11/24          26.70          PL
021607         1971/11/25          26.70          PL
021607         1971/11/26          26.70          PL
021607         1971/11/27          26.74          PL
021607         1971/11/28          26.71          PL
021607         1971/11/29          26.70          PL
021607         1971/11/30          26.68          PL
021607         1971/12/01          26.68          PL
021607         1971/12/02          26.67          PL
021607         1971/12/03          26.66          PL
021607         1971/12/04          26.66          PL
021607         1971/12/05          26.66          PL
021607         1971/12/06          26.67          PL
021607         1971/12/07          26.67          PL
021607         1971/12/08          26.66          PL
021607         1971/12/09          26.65          PL
021607         1971/12/10          26.65          PL
021607         1971/12/11          26.66          PL
021607         1971/12/12          26.68          PL
021607         1971/12/13          26.66          PL
021607         1971/12/14          26.65          PL
021607         1971/12/15          26.64          PL
021607         1971/12/16          26.63          PL
021607         1971/12/17          26.63          PL
021607         1971/12/18          26.63          PL
021607         1971/12/19          26.64          PL
021607         1971/12/20          26.64          PL
021607         1971/12/21          26.64          PL
021607         1971/12/22          26.65          PL
021607         1971/12/23          26.62          PL
021607         1971/12/24          26.62          PL
021607         1971/12/25          26.63          PL
021607         1971/12/26          26.63          PL
021607         1971/12/27          26.63          PL
021607         1971/12/28          26.63          PL
021607         1971/12/29          26.64          PL
021607         1971/12/30          26.63          PL
021607         1971/12/31          
021607         1972/01/01          
021607         1972/01/02          
021607         1972/01/03          
021607         1972/01/04          
021607         1972/01/05          
021607         1972/01/06          
021607         1972/01/07          
021607         1972/01/08          
021607         1972/01/09          
021607         1972/01/10          
021607         1972/01/11          
021607         1972/01/12          
021607         1972/01/13          
021607         1972/01/14          
021607         1972/01/15          
021607         1972/01/16          
021607         1972/01/17          
021607         1972/01/18          
021607         1972/01/19          
021607         1972/01/20          
021607         1972/01/21          
021607         1972/01/22          
021607         1972/01/23          
021607         1972/01/24          
021607         1972/01/25          
021607         1972/01/26          
021607         1972/01/27          
021607         1972/01/28          
021607         1972/01/29          
021607         1972/01/30          
021607         1972/01/31          
021607         1972/02/01          26.95          PL
021607         1972/02/02          26.95          PL
021607         1972/02/03          26.93          PL
021607         1972/02/04          26.94          PL
021607         1972/02/05          26.93          PL
021607         1972/02/06          26.93          PL
021607         1972/02/07          26.93          PL
021607         1972/02/08          26.93          PL
021607         1972/02/09          26.94          PL
021607         1972/02/10          26.93          PL
021607         1972/02/11          26.93          PL
021607         1972/02/12          26.92          PL
021607         1972/02/13          26.92          PL
021607         1972/02/14          26.93          PL
021607         1972/02/15          26.92          PL
021607         1972/02/16          26.94          PL
021607         1972/02/17          26.94          PL
021607         1972/02/18          26.94          PL
021607         1972/02/19          26.94          PL
021607         1972/02/20          26.96          PL
021607         1972/02/21          26.98          PL
021607         1972/02/22          26.96          PL
021607         1972/02/23          26.96          PL
021607         1972/02/24          26.94          PL
021607         1972/02/25          26.95          PL
021607         1972/02/26          26.94          PL
021607         1972/02/27          26.94          PL
021607         1972/02/28          26.94          PL
021607         1972/02/29          26.95          PL
021607         1972/03/01          26.94          PL
021607         1972/03/02          26.93          PL
021607         1972/03/03          26.93          PL
021607         1972/03/04          26.93          PL
021607         1972/03/05          26.94          PL
021607         1972/03/06          26.94          PL
