Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2003-09-02
Station:        021608         Lac Duvivier - dans la réserve faunique de Matane                                                                                              
Bassin versant: 21.8 km²       Régime: Influencé                                         
Coordonnées:    (NAD83) 48° 41' 54" // -67° 8' 46"
Constante géodésique: aucune
Date de création du fichier: 2012-06-23 20:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
021608         1979/07/24          48.20          PL
021608         1979/07/25          48.15          PL
021608         1979/07/26          48.09          PL
021608         1979/07/27          48.12          PL
021608         1979/07/28          48.06          PL
021608         1979/07/29          47.98          PL
021608         1979/07/30          47.92          PL
021608         1979/07/31          47.89          PL
021608         1979/08/01          47.87          PL
021608         1979/08/02          47.86          PL
021608         1979/08/03          47.85          PL
021608         1979/08/04          47.82          PL
021608         1979/08/05          47.80          PL
021608         1979/08/06          47.80          PL
021608         1979/08/07          47.81          PL
021608         1979/08/08          47.82          PL
021608         1979/08/09          47.82          PL
021608         1979/08/10          47.81          PL
021608         1979/08/11          47.81          PL
021608         1979/08/12          47.80          PL
021608         1979/08/13          47.79          PL
021608         1979/08/14          47.72          PL
021608         1979/08/15          47.64          PL
021608         1979/08/16          47.57          PL
021608         1979/08/17          47.53          PL
021608         1979/08/18          47.49          PL
021608         1979/08/19          47.46          PL
021608         1979/08/20          47.43          PL
021608         1979/08/21          47.43          PL
021608         1979/08/22          47.44          PL
021608         1979/08/23          47.44          PL
021608         1979/08/24          47.46          PL
021608         1979/08/25          47.42          PL
021608         1979/08/26          47.36          PL
021608         1979/08/27          47.32          PL
021608         1979/08/28          47.29          PL
021608         1979/08/29          47.25          PL
021608         1979/08/30          47.23          PL
021608         1979/08/31          47.22          PL
021608         1979/09/01          47.22          PL
021608         1979/09/02          47.20          PL
021608         1979/09/03          47.19          PL
021608         1979/09/04          47.19          PL
021608         1979/09/05          47.19          PL
021608         1979/09/06          47.15          PL
021608         1979/09/07          47.16          PL
021608         1979/09/08          47.19          PL
021608         1979/09/09          47.15          PL
021608         1979/09/10          47.12          PL
021608         1979/09/11          47.09          PL
021608         1979/09/12          47.11          PL
021608         1979/09/13          47.09          PL
021608         1979/09/14          47.07          PL
021608         1979/09/15          47.12          PL
021608         1979/09/16          47.14          PL
021608         1979/09/17          47.14          PL
021608         1979/09/18          47.09          PL
021608         1979/09/19          47.08          PL
021608         1979/09/20          47.06          PL
021608         1979/09/21          47.07          PL
021608         1979/09/22          47.08          PL
021608         1979/09/23          47.08          PL
021608         1979/09/24          47.05          PL
021608         1979/09/25          47.04          PL
021608         1979/09/26          47.02          PL
