Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2013-07-21
Station:        021609         Barrage Mathieu-D'Amours 2 - à l'amont du barrage dans le bras Est de la rivière Matane                                                        
Bassin versant: 1685 km²       Régime: Influencé                                         
Coordonnées:    (NAD83) 48° 50' 33" // -67° 31' 44"
Constante géodésique: -42.676 m
Date de création du fichier: 2017-03-02 21:28
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
021609         2009/07/17          48.05          MJ
021609         2009/07/18          48.06          MJ
021609         2009/07/19          48.09          MJ
021609         2009/07/20          48.10          MJ
021609         2009/07/21          48.06          MJ
021609         2009/07/22          48.06          MJ
021609         2009/07/23          48.11          MJ
021609         2009/07/24          48.10          MJ
021609         2009/07/25          48.11          MJ
021609         2009/07/26          48.17          MJ
021609         2009/07/27          48.08          MJ
021609         2009/07/28          48.08          MJ
021609         2009/07/29          48.12          MJ
021609         2009/07/30          48.13          MJ
021609         2009/07/31          48.14          MJ
021609         2009/08/01          48.10          MJ
021609         2009/08/02          48.08          MJ
021609         2009/08/03          48.13          MJ
021609         2009/08/04          48.12          MJ
021609         2009/08/05          48.11          MJ
021609         2009/08/06          48.09          MJ
021609         2009/08/07          48.07          MJ
021609         2009/08/08          48.05          MJ
021609         2009/08/09          48.08          MJ
021609         2009/08/10          48.09          MJ
021609         2009/08/11          48.11          MJ
021609         2009/08/12          48.10          MJ
021609         2009/08/13          48.08          MJ
021609         2009/08/14          48.06          MJ
021609         2009/08/15          48.06          MJ
021609         2009/08/16          48.08          MJ
021609         2009/08/17          48.08          MJ
021609         2009/08/18          48.09          MJ
021609         2009/08/19          48.14          MJ
021609         2009/08/20          48.16          MJ
021609         2009/08/21          48.14          MJ
021609         2009/08/22          48.14          MJ
021609         2009/08/23          48.12          MJ
021609         2009/08/24          48.10          MJ
021609         2009/08/25          48.06          MJ
021609         2009/08/26          48.11          MJ
021609         2009/08/27          48.10          MJ
021609         2009/08/28          48.08          MJ
021609         2009/08/29          48.12          MJ
021609         2009/08/30          48.11          MJ
021609         2009/08/31          48.11          MJ
021609         2009/09/01          48.11          MJ
021609         2009/09/02          48.11          MJ
021609         2009/09/03          48.10          MJ
021609         2009/09/04          48.11          MJ
021609         2009/09/05          48.15          MJ
021609         2009/09/06          48.15          MJ
021609         2009/09/07          48.14          MJ
021609         2009/09/08          48.14          MJ
021609         2009/09/09          48.13          MJ
021609         2009/09/10          48.13          MJ
021609         2009/09/11          48.12          MJ
021609         2009/09/12          48.12          MJ
021609         2009/09/13          48.12          MJ
021609         2009/09/14          48.12          MJ
021609         2009/09/15          48.12          MJ
021609         2009/09/16          48.11          MJ
021609         2009/09/17          48.10          MJ
021609         2009/09/18          48.10          MJ
021609         2009/09/19          48.10          MJ
021609         2009/09/20          48.11          MJ
021609         2009/09/21          48.10          MJ
021609         2009/09/22          48.09          MJ
021609         2009/09/23          48.06          MJ
021609         2009/09/24          48.06          MJ
021609         2009/09/25          48.09          MJ
021609         2009/09/26          48.08          MJ
021609         2009/09/27          48.07          MJ
021609         2009/09/28          48.07          MJ
021609         2009/09/29          48.09          MJ
021609         2009/09/30          47.24          MJ
021609         2009/10/01          45.55          MJ
021609         2009/10/02          45.59          MJ
021609         2009/10/03          45.59          MJ
021609         2009/10/04          45.60          MJ
021609         2009/10/05          46.07          MJ
021609         2009/10/06          46.02          MJ
021609         2009/10/07          45.88          MJ
