Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1962-09-30
Station:        022001         Rimouski - à 3,7 km en amont du pont-route 132                                                                                                 
Bassin versant: 1610 km²       Régime: Influencé mensuellement                           
Coordonnées:    (NAD83) 48° 24' 45" // -68° 33' 18"

Date de création du fichier: 2012-06-29 19:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
022001         1923/02/01          3.230          MC
022001         1923/02/02          3.230          MC
022001         1923/02/03          3.230          MC
022001         1923/02/04          3.060          MC
022001         1923/02/05          3.230          MC
022001         1923/02/06          3.230          MC
022001         1923/02/07          3.230          MC
022001         1923/02/08          3.230          MC
022001         1923/02/09          3.230          MC
022001         1923/02/10          3.230          MC
022001         1923/02/11          3.230          MC
022001         1923/02/12          3.140          MC
022001         1923/02/13          3.140          MC
022001         1923/02/14          3.140          MC
022001         1923/02/15          3.060          MC
022001         1923/02/16          3.060          MC
022001         1923/02/17          3.060          MC
022001         1923/02/18          3.060          MC
022001         1923/02/19          3.060          MC
022001         1923/02/20          3.060          MC
022001         1923/02/21          3.060          MC
022001         1923/02/22          3.060          MC
022001         1923/02/23          3.060          MC
022001         1923/02/24          3.060          MC
022001         1923/02/25          3.060          MC
022001         1923/02/26          3.060          MC
022001         1923/02/27          2.970          MC
022001         1923/02/28          2.970          MC
022001         1923/03/01          2.970          MC
022001         1923/03/02          2.970          MC
022001         1923/03/03          2.970          MC
022001         1923/03/04          2.970          MC
022001         1923/03/05          2.970          MC
022001         1923/03/06          2.970          MC
022001         1923/03/07          2.970          MC
022001         1923/03/08          2.970          MC
022001         1923/03/09          2.970          MC
022001         1923/03/10          2.970          MC
022001         1923/03/11          2.970          MC
022001         1923/03/12          2.970          MC
022001         1923/03/13          2.970          MC
022001         1923/03/14          2.970          MC
022001         1923/03/15          2.970          MC
022001         1923/03/16          3.140          MC
022001         1923/03/17          3.140          MC
022001         1923/03/18          3.060          MC
022001         1923/03/19          3.090          MC
022001         1923/03/20          3.060          MC
022001         1923/03/21          3.060          MC
022001         1923/03/22          3.060          MC
022001         1923/03/23          3.060          MC
022001         1923/03/24          3.060          MC
022001         1923/03/25          3.060          MC
022001         1923/03/26          2.970          MC
022001         1923/03/27          2.970          MC
022001         1923/03/28          2.970          MC
022001         1923/03/29          2.970          MC
022001         1923/03/30          2.970          MC
022001         1923/03/31          2.970          MC
022001         1923/04/01          2.970          MC
022001         1923/04/02          2.970          MC
022001         1923/04/03          3.060          MC
022001         1923/04/04          3.060          MC
022001         1923/04/05          3.060          MC
022001         1923/04/06          3.060          MC
022001         1923/04/07          3.060          MC
022001         1923/04/08          3.310          MC
022001         1923/04/09          3.230          MC
022001         1923/04/10          3.230          MC
022001         1923/04/11          3.230          MC
022001         1923/04/12          3.230          MC
022001         1923/04/13          3.310          MC
022001         1923/04/14          3.310          MC
022001         1923/04/15          3.310          MC
022001         1923/04/16          3.310          MC
022001         1923/04/17          3.310          MC
022001         1923/04/18          3.400          MC
022001         1923/04/19          3.400          MC
022001         1923/04/20          3.680          MC
022001         1923/04/21          3.910          MC
022001         1923/04/22          5.550          MC
022001         1923/04/23          6.850          MC
022001         1923/04/24          8.130          MC
022001         1923/04/25          13.60          MC
022001         1923/04/26          15.00          MC
022001         1923/04/27          24.10          MC
022001         1923/04/28          52.10          MC
022001         1923/04/29          60.00          MC
022001         1923/04/30          88.60          MC
022001         1923/05/01          115.0          MC
022001         1923/05/02          115.0          MC
022001         1923/05/03          125.0          MC
022001         1923/05/04          125.0          MC
022001         1923/05/05          125.0          MC
022001         1923/05/06          136.0          MC
022001         1923/05/07          136.0          MC
022001         1923/05/08          153.0          MC
022001         1923/05/09          153.0          MC
022001         1923/05/10          153.0          MC
022001         1923/05/11          188.0          MC
022001         1923/05/12          150.0          MC
022001         1923/05/13          115.0          MC
022001         1923/05/14          83.00          MC
022001         1923/05/15          83.00          MC
022001         1923/05/16          94.90          MC
022001         1923/05/17          172.0          MC
022001         1923/05/18          192.0          MC
022001         1923/05/19          172.0          MC
022001         1923/05/20          153.0          MC
022001         1923/05/21          118.0          MC
022001         1923/05/22          91.70          MC
022001         1923/05/23          111.0          MC
022001         1923/05/24          111.0          MC
022001         1923/05/25          71.60          MC
022001         1923/05/26          68.80          MC
022001         1923/05/27          63.10          MC
022001         1923/05/28          80.10          MC
022001         1923/05/29          33.70          MC
022001         1923/05/30          63.10          MC
022001         1923/05/31          63.10          MC
022001         1923/06/01          13.60          MC
022001         1923/06/02          22.10          MC
022001         1923/06/03          46.70          MC
022001         1923/06/04          36.20          MC
022001         1923/06/05          36.20          MC
022001         1923/06/06          86.10          MC
022001         1923/06/07          80.10          MC
022001         1923/06/08          13.60          MC
022001         1923/06/09          22.10          MC
022001         1923/06/10          22.10          MC
022001         1923/06/11          22.10          MC
022001         1923/06/12          52.10          MC
022001         1923/06/13          43.90          MC
022001         1923/06/14          15.00          MC
022001         1923/06/15          57.50          MC
022001         1923/06/16          15.00          MC
022001         1923/06/17          13.60          MC
022001         1923/06/18          88.90          MC
022001         1923/06/19          13.60          MC
022001         1923/06/20          43.90          MC
022001         1923/06/21          66.00          MC
022001         1923/06/22          10.20          MC
022001         1923/06/23          12.30          MC
022001         1923/06/24          11.20          MC
022001         1923/06/25          16.60          MC
022001         1923/06/26          49.30          MC
022001         1923/06/27          12.30          MC
022001         1923/06/28          12.30          MC
022001         1923/06/29          12.30          MC
022001         1923/06/30          46.70          MC
022001         1923/07/01          18.20          MC
022001         1923/07/02          10.20          MC
022001         1923/07/03          54.70          MC
022001         1923/07/04          15.00          MC
022001         1923/07/05          13.60          MC
022001         1923/07/06          13.60          MC
022001         1923/07/07          26.30          MC
022001         1923/07/08          11.20          MC
022001         1923/07/09          10.60          MC
022001         1923/07/10          15.00          MC
022001         1923/07/11          18.20          MC
022001         1923/07/12          9.290          MC
022001         1923/07/13          12.30          MC
022001         1923/07/14          28.60          MC
022001         1923/07/15          15.00          MC
022001         1923/07/16          15.00          MC
022001         1923/07/17          16.60          MC
022001         1923/07/18          12.30          MC
022001         1923/07/19          12.30          MC
022001         1923/07/20          10.20          MC
