Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-30, préliminaires par la suite
Station:        022301         Des Trois-Pistoles - à 2,1 km en amont du pont-route 132                                                                                       
Bassin versant: 930 km²        Régime: Influencé journellement                           
Coordonnées:    (NAD83) 48° 5' 21" // -69° 11' 43"

Date de création du fichier: 2019-11-29 05:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
022301         1923/10/01          3.060          MC
022301         1923/10/02          3.710          MC
022301         1923/10/03          5.610          MC
022301         1923/10/04          6.880          MC
022301         1923/10/05          10.50          MC
022301         1923/10/06          8.520          MC
022301         1923/10/07          6.880          MC
022301         1923/10/08          6.880          MC
022301         1923/10/09          6.880          MC
022301         1923/10/10          6.880          MC
022301         1923/10/11          6.880          MC
022301         1923/10/12          5.610          MC
022301         1923/10/13          5.610          MC
022301         1923/10/14          3.710          MC
022301         1923/10/15          3.710          MC
022301         1923/10/16          3.710          MC
022301         1923/10/17          3.710          MC
022301         1923/10/18          3.710          MC
022301         1923/10/19          3.060          MC
022301         1923/10/20          3.060          MC
022301         1923/10/21          2.490          MC
022301         1923/10/22          4.560          MC
022301         1923/10/23          4.560          MC
022301         1923/10/24          3.060          MC
022301         1923/10/25          152.0          MC
022301         1923/10/26          139.0          MC
022301         1923/10/27          88.10          E
022301         1923/10/28          88.10          E
022301         1923/10/29          37.10          MC
022301         1923/10/30          44.20          J
022301         1923/10/31          46.70          MC
022301         1923/11/01          38.80          MC
022301         1923/11/02          36.20          MC
022301         1923/11/03          33.70          MC
022301         1923/11/04          28.60          MC
022301         1923/11/05          27.20          E
022301         1923/11/06          26.10          MC
022301         1923/11/07          48.10          E
022301         1923/11/08          48.40          MC
022301         1923/11/09          45.90          E
022301         1923/11/10          43.30          MC
022301         1923/11/11          43.30          E
022301         1923/11/12          43.30          MC
022301         1923/11/13          34.50          E
022301         1923/11/14          26.10          MC
022301         1923/11/15          27.40          J
022301         1923/11/16          23.50          MC
022301         1923/11/17          22.10          E
022301         1923/11/18          21.00          MC
022301         1923/11/19          18.40          E
022301         1923/11/20          15.90          MC
022301         1923/11/21          17.00          E
022301         1923/11/22          23.50          MC
022301         1923/11/23          20.70          E
022301         1923/11/24          18.40          MC
022301         1923/11/25          21.00          E
022301         1923/11/26          23.50          E
022301         1923/11/27          28.60          E
022301         1923/11/28          26.10          E
022301         1923/11/29          23.50          E
022301         1923/11/30          18.40          E
022301         1923/12/01          16.40          E
022301         1923/12/02          15.90          E
022301         1923/12/03          15.90          MC
022301         1923/12/04          13.60          MC
022301         1923/12/05          11.20          MC
022301         1923/12/06          13.60          MC
022301         1923/12/07          15.90          MC
022301         1923/12/08          15.90          MC
022301         1923/12/09          15.90          MC
022301         1923/12/10          11.60          MC
022301         1923/12/11          7.310          MC
022301         1923/12/12          6.060          MC
022301         1923/12/13          4.810          MC
022301         1923/12/14          4.530          MC
022301         1923/12/15          3.940          MC
022301         1923/12/16          3.540          MC
022301         1923/12/17          3.230          MC
022301         1923/12/18          3.960          MC
022301         1923/12/19          1.670          MC
022301         1923/12/20          2.120          MC
022301         1923/12/21          2.630          MC
022301         1923/12/22          2.380          MC
022301         1923/12/23          2.120          MC
022301         1923/12/24          2.920          MC
022301         1923/12/25          2.920          MC
022301         1923/12/26          2.920          MC
022301         1923/12/27          2.920          MC
022301         1923/12/28          2.920          MC
022301         1923/12/29          2.920          MC
022301         1923/12/30          2.920          MC
022301         1923/12/31          2.920          MC
022301         1924/01/01          4.390          MC
022301         1924/01/02          4.390          MC
022301         1924/01/03          4.390          MC
022301         1924/01/04          4.390          MC
022301         1924/01/05          4.390          MC
022301         1924/01/06          4.390          MC
022301         1924/01/07          4.390          MC
022301         1924/01/08          4.390          MC
022301         1924/01/09          4.390          MC
022301         1924/01/10          4.390          MC
022301         1924/01/11          4.390          MC
022301         1924/01/12          4.390          MC
022301         1924/01/13          4.390          MC
022301         1924/01/14          4.390          MC
022301         1924/01/15          4.390          MC
022301         1924/01/16          4.390          MC
022301         1924/01/17          4.390          MC
022301         1924/01/18          4.390          MC
022301         1924/01/19          4.390          MC
022301         1924/01/20          4.390          MC
022301         1924/01/21          4.390          MC
022301         1924/01/22          4.390          MC
022301         1924/01/23          4.390          J
022301         1924/01/24          4.390          MC
022301         1924/01/25          4.390          MC
022301         1924/01/26          4.390          MC
022301         1924/01/27          4.390          MC
022301         1924/01/28          4.390          MC
022301         1924/01/29          4.390          MC
022301         1924/01/30          4.390          MC
022301         1924/01/31          4.390          MC
022301         1924/02/01          2.120          MC
022301         1924/02/02          2.120          MC
022301         1924/02/03          2.120          MC
022301         1924/02/04          2.120          MC
022301         1924/02/05          2.120          MC
022301         1924/02/06          2.120          MC
022301         1924/02/07          2.120          MC
022301         1924/02/08          2.120          MC
022301         1924/02/09          2.120          MC
022301         1924/02/10          2.120          MC
022301         1924/02/11          2.120          MC
022301         1924/02/12          2.120          MC
022301         1924/02/13          2.120          MC
022301         1924/02/14          2.120          MC
022301         1924/02/15          2.120          MC
022301         1924/02/16          2.120          MC
022301         1924/02/17          2.120          MC
022301         1924/02/18          2.120          MC
022301         1924/02/19          2.120          MC
022301         1924/02/20          2.120          MC
022301         1924/02/21          2.120          MC
022301         1924/02/22          2.120          MC
022301         1924/02/23          2.120          MC
022301         1924/02/24          2.120          MC
022301         1924/02/25          2.120          MC
022301         1924/02/26          2.120          MC
022301         1924/02/27          2.120          MC
022301         1924/02/28          2.120          MC
022301         1924/02/29          2.120          MC
022301         1924/03/01          1.840          MC
022301         1924/03/02          1.840          MC
022301         1924/03/03          1.840          MC
022301         1924/03/04          1.840          MC
022301         1924/03/05          1.840          MC
022301         1924/03/06          1.840          MC
022301         1924/03/07          1.840          MC
022301         1924/03/08          1.840          MC
022301         1924/03/09          1.840          MC
022301         1924/03/10          1.840          MC
022301         1924/03/11          1.840          MC
022301         1924/03/12          1.840          MC
022301         1924/03/13          1.840          MC
022301         1924/03/14          1.840          MC
022301         1924/03/15          1.840          MC
022301         1924/03/16          1.840          MC
022301         1924/03/17          1.840          MC
022301         1924/03/18          1.840          MC
022301         1924/03/19          1.840          MC
022301         1924/03/20          1.840          J
022301         1924/03/21          1.840          MC
022301         1924/03/22          1.840          MC
022301         1924/03/23          1.840          MC
022301         1924/03/24          1.840          MC
022301         1924/03/25          1.840          MC
022301         1924/03/26          1.840          MC
022301         1924/03/27          1.840          MC
022301         1924/03/28          1.840          MC
