Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1961-06-21
Station:        022502         Du Loup - à 0,6 km en amont du pont-route 185                                                                                                  
Bassin versant: 1050 km²       Régime: Influencé mensuellement                           
Coordonnées:    (NAD83) 47° 49' 22" // -69° 31' 8"

Date de création du fichier: 2012-06-29 19:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
022502         1923/01/22          0.790          MC
022502         1923/01/23          1.130          MC
022502         1923/01/24          1.130          MC
022502         1923/01/25          1.130          MC
022502         1923/01/26          0.790          MC
022502         1923/01/27          0.790          MC
022502         1923/01/28          1.130          MC
022502         1923/01/29          1.130          MC
022502         1923/01/30          0.790          MC
022502         1923/01/31          1.130          MC
022502         1923/02/01          1.130          MC
022502         1923/02/02          1.130          MC
022502         1923/02/03          1.130          MC
022502         1923/02/04          0.790          MC
022502         1923/02/05          0.790          MC
022502         1923/02/06          0.790          MC
022502         1923/02/07          0.790          MC
022502         1923/02/08          1.130          MC
022502         1923/02/09          1.130          MC
022502         1923/02/10          1.130          MC
022502         1923/02/11          1.130          MC
022502         1923/02/12          1.130          MC
022502         1923/02/13          1.130          MC
022502         1923/02/14          1.130          MC
022502         1923/02/15          0.790          MC
022502         1923/02/16          0.790          MC
022502         1923/02/17          0.790          MC
022502         1923/02/18          0.790          MC
022502         1923/02/19          1.130          MC
022502         1923/02/20          1.130          MC
022502         1923/02/21          1.130          MC
022502         1923/02/22          1.610          MC
022502         1923/02/23          5.860          MC
022502         1923/02/24          7.650          MC
022502         1923/02/25          9.770          MC
022502         1923/02/26          5.860          MC
022502         1923/02/27          4.590          MC
022502         1923/02/28          2.830          MC
022502         1923/03/01          3.540          MC
022502         1923/03/02          3.540          MC
022502         1923/03/03          3.540          MC
022502         1923/03/04          3.540          MC
022502         1923/03/05          2.830          MC
022502         1923/03/06          2.830          MC
022502         1923/03/07          2.830          MC
022502         1923/03/08          2.180          MC
022502         1923/03/09          2.180          MC
022502         1923/03/10          1.610          MC
022502         1923/03/11          1.610          MC
022502         1923/03/12          1.130          MC
022502         1923/03/13          0.790          MC
022502         1923/03/14          0.790          MC
022502         1923/03/15          0.480          MC
022502         1923/03/16          0.480          MC
022502         1923/03/17          0.480          MC
022502         1923/03/18          0.480          MC
022502         1923/03/19          0.480          MC
022502         1923/03/20          0.280          MC
022502         1923/03/21          0.280          MC
022502         1923/03/22          0.280          MC
022502         1923/03/23          0.280          MC
022502         1923/03/24          0.280          MC
022502         1923/03/25          0.280          MC
022502         1923/03/26          0.280          E
022502         1923/03/27          0.280          E
022502         1923/03/28          0.280          E
022502         1923/03/29          0.280          E
022502         1923/03/30          0.280          E
022502         1923/03/31          0.280          E
022502         1923/04/01          0.280          E
022502         1923/04/02          0.280          E
022502         1923/04/03          0.280          E
022502         1923/04/04          0.280          E
022502         1923/04/05          0.280          E
022502         1923/04/06          0.280          E
022502         1923/04/07          0.280          E
022502         1923/04/08          0.280          E
022502         1923/04/09          0.280          E
022502         1923/04/10          0.280          E
022502         1923/04/11          0.280          E
022502         1923/04/12          0.280          E
022502         1923/04/13          0.280          E
022502         1923/04/14          0.280          E
022502         1923/04/15          0.280          E
022502         1923/04/16          0.570          E
022502         1923/04/17          0.570          E
022502         1923/04/18          0.570          E
022502         1923/04/19          0.570          E
022502         1923/04/20          0.570          E
022502         1923/04/21          3.540          MC
022502         1923/04/22          18.10          MC
022502         1923/04/23          21.50          MC
022502         1923/04/24          21.50          MC
022502         1923/04/25          21.50          MC
022502         1923/04/26          23.20          MC
022502         1923/04/27          26.90          MC
022502         1923/04/28          26.90          MC
022502         1923/04/29          40.50          MC
022502         1923/04/30          64.30          MC
022502         1923/05/01          81.30          MC
022502         1923/05/02          102.0          MC
022502         1923/05/03          108.0          MC
022502         1923/05/04          98.30          MC
022502         1923/05/05          91.50          MC
022502         1923/05/06          88.10          MC
022502         1923/05/07          77.90          MC
022502         1923/05/08          71.10          MC
022502         1923/05/09          67.70          MC
022502         1923/05/10          71.10          MC
022502         1923/05/11          81.30          MC
022502         1923/05/12          88.10          MC
022502         1923/05/13          74.50          MC
022502         1923/05/14          64.30          MC
022502         1923/05/15          50.70          MC
022502         1923/05/16          47.30          MC
022502         1923/05/17          50.70          MC
022502         1923/05/18          60.90          MC
022502         1923/05/19          64.30          MC
022502         1923/05/20          60.90          MC
022502         1923/05/21          54.10          MC
022502         1923/05/22          54.10          MC
022502         1923/05/23          50.70          MC
022502         1923/05/24          47.30          MC
022502         1923/05/25          43.90          MC
022502         1923/05/26          37.10          MC
022502         1923/05/27          30.30          MC
022502         1923/05/28          23.20          MC
022502         1923/05/29          19.80          MC
022502         1923/05/30          16.40          MC
022502         1923/05/31          13.00          MC
022502         1923/06/01          11.30          MC
022502         1923/06/02          9.770          MC
022502         1923/06/03          9.770          MC
022502         1923/06/04          9.770          MC
022502         1923/06/05          8.640          MC
022502         1923/06/06          7.650          MC
022502         1923/06/07          7.650          MC
022502         1923/06/08          7.650          MC
022502         1923/06/09          6.800          MC
022502         1923/06/10          6.800          MC
022502         1923/06/11          6.800          MC
022502         1923/06/12          5.860          MC
022502         1923/06/13          5.860          MC
022502         1923/06/14          5.860          MC
022502         1923/06/15          5.240          MC
022502         1923/06/16          5.240          MC
022502         1923/06/17          5.860          MC
022502         1923/06/18          5.860          MC
022502         1923/06/19          5.240          MC
022502         1923/06/20          5.240          MC
022502         1923/06/21          5.860          MC
022502         1923/06/22          9.770          MC
022502         1923/06/23          19.80          MC
022502         1923/06/24          13.00          MC
022502         1923/06/25          9.770          MC
022502         1923/06/26          8.640          MC
022502         1923/06/27          9.770          MC
022502         1923/06/28          18.10          MC
022502         1923/06/29          23.20          MC
022502         1923/06/30          26.90          MC
022502         1923/07/01          23.20          MC
022502         1923/07/02          23.20          MC
022502         1923/07/03          19.80          MC
022502         1923/07/04          13.00          MC
022502         1923/07/05          9.770          MC
022502         1923/07/06          19.80          MC
022502         1923/07/07          13.00          MC
022502         1923/07/08          9.770          MC
022502         1923/07/09          9.770          MC
022502         1923/07/10          7.650          MC
022502         1923/07/11          7.650          MC
022502         1923/07/12          5.860          MC
022502         1923/07/13          5.860          MC
022502         1923/07/14          4.590          MC
022502         1923/07/15          4.590          MC
022502         1923/07/16          4.590          MC
022502         1923/07/17          3.540          MC
022502         1923/07/18          3.540          MC
022502         1923/07/19          4.590          MC
022502         1923/07/20          4.590          MC
022502         1923/07/21          4.590          MC
022502         1923/07/22          3.540          MC
022502         1923/07/23          3.540          MC
022502         1923/07/24          2.830          MC
022502         1923/07/25          2.180          MC
022502         1923/07/26          2.830          MC
022502         1923/07/27          2.180          MC
022502         1923/07/28          2.180          MC
022502         1923/07/29          2.180          MC
022502         1923/07/30          2.830          MC
022502         1923/07/31          2.830          MC
022502         1923/08/01          2.180          MC
022502         1923/08/02          2.180          MC
022502         1923/08/03          2.180          MC
022502         1923/08/04          2.180          MC
022502         1923/08/05          2.180          MC
022502         1923/08/06          2.830          MC
022502         1923/08/07          2.180          MC
022502         1923/08/08          2.180          MC
022502         1923/08/09          2.180          MC
022502         1923/08/10          1.610          MC
022502         1923/08/11          2.180          MC
022502         1923/08/12          1.610          MC
022502         1923/08/13          3.540          MC
022502         1923/08/14          4.590          MC
022502         1923/08/15          5.240          MC
022502         1923/08/16          5.860          MC
022502         1923/08/17          4.590          MC
