Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-08, préliminaires par la suite
Station:        022505         Fourchue - à 0,2 km en aval du barrage Morin                                                                                                   
Bassin versant: 267 km²        Régime: Influencé mensuellement                           
Coordonnées:    (NAD83) 47° 39' 3" // -69° 30' 44"

Date de création du fichier: 2019-11-25 21:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
022505         1943/10/01          6.800          MC
022505         1943/10/02          5.100          MC
022505         1943/10/03          4.250          MC
022505         1943/10/04          4.250          MC
022505         1943/10/05          4.250          MC
022505         1943/10/06          4.250          MC
022505         1943/10/07          4.250          MC
022505         1943/10/08          4.250          MC
022505         1943/10/09          4.250          MC
022505         1943/10/10          4.250          MC
022505         1943/10/11          4.250          MC
022505         1943/10/12          4.250          MC
022505         1943/10/13          4.250          MC
022505         1943/10/14          4.250          MC
022505         1943/10/15          4.250          MC
022505         1943/10/16          4.250          MC
022505         1943/10/17          4.250          MC
022505         1943/10/18          4.250          MC
022505         1943/10/19          26.30          MC
022505         1943/10/20          37.90          MC
022505         1943/10/21          37.90          MC
022505         1943/10/22          32.80          MC
022505         1943/10/23          29.40          MC
022505         1943/10/24          25.50          MC
022505         1943/10/25          23.80          MC
022505         1943/10/26          20.40          MC
022505         1943/10/27          17.80          MC
022505         1943/10/28          16.10          MC
022505         1943/10/29          17.80          MC
022505         1943/10/30          21.20          MC
022505         1943/10/31          22.90          MC
022505         1943/11/01          22.90          MC
022505         1943/11/02          18.10          MC
022505         1943/11/03          21.90          MC
022505         1943/11/04          13.30          MC
022505         1943/11/05          15.40          MC
022505         1943/11/06          24.90          MC
022505         1943/11/07          24.90          MC
022505         1943/11/08          24.90          MC
022505         1943/11/09          27.50          MC
022505         1943/11/10          39.90          MC
022505         1943/11/11          39.60          MC
022505         1943/11/12          36.20          MC
022505         1943/11/13          33.40          MC
022505         1943/11/14          29.20          MC
022505         1943/11/15          7.930          MC
022505         1943/11/16          4.110          MC
022505         1943/11/17          4.110          MC
022505         1943/11/18          4.110          MC
022505         1943/11/19          4.110          MC
022505         1943/11/20          4.110          MC
022505         1943/11/21          3.960          MC
022505         1943/11/22          4.250          MC
022505         1943/11/23          4.250          MC
022505         1943/11/24          4.250          MC
022505         1943/11/25          4.250          MC
022505         1943/11/26          4.250          MC
022505         1943/11/27          4.110          MC
022505         1943/11/28          4.110          MC
022505         1943/11/29          4.110          MC
022505         1943/11/30          4.110          MC
022505         1943/12/01          4.110          MC
022505         1943/12/02          0.280          MC
022505         1943/12/03          0.280          MC
022505         1943/12/04          0.280          MC
022505         1943/12/05          4.110          MC
022505         1943/12/06          4.110          MC
022505         1943/12/07          4.110          MC
022505         1943/12/08          4.110          MC
022505         1943/12/09          4.110          MC
022505         1943/12/10          4.110          MC
022505         1943/12/11          4.110          MC
022505         1943/12/12          4.110          MC
022505         1943/12/13          4.110          MC
022505         1943/12/14          4.110          MC
022505         1943/12/15          4.110          MC
022505         1943/12/16          4.110          MC
022505         1943/12/17          4.110          MC
022505         1943/12/18          4.110          MC
022505         1943/12/19          3.960          MC
022505         1943/12/20          3.820          MC
022505         1943/12/21          3.820          MC
022505         1943/12/22          3.820          MC
022505         1943/12/23          3.820          MC
022505         1943/12/24          3.820          MC
022505         1943/12/25          3.820          MC
022505         1943/12/26          3.820          MC
022505         1943/12/27          3.820          MC
022505         1943/12/28          3.680          MC
022505         1943/12/29          3.680          MC
022505         1943/12/30          3.680          MC
022505         1943/12/31          3.680          MC
