Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-16, préliminaires par la suite
Station:        022507         Du Loup - au pont-route à Saint-Joseph-de-Kamouraska                                                                                           
Bassin versant: 515 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 47° 36' 43" // -69° 38' 41"

Date de création du fichier: 2019-11-25 20:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
022507         1978/09/09          1.830          MC
022507         1978/09/10          4.010          MC
022507         1978/09/11          3.650          MC
022507         1978/09/12          2.310          MC
022507         1978/09/13          1.810          MC
022507         1978/09/14          1.580          MC
022507         1978/09/15          1.520          MC
022507         1978/09/16          1.470          MC
022507         1978/09/17          1.400          MC
022507         1978/09/18          1.380          MC
022507         1978/09/19          1.380          MC
022507         1978/09/20          1.380          MC
022507         1978/09/21          1.370          MC
022507         1978/09/22          1.350          MC
022507         1978/09/23          1.370          MC
022507         1978/09/24          1.380          MC
022507         1978/09/25          1.380          MC
022507         1978/09/26          1.380          MC
022507         1978/09/27          1.380          MC
022507         1978/09/28          1.380          MC
022507         1978/09/29          1.380          MC
022507         1978/09/30          1.380          MC
022507         1978/10/01          1.380          MC
022507         1978/10/02          1.380          MC
022507         1978/10/03          1.380          MC
022507         1978/10/04          1.380          MC
022507         1978/10/05          1.380          MC
022507         1978/10/06          1.380          MC
022507         1978/10/07          1.410          MC
022507         1978/10/08          1.400          MC
022507         1978/10/09          1.450          MC
022507         1978/10/10          1.500          MC
022507         1978/10/11          1.470          MC
022507         1978/10/12          1.490          MC
022507         1978/10/13          1.490          MC
022507         1978/10/14          1.520          MC
022507         1978/10/15          4.090          MC
022507         1978/10/16          8.410          MC
022507         1978/10/17          6.760          MC
022507         1978/10/18          4.660          MC
022507         1978/10/19          3.780          MC
022507         1978/10/20          3.260          MC
022507         1978/10/21          3.000          MC
022507         1978/10/22          2.740          MC
022507         1978/10/23          2.290          MC
022507         1978/10/24          2.100          MC
022507         1978/10/25          1.830          MC
022507         1978/10/26          1.800          MC
022507         1978/10/27          1.770          MC
022507         1978/10/28          1.680          MC
022507         1978/10/29          1.580          MC
022507         1978/10/30          1.530          E
022507         1978/10/31          1.490          E
022507         1978/11/01          1.480          E
022507         1978/11/02          1.450          E
022507         1978/11/03          1.430          E
022507         1978/11/04          1.410          E
022507         1978/11/05          1.390          E
022507         1978/11/06          1.380          E
022507         1978/11/07          1.370          E
022507         1978/11/08          1.370          E
022507         1978/11/09          1.370          E
022507         1978/11/10          1.370          E
022507         1978/11/11          1.370          E
022507         1978/11/12          1.370          E
022507         1978/11/13          1.370          E
022507         1978/11/14          1.780          E
022507         1978/11/15          2.400          E
022507         1978/11/16          3.000          E
022507         1978/11/17          2.220          E
022507         1978/11/18          3.950          E
022507         1978/11/19          6.000          E
022507         1978/11/20          4.350          E
022507         1978/11/21          3.420          E
022507         1978/11/22          2.960          J
022507         1978/11/23          2.000          MC
022507         1978/11/24          2.030          MC
022507         1978/11/25          1.980          MC
022507         1978/11/26          1.720          MC
022507         1978/11/27          1.460          MC
022507         1978/11/28          1.520          MC
022507         1978/11/29          1.530          MC
022507         1978/11/30          1.700          MC
022507         1978/12/01          1.580          MC
022507         1978/12/02          1.530          MC
022507         1978/12/03          1.520          MC
022507         1978/12/04          1.550          MC
022507         1978/12/05          1.540          MC
022507         1978/12/06          1.530          MC
022507         1978/12/07          1.580          MC
022507         1978/12/08          1.560          MC
022507         1978/12/09          1.560          MC
022507         1978/12/10          1.560          MC
022507         1978/12/11          1.540          R
022507         1978/12/12          1.520          R
022507         1978/12/13          1.490          R
022507         1978/12/14          1.480          R
022507         1978/12/15          1.470          R
022507         1978/12/16          1.450          R
022507         1978/12/17          1.440          R
022507         1978/12/18          1.430          R
022507         1978/12/19          1.410          R
022507         1978/12/20          1.390          R
022507         1978/12/21          1.380          R
