Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1975-05-25
Station:        022509         Du Loup - à 1,3 km en amont de la Fourchue                                                                                                     
Bassin versant: 581 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 47° 40' 40" // -69° 32' 44"
Constante géodésique: aucune
Date de création du fichier: 2012-06-23 07:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
022509         1964/05/01          34.83          PL
022509         1964/05/02          34.80          PL
022509         1964/05/03          34.75          PL
022509         1964/05/04          34.65          PL
022509         1964/05/05          34.58          PL
022509         1964/05/06          34.58          PL
022509         1964/05/07          34.41          PL
022509         1964/05/08          34.41          PL
022509         1964/05/09          34.38          PL
022509         1964/05/10          34.64          PL
022509         1964/05/11          34.86          PL
022509         1964/05/12          34.87          PL
022509         1964/05/13          34.67          PL
022509         1964/05/14          34.41          PL
022509         1964/05/15          34.25          PL
022509         1964/05/16          34.06          PL
022509         1964/05/17          34.02          PL
022509         1964/05/18          33.99          PL
022509         1964/05/19          33.94          PL
022509         1964/05/20          33.90          PL
022509         1964/05/21          33.90          PL
022509         1964/05/22          33.88          PL
022509         1964/05/23          33.85          PL
022509         1964/05/24          33.90          PL
022509         1964/05/25          34.02          PL
022509         1964/05/26          34.11          PL
022509         1964/05/27          34.51          PL
022509         1964/05/28          34.55          PL
022509         1964/05/29          34.51          PL
022509         1964/05/30          34.31          PL
022509         1964/05/31          34.15          PL
022509         1964/06/01          33.95          PL
022509         1964/06/02          33.85          PL
022509         1964/06/03          33.79          PL
022509         1964/06/04          33.73          PL
022509         1964/06/05          33.75          PL
022509         1964/06/06          34.02          PL
022509         1964/06/07          33.97          PL
022509         1964/06/08          33.92          PL
022509         1964/06/09          33.78          PL
022509         1964/06/10          33.72          PL
022509         1964/06/11          34.20          PL
022509         1964/06/12          35.06          PL
022509         1964/06/13          35.12          PL
022509         1964/06/14          34.69          PL
022509         1964/06/15          34.38          PL
022509         1964/06/16          34.10          PL
022509         1964/06/17          34.02          PL
022509         1964/06/18          34.30          PL
022509         1964/06/19          34.45          PL
022509         1964/06/20          34.45          PL
022509         1964/06/21          34.30          PL
022509         1964/06/22          34.09          PL
022509         1964/06/23          33.97          PL
022509         1964/06/24          33.80          PL
022509         1964/06/25          33.74          PL
022509         1964/06/26          33.70          PL
022509         1964/06/27          33.70          PL
022509         1964/06/28          33.67          PL
022509         1964/06/29          33.64          PL
022509         1964/06/30          33.56          PL
022509         1964/07/01          33.58          PL
022509         1964/07/02          33.60          PL
022509         1964/07/03          33.57          PL
022509         1964/07/04          33.54          PL
022509         1964/07/05          33.53          PL
022509         1964/07/06          33.57          PL
022509         1964/07/07          33.55          PL
022509         1964/07/08          33.54          PL
022509         1964/07/09          33.59          PL
022509         1964/07/10          33.54          PL
022509         1964/07/11          33.51          PL
022509         1964/07/12          33.51          PL
022509         1964/07/13          33.51          PL
022509         1964/07/14          33.51          PL
022509         1964/07/15          33.52          PL
022509         1964/07/16          33.52          PL
022509         1964/07/17          33.49          PL
022509         1964/07/18          33.47          PL
022509         1964/07/19          33.50          PL
