Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-17, préliminaires par la suite
Station:        022513         Du Loup - à 1.4 km en aval du pont-route 185                                                                                                   
Bassin versant: 1042 km²       Régime: Influencé mensuellement                           
Coordonnées:    (NAD83) 47° 49' 19" // -69° 31' 0"

Date de création du fichier: 2019-11-25 21:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
022513         1961/06/22          12.50          J
022513         1961/06/23          16.50          MC
022513         1961/06/24          25.90          MC
022513         1961/06/25          34.30          MC
022513         1961/06/26          33.10          MC
022513         1961/06/27          34.30          MC
022513         1961/06/28          26.50          MC
022513         1961/06/29          18.30          J
022513         1961/06/30          18.70          MC
022513         1961/07/01          18.70          MC
022513         1961/07/02          18.20          MC
022513         1961/07/03          16.80          MC
022513         1961/07/04          12.40          MC
022513         1961/07/05          11.10          MC
022513         1961/07/06          9.490          MC
022513         1961/07/07          9.000          MC
022513         1961/07/08          7.930          MC
022513         1961/07/09          6.310          MC
022513         1961/07/10          9.940          MC
022513         1961/07/11          7.930          MC
022513         1961/07/12          10.60          MC
022513         1961/07/13          9.000          MC
022513         1961/07/14          7.840          MC
022513         1961/07/15          7.140          MC
022513         1961/07/16          5.100          MC
022513         1961/07/17          7.930          MC
022513         1961/07/18          6.510          MC
022513         1961/07/19          5.320          MC
022513         1961/07/20          6.880          MC
022513         1961/07/21          6.880          MC
022513         1961/07/22          6.430          MC
022513         1961/07/23          6.600          MC
022513         1961/07/24          6.880          MC
022513         1961/07/25          6.770          MC
022513         1961/07/26          6.310          MC
022513         1961/07/27          6.680          MC
022513         1961/07/28          6.770          MC
022513         1961/07/29          6.770          MC
022513         1961/07/30          6.970          MC
022513         1961/07/31          10.10          MC
022513         1961/08/01          11.70          J
022513         1961/08/02          9.710          MC
022513         1961/08/03          6.680          MC
022513         1961/08/04          6.600          MC
022513         1961/08/05          6.880          MC
022513         1961/08/06          5.970          MC
022513         1961/08/07          7.360          MC
022513         1961/08/08          6.430          MC
022513         1961/08/09          6.230          MC
022513         1961/08/10          5.010          MC
022513         1961/08/11          5.180          MC
022513         1961/08/12          5.970          MC
022513         1961/08/13          5.720          MC
022513         1961/08/14          7.840          MC
022513         1961/08/15          6.680          MC
022513         1961/08/16          6.430          MC
022513         1961/08/17          5.800          MC
022513         1961/08/18          5.580          MC
022513         1961/08/19          5.800          MC
022513         1961/08/20          6.310          MC
022513         1961/08/21          7.450          MC
022513         1961/08/22          6.880          MC
022513         1961/08/23          7.840          MC
022513         1961/08/24          8.690          MC
022513         1961/08/25          7.140          MC
022513         1961/08/26          5.410          MC
022513         1961/08/27          6.770          MC
022513         1961/08/28          16.60          MC
022513         1961/08/29          21.30          MC
022513         1961/08/30          19.60          MC
022513         1961/08/31          15.60          MC
022513         1961/09/01          10.10          MC
022513         1961/09/02          11.10          MC
022513         1961/09/03          12.50          MC
022513         1961/09/04          10.10          MC
022513         1961/09/05          9.230          MC
022513         1961/09/06          7.840          MC
022513         1961/09/07          7.650          MC
022513         1961/09/08          6.880          MC
022513         1961/09/09          8.160          MC
022513         1961/09/10          6.680          MC
022513         1961/09/11          8.810          MC
022513         1961/09/12          11.10          MC
022513         1961/09/13          12.10          MC
022513         1961/09/14          17.00          MC
022513         1961/09/15          20.50          MC
022513         1961/09/16          27.10          MC
022513         1961/09/17          32.80          MC
022513         1961/09/18          26.50          MC
022513         1961/09/19          17.00          MC
022513         1961/09/20          13.10          MC
022513         1961/09/21          10.90          MC
022513         1961/09/22          8.580          MC
022513         1961/09/23          7.360          MC
022513         1961/09/24          5.010          MC
022513         1961/09/25          9.830          MC
022513         1961/09/26          5.410          MC
022513         1961/09/27          16.30          MC
022513         1961/09/28          16.10          MC
022513         1961/09/29          13.80          MC
022513         1961/09/30          11.30          MC
022513         1961/10/01          9.490          MC
022513         1961/10/02          8.240          MC
022513         1961/10/03          8.160          MC
022513         1961/10/04          9.710          MC
022513         1961/10/05          13.20          MC
022513         1961/10/06          18.50          MC
022513         1961/10/07          15.30          MC
022513         1961/10/08          14.00          MC
022513         1961/10/09          12.10          MC
022513         1961/10/10          10.70          MC
022513         1961/10/11          8.160          MC
022513         1961/10/12          8.890          MC
022513         1961/10/13          8.580          MC
022513         1961/10/14          2.490          MC
022513         1961/10/15          8.890          MC
022513         1961/10/16          9.120          MC
022513         1961/10/17          8.890          MC
022513         1961/10/18          7.530          MC
022513         1961/10/19          6.880          MC
022513         1961/10/20          6.430          MC
022513         1961/10/21          5.010          MC
022513         1961/10/22          6.770          MC
022513         1961/10/23          8.470          MC
022513         1961/10/24          6.880          MC
022513         1961/10/25          7.650          MC
022513         1961/10/26          6.680          MC
022513         1961/10/27          7.160          MC
022513         1961/10/28          6.880          MC
022513         1961/10/29          6.510          MC
022513         1961/10/30          7.840          MC
022513         1961/10/31          8.690          MC
022513         1961/11/01          7.840          MC
022513         1961/11/02          8.160          MC
022513         1961/11/03          9.490          MC
022513         1961/11/04          9.230          MC
022513         1961/11/05          9.340          MC
022513         1961/11/06          9.120          MC
022513         1961/11/07          11.10          J
022513         1961/11/08          10.10          MC
022513         1961/11/09          8.160          MC
