Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-16, préliminaires par la suite
Station:        022601         Kamouraska - au pont du rang de l'Embarras                                                                                                     
Bassin versant: 213 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 47° 31' 58" // -69° 50' 58"

Date de création du fichier: 2019-11-30 01:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
022601         2008/09/22          0.6214         J
022601         2008/09/23          0.5634         MJ
022601         2008/09/24          0.4997         J
022601         2008/09/25          0.4621         MJ
022601         2008/09/26          0.4364         MJ
022601         2008/09/27          0.6505         MJ
022601         2008/09/28          1.488          MJ
022601         2008/09/29          1.855          MJ
022601         2008/09/30          1.736          MJ
022601         2008/10/01          1.407          MJ
022601         2008/10/02          2.395          MJ
022601         2008/10/03          4.177          MJ
022601         2008/10/04          2.522          MJ
022601         2008/10/05          1.911          MJ
022601         2008/10/06          1.538          MJ
022601         2008/10/07          1.289          MJ
022601         2008/10/08          1.141          MJ
022601         2008/10/09          1.040          MJ
022601         2008/10/10          0.9715         MJ
022601         2008/10/11          0.8942         MJ
022601         2008/10/12          0.8145         MJ
022601         2008/10/13          0.8165         MJ
022601         2008/10/14          0.8531         MJ
022601         2008/10/15          1.268          MJ
022601         2008/10/16          1.213          MJ
022601         2008/10/17          1.175          MJ
022601         2008/10/18          1.040          MJ
022601         2008/10/19          0.9385         MJ
022601         2008/10/20          0.8841         MJ
022601         2008/10/21          0.9395         MJ
022601         2008/10/22          1.842          MJ
022601         2008/10/23          1.672          MJ
022601         2008/10/24          1.834          MJ
022601         2008/10/25          2.228          MJ
022601         2008/10/26          6.146          MJ
022601         2008/10/27          5.211          MJ
022601         2008/10/28          4.357          MJ
