Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-17, préliminaires par la suite
Station:        022704         Ouelle - à 2,7 km en aval du pont-route près de Saint-Gabriel-de-Kamouraska                                                                    
Bassin versant: 796 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 47° 22' 52" // -69° 57' 14"

Date de création du fichier: 2019-11-26 05:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
022704         1982/10/01          5.840          MC
022704         1982/10/02          6.410          MC
022704         1982/10/03          6.810          MC
022704         1982/10/04          5.980          MC
022704         1982/10/05          5.170          MC
022704         1982/10/06          4.580          MC
022704         1982/10/07          4.040          MC
022704         1982/10/08          3.900          MC
022704         1982/10/09          6.120          MC
022704         1982/10/10          7.440          MC
022704         1982/10/11          6.370          MC
022704         1982/10/12          5.420          MC
022704         1982/10/13          4.920          MC
022704         1982/10/14          4.940          MC
022704         1982/10/15          5.100          MC
022704         1982/10/16          5.400          MC
022704         1982/10/17          5.420          MC
022704         1982/10/18          5.070          MC
022704         1982/10/19          4.630          MC
022704         1982/10/20          4.220          MC
022704         1982/10/21          3.940          MC
022704         1982/10/22          3.690          MC
022704         1982/10/23          3.500          MC
022704         1982/10/24          3.250          MC
022704         1982/10/25          3.050          MC
022704         1982/10/26          2.960          MC
022704         1982/10/27          2.830          MC
022704         1982/10/28          2.760          MC
022704         1982/10/29          2.700          MC
022704         1982/10/30          2.660          MC
022704         1982/10/31          2.570          MC
022704         1982/11/01          2.510          MC
022704         1982/11/02          2.440          MC
022704         1982/11/03          2.590          MC
022704         1982/11/04          3.590          MC
022704         1982/11/05          15.70          MC
022704         1982/11/06          39.90          MC
022704         1982/11/07          30.60          MC
022704         1982/11/08          23.10          MC
022704         1982/11/09          18.60          J
022704         1982/11/10          14.20          MC
022704         1982/11/11          11.10          MC
022704         1982/11/12          9.310          MC
022704         1982/11/13          12.50          MC
022704         1982/11/14          14.90          MC
022704         1982/11/15          11.80          MC
022704         1982/11/16          9.490          MC
022704         1982/11/17          8.240          MC
022704         1982/11/18          6.650          MC
022704         1982/11/19          5.390          MC
022704         1982/11/20          5.590          MC
022704         1982/11/21          5.650          MC
022704         1982/11/22          6.170          MC
022704         1982/11/23          8.310          MC
022704         1982/11/24          14.00          MC
022704         1982/11/25          15.20          MC
022704         1982/11/26          10.30          MC
022704         1982/11/27          7.190          MC
022704         1982/11/28          6.500          R
022704         1982/11/29          6.000          R
022704         1982/11/30          5.650          R
022704         1982/12/01          5.600          R
022704         1982/12/02          5.800          R
022704         1982/12/03          7.500          R
022704         1982/12/04          24.50          R
022704         1982/12/05          28.20          R
022704         1982/12/06          26.10          R
022704         1982/12/07          25.80          R
022704         1982/12/08          17.30          R
022704         1982/12/09          11.80          R
022704         1982/12/10          6.250          R
022704         1982/12/11          6.000          R
022704         1982/12/12          6.050          R
022704         1982/12/13          6.200          R
022704         1982/12/14          6.500          R
022704         1982/12/15          10.00          R
022704         1982/12/16          15.00          R
022704         1982/12/17          28.00          R
022704         1982/12/18          14.00          R
022704         1982/12/19          12.30          R
022704         1982/12/20          11.30          R
022704         1982/12/21          10.30          R
022704         1982/12/22          9.300          R
022704         1982/12/23          8.900          R
022704         1982/12/24          8.600          R
022704         1982/12/25          8.600          R
022704         1982/12/26          9.000          R
022704         1982/12/27          23.00          R
022704         1982/12/28          50.00          R
022704         1982/12/29          29.00          R
022704         1982/12/30          39.00          R
022704         1982/12/31          28.00          R
022704         1983/01/01          21.00          R
022704         1983/01/02          16.00          R
022704         1983/01/03          13.50          R
022704         1983/01/04          11.60          R
022704         1983/01/05          10.20          R
022704         1983/01/06          9.000          R
022704         1983/01/07          8.200          R
022704         1983/01/08          7.700          R
022704         1983/01/09          7.300          R
022704         1983/01/10          7.000          R
022704         1983/01/11          24.50          R
022704         1983/01/12          16.00          R
022704         1983/01/13          12.00          R
022704         1983/01/14          9.500          R
022704         1983/01/15          7.500          R
022704         1983/01/16          6.000          R
022704         1983/01/17          5.400          R
022704         1983/01/18          4.300          R
022704         1983/01/19          3.400          R
022704         1983/01/20          2.900          R
022704         1983/01/21          2.500          R
022704         1983/01/22          2.150          R
022704         1983/01/23          1.900          R
022704         1983/01/24          1.700          R
022704         1983/01/25          1.550          R
022704         1983/01/26          1.450          R
022704         1983/01/27          1.350          R
022704         1983/01/28          1.270          R
022704         1983/01/29          1.200          R
022704         1983/01/30          1.230          R
022704         1983/01/31          1.090          R
022704         1983/02/01          1.030          R
022704         1983/02/02          1.010          R
022704         1983/02/03          1.030          R
022704         1983/02/04          2.000          R
022704         1983/02/05          9.400          R
022704         1983/02/06          7.400          R
022704         1983/02/07          5.000          R
022704         1983/02/08          3.800          R
022704         1983/02/09          3.000          R
022704         1983/02/10          2.500          R
022704         1983/02/11          2.200          R
022704         1983/02/12          2.000          R
022704         1983/02/13          1.850          R
022704         1983/02/14          1.700          R
022704         1983/02/15          1.600          R
022704         1983/02/16          1.500          R
022704         1983/02/17          1.430          R
022704         1983/02/18          1.360          R
022704         1983/02/19          1.300          R
022704         1983/02/20          1.250          R
022704         1983/02/21          1.220          R
022704         1983/02/22          1.180          R
022704         1983/02/23          1.140          R
022704         1983/02/24          1.100          R
022704         1983/02/25          1.070          R
022704         1983/02/26          1.030          R
022704         1983/02/27          1.010          R
022704         1983/02/28          0.980          R
022704         1983/03/01          0.930          R
022704         1983/03/02          0.910          R
022704         1983/03/03          0.890          R
022704         1983/03/04          0.870          R
022704         1983/03/05          0.860          R
022704         1983/03/06          0.840          R
022704         1983/03/07          0.830          J
022704         1983/03/08          0.820          R
022704         1983/03/09          0.800          R
022704         1983/03/10          0.790          R
022704         1983/03/11          0.790          R
022704         1983/03/12          0.780          R
022704         1983/03/13          0.775          R
022704         1983/03/14          0.770          R
022704         1983/03/15          0.770          R
022704         1983/03/16          0.770          R
022704         1983/03/17          0.780          R
022704         1983/03/18          0.800          R
022704         1983/03/19          0.900          R
022704         1983/03/20          3.000          R
022704         1983/03/21          35.00          R
022704         1983/03/22          29.00          R
022704         1983/03/23          25.80          R
022704         1983/03/24          23.50          R
022704         1983/03/25          19.50          R
022704         1983/03/26          16.20          R
022704         1983/03/27          14.50          R
022704         1983/03/28          12.80          R
022704         1983/03/29          11.20          R
022704         1983/03/30          9.900          R
022704         1983/03/31          8.900          R
022704         1983/04/01          8.000          R
022704         1983/04/02          7.200          R
022704         1983/04/03          6.800          R
022704         1983/04/04          6.500          R
022704         1983/04/05          6.500          R
022704         1983/04/06          6.800          R
022704         1983/04/07          8.000          R
022704         1983/04/08          10.00          R
022704         1983/04/09          16.50          R
022704         1983/04/10          25.00          R
022704         1983/04/11          40.00          R
022704         1983/04/12          38.50          R
022704         1983/04/13          36.00          R
022704         1983/04/14          36.00          R
022704         1983/04/15          38.00          R
022704         1983/04/16          67.00          R
022704         1983/04/17          123.0          R
022704         1983/04/18          227.0          R
022704         1983/04/19          200.0          R
022704         1983/04/20          160.0          R
022704         1983/04/21          135.0          R
022704         1983/04/22          118.0          R
022704         1983/04/23          113.0          R
022704         1983/04/24          119.0          MC
022704         1983/04/25          264.0          MC
022704         1983/04/26          353.0          MC
022704         1983/04/27          253.0          J
022704         1983/04/28          160.0          J
022704         1983/04/29          166.0          MC
022704         1983/04/30          191.0          MC
022704         1983/05/01          202.0          MC
022704         1983/05/02          172.0          MC
022704         1983/05/03          156.0          MC
022704         1983/05/04          154.0          MC
022704         1983/05/05          131.0          MC
022704         1983/05/06          95.00          MC
022704         1983/05/07          75.10          MC
022704         1983/05/08          68.20          MC
022704         1983/05/09          154.0          MC
022704         1983/05/10          162.0          MC
022704         1983/05/11          91.20          MC
022704         1983/05/12          65.70          MC
022704         1983/05/13          54.20          MC
022704         1983/05/14          47.80          MC
022704         1983/05/15          43.20          MC
022704         1983/05/16          38.80          MC
022704         1983/05/17          32.40          MC
022704         1983/05/18          27.30          MC
022704         1983/05/19          23.40          MC
022704         1983/05/20          22.30          J
022704         1983/05/21          31.10          MC
022704         1983/05/22          31.50          MC
022704         1983/05/23          27.20          MC
022704         1983/05/24          29.70          MC
022704         1983/05/25          36.60          MC
022704         1983/05/26          33.20          MC
022704         1983/05/27          29.50          MC
022704         1983/05/28          40.40          MC
022704         1983/05/29          45.50          MC
022704         1983/05/30          37.80          MC
022704         1983/05/31          54.60          MC
022704         1983/06/01          59.90          MC
022704         1983/06/02          48.30          MC
022704         1983/06/03          37.00          MC
022704         1983/06/04          30.10          MC
022704         1983/06/05          25.10          MC
022704         1983/06/06          21.30          MC
022704         1983/06/07          24.40          MC
022704         1983/06/08          22.80          MC
022704         1983/06/09          18.40          MC
022704         1983/06/10          14.90          MC
022704         1983/06/11          12.50          MC
022704         1983/06/12          10.40          MC
022704         1983/06/13          8.910          MC
022704         1983/06/14          7.540          MC
022704         1983/06/15          6.380          MC
022704         1983/06/16          5.500          MC
022704         1983/06/17          4.870          MC
022704         1983/06/18          11.00          MC
022704         1983/06/19          10.30          MC
022704         1983/06/20          6.500          MC
022704         1983/06/21          4.950          MC
022704         1983/06/22          4.050          MC
022704         1983/06/23          3.370          MC
022704         1983/06/24          2.990          MC
022704         1983/06/25          2.590          MC
022704         1983/06/26          2.340          MC
022704         1983/06/27          2.520          MC
022704         1983/06/28          3.410          MC
022704         1983/06/29          2.930          MC
022704         1983/06/30          2.420          MC
022704         1983/07/01          2.130          MC
022704         1983/07/02          2.240          MC
022704         1983/07/03          2.130          MC
022704         1983/07/04          1.950          MC
022704         1983/07/05          1.860          MC
022704         1983/07/06          1.790          MC
022704         1983/07/07          1.700          MC
022704         1983/07/08          1.540          MC
022704         1983/07/09          1.500          MC
022704         1983/07/10          1.470          MC
022704         1983/07/11          1.460          MC
022704         1983/07/12          1.400          MC
022704         1983/07/13          1.330          MC
022704         1983/07/14          1.270          MC
022704         1983/07/15          1.260          MC
022704         1983/07/16          1.470          MC
022704         1983/07/17          1.440          MC
022704         1983/07/18          1.290          MC
022704         1983/07/19          1.090          MC
022704         1983/07/20          1.290          MC
022704         1983/07/21          1.770          MC
022704         1983/07/22          17.80          MC
022704         1983/07/23          24.00          MC
022704         1983/07/24          14.30          MC
022704         1983/07/25          9.670          MC
022704         1983/07/26          6.530          MC
022704         1983/07/27          4.490          MC
022704         1983/07/28          3.780          MC
022704         1983/07/29          3.780          MC
022704         1983/07/30          3.270          MC
022704         1983/07/31          2.780          MC
022704         1983/08/01          2.550          MC
022704         1983/08/02          5.900          MC
022704         1983/08/03          9.090          MC
022704         1983/08/04          7.200          MC
022704         1983/08/05          4.890          MC
022704         1983/08/06          3.560          MC
022704         1983/08/07          2.770          MC
022704         1983/08/08          2.280          MC
022704         1983/08/09          1.990          MC
022704         1983/08/10          1.750          MC
022704         1983/08/11          1.510          MC
022704         1983/08/12          1.270          MC
022704         1983/08/13          1.090          MC
022704         1983/08/14          0.930          MC
022704         1983/08/15          0.787          MC
022704         1983/08/16          0.689          MC
022704         1983/08/17          0.605          MC
022704         1983/08/18          0.608          MC
022704         1983/08/19          0.699          MC
022704         1983/08/20          0.560          MC
022704         1983/08/21          0.479          MC
022704         1983/08/22          0.394          J
022704         1983/08/23          0.387          MC
022704         1983/08/24          0.308          MC
022704         1983/08/25          0.298          MC
022704         1983/08/26          0.271          MC
022704         1983/08/27          0.310          MC
022704         1983/08/28          0.353          MC
022704         1983/08/29          0.364          MC
022704         1983/08/30          0.333          MC
022704         1983/08/31          0.467          MC
022704         1983/09/01          0.458          MC
022704         1983/09/02          0.485          MC
022704         1983/09/03          2.590          MC
022704         1983/09/04          3.830          MC
022704         1983/09/05          3.120          MC
022704         1983/09/06          2.290          MC
022704         1983/09/07          2.460          MC
022704         1983/09/08          5.260          MC
