Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-04-26, préliminaires par la suite
Station:        023004         Boyer - à 0,1 km en aval du pont de train à Saint-Charles de Bellechasse                                                                       
Bassin versant: 191 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 46° 48' 57" // -70° 54' 2"

Date de création du fichier: 2019-11-28 23:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
023004         1996/05/29          1.897          MC
023004         1996/05/30          1.862          J
023004         1996/05/31          1.619          MC
023004         1996/06/01          1.351          MC
023004         1996/06/02          1.098          MC
023004         1996/06/03          0.971          MC
023004         1996/06/04          0.956          J
023004         1996/06/05          1.596          MC
023004         1996/06/06          2.156          MC
023004         1996/06/07          1.468          MC
023004         1996/06/08          1.575          MC
023004         1996/06/09          1.124          MC
023004         1996/06/10          0.970          MC
023004         1996/06/11          0.995          MC
023004         1996/06/12          0.975          MC
023004         1996/06/13          0.908          MC
023004         1996/06/14          0.880          MC
023004         1996/06/15          0.922          MC
023004         1996/06/16          0.779          MC
023004         1996/06/17          0.678          MC
023004         1996/06/18          0.660          MC
023004         1996/06/19          0.611          MC
023004         1996/06/20          0.544          MC
023004         1996/06/21          1.522          MC
023004         1996/06/22          2.918          MC
023004         1996/06/23          5.504          MC
023004         1996/06/24          6.796          MC
023004         1996/06/25          3.862          MC
023004         1996/06/26          2.803          MC
023004         1996/06/27          1.943          MC
023004         1996/06/28          1.548          MC
023004         1996/06/29          1.241          MC
023004         1996/06/30          1.097          MC
023004         1996/07/01          1.234          MC
023004         1996/07/02          0.946          MC
023004         1996/07/03          0.780          MC
023004         1996/07/04          2.485          MC
023004         1996/07/05          6.765          MC
023004         1996/07/06          10.64          MC
023004         1996/07/07          6.769          MC
023004         1996/07/08          10.19          MC
023004         1996/07/09          7.624          MC
023004         1996/07/10          4.361          MC
023004         1996/07/11          3.018          MC
023004         1996/07/12          2.801          MC
023004         1996/07/13          2.326          MC
023004         1996/07/14          1.907          MC
023004         1996/07/15          1.560          MC
023004         1996/07/16          2.429          MC
023004         1996/07/17          1.863          MC
023004         1996/07/18          1.441          MC
023004         1996/07/19          1.749          MC
023004         1996/07/20          51.30          MC
023004         1996/07/21          42.64          MC
023004         1996/07/22          12.62          MC
023004         1996/07/23          7.399          MC
023004         1996/07/24          5.896          MC
023004         1996/07/25          4.873          MC
023004         1996/07/26          4.628          MC
023004         1996/07/27          9.146          MC
023004         1996/07/28          4.588          MC
023004         1996/07/29          3.301          MC
023004         1996/07/30          2.506          MC
023004         1996/07/31          2.121          MC
023004         1996/08/01          1.810          MC
023004         1996/08/02          4.122          MC
023004         1996/08/03          3.361          MC
023004         1996/08/04          2.051          MC
023004         1996/08/05          1.496          MC
023004         1996/08/06          1.231          R
023004         1996/08/07          1.057          R
023004         1996/08/08          1.105          R
