Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2006-05-15
Station:        023006         Boyer Sud - à 30 m en aval du ponçeau du premier rang de Saint-Gervais                                                                         
Bassin versant: 21.4 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 46° 41' 13" // -70° 55' 51"

Date de création du fichier: 2012-07-01 03:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
023006         1999/11/26          1.662          MJ
023006         1999/11/27          3.041          MJ
023006         1999/11/28          1.213          MJ
023006         1999/11/29          0.6231         MJ
023006         1999/11/30          0.3976         MJ
023006         1999/12/01          0.2969         MJ
023006         1999/12/02          0.2729         MJ
023006         1999/12/03          0.2106         MJ
023006         1999/12/04          0.1927         MJ
023006         1999/12/05          0.1869         MJ
023006         1999/12/06          0.2947         MJ
023006         1999/12/07          0.3857         MJ
023006         1999/12/08          0.2806         MJ
023006         1999/12/09          0.2295         MJ
023006         1999/12/10          0.2153         MJ
023006         1999/12/11          0.2456         MJ
023006         1999/12/12          0.2236         MJ
023006         1999/12/13          0.2145         MJ
023006         1999/12/14          0.1921         MJ
023006         1999/12/15          0.1768         MJ
023006         1999/12/16          0.1791         MJ
023006         1999/12/17          0.1695         MJ
023006         1999/12/18          0.162          R
023006         1999/12/19          0.153          R
023006         1999/12/20          0.147          R
023006         1999/12/21          0.141          R
023006         1999/12/22          0.132          R
023006         1999/12/23          0.124          R
023006         1999/12/24          0.123          R
023006         1999/12/25          0.115          R
023006         1999/12/26          0.111          R
023006         1999/12/27          0.110          R
023006         1999/12/28          0.104          R
023006         1999/12/29          0.103          R
023006         1999/12/30          0.100          R
023006         1999/12/31          0.098          R
023006         2000/01/01          0.096          R
023006         2000/01/02          0.091          R
023006         2000/01/03          0.103          R
023006         2000/01/04          0.125          R
023006         2000/01/05          0.098          R
023006         2000/01/06          0.087          R
023006         2000/01/07          0.078          R
023006         2000/01/08          0.077          R
023006         2000/01/09          0.071          R
023006         2000/01/10          0.070          R
023006         2000/01/11          0.070          R
023006         2000/01/12          0.071          R
023006         2000/01/13          0.065          R
023006         2000/01/14          0.065          R
023006         2000/01/15          0.061          R
023006         2000/01/16          0.058          R
023006         2000/01/17          0.055          R
023006         2000/01/18          0.053          R
023006         2000/01/19          0.051          R
023006         2000/01/20          0.050          R
023006         2000/01/21          0.047          R
023006         2000/01/22          0.046          R
023006         2000/01/23          0.045          R
023006         2000/01/24          0.045          R
023006         2000/01/25          0.043          R
023006         2000/01/26          0.042          R
