Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1966-10-26
Station:        023103         Du Sud - au pont-route à 0,2 km en amont du bras Saint-Nicolas                                                                                 
Bassin versant: 1280 km²       Régime: Influencé                                         
Coordonnées:    (NAD83) 46° 58' 45" // -70° 33' 22"
Constante géodésique: aucune
Date de création du fichier: 2012-06-23 18:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
023103         1964/01/01          11.96          PL
023103         1964/01/02          11.93          PL
023103         1964/01/03          11.93          PL
023103         1964/01/04          11.87          PL
023103         1964/01/05          11.96          PL
023103         1964/01/06          11.93          PL
023103         1964/01/07          12.08          PL
023103         1964/01/08          11.96          PL
023103         1964/01/09          11.96          PL
023103         1964/01/10          11.05          PL
023103         1964/01/11          11.11          PL
023103         1964/01/12          10.71          PL
023103         1964/01/13          11.29          PL
023103         1964/01/14          10.71          PL
023103         1964/01/15          10.65          PL
023103         1964/01/16          10.65          PL
023103         1964/01/17          12.48          PL
023103         1964/01/18          12.48          PL
023103         1964/01/19          12.17          PL
023103         1964/01/20          12.17          PL
023103         1964/01/21          10.74          PL
023103         1964/01/22          10.83          PL
023103         1964/01/23          10.83          PL
023103         1964/01/24          11.32          PL
023103         1964/01/25          11.26          PL
023103         1964/01/26          11.56          PL
023103         1964/01/27          11.05          PL
023103         1964/01/28          11.87          PL
023103         1964/01/29          11.38          PL
023103         1964/01/30          11.66          PL
023103         1964/01/31          11.63          PL
023103         1964/02/01          12.17          PL
023103         1964/02/02          11.38          PL
023103         1964/02/03          11.32          PL
023103         1964/02/04          11.32          PL
023103         1964/02/05          10.98          PL
023103         1964/02/06          11.32          PL
023103         1964/02/07          11.32          PL
023103         1964/02/08          11.38          PL
023103         1964/02/09          11.11          PL
023103         1964/02/10          11.11          PL
023103         1964/02/11          11.66          PL
023103         1964/02/12          11.96          PL
023103         1964/02/13          11.99          PL
023103         1964/02/14          12.05          PL
023103         1964/02/15          12.48          PL
023103         1964/02/16          11.56          PL
023103         1964/02/17          11.72          PL
023103         1964/02/18          12.51          PL
023103         1964/02/19          11.38          PL
023103         1964/02/20          13.00          PL
023103         1964/02/21          12.48          PL
023103         1964/02/22          12.39          PL
023103         1964/02/23          12.39          PL
023103         1964/02/24          12.39          PL
023103         1964/02/25          11.72          PL
023103         1964/02/26          12.05          PL
023103         1964/02/27          12.48          PL
023103         1964/02/28          12.48          PL
023103         1964/02/29          12.48          PL
023103         1964/03/01          11.87          PL
023103         1964/03/02          11.90          PL
023103         1964/03/03          11.87          PL
023103         1964/03/04          11.87          PL
023103         1964/03/05          11.93          PL
023103         1964/03/06          11.99          PL
023103         1964/03/07          12.08          PL
023103         1964/03/08          12.05          PL
023103         1964/03/09          12.02          PL
023103         1964/03/10          12.02          PL
023103         1964/03/11          11.99          PL
023103         1964/03/12          11.96          PL
023103         1964/03/13          11.93          PL
023103         1964/03/14          11.96          PL
023103         1964/03/15          11.99          PL
023103         1964/03/16          11.90          PL
023103         1964/03/17          11.93          PL
023103         1964/03/18          11.93          PL
023103         1964/03/19          11.90          PL
023103         1964/03/20          11.96          PL
023103         1964/03/21          11.93          PL
023103         1964/03/22          11.90          PL
023103         1964/03/23          11.90          PL
023103         1964/03/24          11.96          PL
023103         1964/03/25          11.93          PL
023103         1964/03/26          11.99          PL
023103         1964/03/27          11.96          PL
023103         1964/03/28          11.93          PL
023103         1964/03/29          11.99          PL
023103         1964/03/30          11.93          PL
023103         1964/03/31          11.90          PL
023103         1964/04/01          12.20          PL
023103         1964/04/02          12.20          PL
023103         1964/04/03          12.30          PL
023103         1964/04/04          12.27          PL
023103         1964/04/05          12.23          PL
023103         1964/04/06          
023103         1964/04/07          
023103         1964/04/08          
023103         1964/04/09          
023103         1964/04/10          
023103         1964/04/11          
023103         1964/04/12          
023103         1964/04/13          12.71          PL
023103         1964/04/14          12.23          PL
023103         1964/04/15          12.91          PL
023103         1964/04/16          12.69          PL
023103         1964/04/17          12.42          PL
023103         1964/04/18          11.90          PL
023103         1964/04/19          11.72          PL
023103         1964/04/20          11.63          PL
023103         1964/04/21          11.56          PL
023103         1964/04/22          11.59          PL
023103         1964/04/23          11.87          PL
023103         1964/04/24          11.84          PL
023103         1964/04/25          11.81          PL
023103         1964/04/26          11.50          PL
023103         1964/04/27          11.72          PL
023103         1964/04/28          11.69          PL
023103         1964/04/29          11.63          PL
023103         1964/04/30          11.56          PL
023103         1964/05/01          11.57          PL
023103         1964/05/02          11.42          PL
023103         1964/05/03          11.39          PL
023103         1964/05/04          11.33          PL
023103         1964/05/05          11.27          PL
023103         1964/05/06          11.24          PL
023103         1964/05/07          11.24          PL
023103         1964/05/08          11.21          PL
023103         1964/05/09          11.45          PL
023103         1964/05/10          11.64          PL
023103         1964/05/11          11.55          PL
023103         1964/05/12          11.40          PL
023103         1964/05/13          11.24          PL
023103         1964/05/14          11.18          PL
023103         1964/05/15          11.21          PL
023103         1964/05/16          11.09          PL
023103         1964/05/17          11.19          PL
023103         1964/05/18          11.13          PL
023103         1964/05/19          11.13          PL
023103         1964/05/20          11.09          PL
023103         1964/05/21          11.07          PL
023103         1964/05/22          11.13          PL
023103         1964/05/23          11.16          PL
023103         1964/05/24          11.25          PL
023103         1964/05/25          11.25          PL
023103         1964/05/26          11.28          PL
023103         1964/05/27          11.22          PL
023103         1964/05/28          11.19          PL
023103         1964/05/29          11.16          PL
023103         1964/05/30          11.10          PL
023103         1964/05/31          11.04          PL
023103         1964/06/01          11.01          PL
023103         1964/06/02          11.01          PL
023103         1964/06/03          11.00          PL
023103         1964/06/04          11.00          PL
023103         1964/06/05          11.15          PL
023103         1964/06/06          11.18          PL
023103         1964/06/07          11.09          PL
023103         1964/06/08          11.03          PL
023103         1964/06/09          11.00          PL
023103         1964/06/10          11.04          PL
023103         1964/06/11          11.28          PL
023103         1964/06/12          11.13          PL
023103         1964/06/13          11.07          PL
023103         1964/06/14          11.01          PL
023103         1964/06/15          11.01          PL
023103         1964/06/16          10.98          PL
023103         1964/06/17          11.02          PL
023103         1964/06/18          11.05          PL
023103         1964/06/19          11.05          PL
023103         1964/06/20          10.99          PL
023103         1964/06/21          10.99          PL
023103         1964/06/22          10.93          PL
023103         1964/06/23          10.92          PL
023103         1964/06/24          10.91          PL
023103         1964/06/25          10.93          PL
023103         1964/06/26          10.93          PL
023103         1964/06/27          10.91          PL
023103         1964/06/28          10.88          PL
023103         1964/06/29          10.87          PL
023103         1964/06/30          10.88          PL
023103         1964/07/01          10.94          PL
023103         1964/07/02          10.96          PL
023103         1964/07/03          10.93          PL
023103         1964/07/04          11.04          PL
023103         1964/07/05          11.04          PL
023103         1964/07/06          10.97          PL
023103         1964/07/07          11.18          PL
023103         1964/07/08          11.17          PL
023103         1964/07/09          11.08          PL
023103         1964/07/10          11.00          PL
023103         1964/07/11          11.00          PL
023103         1964/07/12          10.97          PL
023103         1964/07/13          10.93          PL
023103         1964/07/14          10.92          PL
023103         1964/07/15          10.92          PL
023103         1964/07/16          11.04          PL
023103         1964/07/17          10.99          PL
023103         1964/07/18          10.96          PL
023103         1964/07/19          10.94          PL
023103         1964/07/20          10.99          PL
023103         1964/07/21          10.95          PL
023103         1964/07/22          11.05          PL
023103         1964/07/23          11.02          PL
023103         1964/07/24          10.97          PL
023103         1964/07/25          10.93          PL
023103         1964/07/26          10.90          PL
023103         1964/07/27          10.89          PL
023103         1964/07/28          10.89          PL
023103         1964/07/29          11.00          PL
023103         1964/07/30          11.53          PL
023103         1964/07/31          11.17          PL
023103         1964/08/01          11.06          PL
023103         1964/08/02          10.99          PL
023103         1964/08/03          10.95          PL
023103         1964/08/04          10.93          PL
023103         1964/08/05          10.90          PL
023103         1964/08/06          10.89          PL
023103         1964/08/07          10.92          PL
023103         1964/08/08          10.91          PL
023103         1964/08/09          10.88          PL
023103         1964/08/10          10.88          PL
023103         1964/08/11          10.89          PL
023103         1964/08/12          10.89          PL
023103         1964/08/13          10.93          PL
023103         1964/08/14          11.00          PL
023103         1964/08/15          10.96          PL
023103         1964/08/16          10.94          PL
023103         1964/08/17          10.92          PL
023103         1964/08/18          10.92          PL
023103         1964/08/19          10.99          PL
023103         1964/08/20          10.95          PL
023103         1964/08/21          10.92          PL
023103         1964/08/22          10.92          PL
023103         1964/08/23          10.91          PL
023103         1964/08/24          10.91          PL
023103         1964/08/25          11.10          PL
023103         1964/08/26          10.99          PL
023103         1964/08/27          10.95          PL
023103         1964/08/28          10.93          PL
023103         1964/08/29          10.93          PL
023103         1964/08/30          10.93          PL
023103         1964/08/31          11.07          PL
023103         1964/09/01          11.35          PL
023103         1964/09/02          11.14          PL
023103         1964/09/03          11.04          PL
023103         1964/09/04          10.99          PL
023103         1964/09/05          10.96          PL
023103         1964/09/06          10.97          PL
023103         1964/09/07          11.01          PL
023103         1964/09/08          10.97          PL
023103         1964/09/09          10.96          PL
023103         1964/09/10          10.97          PL
023103         1964/09/11          10.95          PL
023103         1964/09/12          11.10          PL
023103         1964/09/13          11.02          PL
023103         1964/09/14          10.95          PL
023103         1964/09/15          10.92          PL
023103         1964/09/16          10.91          PL
023103         1964/09/17          10.91          PL
023103         1964/09/18          10.91          PL
023103         1964/09/19          10.91          PL
023103         1964/09/20          10.88          PL
023103         1964/09/21          10.88          PL
023103         1964/09/22          10.87          PL
023103         1964/09/23          10.86          PL
023103         1964/09/24          10.87          PL
023103         1964/09/25          10.86          PL
023103         1964/09/26          10.86          PL
023103         1964/09/27          10.85          PL
023103         1964/09/28          10.85          PL
023103         1964/09/29          10.84          PL
023103         1964/09/30          10.85          PL
023103         1964/10/01          10.85          PL
023103         1964/10/02          10.85          PL
023103         1964/10/03          10.86          PL
023103         1964/10/04          10.88          PL
023103         1964/10/05          10.87          PL
023103         1964/10/06          10.86          PL
023103         1964/10/07          10.85          PL
023103         1964/10/08          10.88          PL
023103         1964/10/09          10.86          PL
023103         1964/10/10          10.88          PL
023103         1964/10/11          10.84          PL
023103         1964/10/12          10.86          PL
023103         1964/10/13          10.86          PL
023103         1964/10/14          10.86          PL
023103         1964/10/15          10.84          PL
023103         1964/10/16          10.85          PL
023103         1964/10/17          10.84          PL
023103         1964/10/18          10.86          PL
023103         1964/10/19          10.91          PL
023103         1964/10/20          11.09          PL
023103         1964/10/21          11.16          PL
023103         1964/10/22          11.27          PL
023103         1964/10/23          11.26          PL
023103         1964/10/24          11.14          PL
023103         1964/10/25          11.09          PL
023103         1964/10/26          11.06          PL
023103         1964/10/27          11.06          PL
023103         1964/10/28          11.14          PL
023103         1964/10/29          11.09          PL
023103         1964/10/30          11.23          PL
023103         1964/10/31          11.27          PL
023103         1964/11/01          11.18          PL
023103         1964/11/02          11.12          PL
023103         1964/11/03          11.08          PL
023103         1964/11/04          11.04          PL
023103         1964/11/05          11.03          PL
023103         1964/11/06          11.03          PL
023103         1964/11/07          11.06          PL
023103         1964/11/08          11.09          PL
023103         1964/11/09          11.05          PL
023103         1964/11/10          10.96          PL
023103         1964/11/11          11.01          PL
023103         1964/11/12          10.99          PL
023103         1964/11/13          11.02          PL
023103         1964/11/14          11.13          PL
023103         1964/11/15          11.10          PL
023103         1964/11/16          11.02          PL
023103         1964/11/17          11.02          PL
023103         1964/11/18          11.09          PL
023103         1964/11/19          11.12          PL
023103         1964/11/20          10.99          PL
023103         1964/11/21          11.15          PL
023103         1964/11/22          11.30          PL
023103         1964/11/23          11.31          PL
023103         1964/11/24          11.38          PL
023103         1964/11/25          11.29          PL
023103         1964/11/26          11.20          PL
023103         1964/11/27          12.42          PL
023103         1964/11/28          11.75          PL
023103         1964/11/29          11.58          PL
023103         1964/11/30          11.44          PL
023103         1964/12/01          11.34          PL
023103         1964/12/02          11.13          PL
023103         1964/12/03          11.17          PL
023103         1964/12/04          11.48          PL
023103         1964/12/05          11.65          PL
023103         1964/12/06          11.65          PL
023103         1964/12/07          11.66          PL
023103         1964/12/08          11.64          PL
023103         1964/12/09          11.64          PL
023103         1964/12/10          11.66          PL
023103         1964/12/11          11.66          PL
023103         1964/12/12          11.62          PL
023103         1964/12/13          11.58          PL
023103         1964/12/14          11.56          PL
023103         1964/12/15          11.53          PL
023103         1964/12/16          11.44          PL
023103         1964/12/17          11.28          PL
023103         1964/12/18          11.23          PL
023103         1964/12/19          11.27          PL
023103         1964/12/20          11.23          PL
023103         1964/12/21          
023103         1964/12/22          
023103         1964/12/23          
023103         1964/12/24          
023103         1964/12/25          
023103         1964/12/26          
023103         1964/12/27          
023103         1964/12/28          
023103         1964/12/29          
023103         1964/12/30          
023103         1964/12/31          
023103         1965/01/01          11.56          PL
023103         1965/01/02          11.55          PL
023103         1965/01/03          11.72          PL
023103         1965/01/04          11.77          PL
023103         1965/01/05          11.85          PL
023103         1965/01/06          11.85          PL
023103         1965/01/07          11.84          PL
023103         1965/01/08          11.84          PL
023103         1965/01/09          11.66          PL
023103         1965/01/10          12.11          PL
023103         1965/01/11          11.93          PL
023103         1965/01/12          11.81          PL
023103         1965/01/13          11.68          PL
023103         1965/01/14          11.59          PL
023103         1965/01/15          11.58          PL
023103         1965/01/16          11.48          PL
023103         1965/01/17          11.40          PL
023103         1965/01/18          11.33          PL
023103         1965/01/19          11.56          PL
023103         1965/01/20          11.53          PL
