Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-30, préliminaires par la suite
Station:        023401         Beaurivage - à 1,1 km en aval du pont route 171 à Saint-Étienne                                                                                
Bassin versant: 708 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 46° 39' 25" // -71° 17' 20"

Date de création du fichier: 2019-11-26 06:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
023401         1925/09/15          13.00          MC
023401         1925/09/16          8.070          MC
023401         1925/09/17          4.590          MC
023401         1925/09/18          18.00          MC
023401         1925/09/19          12.50          MC
023401         1925/09/20          9.090          MC
023401         1925/09/21          32.00          MC
023401         1925/09/22          26.00          MC
023401         1925/09/23          12.50          MC
023401         1925/09/24          11.30          MC
023401         1925/09/25          31.10          MC
023401         1925/09/26          35.40          MC
023401         1925/09/27          15.10          MC
023401         1925/09/28          26.30          MC
023401         1925/09/29          29.70          MC
023401         1925/09/30          15.10          MC
023401         1925/10/01          11.30          MC
023401         1925/10/02          8.070          MC
023401         1925/10/03          6.170          MC
023401         1925/10/04          11.50          MC
023401         1925/10/05          31.70          MC
023401         1925/10/06          12.50          MC
023401         1925/10/07          9.320          MC
023401         1925/10/08          19.50          MC
023401         1925/10/09          11.30          MC
023401         1925/10/10          9.320          MC
023401         1925/10/11          29.70          MC
023401         1925/10/12          29.40          MC
023401         1925/10/13          36.80          MC
023401         1925/10/14          29.40          MC
023401         1925/10/15          31.10          MC
023401         1925/10/16          37.40          MC
023401         1925/10/17          26.00          MC
023401         1925/10/18          51.30          MC
023401         1925/10/19          27.70          MC
023401         1925/10/20          29.70          MC
023401         1925/10/21          24.60          MC
023401         1925/10/22          18.70          MC
023401         1925/10/23          18.00          MC
023401         1925/10/24          12.50          MC
023401         1925/10/25          12.70          MC
023401         1925/10/26          18.00          MC
023401         1925/10/27          35.40          MC
023401         1925/10/28          16.80          MC
023401         1925/10/29          18.20          MC
023401         1925/10/30          18.00          MC
023401         1925/10/31          12.70          MC
023401         1925/11/01          22.10          E
023401         1925/11/02          22.10          E
023401         1925/11/03          22.10          E
023401         1925/11/04          22.10          E
023401         1925/11/05          22.10          E
023401         1925/11/06          22.10          E
023401         1925/11/07          22.10          E
023401         1925/11/08          22.10          E
023401         1925/11/09          22.10          E
023401         1925/11/10          22.10          E
023401         1925/11/11          22.10          E
023401         1925/11/12          22.10          E
023401         1925/11/13          22.10          E
023401         1925/11/14          22.10          E
023401         1925/11/15          22.10          E
023401         1925/11/16          22.10          E
023401         1925/11/17          22.10          E
023401         1925/11/18          22.10          E
023401         1925/11/19          22.10          E
023401         1925/11/20          22.10          E
023401         1925/11/21          22.10          E
023401         1925/11/22          22.10          E
023401         1925/11/23          22.10          E
023401         1925/11/24          22.10          R
023401         1925/11/25          22.10          R
023401         1925/11/26          22.10          R
023401         1925/11/27          22.10          R
023401         1925/11/28          22.10          R
023401         1925/11/29          22.10          R
023401         1925/11/30          22.10          R
023401         1925/12/01          2.490          R
023401         1925/12/02          2.490          R
023401         1925/12/03          2.490          R
023401         1925/12/04          2.490          R
023401         1925/12/05          2.490          R
023401         1925/12/06          2.490          R
023401         1925/12/07          2.490          R
023401         1925/12/08          2.490          R
023401         1925/12/09          2.490          R
023401         1925/12/10          2.490          R
023401         1925/12/11          2.490          R
023401         1925/12/12          2.490          R
023401         1925/12/13          2.490          R
023401         1925/12/14          2.490          R
023401         1925/12/15          2.490          R
023401         1925/12/16          2.490          R
023401         1925/12/17          2.490          R
023401         1925/12/18          2.490          R
023401         1925/12/19          2.490          R
023401         1925/12/20          2.490          R
023401         1925/12/21          2.490          R
023401         1925/12/22          2.490          R
023401         1925/12/23          2.490          R
023401         1925/12/24          2.490          R
023401         1925/12/25          2.490          R
023401         1925/12/26          2.490          R
023401         1925/12/27          2.490          R
023401         1925/12/28          2.490          R
023401         1925/12/29          2.490          R
023401         1925/12/30          2.490          R
023401         1925/12/31          2.490          R
023401         1926/01/01          3.850          R
023401         1926/01/02          3.850          R
023401         1926/01/03          3.850          R
023401         1926/01/04          3.850          R
023401         1926/01/05          3.850          R
023401         1926/01/06          3.850          R
023401         1926/01/07          3.850          R
023401         1926/01/08          3.850          R
023401         1926/01/09          3.850          J
023401         1926/01/10          3.850          R
023401         1926/01/11          3.850          R
023401         1926/01/12          3.850          R
023401         1926/01/13          3.850          R
023401         1926/01/14          3.850          R
023401         1926/01/15          3.850          R
023401         1926/01/16          3.850          R
023401         1926/01/17          3.850          R
023401         1926/01/18          3.850          R
023401         1926/01/19          3.850          R
023401         1926/01/20          3.850          R
023401         1926/01/21          3.850          R
023401         1926/01/22          3.850          R
023401         1926/01/23          3.850          R
023401         1926/01/24          3.850          R
023401         1926/01/25          3.850          R
023401         1926/01/26          3.850          R
023401         1926/01/27          3.850          R
023401         1926/01/28          3.850          R
023401         1926/01/29          3.850          R
023401         1926/01/30          3.850          R
023401         1926/01/31          3.850          R
023401         1926/02/01          1.100          R
023401         1926/02/02          1.100          R
023401         1926/02/03          1.100          R
023401         1926/02/04          1.100          R
023401         1926/02/05          1.100          R
023401         1926/02/06          1.100          R
023401         1926/02/07          1.100          R
023401         1926/02/08          1.100          R
023401         1926/02/09          1.100          R
023401         1926/02/10          1.100          R
023401         1926/02/11          1.100          R
023401         1926/02/12          1.100          R
023401         1926/02/13          1.100          R
023401         1926/02/14          1.100          R
023401         1926/02/15          1.100          R
023401         1926/02/16          1.100          R
023401         1926/02/17          1.100          R
023401         1926/02/18          1.100          R
023401         1926/02/19          1.100          R
023401         1926/02/20          1.100          R
023401         1926/02/21          1.100          R
023401         1926/02/22          1.100          R
023401         1926/02/23          1.100          R
023401         1926/02/24          1.100          R
023401         1926/02/25          1.100          R
023401         1926/02/26          1.100          R
023401         1926/02/27          1.100          R
023401         1926/02/28          1.100          R
023401         1926/03/01          0.960          R
023401         1926/03/02          0.960          R
023401         1926/03/03          0.960          R
023401         1926/03/04          0.960          R
023401         1926/03/05          0.960          R
023401         1926/03/06          0.960          J
023401         1926/03/07          0.960          R
