Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1972-10-23
Station:        023404         Chaudière - au pont-route 173 à Vallée-Jonction                                                                                                
Bassin versant: 5390 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 46° 22' 26" // -70° 55' 41"
Constante géodésique: 121.92 m
Date de création du fichier: 2012-06-23 18:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
023404         1963/03/04          20.53          PL
023404         1963/03/05          20.53          PL
023404         1963/03/06          20.54          PL
023404         1963/03/07          20.54          PL
023404         1963/03/08          20.55          PL
023404         1963/03/09          20.55          PL
023404         1963/03/10          20.55          PL
023404         1963/03/11          20.55          PL
023404         1963/03/12          20.54          PL
023404         1963/03/13          20.55          PL
023404         1963/03/14          20.53          PL
023404         1963/03/15          20.56          PL
023404         1963/03/16          20.56          PL
023404         1963/03/17          20.56          PL
023404         1963/03/18          20.56          PL
023404         1963/03/19          20.56          PL
023404         1963/03/20          20.54          PL
023404         1963/03/21          20.51          PL
023404         1963/03/22          20.54          PL
023404         1963/03/23          20.57          PL
023404         1963/03/24          20.60          PL
023404         1963/03/25          20.60          PL
023404         1963/03/26          20.58          PL
023404         1963/03/27          20.64          PL
023404         1963/03/28          21.37          PL
023404         1963/03/29          22.56          PL
023404         1963/03/30          22.59          PL
023404         1963/03/31          23.05          PL
023404         1963/04/01          23.33          PL
023404         1963/04/02          23.67          PL
023404         1963/04/03          23.93          PL
023404         1963/04/04          23.94          PL
023404         1963/04/05          23.91          PL
023404         1963/04/06          23.58          PL
023404         1963/04/07          23.09          PL
023404         1963/04/08          23.65          PL
023404         1963/04/09          23.58          PL
023404         1963/04/10          23.13          PL
023404         1963/04/11          22.82          PL
023404         1963/04/12          22.77          PL
023404         1963/04/13          22.95          PL
023404         1963/04/14          23.23          PL
023404         1963/04/15          22.81          PL
023404         1963/04/16          22.53          PL
023404         1963/04/17          22.90          PL
023404         1963/04/18          22.47          PL
023404         1963/04/19          23.48          PL
023404         1963/04/20          23.30          PL
023404         1963/04/21          24.44          PL
023404         1963/04/22          25.30          PL
023404         1963/04/23          24.94          PL
023404         1963/04/24          23.77          PL
023404         1963/04/25          22.91          PL
023404         1963/04/26          22.72          PL
023404         1963/04/27          22.69          PL
023404         1963/04/28          22.64          PL
023404         1963/04/29          22.77          PL
023404         1963/04/30          22.89          PL
023404         1963/05/01          23.07          PL
023404         1963/05/02          23.99          PL
023404         1963/05/03          23.52          PL
023404         1963/05/04          22.98          PL
023404         1963/05/05          23.11          PL
023404         1963/05/06          22.98          PL
023404         1963/05/07          22.76          PL
023404         1963/05/08          22.38          PL
023404         1963/05/09          23.02          PL
023404         1963/05/10          22.50          PL
023404         1963/05/11          22.19          PL
023404         1963/05/12          22.01          PL
023404         1963/05/13          21.92          PL
023404         1963/05/14          21.73          PL
023404         1963/05/15          21.92          PL
023404         1963/05/16          21.88          PL
023404         1963/05/17          21.92          PL
023404         1963/05/18          21.67          PL
023404         1963/05/19          21.74          PL
023404         1963/05/20          21.91          PL
023404         1963/05/21          21.78          PL
023404         1963/05/22          21.67          PL
023404         1963/05/23          21.64          PL
023404         1963/05/24          21.81          PL
023404         1963/05/25          21.40          PL
023404         1963/05/26          21.34          PL
023404         1963/05/27          21.55          PL
023404         1963/05/28          21.22          PL
023404         1963/05/29          21.14          PL
023404         1963/05/30          21.21          PL
023404         1963/05/31          21.09          PL
023404         1963/06/01          21.00          PL
023404         1963/06/02          21.00          PL
023404         1963/06/03          20.94          PL
023404         1963/06/04          20.88          PL
023404         1963/06/05          20.85          PL
023404         1963/06/06          20.78          PL
023404         1963/06/07          20.85          PL
023404         1963/06/08          21.10          PL
023404         1963/06/09          21.21          PL
023404         1963/06/10          21.18          PL
023404         1963/06/11          21.21          PL
023404         1963/06/12          20.94          PL
023404         1963/06/13          20.88          PL
023404         1963/06/14          20.82          PL
023404         1963/06/15          20.82          PL
023404         1963/06/16          20.91          PL
023404         1963/06/17          20.99          PL
023404         1963/06/18          20.97          PL
023404         1963/06/19          20.79          PL
023404         1963/06/20          20.71          PL
023404         1963/06/21          20.76          PL
023404         1963/06/22          20.97          PL
023404         1963/06/23          21.10          PL
023404         1963/06/24          21.13          PL
023404         1963/06/25          20.90          PL
023404         1963/06/26          20.86          PL
023404         1963/06/27          20.98          PL
023404         1963/06/28          20.74          PL
023404         1963/06/29          20.85          PL
023404         1963/06/30          20.82          PL
023404         1963/07/01          21.21          PL
023404         1963/07/02          21.23          PL
023404         1963/07/03          21.43          PL
023404         1963/07/04          21.34          PL
023404         1963/07/05          21.50          PL
023404         1963/07/06          21.28          PL
023404         1963/07/07          21.18          PL
023404         1963/07/08          21.06          PL
023404         1963/07/09          22.36          PL
023404         1963/07/10          22.41          PL
023404         1963/07/11          21.79          PL
023404         1963/07/12          21.58          PL
023404         1963/07/13          21.28          PL
023404         1963/07/14          21.10          PL
023404         1963/07/15          21.10          PL
023404         1963/07/16          21.11          PL
023404         1963/07/17          21.28          PL
023404         1963/07/18          20.99          PL
023404         1963/07/19          21.28          PL
023404         1963/07/20          21.36          PL
023404         1963/07/21          21.25          PL
023404         1963/07/22          21.16          PL
023404         1963/07/23          21.09          PL
023404         1963/07/24          21.00          PL
023404         1963/07/25          20.94          PL
023404         1963/07/26          21.00          PL
023404         1963/07/27          20.91          PL
023404         1963/07/28          20.88          PL
023404         1963/07/29          20.85          PL
023404         1963/07/30          20.73          PL
023404         1963/07/31          21.16          PL
023404         1963/08/01          21.05          PL
023404         1963/08/02          20.85          PL
023404         1963/08/03          20.91          PL
023404         1963/08/04          21.28          PL
023404         1963/08/05          21.83          PL
023404         1963/08/06          21.40          PL
023404         1963/08/07          21.40          PL
023404         1963/08/08          21.31          PL
023404         1963/08/09          21.28          PL
023404         1963/08/10          21.16          PL
023404         1963/08/11          21.10          PL
023404         1963/08/12          21.03          PL
023404         1963/08/13          21.06          PL
023404         1963/08/14          21.54          PL
023404         1963/08/15          21.88          PL
023404         1963/08/16          21.64          PL
023404         1963/08/17          21.40          PL
023404         1963/08/18          21.18          PL
023404         1963/08/19          21.40          PL
023404         1963/08/20          21.21          PL
023404         1963/08/21          21.17          PL
023404         1963/08/22          21.37          PL
023404         1963/08/23          21.55          PL
023404         1963/08/24          23.26          PL
023404         1963/08/25          23.84          PL
023404         1963/08/26          22.95          PL
023404         1963/08/27          22.07          PL
023404         1963/08/28          21.72          PL
023404         1963/08/29          21.52          PL
023404         1963/08/30          21.51          PL
023404         1963/08/31          21.47          PL
023404         1963/09/01          21.64          PL
023404         1963/09/02          21.55          PL
023404         1963/09/03          21.42          PL
023404         1963/09/04          22.40          PL
023404         1963/09/05          22.34          PL
023404         1963/09/06          21.73          PL
023404         1963/09/07          21.58          PL
023404         1963/09/08          21.21          PL
023404         1963/09/09          21.20          PL
023404         1963/09/10          21.09          PL
023404         1963/09/11          21.12          PL
023404         1963/09/12          21.47          PL
023404         1963/09/13          22.34          PL
023404         1963/09/14          22.92          PL
023404         1963/09/15          21.31          PL
023404         1963/09/16          21.61          PL
023404         1963/09/17          21.40          PL
023404         1963/09/18          21.30          PL
023404         1963/09/19          21.15          PL
023404         1963/09/20          21.12          PL
023404         1963/09/21          21.12          PL
023404         1963/09/22          21.06          PL
023404         1963/09/23          21.06          PL
023404         1963/09/24          20.94          PL
023404         1963/09/25          20.97          PL
023404         1963/09/26          20.88          PL
023404         1963/09/27          20.78          PL
023404         1963/09/28          20.90          PL
023404         1963/09/29          21.21          PL
023404         1963/09/30          21.43          PL
023404         1963/10/01          21.64          PL
023404         1963/10/02          21.52          PL
023404         1963/10/03          21.24          PL
023404         1963/10/04          21.42          PL
023404         1963/10/05          21.28          PL
023404         1963/10/06          21.42          PL
023404         1963/10/07          21.37          PL
023404         1963/10/08          22.04          PL
023404         1963/10/09          21.88          PL
023404         1963/10/10          21.58          PL
023404         1963/10/11          21.40          PL
023404         1963/10/12          21.88          PL
023404         1963/10/13          21.68          PL
023404         1963/10/14          21.52          PL
023404         1963/10/15          21.43          PL
023404         1963/10/16          21.31          PL
023404         1963/10/17          21.21          PL
023404         1963/10/18          21.21          PL
023404         1963/10/19          21.03          PL
023404         1963/10/20          21.06          PL
023404         1963/10/21          21.00          PL
023404         1963/10/22          21.03          PL
023404         1963/10/23          21.03          PL
023404         1963/10/24          21.03          PL
023404         1963/10/25          20.97          PL
023404         1963/10/26          20.97          PL
023404         1963/10/27          20.97          PL
023404         1963/10/28          20.85          PL
023404         1963/10/29          20.94          PL
023404         1963/10/30          21.00          PL
023404         1963/10/31          21.03          PL
023404         1963/11/01          20.97          PL
023404         1963/11/02          21.06          PL
023404         1963/11/03          21.58          PL
023404         1963/11/04          21.79          PL
023404         1963/11/05          21.42          PL
023404         1963/11/06          21.43          PL
023404         1963/11/07          21.59          PL
023404         1963/11/08          24.45          PL
023404         1963/11/09          25.58          PL
023404         1963/11/10          24.57          PL
023404         1963/11/11          23.11          PL
023404         1963/11/12          22.59          PL
023404         1963/11/13          22.53          PL
023404         1963/11/14          22.23          PL
023404         1963/11/15          21.92          PL
023404         1963/11/16          21.59          PL
023404         1963/11/17          21.43          PL
023404         1963/11/18          21.34          PL
023404         1963/11/19          22.53          PL
023404         1963/11/20          22.38          PL
023404         1963/11/21          21.83          PL
023404         1963/11/22          21.63          PL
023404         1963/11/23          21.49          PL
023404         1963/11/24          21.49          PL
023404         1963/11/25          21.43          PL
023404         1963/11/26          21.22          PL
023404         1963/11/27          21.19          PL
023404         1963/11/28          21.22          PL
023404         1963/11/29          21.00          PL
023404         1963/11/30          22.29          PL
023404         1963/12/01          
023404         1963/12/02          
023404         1963/12/03          
023404         1963/12/04          
023404         1963/12/05          
023404         1963/12/06          
023404         1963/12/07          
023404         1963/12/08          
023404         1963/12/09          
023404         1963/12/10          
023404         1963/12/11          
023404         1963/12/12          
023404         1963/12/13          
023404         1963/12/14          
023404         1963/12/15          
023404         1963/12/16          
023404         1963/12/17          
023404         1963/12/18          
023404         1963/12/19          
023404         1963/12/20          
023404         1963/12/21          
023404         1963/12/22          
023404         1963/12/23          
023404         1963/12/24          
023404         1963/12/25          
023404         1963/12/26          
023404         1963/12/27          
023404         1963/12/28          
023404         1963/12/29          
023404         1963/12/30          
023404         1963/12/31          
023404         1964/01/01          20.33          PL
023404         1964/01/02          20.33          PL
023404         1964/01/03          20.33          PL
023404         1964/01/04          20.31          PL
023404         1964/01/05          20.26          PL
023404         1964/01/06          20.44          PL
023404         1964/01/07          20.39          PL
023404         1964/01/08          20.46          PL
023404         1964/01/09          20.41          PL
023404         1964/01/10          20.39          PL
023404         1964/01/11          20.31          PL
