Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1972-06-30
Station:        023412         Gunn - au pont-route à Marsboro                                                                                                                
Bassin versant: 27.1 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 45° 32' 14" // -70° 56' 34"
Constante géodésique: aucune
Date de création du fichier: 2012-06-23 19:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
023412         1966/03/14          2.44           PL
023412         1966/03/15          2.44           PL
023412         1966/03/16          2.43           PL
023412         1966/03/17          2.42           PL
023412         1966/03/18          2.37           PL
023412         1966/03/19          2.30           PL
023412         1966/03/20          2.36           PL
023412         1966/03/21          2.40           PL
023412         1966/03/22          2.44           PL
023412         1966/03/23          2.41           PL
023412         1966/03/24          2.41           PL
023412         1966/03/25          2.80           PL
023412         1966/03/26          2.92           PL
023412         1966/03/27          2.74           PL
023412         1966/03/28          2.54           PL
023412         1966/03/29          2.51           PL
023412         1966/03/30          2.44           PL
023412         1966/03/31          2.41           PL
023412         1966/04/01          2.37           PL
023412         1966/04/02          2.37           PL
023412         1966/04/03          2.39           PL
023412         1966/04/04          2.36           PL
023412         1966/04/05          2.34           PL
023412         1966/04/06          2.33           PL
023412         1966/04/07          2.32           PL
023412         1966/04/08          2.31           PL
023412         1966/04/09          2.33           PL
023412         1966/04/10          2.35           PL
023412         1966/04/11          2.36           PL
023412         1966/04/12          2.34           PL
023412         1966/04/13          2.41           PL
023412         1966/04/14          2.45           PL
023412         1966/04/15          2.53           PL
023412         1966/04/16          2.66           PL
023412         1966/04/17          2.74           PL
023412         1966/04/18          2.75           PL
023412         1966/04/19          2.74           PL
023412         1966/04/20          2.85           PL
023412         1966/04/21          2.78           PL
023412         1966/04/22          3.47           PL
023412         1966/04/23          3.32           PL
023412         1966/04/24          3.03           PL
023412         1966/04/25          2.89           PL
023412         1966/04/26          2.92           PL
023412         1966/04/27          2.65           PL
023412         1966/04/28          2.59           PL
023412         1966/04/29          2.58           PL
023412         1966/04/30          2.54           PL
023412         1966/05/01          2.51           PL
023412         1966/05/02          2.56           PL
023412         1966/05/03          2.54           PL
023412         1966/05/04          2.58           PL
023412         1966/05/05          2.59           PL
023412         1966/05/06          2.58           PL
023412         1966/05/07          2.56           PL
023412         1966/05/08          2.55           PL
023412         1966/05/09          2.54           PL
023412         1966/05/10          2.57           PL
023412         1966/05/11          2.56           PL
023412         1966/05/12          2.52           PL
023412         1966/05/13          2.52           PL
023412         1966/05/14          2.53           PL
023412         1966/05/15          2.52           PL
023412         1966/05/16          2.53           PL
023412         1966/05/17          2.51           PL
023412         1966/05/18          2.49           PL
023412         1966/05/19          2.56           PL
023412         1966/05/20          2.68           PL
023412         1966/05/21          2.58           PL
023412         1966/05/22          2.54           PL
023412         1966/05/23          2.48           PL
023412         1966/05/24          2.45           PL
023412         1966/05/25          2.44           PL
023412         1966/05/26          2.44           PL
023412         1966/05/27          2.41           PL
023412         1966/05/28          2.40           PL
023412         1966/05/29          2.40           PL
023412         1966/05/30          2.39           PL
023412         1966/05/31          2.37           PL
023412         1966/06/01          2.36           PL
023412         1966/06/02          2.35           PL
023412         1966/06/03          2.36           PL
023412         1966/06/04          2.35           PL
023412         1966/06/05          2.34           PL
023412         1966/06/06          2.38           PL
023412         1966/06/07          2.38           PL
023412         1966/06/08          2.42           PL
023412         1966/06/09          2.40           PL
023412         1966/06/10          2.42           PL
023412         1966/06/11          2.44           PL
023412         1966/06/12          2.42           PL
023412         1966/06/13          2.42           PL
023412         1966/06/14          2.39           PL
023412         1966/06/15          2.36           PL
023412         1966/06/16          2.37           PL
023412         1966/06/17          2.38           PL
023412         1966/06/18          2.36           PL
023412         1966/06/19          2.35           PL
023412         1966/06/20          2.35           PL
023412         1966/06/21          2.32           PL
023412         1966/06/22          2.28           PL
023412         1966/06/23          2.29           PL
023412         1966/06/24          2.31           PL
023412         1966/06/25          2.31           PL
023412         1966/06/26          2.48           PL
023412         1966/06/27          2.35           PL
023412         1966/06/28          2.33           PL
023412         1966/06/29          2.31           PL
023412         1966/06/30          2.30           PL
023412         1966/07/01          2.29           PL
023412         1966/07/02          2.27           PL
023412         1966/07/03          2.26           PL
023412         1966/07/04          2.26           PL
023412         1966/07/05          2.25           PL
023412         1966/07/06          2.26           PL
023412         1966/07/07          2.24           PL
023412         1966/07/08          2.23           PL
023412         1966/07/09          2.26           PL
023412         1966/07/10          2.25           PL
023412         1966/07/11          2.30           PL
023412         1966/07/12          2.27           PL
023412         1966/07/13          2.34           PL
023412         1966/07/14          2.46           PL
023412         1966/07/15          2.30           PL
023412         1966/07/16          2.26           PL
023412         1966/07/17          2.26           PL
023412         1966/07/18          2.25           PL
023412         1966/07/19          2.27           PL
023412         1966/07/20          2.34           PL
023412         1966/07/21          2.29           PL
023412         1966/07/22          2.27           PL
023412         1966/07/23          2.26           PL
023412         1966/07/24          2.26           PL
023412         1966/07/25          2.25           PL
023412         1966/07/26          2.28           PL
023412         1966/07/27          2.28           PL
023412         1966/07/28          2.26           PL
023412         1966/07/29          2.27           PL
023412         1966/07/30          2.29           PL
023412         1966/07/31          2.24           PL
023412         1966/08/01          2.25           PL
023412         1966/08/02          2.23           PL
023412         1966/08/03          2.26           PL
023412         1966/08/04          2.24           PL
023412         1966/08/05          2.27           PL
023412         1966/08/06          2.25           PL
023412         1966/08/07          2.24           PL
023412         1966/08/08          2.23           PL
023412         1966/08/09          2.24           PL
023412         1966/08/10          2.25           PL
023412         1966/08/11          2.24           PL
023412         1966/08/12          2.42           PL
