Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1972-10-23
Station:        023418         Chaudière - à 5,5 km en aval du pont-route 108 à Beauceville                                                                                   
Bassin versant: 4210 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 46° 14' 49" // -70° 49' 0"
Constante géodésique: 121.9 m
Date de création du fichier: 2012-06-23 20:00
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
023418         1964/05/15          22.54          PL
023418         1964/05/16          22.49          PL
023418         1964/05/17          22.85          PL
023418         1964/05/18          22.77          PL
023418         1964/05/19          22.57          PL
023418         1964/05/20          23.63          PL
023418         1964/05/21          23.54          PL
023418         1964/05/22          22.94          PL
023418         1964/05/23          22.68          PL
023418         1964/05/24          22.94          PL
023418         1964/05/25          22.77          PL
023418         1964/05/26          23.67          PL
023418         1964/05/27          23.67          PL
023418         1964/05/28          23.41          PL
023418         1964/05/29          22.97          PL
023418         1964/05/30          22.71          PL
023418         1964/05/31          22.57          PL
023418         1964/06/01          22.43          PL
023418         1964/06/02          22.31          PL
023418         1964/06/03          22.24          PL
023418         1964/06/04          22.20          PL
023418         1964/06/05          22.28          PL
023418         1964/06/06          22.26          PL
023418         1964/06/07          22.16          PL
023418         1964/06/08          22.10          PL
023418         1964/06/09          21.99          PL
023418         1964/06/10          21.96          PL
023418         1964/06/11          22.07          PL
023418         1964/06/12          22.07          PL
023418         1964/06/13          21.96          PL
023418         1964/06/14          21.93          PL
023418         1964/06/15          21.90          PL
023418         1964/06/16          21.86          PL
023418         1964/06/17          21.84          PL
023418         1964/06/18          21.93          PL
023418         1964/06/19          21.99          PL
023418         1964/06/20          21.96          PL
023418         1964/06/21          21.93          PL
023418         1964/06/22          21.90          PL
023418         1964/06/23          21.77          PL
023418         1964/06/24          21.77          PL
023418         1964/06/25          21.77          PL
023418         1964/06/26          21.77          PL
023418         1964/06/27          21.84          PL
023418         1964/06/28          21.74          PL
023418         1964/06/29          21.71          PL
023418         1964/06/30          21.71          PL
023418         1964/07/01          22.01          PL
023418         1964/07/02          22.29          PL
023418         1964/07/03          22.06          PL
023418         1964/07/04          22.63          PL
023418         1964/07/05          22.88          PL
023418         1964/07/06          22.75          PL
023418         1964/07/07          22.35          PL
023418         1964/07/08          22.84          PL
023418         1964/07/09          22.52          PL
023418         1964/07/10          22.20          PL
023418         1964/07/11          22.15          PL
023418         1964/07/12          22.03          PL
023418         1964/07/13          22.62          PL
023418         1964/07/14          22.29          PL
023418         1964/07/15          22.74          PL
023418         1964/07/16          22.65          PL
023418         1964/07/17          22.36          PL
023418         1964/07/18          22.07          PL
023418         1964/07/19          22.00          PL
023418         1964/07/20          22.00          PL
023418         1964/07/21          21.97          PL
023418         1964/07/22          21.89          PL
023418         1964/07/23          22.29          PL
023418         1964/07/24          21.95          PL
023418         1964/07/25          21.95          PL
023418         1964/07/26          21.89          PL
023418         1964/07/27          21.81          PL
023418         1964/07/28          21.81          PL
023418         1964/07/29          21.74          PL
023418         1964/07/30          21.86          PL
023418         1964/07/31          21.97          PL
023418         1964/08/01          21.86          PL
023418         1964/08/02          21.81          PL
023418         1964/08/03          21.74          PL
023418         1964/08/04          21.73          PL
023418         1964/08/05          21.76          PL
023418         1964/08/06          21.75          PL
023418         1964/08/07          21.77          PL
023418         1964/08/08          21.77          PL
023418         1964/08/09          21.80          PL
023418         1964/08/10          21.82          PL
023418         1964/08/11          21.77          PL
023418         1964/08/12          21.81          PL
023418         1964/08/13          21.81          PL
023418         1964/08/14          21.81          PL
023418         1964/08/15          21.80          PL
023418         1964/08/16          21.84          PL
023418         1964/08/17          21.74          PL
023418         1964/08/18          21.72          PL
023418         1964/08/19          21.91          PL
023418         1964/08/20          21.82          PL
023418         1964/08/21          21.80          PL
023418         1964/08/22          21.80          PL
023418         1964/08/23          21.78          PL
023418         1964/08/24          21.91          PL
023418         1964/08/25          22.19          PL
023418         1964/08/26          21.98          PL
023418         1964/08/27          21.90          PL
023418         1964/08/28          21.85          PL
023418         1964/08/29          21.77          PL
023418         1964/08/30          21.76          PL
023418         1964/08/31          21.63          PL
023418         1964/09/01          21.95          PL
023418         1964/09/02          21.98          PL
023418         1964/09/03          21.89          PL
023418         1964/09/04          21.79          PL
023418         1964/09/05          21.74          PL
023418         1964/09/06          22.03          PL
023418         1964/09/07          21.96          PL
023418         1964/09/08          21.87          PL
023418         1964/09/09          21.86          PL
023418         1964/09/10          21.85          PL
023418         1964/09/11          21.83          PL
023418         1964/09/12          21.79          PL
023418         1964/09/13          21.81          PL
023418         1964/09/14          21.68          PL
023418         1964/09/15          21.63          PL
023418         1964/09/16          21.70          PL
023418         1964/09/17          21.64          PL
023418         1964/09/18          21.64          PL
023418         1964/09/19          21.66          PL
023418         1964/09/20          21.60          PL
023418         1964/09/21          21.58          PL
023418         1964/09/22          21.53          PL
023418         1964/09/23          21.51          PL
023418         1964/09/24          21.58          PL
023418         1964/09/25          21.55          PL
023418         1964/09/26          21.54          PL
023418         1964/09/27          21.55          PL
023418         1964/09/28          21.57          PL
023418         1964/09/29          21.49          PL
023418         1964/09/30          21.47          PL
023418         1964/10/01          21.54          PL
023418         1964/10/02          21.55          PL
023418         1964/10/03          21.54          PL
023418         1964/10/04          21.48          PL
023418         1964/10/05          21.55          PL
023418         1964/10/06          21.49          PL
023418         1964/10/07          21.82          PL
023418         1964/10/08          21.58          PL
023418         1964/10/09          21.52          PL
023418         1964/10/10          21.48          PL
023418         1964/10/11          21.52          PL
023418         1964/10/12          21.52          PL
023418         1964/10/13          21.49          PL
023418         1964/10/14          21.50          PL
023418         1964/10/15          21.53          PL
023418         1964/10/16          21.52          PL
023418         1964/10/17          21.56          PL
023418         1964/10/18          21.56          PL
023418         1964/10/19          21.60          PL
023418         1964/10/20          21.65          PL
023418         1964/10/21          21.70          PL
023418         1964/10/22          22.20          PL
023418         1964/10/23          22.33          PL
023418         1964/10/24          22.20          PL
023418         1964/10/25          22.06          PL
023418         1964/10/26          21.97          PL
023418         1964/10/27          21.99          PL
023418         1964/10/28          21.99          PL
023418         1964/10/29          22.01          PL
023418         1964/10/30          22.07          PL
023418         1964/10/31          22.34          PL
023418         1964/11/01          22.21          PL
023418         1964/11/02          22.11          PL
023418         1964/11/03          22.00          PL
023418         1964/11/04          21.93          PL
023418         1964/11/05          21.88          PL
023418         1964/11/06          21.86          PL
023418         1964/11/07          21.83          PL
023418         1964/11/08          21.83          PL
023418         1964/11/09          21.83          PL
023418         1964/11/10          21.80          PL
023418         1964/11/11          21.77          PL
023418         1964/11/12          21.76          PL
023418         1964/11/13          21.79          PL
023418         1964/11/14          21.97          PL
023418         1964/11/15          22.08          PL
023418         1964/11/16          21.92          PL
023418         1964/11/17          21.88          PL
023418         1964/11/18          21.92          PL
023418         1964/11/19          21.83          PL
023418         1964/11/20          21.85          PL
023418         1964/11/21          22.12          PL
023418         1964/11/22          22.17          PL
023418         1964/11/23          21.94          PL
023418         1964/11/24          21.88          PL
023418         1964/11/25          21.92          PL
023418         1964/11/26          22.02          PL
023418         1964/11/27          
023418         1964/11/28          
023418         1964/11/29          
023418         1964/11/30          
023418         1964/12/01          
023418         1964/12/02          
023418         1964/12/03          
023418         1964/12/04          
023418         1964/12/05          
023418         1964/12/06          
023418         1964/12/07          
023418         1964/12/08          
023418         1964/12/09          
023418         1964/12/10          
023418         1964/12/11          
023418         1964/12/12          
023418         1964/12/13          
023418         1964/12/14          
023418         1964/12/15          
023418         1964/12/16          
023418         1964/12/17          
023418         1964/12/18          
023418         1964/12/19          
023418         1964/12/20          
023418         1964/12/21          
023418         1964/12/22          
023418         1964/12/23          
023418         1964/12/24          
023418         1964/12/25          
023418         1964/12/26          
023418         1964/12/27          
023418         1964/12/28          
023418         1964/12/29          
023418         1964/12/30          
023418         1964/12/31          
023418         1965/01/01          
023418         1965/01/02          
023418         1965/01/03          
023418         1965/01/04          
023418         1965/01/05          
023418         1965/01/06          
023418         1965/01/07          
023418         1965/01/08          
023418         1965/01/09          
023418         1965/01/10          
023418         1965/01/11          
023418         1965/01/12          
023418         1965/01/13          
023418         1965/01/14          
023418         1965/01/15          
023418         1965/01/16          
023418         1965/01/17          
023418         1965/01/18          
023418         1965/01/19          
023418         1965/01/20          
023418         1965/01/21          
023418         1965/01/22          
023418         1965/01/23          
023418         1965/01/24          
023418         1965/01/25          
023418         1965/01/26          
023418         1965/01/27          
023418         1965/01/28          
023418         1965/01/29          
023418         1965/01/30          
023418         1965/01/31          
023418         1965/02/01          
023418         1965/02/02          
023418         1965/02/03          
023418         1965/02/04          
023418         1965/02/05          
023418         1965/02/06          
023418         1965/02/07          
023418         1965/02/08          
023418         1965/02/09          
023418         1965/02/10          
023418         1965/02/11          
023418         1965/02/12          
023418         1965/02/13          
023418         1965/02/14          
023418         1965/02/15          
023418         1965/02/16          
023418         1965/02/17          
023418         1965/02/18          
023418         1965/02/19          
023418         1965/02/20          
023418         1965/02/21          
023418         1965/02/22          
023418         1965/02/23          
023418         1965/02/24          
023418         1965/02/25          
023418         1965/02/26          
023418         1965/02/27          
023418         1965/02/28          
023418         1965/03/01          
023418         1965/03/02          
023418         1965/03/03          
023418         1965/03/04          
023418         1965/03/05          
023418         1965/03/06          
023418         1965/03/07          
023418         1965/03/08          
023418         1965/03/09          
023418         1965/03/10          
023418         1965/03/11          
023418         1965/03/12          
023418         1965/03/13          
023418         1965/03/14          
023418         1965/03/15          
023418         1965/03/16          
023418         1965/03/17          
023418         1965/03/18          
023418         1965/03/19          
023418         1965/03/20          
023418         1965/03/21          
023418         1965/03/22          
023418         1965/03/23          
023418         1965/03/24          
023418         1965/03/25          
023418         1965/03/26          
023418         1965/03/27          
023418         1965/03/28          
023418         1965/03/29          
023418         1965/03/30          
023418         1965/03/31          
023418         1965/04/01          
023418         1965/04/02          
023418         1965/04/03          
023418         1965/04/04          
023418         1965/04/05          
023418         1965/04/06          
023418         1965/04/07          
023418         1965/04/08          
023418         1965/04/09          
023418         1965/04/10          
023418         1965/04/11          
023418         1965/04/12          
023418         1965/04/13          
023418         1965/04/14          
023418         1965/04/15          
023418         1965/04/16          
023418         1965/04/17          
023418         1965/04/18          
023418         1965/04/19          
023418         1965/04/20          
023418         1965/04/21          
023418         1965/04/22          
023418         1965/04/23          
023418         1965/04/24          
023418         1965/04/25          
023418         1965/04/26          
023418         1965/04/27          
023418         1965/04/28          
023418         1965/04/29          23.20          PL
023418         1965/04/30          23.28          PL
023418         1965/05/01          23.34          PL
023418         1965/05/02          23.18          PL
023418         1965/05/03          22.96          PL
023418         1965/05/04          22.86          PL
023418         1965/05/05          22.96          PL
023418         1965/05/06          22.87          PL
023418         1965/05/07          22.72          PL
023418         1965/05/08          22.67          PL
023418         1965/05/09          22.80          PL
023418         1965/05/10          23.09          PL
023418         1965/05/11          22.99          PL
023418         1965/05/12          23.33          PL
023418         1965/05/13          22.90          PL
023418         1965/05/14          22.87          PL
023418         1965/05/15          22.64          PL
023418         1965/05/16          22.52          PL
023418         1965/05/17          22.37          PL
023418         1965/05/18          23.07          PL
023418         1965/05/19          23.47          PL
023418         1965/05/20          23.07          PL
023418         1965/05/21          22.78          PL
023418         1965/05/22          22.57          PL
023418         1965/05/23          22.49          PL
023418         1965/05/24          22.37          PL
023418         1965/05/25          
023418         1965/05/26          
023418         1965/05/27          
023418         1965/05/28          22.67          PL
023418         1965/05/29          22.54          PL
023418         1965/05/30          22.32          PL
023418         1965/05/31          22.25          PL
023418         1965/06/01          22.17          PL
023418         1965/06/02          22.11          PL
023418         1965/06/03          22.20          PL
023418         1965/06/04          22.83          PL
023418         1965/06/05          22.75          PL
023418         1965/06/06          22.45          PL
023418         1965/06/07          22.28          PL
023418         1965/06/08          22.57          PL
023418         1965/06/09          22.52          PL
023418         1965/06/10          22.37          PL
023418         1965/06/11          22.34          PL
023418         1965/06/12          22.22          PL
023418         1965/06/13          22.11          PL
023418         1965/06/14          22.34          PL
023418         1965/06/15          22.35          PL
023418         1965/06/16          22.26          PL
023418         1965/06/17          22.14          PL
023418         1965/06/18          
023418         1965/06/19          
023418         1965/06/20          
023418         1965/06/21          
023418         1965/06/22          
023418         1965/06/23          
023418         1965/06/24          
023418         1965/06/25          
023418         1965/06/26          
023418         1965/06/27          
023418         1965/06/28          
023418         1965/06/29          
023418         1965/06/30          
023418         1965/07/01          
023418         1965/07/02          
023418         1965/07/03          
023418         1965/07/04          
023418         1965/07/05          
023418         1965/07/06          
023418         1965/07/07          
023418         1965/07/08          
023418         1965/07/09          21.77          PL
023418         1965/07/10          21.77          PL
023418         1965/07/11          21.76          PL
023418         1965/07/12          21.76          PL
023418         1965/07/13          21.73          PL
023418         1965/07/14          21.68          PL
023418         1965/07/15          21.68          PL
023418         1965/07/16          21.68          PL
023418         1965/07/17          21.70          PL
023418         1965/07/18          21.68          PL
023418         1965/07/19          21.70          PL
023418         1965/07/20          21.85          PL
023418         1965/07/21          21.82          PL
023418         1965/07/22          21.74          PL
023418         1965/07/23          21.70          PL
023418         1965/07/24          21.60          PL
023418         1965/07/25          21.56          PL
023418         1965/07/26          21.50          PL
023418         1965/07/27          21.45          PL
023418         1965/07/28          21.46          PL
023418         1965/07/29          21.45          PL
023418         1965/07/30          21.45          PL
023418         1965/07/31          21.45          PL
023418         1965/08/01          21.42          PL
023418         1965/08/02          21.40          PL
023418         1965/08/03          21.39          PL
023418         1965/08/04          21.39          PL
023418         1965/08/05          21.40          PL
023418         1965/08/06          21.42          PL
023418         1965/08/07          21.40          PL
023418         1965/08/08          21.38          PL
023418         1965/08/09          21.45          PL
023418         1965/08/10          21.72          PL
023418         1965/08/11          22.01          PL
023418         1965/08/12          21.99          PL
023418         1965/08/13          21.98          PL
023418         1965/08/14          22.62          PL
023418         1965/08/15          22.18          PL
023418         1965/08/16          21.93          PL
023418         1965/08/17          21.77          PL
023418         1965/08/18          21.70          PL
023418         1965/08/19          22.18          PL
023418         1965/08/20          24.54          PL
023418         1965/08/21          23.16          PL
023418         1965/08/22          22.50          PL
023418         1965/08/23          22.22          PL
023418         1965/08/24          22.18          PL
023418         1965/08/25          22.18          PL
023418         1965/08/26          21.93          PL
023418         1965/08/27          21.90          PL
023418         1965/08/28          21.95          PL
023418         1965/08/29          22.41          PL
023418         1965/08/30          22.45          PL
023418         1965/08/31          22.33          PL
023418         1965/09/01          22.27          PL
023418         1965/09/02          22.72          PL
023418         1965/09/03          23.06          PL
023418         1965/09/04          22.65          PL
023418         1965/09/05          22.37          PL
023418         1965/09/06          22.22          PL
023418         1965/09/07          22.12          PL
023418         1965/09/08          22.06          PL
023418         1965/09/09          21.99          PL
023418         1965/09/10          21.96          PL
023418         1965/09/11          21.90          PL
023418         1965/09/12          21.90          PL
023418         1965/09/13          21.87          PL
023418         1965/09/14          21.83          PL
023418         1965/09/15          21.81          PL
023418         1965/09/16          21.80          PL
023418         1965/09/17          21.84          PL
023418         1965/09/18          21.78          PL
023418         1965/09/19          21.77          PL
023418         1965/09/20          21.75          PL
