Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1972-06-12
Station:        023421         Bras Saint-Victor - à 10,5 km de la rivière Chaudière                                                                                          
Bassin versant: 663 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 46° 12' 6" // -70° 53' 36"

Date de création du fichier: 2012-06-29 21:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
023421         1964/08/14          2.510          MC
023421         1964/08/15          2.970          MC
023421         1964/08/16          3.540          MC
023421         1964/08/17          3.480          MC
023421         1964/08/18          3.110          MC
023421         1964/08/19          2.970          MC
023421         1964/08/20          2.670          MC
023421         1964/08/21          2.220          MC
023421         1964/08/22          2.170          MC
023421         1964/08/23          1.760          MC
023421         1964/08/24          26.60          MC
023421         1964/08/25          17.60          MC
023421         1964/08/26          7.730          MC
023421         1964/08/27          4.530          MC
023421         1964/08/28          3.230          MC
023421         1964/08/29          2.150          MC
023421         1964/08/30          1.410          MC
023421         1964/08/31          1.830          MC
023421         1964/09/01          6.850          MC
023421         1964/09/02          6.400          MC
023421         1964/09/03          4.220          MC
023421         1964/09/04          3.940          MC
023421         1964/09/05          16.70          MC
023421         1964/09/06          18.10          MC
023421         1964/09/07          8.180          MC
023421         1964/09/08          4.670          MC
023421         1964/09/09          4.050          MC
023421         1964/09/10          4.190          MC
023421         1964/09/11          3.570          MC
023421         1964/09/12          3.540          MC
023421         1964/09/13          3.230          MC
023421         1964/09/14          2.040          MC
023421         1964/09/15          2.290          MC
023421         1964/09/16          1.690          MC
023421         1964/09/17          1.820          MC
023421         1964/09/18          0.770          MC
023421         1964/09/19          1.210          MC
023421         1964/09/20          1.180          MC
023421         1964/09/21          1.010          MC
023421         1964/09/22          1.060          MC
023421         1964/09/23          1.080          MC
023421         1964/09/24          1.040          MC
023421         1964/09/25          0.940          MC
023421         1964/09/26          0.790          MC
023421         1964/09/27          0.890          MC
023421         1964/09/28          0.820          MC
023421         1964/09/29          1.040          MC
023421         1964/09/30          0.970          MC
023421         1964/10/01          0.860          MC
023421         1964/10/02          1.000          MC
023421         1964/10/03          1.080          MC
023421         1964/10/04          1.040          MC
023421         1964/10/05          0.670          MC
023421         1964/10/06          0.820          MC
023421         1964/10/07          0.750          MC
023421         1964/10/08          1.010          MC
023421         1964/10/09          0.840          MC
023421         1964/10/10          1.060          MC
023421         1964/10/11          1.160          MC
023421         1964/10/12          1.330          MC
023421         1964/10/13          1.340          MC
023421         1964/10/14          1.790          MC
023421         1964/10/15          3.620          MC
023421         1964/10/16          3.450          MC
023421         1964/10/17          3.310          MC
023421         1964/10/18          4.050          MC
023421         1964/10/19          5.610          MC
023421         1964/10/20          5.830          MC
023421         1964/10/21          7.900          MC
023421         1964/10/22          23.70          MC
023421         1964/10/23          21.70          MC
023421         1964/10/24          14.40          MC
023421         1964/10/25          10.60          MC
023421         1964/10/26          9.030          MC
023421         1964/10/27          7.990          MC
023421         1964/10/28          6.970          MC
023421         1964/10/29          5.660          MC
023421         1964/10/30          15.00          MC
023421         1964/10/31          14.60          MC
023421         1964/11/01          7.900          MC
023421         1964/11/02          5.580          MC
023421         1964/11/03          4.160          MC
023421         1964/11/04          3.430          MC
023421         1964/11/05          3.140          MC
023421         1964/11/06          3.570          MC
023421         1964/11/07          4.130          MC
023421         1964/11/08          3.620          MC
023421         1964/11/09          3.170          MC
023421         1964/11/10          2.860          MC
023421         1964/11/11          2.470          MC
023421         1964/11/12          2.690          MC
023421         1964/11/13          6.120          MC
023421         1964/11/14          10.30          MC
023421         1964/11/15          5.440          MC
023421         1964/11/16          3.620          R
023421         1964/11/17          4.530          R
023421         1964/11/18          4.620          R
023421         1964/11/19          4.760          R
023421         1964/11/20          7.790          R
023421         1964/11/21          23.20          R
023421         1964/11/22          18.10          R
023421         1964/11/23          12.50          R
023421         1964/11/24          12.30          R
023421         1964/11/25          11.90          R
023421         1964/11/26          24.00          R
023421         1964/11/27          79.60          R
023421         1964/11/28          38.50          R
023421         1964/11/29          26.80          R
023421         1964/11/30          18.10          R
023421         1964/12/01          6.510          R
023421         1964/12/02          3.960          R
023421         1964/12/03          5.040          R
023421         1964/12/04          5.040          R
023421         1964/12/05          4.530          R
023421         1964/12/06          4.110          R
023421         1964/12/07          3.740          R
023421         1964/12/08          3.400          R
023421         1964/12/09          3.110          R
023421         1964/12/10          2.780          R
023421         1964/12/11          2.550          R
023421         1964/12/12          2.790          R
023421         1964/12/13          6.510          R
023421         1964/12/14          9.060          R
023421         1964/12/15          7.930          R
023421         1964/12/16          4.760          R
023421         1964/12/17          3.110          R
023421         1964/12/18          2.830          R
023421         1964/12/19          2.780          R
023421         1964/12/20          2.780          R
023421         1964/12/21          2.720          R
023421         1964/12/22          2.660          R
023421         1964/12/23          2.580          R
023421         1964/12/24          2.890          R
023421         1964/12/25          14.20          R
023421         1964/12/26          45.30          R
023421         1964/12/27          43.90          R
023421         1964/12/28          13.60          R
023421         1964/12/29          4.300          R
023421         1964/12/30          4.530          R
023421         1964/12/31          4.760          R
023421         1965/01/01          4.530          R
023421         1965/01/02          4.420          R
023421         1965/01/03          4.330          R
023421         1965/01/04          4.280          R
023421         1965/01/05          4.220          R
023421         1965/01/06          4.190          R
023421         1965/01/07          4.190          R
023421         1965/01/08          4.390          R
023421         1965/01/09          4.960          R
023421         1965/01/10          7.080          R
023421         1965/01/11          8.640          R
023421         1965/01/12          7.080          R
023421         1965/01/13          5.660          R
023421         1965/01/14          3.960          R
023421         1965/01/15          2.970          R
023421         1965/01/16          2.320          R
023421         1965/01/17          1.550          R
023421         1965/01/18          1.160          R
023421         1965/01/19          1.110          R
023421         1965/01/20          1.020          R
023421         1965/01/21          0.960          R
023421         1965/01/22          0.910          R
023421         1965/01/23          0.860          R
023421         1965/01/24          0.840          R
023421         1965/01/25          0.820          R
023421         1965/01/26          0.830          R
023421         1965/01/27          0.820          R
023421         1965/01/28          0.810          R
