Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1946-08-31
Station:        023425         Veilleux - à 17,7 km de la rivière Famine                                                                                                      
Bassin versant: 108 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 46° 16' 19" // -70° 23' 15"

Date de création du fichier: 2012-06-29 21:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
023425         1938/10/01          2.660          MC
023425         1938/10/02          1.760          MC
023425         1938/10/03          1.300          MC
023425         1938/10/04          0.930          MC
023425         1938/10/05          0.760          MC
023425         1938/10/06          0.960          MC
023425         1938/10/07          0.790          MC
023425         1938/10/08          0.570          MC
023425         1938/10/09          0.510          MC
023425         1938/10/10          0.420          MC
023425         1938/10/11          0.340          MC
023425         1938/10/12          0.310          MC
023425         1938/10/13          0.230          MC
023425         1938/10/14          0.200          MC
023425         1938/10/15          0.170          MC
023425         1938/10/16          0.140          MC
023425         1938/10/17          0.200          MC
023425         1938/10/18          0.540          MC
023425         1938/10/19          0.420          MC
023425         1938/10/20          3.620          MC
023425         1938/10/21          4.130          MC
023425         1938/10/22          3.170          MC
023425         1938/10/23          2.040          MC
023425         1938/10/24          1.420          MC
023425         1938/10/25          7.620          MC
023425         1938/10/26          5.890          MC
023425         1938/10/27          3.990          MC
023425         1938/10/28          2.690          MC
023425         1938/10/29          2.010          MC
023425         1938/10/30          1.470          MC
023425         1938/10/31          0.990          MC
023425         1938/11/01          0.710          MC
023425         1938/11/02          0.680          MC
023425         1938/11/03          0.480          MC
023425         1938/11/04          0.480          MC
023425         1938/11/05          0.480          MC
023425         1938/11/06          0.510          MC
023425         1938/11/07          0.510          MC
023425         1938/11/08          0.480          MC
023425         1938/11/09          0.710          MC
023425         1938/11/10          0.790          MC
023425         1938/11/11          0.650          MC
023425         1938/11/12          0.540          MC
023425         1938/11/13          0.510          MC
023425         1938/11/14          2.550          MC
023425         1938/11/15          1.730          MC
023425         1938/11/16          1.300          MC
023425         1938/11/17          1.130          MC
023425         1938/11/18          1.840          MC
023425         1938/11/19          2.550          MC
023425         1938/11/20          2.490          MC
023425         1938/11/21          1.870          MC
023425         1938/11/22          2.010          MC
023425         1938/11/23          0.790          MC
023425         1938/11/24          0.820          MC
023425         1938/11/25          2.860          MC
023425         1938/11/26          4.620          MC
023425         1938/11/27          2.490          MC
023425         1938/11/28          1.670          MC
023425         1938/11/29          1.300          MC
023425         1938/11/30          1.470          MC
023425         1938/12/01          1.270          MC
023425         1938/12/02          1.050          MC
023425         1938/12/03          0.930          MC
023425         1938/12/04          1.100          MC
023425         1938/12/05          2.860          MC
023425         1938/12/06          11.30          MC
023425         1938/12/07          22.80          MC
023425         1938/12/08          15.20          MC
023425         1938/12/09          9.320          MC
023425         1938/12/10          7.560          MC
023425         1938/12/11          6.290          MC
023425         1938/12/12          5.240          MC
023425         1938/12/13          4.330          MC
023425         1938/12/14          4.130          MC
023425         1938/12/15          3.260          MC
023425         1938/12/16          0.960          MC
023425         1938/12/17          0.960          MC
023425         1938/12/18          0.960          MC
023425         1938/12/19          0.960          MC
023425         1938/12/20          0.960          MC
023425         1938/12/21          0.960          MC
023425         1938/12/22          0.960          MC
023425         1938/12/23          0.960          MC
023425         1938/12/24          0.960          MC
023425         1938/12/25          0.960          MC
023425         1938/12/26          0.960          MC
023425         1938/12/27          0.960          MC
023425         1938/12/28          0.960          MC
023425         1938/12/29          0.960          MC
023425         1938/12/30          0.960          MC
023425         1938/12/31          0.960          MC
023425         1939/01/01          0.230          MC
023425         1939/01/02          0.230          MC
023425         1939/01/03          0.230          MC
023425         1939/01/04          0.230          MC
023425         1939/01/05          0.230          MC
023425         1939/01/06          0.230          MC
023425         1939/01/07          0.230          MC
023425         1939/01/08          0.230          MC
023425         1939/01/09          0.230          MC
023425         1939/01/10          0.230          MC
023425         1939/01/11          0.230          MC
023425         1939/01/12          0.230          MC
023425         1939/01/13          0.230          MC
023425         1939/01/14          0.230          MC
023425         1939/01/15          0.230          MC
023425         1939/01/16          0.230          MC
023425         1939/01/17          0.230          MC
023425         1939/01/18          0.230          MC
023425         1939/01/19          0.230          MC
023425         1939/01/20          0.230          MC
023425         1939/01/21          0.230          MC
023425         1939/01/22          0.230          MC
023425         1939/01/23          0.230          MC
023425         1939/01/24          0.230          MC
023425         1939/01/25          0.230          MC
023425         1939/01/26          0.230          MC
023425         1939/01/27          0.230          MC
023425         1939/01/28          0.230          MC
023425         1939/01/29          0.230          MC
023425         1939/01/30          0.230          MC
023425         1939/01/31          0.230          MC
023425         1939/02/01          0.057          MC
023425         1939/02/02          0.057          MC
023425         1939/02/03          0.057          MC
023425         1939/02/04          0.057          MC
023425         1939/02/05          0.057          MC
023425         1939/02/06          0.057          MC
023425         1939/02/07          0.057          MC
023425         1939/02/08          0.057          MC
023425         1939/02/09          0.057          MC
023425         1939/02/10          0.057          MC
023425         1939/02/11          0.057          MC
023425         1939/02/12          0.057          MC
023425         1939/02/13          0.057          MC
023425         1939/02/14          0.057          MC
023425         1939/02/15          0.057          MC
023425         1939/02/16          0.057          MC
023425         1939/02/17          0.057          MC
023425         1939/02/18          0.057          MC
023425         1939/02/19          0.057          MC
023425         1939/02/20          0.057          MC
023425         1939/02/21          0.057          MC
023425         1939/02/22          0.057          MC
023425         1939/02/23          0.057          MC
023425         1939/02/24          0.057          MC
023425         1939/02/25          0.057          MC
023425         1939/02/26          0.057          MC
023425         1939/02/27          0.057          MC
023425         1939/02/28          0.057          MC
023425         1939/03/01          0.230          MC
023425         1939/03/02          0.230          MC
023425         1939/03/03          0.230          MC
023425         1939/03/04          0.230          MC
023425         1939/03/05          0.230          MC
023425         1939/03/06          0.230          MC
023425         1939/03/07          0.230          MC
023425         1939/03/08          0.230          MC
023425         1939/03/09          0.230          MC
023425         1939/03/10          0.230          MC
023425         1939/03/11          0.230          MC
023425         1939/03/12          0.230          MC
023425         1939/03/13          0.230          MC
023425         1939/03/14          0.230          MC
023425         1939/03/15          0.230          MC
023425         1939/03/16          0.230          MC
023425         1939/03/17          0.230          MC
023425         1939/03/18          0.230          MC
023425         1939/03/19          0.230          MC
023425         1939/03/20          0.230          MC
023425         1939/03/21          0.230          MC
023425         1939/03/22          0.230          MC
023425         1939/03/23          0.230          MC
023425         1939/03/24          0.230          MC
023425         1939/03/25          0.230          MC
023425         1939/03/26          0.230          MC
023425         1939/03/27          0.230          MC
023425         1939/03/28          0.230          MC
023425         1939/03/29          0.230          MC
023425         1939/03/30          0.230          MC
023425         1939/03/31          0.230          MC
023425         1939/04/01          2.210          MC
023425         1939/04/02          2.210          MC
023425         1939/04/03          2.210          MC
023425         1939/04/04          2.210          MC
023425         1939/04/05          2.210          MC
023425         1939/04/06          2.210          MC
023425         1939/04/07          2.210          MC
023425         1939/04/08          2.210          MC
023425         1939/04/09          2.210          MC
023425         1939/04/10          2.210          MC
023425         1939/04/11          2.210          MC
023425         1939/04/12          2.210          MC
023425         1939/04/13          2.210          MC
023425         1939/04/14          2.210          MC
023425         1939/04/15          2.210          MC
023425         1939/04/16          20.30          MC
023425         1939/04/17          20.30          MC
023425         1939/04/18          20.30          MC
023425         1939/04/19          20.30          MC
023425         1939/04/20          20.30          MC
023425         1939/04/21          20.30          MC
023425         1939/04/22          20.30          MC
023425         1939/04/23          20.30          MC
023425         1939/04/24          20.30          MC
023425         1939/04/25          20.30          MC
023425         1939/04/26          20.30          MC
023425         1939/04/27          20.30          MC
023425         1939/04/28          20.30          MC
023425         1939/04/29          20.30          MC
023425         1939/04/30          20.30          MC
023425         1939/05/01          29.40          MC
023425         1939/05/02          17.60          MC
023425         1939/05/03          17.80          MC
023425         1939/05/04          19.70          MC
023425         1939/05/05          26.20          MC
023425         1939/05/06          17.40          MC
023425         1939/05/07          27.90          MC
023425         1939/05/08          23.50          MC
023425         1939/05/09          25.20          MC
023425         1939/05/10          23.60          MC
023425         1939/05/11          16.70          MC
023425         1939/05/12          10.70          MC
023425         1939/05/13          7.330          MC
023425         1939/05/14          5.800          MC
023425         1939/05/15          4.450          MC
023425         1939/05/16          3.740          MC
023425         1939/05/17          3.230          MC
023425         1939/05/18          3.170          MC
023425         1939/05/19          2.750          MC
023425         1939/05/20          2.630          MC
023425         1939/05/21          2.440          MC
023425         1939/05/22          1.980          MC
023425         1939/05/23          1.930          MC
023425         1939/05/24          1.870          MC
023425         1939/05/25          1.700          MC
023425         1939/05/26          1.470          MC
023425         1939/05/27          1.270          MC
023425         1939/05/28          3.370          MC
023425         1939/05/29          18.50          MC
023425         1939/05/30          10.10          MC
023425         1939/05/31          8.810          MC
023425         1939/06/01          5.950          MC
023425         1939/06/02          4.250          MC
023425         1939/06/03          3.110          MC
023425         1939/06/04          2.180          MC
023425         1939/06/05          3.310          MC
023425         1939/06/06          3.510          MC
023425         1939/06/07          2.800          MC
023425         1939/06/08          2.890          MC
023425         1939/06/09          1.810          MC
023425         1939/06/10          1.900          MC
023425         1939/06/11          1.590          MC
023425         1939/06/12          4.930          MC
023425         1939/06/13          3.990          MC
023425         1939/06/14          6.910          MC
023425         1939/06/15          9.370          MC
023425         1939/06/16          7.050          MC
023425         1939/06/17          5.660          MC
023425         1939/06/18          1.900          MC
023425         1939/06/19          2.380          MC
023425         1939/06/20          1.810          MC
023425         1939/06/21          1.610          MC
023425         1939/06/22          1.250          MC
023425         1939/06/23          0.990          MC
023425         1939/06/24          2.520          MC
023425         1939/06/25          6.910          MC
023425         1939/06/26          4.080          MC
023425         1939/06/27          2.890          MC
023425         1939/06/28          2.150          MC
023425         1939/06/29          1.500          MC
023425         1939/06/30          2.890          MC
023425         1939/07/01          1.810          MC
023425         1939/07/02          4.470          MC
023425         1939/07/03          2.940          MC
023425         1939/07/04          2.040          MC
023425         1939/07/05          1.440          MC
023425         1939/07/06          1.100          MC
023425         1939/07/07          1.220          MC
023425         1939/07/08          1.300          MC
023425         1939/07/09          1.760          MC
023425         1939/07/10          1.130          MC
023425         1939/07/11          0.990          MC
023425         1939/07/12          0.820          MC
023425         1939/07/13          0.680          MC
023425         1939/07/14          0.850          MC
023425         1939/07/15          0.990          MC
023425         1939/07/16          0.740          MC
023425         1939/07/17          0.850          MC
023425         1939/07/18          0.590          MC
023425         1939/07/19          0.570          MC
023425         1939/07/20          0.510          MC
023425         1939/07/21          0.420          MC
023425         1939/07/22          0.340          MC
023425         1939/07/23          0.280          MC
023425         1939/07/24          0.230          MC
023425         1939/07/25          0.170          MC
023425         1939/07/26          0.140          MC
023425         1939/07/27          0.140          MC
023425         1939/07/28          0.140          MC
023425         1939/07/29          1.390          MC
023425         1939/07/30          6.290          MC
