Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1972-06-05
Station:        023428         Du Loup - au pont-route à Saint-Côme--Linière                                                                                                  
Bassin versant: 806 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 46° 3' 30" // -70° 31' 34"

Date de création du fichier: 2012-06-29 21:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
023428         1967/01/01          4.250          R
023428         1967/01/02          4.250          R
023428         1967/01/03          3.960          R
023428         1967/01/04          3.680          R
023428         1967/01/05          3.450          R
023428         1967/01/06          3.260          R
023428         1967/01/07          3.060          R
023428         1967/01/08          2.890          R
023428         1967/01/09          2.780          R
023428         1967/01/10          2.580          R
023428         1967/01/11          2.460          R
023428         1967/01/12          2.320          R
023428         1967/01/13          2.240          R
023428         1967/01/14          2.150          R
023428         1967/01/15          2.040          R
023428         1967/01/16          1.970          R
023428         1967/01/17          1.880          R
023428         1967/01/18          1.830          R
023428         1967/01/19          1.760          R
023428         1967/01/20          1.700          R
023428         1967/01/21          1.660          R
023428         1967/01/22          1.730          R
023428         1967/01/23          2.010          R
023428         1967/01/24          2.380          R
023428         1967/01/25          2.580          R
023428         1967/01/26          2.460          R
023428         1967/01/27          2.290          R
023428         1967/01/28          2.040          R
023428         1967/01/29          1.840          R
023428         1967/01/30          1.700          R
023428         1967/01/31          1.530          R
023428         1967/02/01          1.360          R
023428         1967/02/02          1.250          R
023428         1967/02/03          1.160          R
023428         1967/02/04          1.080          R
023428         1967/02/05          1.020          R
023428         1967/02/06          0.960          R
023428         1967/02/07          0.920          R
023428         1967/02/08          0.880          R
023428         1967/02/09          0.850          R
023428         1967/02/10          0.820          R
023428         1967/02/11          0.800          R
023428         1967/02/12          0.790          R
023428         1967/02/13          0.760          R
023428         1967/02/14          0.750          R
023428         1967/02/15          0.740          R
023428         1967/02/16          0.740          R
023428         1967/02/17          0.730          R
023428         1967/02/18          0.720          R
023428         1967/02/19          0.720          R
023428         1967/02/20          0.710          R
023428         1967/02/21          0.710          R
023428         1967/02/22          0.700          R
023428         1967/02/23          0.700          R
023428         1967/02/24          0.690          R
023428         1967/02/25          0.690          R
023428         1967/02/26          0.680          R
023428         1967/02/27          0.680          R
023428         1967/02/28          0.670          R
023428         1967/03/01          0.670          R
023428         1967/03/02          0.660          R
023428         1967/03/03          0.660          R
023428         1967/03/04          0.650          R
023428         1967/03/05          0.650          R
023428         1967/03/06          0.650          R
023428         1967/03/07          0.640          R
023428         1967/03/08          0.640          R
023428         1967/03/09          0.640          R
023428         1967/03/10          0.630          R
023428         1967/03/11          0.630          R
023428         1967/03/12          0.630          R
023428         1967/03/13          0.630          R
023428         1967/03/14          0.630          R
023428         1967/03/15          0.620          R
023428         1967/03/16          0.620          R
023428         1967/03/17          0.620          R
023428         1967/03/18          0.620          R
023428         1967/03/19          0.620          R
023428         1967/03/20          0.620          R
023428         1967/03/21          0.620          R
023428         1967/03/22          0.630          R
023428         1967/03/23          0.630          R
023428         1967/03/24          0.650          R
023428         1967/03/25          0.670          R
023428         1967/03/26          0.710          R
023428         1967/03/27          0.810          R
023428         1967/03/28          1.530          R
023428         1967/03/29          2.830          R
023428         1967/03/30          4.810          R
023428         1967/03/31          17.00          R
023428         1967/04/01          22.70          R
023428         1967/04/02          31.10          R
023428         1967/04/03          61.70          R
023428         1967/04/04          53.20          R
023428         1967/04/05          46.70          R
023428         1967/04/06          42.50          R
023428         1967/04/07          35.40          MC
023428         1967/04/08          26.80          MC
023428         1967/04/09          28.20          MC
023428         1967/04/10          49.60          E
023428         1967/04/11          53.80          MC
023428         1967/04/12          42.20          MC
023428         1967/04/13          32.60          MC
023428         1967/04/14          31.70          MC
023428         1967/04/15          36.00          MC
023428         1967/04/16          28.60          MC
023428         1967/04/17          22.30          MC
023428         1967/04/18          26.20          MC
023428         1967/04/19          24.80          MC
023428         1967/04/20          25.90          MC
023428         1967/04/21          27.00          MC
023428         1967/04/22          36.20          MC
023428         1967/04/23          51.50          MC
023428         1967/04/24          41.60          MC
023428         1967/04/25          34.80          MC
023428         1967/04/26          32.30          MC
023428         1967/04/27          34.50          MC
023428         1967/04/28          38.50          MC
023428         1967/04/29          40.80          MC
023428         1967/04/30          39.60          MC
023428         1967/05/01          42.80          MC
023428         1967/05/02          58.00          MC
023428         1967/05/03          130.0          MC
023428         1967/05/04          123.0          MC
023428         1967/05/05          74.50          MC
023428         1967/05/06          48.70          MC
023428         1967/05/07          34.50          MC
023428         1967/05/08          32.30          MC
023428         1967/05/09          35.40          MC
023428         1967/05/10          43.90          MC
023428         1967/05/11          44.20          MC
023428         1967/05/12          41.30          MC
023428         1967/05/13          34.50          MC
023428         1967/05/14          28.00          MC
023428         1967/05/15          25.70          MC
023428         1967/05/16          33.40          MC
023428         1967/05/17          32.80          MC
023428         1967/05/18          30.90          MC
023428         1967/05/19          34.50          MC
023428         1967/05/20          60.60          MC
023428         1967/05/21          64.60          MC
023428         1967/05/22          46.40          MC
023428         1967/05/23          32.30          MC
023428         1967/05/24          26.40          MC
023428         1967/05/25          22.50          MC
023428         1967/05/26          34.30          MC
023428         1967/05/27          42.20          MC
023428         1967/05/28          35.40          MC
023428         1967/05/29          26.70          MC
023428         1967/05/30          21.40          MC
023428         1967/05/31          18.10          MC
023428         1967/06/01          15.70          MC
023428         1967/06/02          13.80          MC
023428         1967/06/03          12.50          MC
023428         1967/06/04          11.00          MC
023428         1967/06/05          9.770          MC
023428         1967/06/06          8.520          MC
023428         1967/06/07          7.700          MC
023428         1967/06/08          7.480          MC
023428         1967/06/09          9.430          MC
023428         1967/06/10          26.20          MC
023428         1967/06/11          25.80          MC
023428         1967/06/12          19.80          MC
023428         1967/06/13          21.40          MC
023428         1967/06/14          16.20          MC
023428         1967/06/15          18.30          MC
023428         1967/06/16          22.10          MC
023428         1967/06/17          54.70          MC
023428         1967/06/18          72.80          MC
023428         1967/06/19          42.80          MC
023428         1967/06/20          25.40          MC
023428         1967/06/21          17.90          MC
023428         1967/06/22          16.80          MC
023428         1967/06/23          20.90          MC
023428         1967/06/24          18.50          MC
023428         1967/06/25          15.70          MC
023428         1967/06/26          21.60          MC
