Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-04-26, préliminaires par la suite
Station:        023429         Chaudière - à 0,1 km en aval du barrage Sartigan                                                                                               
Bassin versant: 3085 km²       Régime: Influencé mensuellement                           
Coordonnées:    (NAD83) 46° 5' 47" // -70° 39' 16"

Date de création du fichier: 2019-11-25 20:00
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
023429         1969/01/01          14.90          MC
023429         1969/01/02          10.30          MC
023429         1969/01/03          8.010          MC
023429         1969/01/04          8.350          MC
023429         1969/01/05          8.350          MC
023429         1969/01/06          10.60          MC
023429         1969/01/07          13.70          MC
023429         1969/01/08          9.880          MC
023429         1969/01/09          7.420          MC
023429         1969/01/10          5.550          MC
023429         1969/01/11          3.990          MC
023429         1969/01/12          5.070          MC
023429         1969/01/13          4.620          MC
023429         1969/01/14          3.540          MC
023429         1969/01/15          2.580          MC
023429         1969/01/16          1.930          MC
023429         1969/01/17          4.700          MC
023429         1969/01/18          7.870          MC
023429         1969/01/19          6.340          MC
023429         1969/01/20          4.330          MC
023429         1969/01/21          5.410          MC
023429         1969/01/22          6.060          MC
023429         1969/01/23          5.970          MC
023429         1969/01/24          8.520          MC
023429         1969/01/25          8.210          MC
023429         1969/01/26          7.960          MC
023429         1969/01/27          11.90          MC
023429         1969/01/28          28.60          MC
023429         1969/01/29          38.50          MC
023429         1969/01/30          28.90          MC
023429         1969/01/31          22.50          MC
023429         1969/02/01          18.70          MC
023429         1969/02/02          15.90          MC
023429         1969/02/03          13.00          MC
023429         1969/02/04          8.180          MC
023429         1969/02/05          3.450          MC
023429         1969/02/06          4.640          MC
023429         1969/02/07          4.900          MC
023429         1969/02/08          6.290          MC
023429         1969/02/09          11.20          MC
023429         1969/02/10          10.40          MC
023429         1969/02/11          7.220          MC
023429         1969/02/12          7.420          MC
023429         1969/02/13          7.420          MC
023429         1969/02/14          7.420          MC
023429         1969/02/15          7.420          MC
023429         1969/02/16          7.420          MC
023429         1969/02/17          7.420          MC
023429         1969/02/18          7.420          MC
023429         1969/02/19          7.420          MC
023429         1969/02/20          7.420          MC
023429         1969/02/21          7.420          MC
023429         1969/02/22          7.420          MC
023429         1969/02/23          7.420          MC
023429         1969/02/24          7.420          MC
023429         1969/02/25          7.420          MC
023429         1969/02/26          7.420          MC
023429         1969/02/27          7.420          MC
023429         1969/02/28          7.420          MC
023429         1969/03/01          7.420          MC
023429         1969/03/02          7.420          MC
023429         1969/03/03          7.420          MC
023429         1969/03/04          5.300          MC
023429         1969/03/05          3.200          MC
023429         1969/03/06          3.200          MC
023429         1969/03/07          4.080          MC
023429         1969/03/08          5.970          MC
023429         1969/03/09          12.10          MC
023429         1969/03/10          15.30          MC
023429         1969/03/11          11.40          MC
023429         1969/03/12          8.550          MC
023429         1969/03/13          9.060          MC
023429         1969/03/14          9.170          MC
023429         1969/03/15          8.330          MC
023429         1969/03/16          6.430          MC
023429         1969/03/17          5.410          MC
023429         1969/03/18          8.010          MC
023429         1969/03/19          9.600          MC
023429         1969/03/20          11.50          MC
023429         1969/03/21          13.80          MC
023429         1969/03/22          16.80          MC
023429         1969/03/23          21.60          MC
023429         1969/03/24          32.30          MC
023429         1969/03/25          40.80          MC
023429         1969/03/26          44.20          MC
023429         1969/03/27          45.60          MC
023429         1969/03/28          41.60          MC
023429         1969/03/29          37.10          MC
023429         1969/03/30          29.40          MC
023429         1969/03/31          24.20          MC
023429         1969/04/01          23.50          MC
023429         1969/04/02          20.50          MC
023429         1969/04/03          16.50          MC
023429         1969/04/04          17.90          MC
023429         1969/04/05          23.20          MC
023429         1969/04/06          27.60          MC
023429         1969/04/07          35.10          MC
023429         1969/04/08          44.20          MC
023429         1969/04/09          54.90          MC
023429         1969/04/10          166.0          MC
023429         1969/04/11          279.0          MC
023429         1969/04/12          270.0          MC
023429         1969/04/13          277.0          MC
023429         1969/04/14          476.0          MC
023429         1969/04/15          493.0          MC
023429         1969/04/16          603.0          MC
023429         1969/04/17          810.0          MC
023429         1969/04/18          535.0          MC
023429         1969/04/19          362.0          MC
023429         1969/04/20          276.0          MC
023429         1969/04/21          232.0          MC
023429         1969/04/22          232.0          MC
023429         1969/04/23          250.0          MC
023429         1969/04/24          229.0          MC
023429         1969/04/25          206.0          MC
023429         1969/04/26          193.0          MC
023429         1969/04/27          208.0          MC
023429         1969/04/28          374.0          MC
023429         1969/04/29          530.0          MC
023429         1969/04/30          439.0          MC
023429         1969/05/01          314.0          MC
023429         1969/05/02          317.0          MC
023429         1969/05/03          323.0          MC
023429         1969/05/04          317.0          MC
023429         1969/05/05          286.0          MC
023429         1969/05/06          236.0          MC
023429         1969/05/07          209.0          MC
023429         1969/05/08          264.0          MC
023429         1969/05/09          408.0          MC
023429         1969/05/10          402.0          MC
023429         1969/05/11          297.0          MC
023429         1969/05/12          268.0          MC
023429         1969/05/13          243.0          MC
023429         1969/05/14          211.0          MC
023429         1969/05/15          181.0          MC
023429         1969/05/16          161.0          MC
023429         1969/05/17          218.0          MC
023429         1969/05/18          267.0          MC
023429         1969/05/19          256.0          MC
023429         1969/05/20          343.0          MC
023429         1969/05/21          343.0          MC
023429         1969/05/22          225.0          MC
023429         1969/05/23          170.0          MC
023429         1969/05/24          139.0          MC
023429         1969/05/25          118.0          MC
023429         1969/05/26          102.0          MC
023429         1969/05/27          87.50          MC
023429         1969/05/28          79.60          MC
023429         1969/05/29          73.10          MC
023429         1969/05/30          63.10          MC
023429         1969/05/31          53.80          MC
023429         1969/06/01          47.00          MC
023429         1969/06/02          46.70          MC
023429         1969/06/03          53.20          MC
023429         1969/06/04          53.50          MC
023429         1969/06/05          44.50          MC
023429         1969/06/06          39.60          MC
023429         1969/06/07          38.80          MC
023429         1969/06/08          71.60          MC
023429         1969/06/09          105.0          MC
023429         1969/06/10          104.0          MC
023429         1969/06/11          104.0          MC
023429         1969/06/12          103.0          MC
023429         1969/06/13          51.50          MC
023429         1969/06/14          46.20          MC
023429         1969/06/15          59.50          MC
023429         1969/06/16          111.0          MC
023429         1969/06/17          110.0          MC
023429         1969/06/18          108.0          MC
023429         1969/06/19          106.0          MC
023429         1969/06/20          56.90          MC
023429         1969/06/21          13.40          MC
023429         1969/06/22          20.60          MC
023429         1969/06/23          24.90          MC
023429         1969/06/24          42.50          MC
023429         1969/06/25          53.20          MC
023429         1969/06/26          41.90          MC
023429         1969/06/27          30.60          MC
023429         1969/06/28          25.50          MC
023429         1969/06/29          22.30          MC
023429         1969/06/30          27.90          MC
023429         1969/07/01          61.70          MC
023429         1969/07/02          67.40          MC
023429         1969/07/03          39.40          MC
023429         1969/07/04          28.00          MC
023429         1969/07/05          29.40          MC
023429         1969/07/06          33.40          MC
023429         1969/07/07          27.40          MC
023429         1969/07/08          19.70          MC
023429         1969/07/09          15.10          MC
023429         1969/07/10          12.40          MC
023429         1969/07/11          17.80          MC
023429         1969/07/12          70.20          MC
023429         1969/07/13          100.0          MC
023429         1969/07/14          65.40          MC
023429         1969/07/15          37.40          MC
023429         1969/07/16          22.70          MC
023429         1969/07/17          15.50          MC
023429         1969/07/18          12.50          MC
023429         1969/07/19          10.00          MC
023429         1969/07/20          7.450          MC
023429         1969/07/21          12.70          MC
023429         1969/07/22          16.50          MC
023429         1969/07/23          11.60          MC
023429         1969/07/24          7.280          MC
023429         1969/07/25          4.810          MC
023429         1969/07/26          3.310          MC
023429         1969/07/27          3.060          MC
023429         1969/07/28          3.280          MC
023429         1969/07/29          4.980          MC
023429         1969/07/30          9.120          MC
023429         1969/07/31          10.00          MC
023429         1969/08/01          6.940          MC
