Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-30, préliminaires par la suite
Station:        023432         Bras d'Henri - à 2,3 km de la Beaurivage                                                                                                       
Bassin versant: 154 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 46° 32' 25" // -71° 20' 24"

Date de création du fichier: 2019-11-30 06:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
023432         1972/06/28          1.290          J
023432         1972/06/29          0.670          MC
023432         1972/06/30          0.610          J
023432         1972/07/01          0.620          MC
023432         1972/07/02          2.620          MC
023432         1972/07/03          1.590          MC
023432         1972/07/04          3.820          MC
023432         1972/07/05          1.440          MC
023432         1972/07/06          0.890          MC
023432         1972/07/07          1.350          MC
023432         1972/07/08          4.130          MC
023432         1972/07/09          6.880          MC
023432         1972/07/10          1.950          MC
023432         1972/07/11          2.090          MC
023432         1972/07/12          1.250          MC
023432         1972/07/13          3.090          MC
023432         1972/07/14          5.210          MC
023432         1972/07/15          3.310          MC
023432         1972/07/16          7.560          MC
023432         1972/07/17          5.720          J
023432         1972/07/18          2.450          MC
023432         1972/07/19          1.740          MC
023432         1972/07/20          1.380          MC
023432         1972/07/21          1.050          J
023432         1972/07/22          0.860          MC
023432         1972/07/23          0.740          MC
023432         1972/07/24          0.660          MC
023432         1972/07/25          0.610          MC
023432         1972/07/26          0.600          MC
023432         1972/07/27          0.590          MC
023432         1972/07/28          0.670          MC
023432         1972/07/29          1.100          MC
023432         1972/07/30          0.700          MC
023432         1972/07/31          0.600          MC
023432         1972/08/01          0.560          MC
023432         1972/08/02          0.540          MC
023432         1972/08/03          3.140          MC
023432         1972/08/04          8.550          MC
023432         1972/08/05          2.410          MC
023432         1972/08/06          1.240          MC
023432         1972/08/07          0.930          MC
023432         1972/08/08          18.60          MC
023432         1972/08/09          11.20          MC
023432         1972/08/10          14.50          MC
023432         1972/08/11          5.350          MC
023432         1972/08/12          2.710          MC
023432         1972/08/13          2.540          MC
023432         1972/08/14          1.850          MC
023432         1972/08/15          1.230          MC
023432         1972/08/16          0.920          MC
023432         1972/08/17          0.810          MC
023432         1972/08/18          0.810          MC
023432         1972/08/19          1.210          MC
023432         1972/08/20          0.830          MC
023432         1972/08/21          0.710          MC
023432         1972/08/22          1.170          MC
023432         1972/08/23          7.050          MC
023432         1972/08/24          4.050          MC
023432         1972/08/25          5.070          MC
023432         1972/08/26          7.530          MC
023432         1972/08/27          2.230          MC
023432         1972/08/28          2.700          MC
023432         1972/08/29          2.970          MC
023432         1972/08/30          1.440          MC
023432         1972/08/31          1.030          MC
023432         1972/09/01          0.810          MC
