Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2007-08-02
Station:        023442         Des Îles Brulées - à Saint-Bernard                                                                                                             
Bassin versant: 25 km²         Régime: Naturel                                           
Coordonnées:    (NAD83) 46° 30' 29" // -71° 9' 11"

Date de création du fichier: 2012-07-01 03:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
023442         1999/11/18          0.2214         MJ
023442         1999/11/19          0.2167         MJ
023442         1999/11/20          0.4767         MJ
023442         1999/11/21          0.6572         MJ
023442         1999/11/22          0.3973         MJ
023442         1999/11/23          0.3643         MJ
023442         1999/11/24          0.3081         MJ
023442         1999/11/25          0.2575         MJ
023442         1999/11/26          0.9077         MJ
023442         1999/11/27          1.984          MJ
023442         1999/11/28          1.039          MJ
023442         1999/11/29          0.5617         MJ
023442         1999/11/30          0.3672         MJ
023442         1999/12/01          0.3692         MJ
023442         1999/12/02          0.440          MJ
023442         1999/12/03          0.2501         MJ
023442         1999/12/04          0.2826         MJ
023442         1999/12/05          0.3217         MJ
023442         1999/12/06          0.5546         MJ
023442         1999/12/07          0.560          MJ
023442         1999/12/08          0.3642         MJ
023442         1999/12/09          0.3028         MJ
023442         1999/12/10          0.3244         MJ
023442         1999/12/11          0.5444         MJ
023442         1999/12/12          0.3824         MJ
023442         1999/12/13          0.3369         MJ
023442         1999/12/14          0.2971         MJ
023442         1999/12/15          0.275          MJ
023442         1999/12/16          0.2782         MJ
023442         1999/12/17          0.2613         MJ
023442         1999/12/18          0.3917         MJ
023442         1999/12/19          0.2775         MJ
023442         1999/12/20          0.2485         MJ
023442         1999/12/21          0.440          R
023442         1999/12/22          0.278          R
023442         1999/12/23          0.219          R
023442         1999/12/24          0.199          R
023442         1999/12/25          0.186          R
023442         1999/12/26          0.175          R
023442         1999/12/27          0.168          R
023442         1999/12/28          0.161          R
023442         1999/12/29          0.153          R
023442         1999/12/30          0.148          R
023442         1999/12/31          0.143          R
023442         2000/01/01          0.136          R
023442         2000/01/02          0.131          R
023442         2000/01/03          0.124          R
023442         2000/01/04          0.245          R
023442         2000/01/05          0.578          R
023442         2000/01/06          0.205          R
023442         2000/01/07          0.156          R
023442         2000/01/08          0.139          R
023442         2000/01/09          0.127          R
023442         2000/01/10          0.120          R
023442         2000/01/11          0.111          R
023442         2000/01/12          0.152          R
023442         2000/01/13          0.120          R
023442         2000/01/14          0.108          R
023442         2000/01/15          0.103          R
023442         2000/01/16          0.098          R
023442         2000/01/17          0.093          R
023442         2000/01/18          0.089          R
023442         2000/01/19          0.085          R
023442         2000/01/20          0.082          R
023442         2000/01/21          0.078          R
023442         2000/01/22          0.075          R
023442         2000/01/23          0.073          R
023442         2000/01/24          0.071          R
023442         2000/01/25          0.070          R
023442         2000/01/26          0.068          R
023442         2000/01/27          0.067          R
023442         2000/01/28          0.065          R
023442         2000/01/29          0.064          R
023442         2000/01/30          0.063          R
023442         2000/01/31          0.062          R
023442         2000/02/01          0.061          R
023442         2000/02/02          0.060          R
023442         2000/02/03          0.060          R
023442         2000/02/04          0.059          R
023442         2000/02/05          0.059          R
023442         2000/02/06          0.058          R
023442         2000/02/07          0.057          R
023442         2000/02/08          0.057          R
023442         2000/02/09          0.056          R
023442         2000/02/10          0.056          R
023442         2000/02/11          0.056          R
023442         2000/02/12          0.055          R
023442         2000/02/13          0.055          R
023442         2000/02/14          0.054          R
023442         2000/02/15          0.054          R
023442         2000/02/16          0.054          R
023442         2000/02/17          0.054          R
023442         2000/02/18          0.054          R
023442         2000/02/19          0.054          R
023442         2000/02/20          0.054          R
023442         2000/02/21          0.054          R
023442         2000/02/22          0.054          R
023442         2000/02/23          0.055          R
023442         2000/02/24          0.055          R
023442         2000/02/25          0.056          R
023442         2000/02/26          0.059          R
023442         2000/02/27          0.062          R
023442         2000/02/28          0.065          R
023442         2000/02/29          1.414          R
023442         2000/03/01          1.180          R
023442         2000/03/02          0.879          R
023442         2000/03/03          0.665          R
023442         2000/03/04          0.539          R
023442         2000/03/05          0.437          R
023442         2000/03/06          0.352          R
023442         2000/03/07          0.334          R
023442         2000/03/08          0.335          R
023442         2000/03/09          0.512          R
023442         2000/03/10          0.821          R
023442         2000/03/11          1.041          R
023442         2000/03/12          0.6169         R
023442         2000/03/13          0.5034         R
023442         2000/03/14          0.4038         R
023442         2000/03/15          0.334          R
023442         2000/03/16          0.460          R
023442         2000/03/17          1.014          R
023442         2000/03/18          0.710          R
023442         2000/03/19          0.5563         R
023442         2000/03/20          0.466          R
023442         2000/03/21          0.392          R
023442         2000/03/22          0.7913         MJ
023442         2000/03/23          2.097          MJ
023442         2000/03/24          3.028          MJ
023442         2000/03/25          2.814          MJ
023442         2000/03/26          3.108          MJ
023442         2000/03/27          2.925          MJ
023442         2000/03/28          2.886          MJ
023442         2000/03/29          2.730          MJ
023442         2000/03/30          1.805          MJ
023442         2000/03/31          1.583          MJ
023442         2000/04/01          1.722          MJ
023442         2000/04/02          1.708          MJ
023442         2000/04/03          1.635          MJ
023442         2000/04/04          2.489          MJ
023442         2000/04/05          1.694          MJ
023442         2000/04/06          1.098          MJ
023442         2000/04/07          0.952          MJ
023442         2000/04/08          1.556          MJ
023442         2000/04/09          2.889          MJ
023442         2000/04/10          1.324          MJ
023442         2000/04/11          0.8609         MJ
023442         2000/04/12          0.6927         MJ
023442         2000/04/13          0.6461         MJ
023442         2000/04/14          0.7669         MJ
023442         2000/04/15          1.190          MJ
023442         2000/04/16          0.8815         MJ
023442         2000/04/17          0.5824         MJ
023442         2000/04/18          0.4956         MJ
023442         2000/04/19          0.4714         MJ
023442         2000/04/20          0.4711         MJ
023442         2000/04/21          0.4125         MJ
023442         2000/04/22          0.4361         MJ
023442         2000/04/23          1.505          MJ
023442         2000/04/24          2.085          MJ
023442         2000/04/25          1.087          MJ
023442         2000/04/26          0.6597         MJ
023442         2000/04/27          0.4977         MJ
023442         2000/04/28          0.4624         MJ
023442         2000/04/29          0.4018         MJ
023442         2000/04/30          0.3321         MJ
023442         2000/05/01          0.3039         MJ
023442         2000/05/02          0.3263         MJ
023442         2000/05/03          0.2666         MJ
023442         2000/05/04          0.2517         MJ
023442         2000/05/05          0.2378         MJ
023442         2000/05/06          0.2229         MJ
023442         2000/05/07          0.2908         MJ
023442         2000/05/08          0.3382         MJ
023442         2000/05/09          0.9442         MJ
023442         2000/05/10          1.645          MJ
023442         2000/05/11          2.476          MJ
023442         2000/05/12          0.9875         MJ
023442         2000/05/13          0.6483         MJ
023442         2000/05/14          0.5276         MJ
023442         2000/05/15          0.3816         MJ
023442         2000/05/16          0.3319         MJ
023442         2000/05/17          0.2921         MJ
023442         2000/05/18          1.503          MJ
023442         2000/05/19          0.9915         MJ
023442         2000/05/20          0.5133         MJ
023442         2000/05/21          0.3839         MJ
023442         2000/05/22          0.325          MJ
023442         2000/05/23          0.3147         MJ
023442         2000/05/24          0.3084         MJ
023442         2000/05/25          0.320          MJ
023442         2000/05/26          0.470          MJ
023442         2000/05/27          0.3668         MJ
023442         2000/05/28          0.3057         MJ
023442         2000/05/29          0.2602         MJ
023442         2000/05/30          0.2436         MJ
023442         2000/05/31          0.2152         MJ
023442         2000/06/01          0.2106         MJ
023442         2000/06/02          0.1869         MJ
023442         2000/06/03          0.2099         MJ
023442         2000/06/04          0.1855         MJ
023442         2000/06/05          0.1699         MJ
023442         2000/06/06          0.166          MJ
023442         2000/06/07          0.162          MJ
023442         2000/06/08          0.1641         MJ
023442         2000/06/09          0.1771         MJ
023442         2000/06/10          0.1676         MJ
023442         2000/06/11          0.194          MJ
023442         2000/06/12          0.1611         MJ
023442         2000/06/13          0.1423         MJ
023442         2000/06/14          0.1339         MJ
023442         2000/06/15          0.1316         MJ
023442         2000/06/16          0.1277         MJ
023442         2000/06/17          0.119          MJ
023442         2000/06/18          0.1163         MJ
023442         2000/06/19          0.1072         MJ
023442         2000/06/20          0.1059         MJ
023442         2000/06/21          0.101          MJ
023442         2000/06/22          0.2523         MJ
023442         2000/06/23          0.1324         MJ
023442         2000/06/24          0.1014         MJ
023442         2000/06/25          0.1736         MJ
023442         2000/06/26          0.514          MJ
023442         2000/06/27          1.038          MJ
023442         2000/06/28          0.3189         MJ
023442         2000/06/29          0.1678         MJ
023442         2000/06/30          0.4757         MJ
023442         2000/07/01          0.2801         MJ
023442         2000/07/02          0.1889         MJ
023442         2000/07/03          0.2495         MJ
023442         2000/07/04          0.2007         MJ
023442         2000/07/05          0.3604         MJ
023442         2000/07/06          0.1835         MJ
023442         2000/07/07          0.1526         MJ
023442         2000/07/08          0.1507         MJ
023442         2000/07/09          0.1498         MJ
023442         2000/07/10          0.2587         MJ
023442         2000/07/11          0.2056         MJ
023442         2000/07/12          0.1563         MJ
023442         2000/07/13          0.1257         MJ
023442         2000/07/14          0.1154         MJ
023442         2000/07/15          0.1067         MJ
023442         2000/07/16          0.1067         MJ
023442         2000/07/17          0.1092         MJ
023442         2000/07/18          0.1016         MJ
023442         2000/07/19          0.143          MJ
023442         2000/07/20          0.1274         MJ
023442         2000/07/21          0.1002         MJ
023442         2000/07/22          0.1042         MJ
023442         2000/07/23          0.0948         MJ
023442         2000/07/24          0.095          MJ
023442         2000/07/25          0.079          MJ
023442         2000/07/26          0.0774         MJ
023442         2000/07/27          0.0729         MJ
023442         2000/07/28          0.0725         MJ
023442         2000/07/29          0.0677         MJ
023442         2000/07/30          0.0627         MJ
023442         2000/07/31          0.059          MJ
023442         2000/08/01          0.0653         MJ
023442         2000/08/02          0.0703         MJ
023442         2000/08/03          0.2984         MJ
023442         2000/08/04          0.101          MJ
023442         2000/08/05          0.0745         MJ
023442         2000/08/06          0.0653         MJ
023442         2000/08/07          0.0662         MJ
023442         2000/08/08          0.0967         MJ
023442         2000/08/09          0.1313         MJ
023442         2000/08/10          0.1201         MJ
