Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2006-05-19
Station:        023443         Bras d'Henri - à 0.5 km en amont du pont route St-Michel                                                                                       
Bassin versant: 47.4 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 46° 30' 32" // -71° 13' 4"

Date de création du fichier: 2012-07-01 03:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
023443         1999/11/25          0.4958         MJ
023443         1999/11/26          1.934          MJ
023443         1999/11/27          5.121          MJ
023443         1999/11/28          2.324          MJ
023443         1999/11/29          1.276          MJ
023443         1999/11/30          0.8185         MJ
023443         1999/12/01          0.7424         MJ
023443         1999/12/02          0.8632         MJ
023443         1999/12/03          0.5181         MJ
023443         1999/12/04          0.535          MJ
023443         1999/12/05          0.6302         MJ
023443         1999/12/06          1.133          MJ
023443         1999/12/07          1.236          MJ
023443         1999/12/08          0.7982         MJ
023443         1999/12/09          0.6216         MJ
023443         1999/12/10          0.6341         MJ
023443         1999/12/11          1.179          MJ
023443         1999/12/12          0.8326         MJ
023443         1999/12/13          0.7065         MJ
023443         1999/12/14          0.6119         MJ
023443         1999/12/15          0.6108         MJ
023443         1999/12/16          0.5426         MJ
023443         1999/12/17          0.6203         MJ
023443         1999/12/18          1.373          MJ
023443         1999/12/19          0.6289         MJ
023443         1999/12/20          0.4642         MJ
023443         1999/12/21          0.630          R
023443         1999/12/22          0.5385         R
023443         1999/12/23          0.503          R
023443         1999/12/24          0.4624         R
023443         1999/12/25          0.433          R
023443         1999/12/26          0.401          R
023443         1999/12/27          0.372          R
023443         1999/12/28          0.352          R
023443         1999/12/29          0.329          R
023443         1999/12/30          0.313          R
023443         1999/12/31          0.302          R
023443         2000/01/01          0.287          R
023443         2000/01/02          0.272          R
023443         2000/01/03          0.264          R
023443         2000/01/04          0.304          R
023443         2000/01/05          0.571          R
023443         2000/01/06          0.378          R
023443         2000/01/07          0.293          R
023443         2000/01/08          0.244          R
023443         2000/01/09          0.223          R
023443         2000/01/10          0.208          R
023443         2000/01/11          0.221          R
023443         2000/01/12          0.270          R
023443         2000/01/13          0.219          R
023443         2000/01/14          0.202          R
023443         2000/01/15          0.194          R
023443         2000/01/16          0.187          R
023443         2000/01/17          0.179          R
023443         2000/01/18          0.173          R
023443         2000/01/19          0.170          R
023443         2000/01/20          0.167          R
023443         2000/01/21          0.161          R
023443         2000/01/22          0.159          R
023443         2000/01/23          0.156          R
023443         2000/01/24          0.154          R
023443         2000/01/25          0.154          R
023443         2000/01/26          0.152          R
023443         2000/01/27          0.148          R
023443         2000/01/28          0.144          R
023443         2000/01/29          0.143          R
023443         2000/01/30          0.142          R
023443         2000/01/31          0.140          R
023443         2000/02/01          0.139          R
023443         2000/02/02          0.137          R
023443         2000/02/03          0.135          R
023443         2000/02/04          0.133          R
023443         2000/02/05          0.133          R
023443         2000/02/06          0.130          R
023443         2000/02/07          0.129          R
023443         2000/02/08          0.129          R
023443         2000/02/09          0.127          R
023443         2000/02/10          0.126          R
023443         2000/02/11          0.123          R
023443         2000/02/12          0.122          R
023443         2000/02/13          0.119          R
023443         2000/02/14          0.118          R
023443         2000/02/15          0.117          R
023443         2000/02/16          0.115          R
023443         2000/02/17          0.114          R
023443         2000/02/18          0.113          R
023443         2000/02/19          0.112          R
023443         2000/02/20          0.110          R
023443         2000/02/21          0.108          R
023443         2000/02/22          0.108          R
023443         2000/02/23          0.108          R
023443         2000/02/24          0.1084         R
023443         2000/02/25          0.113          R
023443         2000/02/26          0.116          R
023443         2000/02/27          0.129          R
023443         2000/02/28          0.806          R
023443         2000/02/29          2.670          R
023443         2000/03/01          2.384          R
023443         2000/03/02          2.106          R
023443         2000/03/03          1.891          R
023443         2000/03/04          1.656          R
023443         2000/03/05          1.442          R
023443         2000/03/06          1.248          R
023443         2000/03/07          1.065          R
023443         2000/03/08          0.903          R
023443         2000/03/09          0.775          R
023443         2000/03/10          0.645          R
023443         2000/03/11          1.390          R
023443         2000/03/12          1.162          R
023443         2000/03/13          0.948          R
023443         2000/03/14          0.724          R
023443         2000/03/15          0.569          R
023443         2000/03/16          0.898          R
023443         2000/03/17          1.589          R
023443         2000/03/18          1.272          R
023443         2000/03/19          1.007          R
023443         2000/03/20          0.795          R
023443         2000/03/21          0.597          R
023443         2000/03/22          1.003          R
023443         2000/03/23          1.791          R
023443         2000/03/24          2.936          R
023443         2000/03/25          4.629          R
023443         2000/03/26          7.116          R
023443         2000/03/27          12.76          MJ
023443         2000/03/28          11.91          MJ
023443         2000/03/29          10.27          MJ
023443         2000/03/30          6.097          MJ
023443         2000/03/31          4.667          MJ
023443         2000/04/01          5.107          MJ
023443         2000/04/02          5.284          MJ
023443         2000/04/03          5.368          MJ
023443         2000/04/04          9.041          MJ
023443         2000/04/05          5.651          MJ
023443         2000/04/06          3.339          MJ
023443         2000/04/07          2.323          MJ
023443         2000/04/08          4.218          MJ
023443         2000/04/09          10.05          MJ
023443         2000/04/10          4.269          MJ
023443         2000/04/11          2.419          MJ
023443         2000/04/12          1.937          MJ
023443         2000/04/13          1.784          MJ
023443         2000/04/14          1.778          MJ
023443         2000/04/15          2.824          MJ
023443         2000/04/16          2.307          MJ
023443         2000/04/17          1.489          MJ
023443         2000/04/18          1.318          MJ
023443         2000/04/19          1.212          MJ
