Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-30, préliminaires par la suite
Station:        023702         Petite rivière du Chêne - à 250 m du pont-route 265 à Deschaillons                                                                             
Bassin versant: 385 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 46° 32' 26" // -72° 5' 36"

Date de création du fichier: 2019-11-30 01:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
023702         2007/01/11          5.730          R
023702         2007/01/12          5.170          R
023702         2007/01/13          4.680          R
023702         2007/01/14          4.250          R
023702         2007/01/15          3.880          R
023702         2007/01/16          3.560          R
023702         2007/01/17          3.280          R
023702         2007/01/18          3.030          R
023702         2007/01/19          2.810          R
023702         2007/01/20          2.620          R
023702         2007/01/21          2.440          R
023702         2007/01/22          2.290          R
023702         2007/01/23          2.160          R
023702         2007/01/24          2.040          R
023702         2007/01/25          1.930          R
023702         2007/01/26          1.830          R
023702         2007/01/27          1.750          R
023702         2007/01/28          1.670          R
023702         2007/01/29          1.600          R
023702         2007/01/30          1.540          R
023702         2007/01/31          1.480          R
023702         2007/02/01          1.430          R
023702         2007/02/02          1.390          R
023702         2007/02/03          1.340          R
023702         2007/02/04          1.310          R
023702         2007/02/05          1.280          R
023702         2007/02/06          1.250          R
023702         2007/02/07          1.220          R
023702         2007/02/08          1.200          R
023702         2007/02/09          1.170          R
023702         2007/02/10          1.160          R
023702         2007/02/11          1.140          R
023702         2007/02/12          1.120          J
023702         2007/02/13          1.110          R
023702         2007/02/14          1.100          R
023702         2007/02/15          1.090          R
023702         2007/02/16          1.080          R
023702         2007/02/17          1.070          R
023702         2007/02/18          1.060          R
023702         2007/02/19          1.060          R
023702         2007/02/20          1.050          R
023702         2007/02/21          1.050          R
023702         2007/02/22          1.040          R
023702         2007/02/23          1.040          R
023702         2007/02/24          1.040          R
023702         2007/02/25          1.030          R
023702         2007/02/26          1.010          R
023702         2007/02/27          0.997          R
023702         2007/02/28          0.986          R
023702         2007/03/01          0.989          R
023702         2007/03/02          1.010          R
023702         2007/03/03          1.040          R
023702         2007/03/04          1.090          R
023702         2007/03/05          1.170          R
023702         2007/03/06          1.080          R
023702         2007/03/07          1.030          R
023702         2007/03/08          1.010          R
023702         2007/03/09          1.010          R
023702         2007/03/10          1.030          R
023702         2007/03/11          1.050          R
023702         2007/03/12          1.080          J
023702         2007/03/13          1.140          R
023702         2007/03/14          1.380          R
023702         2007/03/15          2.050          R
023702         2007/03/16          3.900          R
023702         2007/03/17          10.04          R
023702         2007/03/18          8.910          R
023702         2007/03/19          7.690          R
023702         2007/03/20          6.650          R
023702         2007/03/21          5.920          R
023702         2007/03/22          5.590          R
023702         2007/03/23          5.980          R
023702         2007/03/24          7.970          R
023702         2007/03/25          9.680          R
023702         2007/03/26          10.39          R
023702         2007/03/27          12.61          R
023702         2007/03/28          19.46          R
023702         2007/03/29          20.44          R
023702         2007/03/30          21.45          R
023702         2007/03/31          21.89          R
023702         2007/04/01          21.16          R
023702         2007/04/02          23.17          R
023702         2007/04/03          31.65          R
023702         2007/04/04          34.98          R
023702         2007/04/05          24.48          R
023702         2007/04/06          17.94          R
023702         2007/04/07          13.96          R
023702         2007/04/08          11.68          R
023702         2007/04/09          11.34          MJ
023702         2007/04/10          10.91          MJ
023702         2007/04/11          10.47          J
023702         2007/04/12          12.05          MJ
023702         2007/04/13          13.39          MJ
023702         2007/04/14          22.41          MJ
023702         2007/04/15          24.71          MJ
023702         2007/04/16          31.25          MJ
023702         2007/04/17          50.37          MJ
023702         2007/04/18          51.49          J
023702         2007/04/19          55.13          J
023702         2007/04/20          53.24          MJ
023702         2007/04/21          52.57          MJ
023702         2007/04/22          44.31          MJ
023702         2007/04/23          42.43          MJ
023702         2007/04/24          50.26          MJ
023702         2007/04/25          30.64          MJ
023702         2007/04/26          19.17          MJ
023702         2007/04/27          15.13          MJ
