Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1976-09-30
Station:        023901         Gentilly - à 3,2 km en amont du pont-route 132                                                                                                 
Bassin versant: 181 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 46° 21' 23" // -72° 18' 37"
Constante géodésique: aucune
Date de création du fichier: 2012-06-23 04:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
023901         1972/10/01          25.41          PL
023901         1972/10/02          25.41          PL
023901         1972/10/03          25.39          PL
023901         1972/10/04          25.38          PL
023901         1972/10/05          25.37          PL
023901         1972/10/06          25.36          PL
023901         1972/10/07          25.40          PL
023901         1972/10/08          25.42          PL
023901         1972/10/09          25.41          PL
023901         1972/10/10          25.41          PL
023901         1972/10/11          25.43          PL
023901         1972/10/12          25.47          PL
023901         1972/10/13          25.44          PL
023901         1972/10/14          25.51          PL
023901         1972/10/15          25.58          PL
023901         1972/10/16          25.53          PL
023901         1972/10/17          25.44          PL
023901         1972/10/18          25.35          PL
023901         1972/10/19          25.21          PL
023901         1972/10/20          25.17          PL
023901         1972/10/21          25.24          PL
023901         1972/10/22          25.14          PL
023901         1972/10/23          25.07          PL
023901         1972/10/24          25.03          PL
023901         1972/10/25          25.00          PL
023901         1972/10/26          25.04          PL
023901         1972/10/27          25.08          PL
023901         1972/10/28          25.12          PL
023901         1972/10/29          25.20          PL
023901         1972/10/30          25.19          PL
023901         1972/10/31          25.16          PL
023901         1972/11/01          25.16          PL
023901         1972/11/02          25.16          PL
023901         1972/11/03          25.25          PL
023901         1972/11/04          25.35          PL
023901         1972/11/05          25.36          PL
023901         1972/11/06          25.33          PL
023901         1972/11/07          25.30          PL
023901         1972/11/08          25.26          PL
023901         1972/11/09          25.31          PL
023901         1972/11/10          25.28          PL
023901         1972/11/11          25.26          PL
023901         1972/11/12          25.24          PL
023901         1972/11/13          25.23          PL
023901         1972/11/14          25.21          PL
023901         1972/11/15          25.19          PL
023901         1972/11/16          25.16          PL
023901         1972/11/17          25.12          PL
023901         1972/11/18          25.04          PL
023901         1972/11/19          25.04          PL
023901         1972/11/20          25.04          PL
023901         1972/11/21          25.03          PL
023901         1972/11/22          25.03          PL
023901         1972/11/23          25.03          PL
023901         1972/11/24          25.02          PL
023901         1972/11/25          25.03          PL
023901         1972/11/26          25.05          PL
023901         1972/11/27          25.29          PL
023901         1972/11/28          25.28          PL
023901         1972/11/29          25.47          PL
023901         1972/11/30          25.47          PL
023901         1972/12/01          25.46          PL
023901         1972/12/02          25.46          PL
023901         1972/12/03          25.47          PL
023901         1972/12/04          25.46          PL
023901         1972/12/05          25.45          PL
023901         1972/12/06          25.45          PL
023901         1972/12/07          25.56          PL
023901         1972/12/08          25.55          PL
023901         1972/12/09          25.58          PL
023901         1972/12/10          25.63          PL
023901         1972/12/11          25.63          PL
023901         1972/12/12          25.61          PL
023901         1972/12/13          25.59          PL
023901         1972/12/14          25.58          PL
023901         1972/12/15          25.57          PL
023901         1972/12/16          25.56          PL
023901         1972/12/17          25.54          PL
023901         1972/12/18          25.53          PL
023901         1972/12/19          25.50          PL
023901         1972/12/20          25.48          PL
023901         1972/12/21          25.46          PL
023901         1972/12/22          25.44          PL
023901         1972/12/23          25.41          PL
