Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1968-12-31
Station:        024001         Bécancour - à 0,8 km en aval du pont-route 116 à Lyster                                                                                        
Bassin versant: 1410 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 46° 22' 8" // -71° 37' 19"

Date de création du fichier: 2012-06-29 05:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
024001         1921/04/01          158.0          MC
024001         1921/04/02          105.0          MC
024001         1921/04/03          129.0          MC
024001         1921/04/04          97.40          MC
024001         1921/04/05          
024001         1921/04/06          
024001         1921/04/07          
024001         1921/04/08          
024001         1921/04/09          
024001         1921/04/10          
024001         1921/04/11          48.40          MC
024001         1921/04/12          42.50          MC
024001         1921/04/13          39.60          MC
024001         1921/04/14          39.60          MC
024001         1921/04/15          32.30          MC
024001         1921/04/16          64.60          MC
024001         1921/04/17          48.40          MC
024001         1921/04/18          48.40          MC
024001         1921/04/19          54.70          MC
024001         1921/04/20          48.40          MC
024001         1921/04/21          39.60          MC
024001         1921/04/22          34.50          MC
024001         1921/04/23          32.30          MC
024001         1921/04/24          29.70          MC
024001         1921/04/25          48.40          MC
024001         1921/04/26          39.60          MC
024001         1921/04/27          37.10          MC
024001         1921/04/28          32.30          MC
024001         1921/04/29          29.70          MC
024001         1921/04/30          27.30          MC
024001         1921/05/01          21.00          MC
024001         1921/05/02          19.10          MC
024001         1921/05/03          17.40          MC
024001         1921/05/04          17.40          MC
024001         1921/05/05          14.20          MC
024001         1921/05/06          12.60          MC
024001         1921/05/07          12.60          MC
024001         1921/05/08          11.00          MC
024001         1921/05/09          11.00          MC
024001         1921/05/10          9.490          MC
024001         1921/05/11          7.930          MC
024001         1921/05/12          6.510          MC
024001         1921/05/13          7.930          MC
024001         1921/05/14          7.930          MC
024001         1921/05/15          7.930          MC
024001         1921/05/16          7.930          MC
024001         1921/05/17          6.510          MC
024001         1921/05/18          6.510          MC
024001         1921/05/19          6.510          MC
