Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-30, préliminaires par la suite
Station:        024003         Bécancour - à 2,1 km en amont de la rivière Palmer                                                                                             
Bassin versant: 914 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 46° 18' 22" // -71° 27' 2"

Date de création du fichier: 2019-11-29 04:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
024003         1966/10/13          14.10          MC
024003         1966/10/14          13.50          MC
024003         1966/10/15          13.00          MC
024003         1966/10/16          12.40          MC
024003         1966/10/17          11.50          MC
024003         1966/10/18          10.40          MC
024003         1966/10/19          10.00          MC
024003         1966/10/20          23.20          MC
024003         1966/10/21          33.70          MC
024003         1966/10/22          44.20          MC
024003         1966/10/23          45.60          MC
024003         1966/10/24          37.90          MC
024003         1966/10/25          30.00          MC
024003         1966/10/26          23.20          MC
024003         1966/10/27          18.80          MC
024003         1966/10/28          15.50          MC
024003         1966/10/29          13.30          MC
024003         1966/10/30          12.10          MC
024003         1966/10/31          10.70          MC
024003         1966/11/01          10.20          MC
024003         1966/11/02          9.880          MC
024003         1966/11/03          12.70          MC
024003         1966/11/04          17.90          MC
024003         1966/11/05          19.00          MC
024003         1966/11/06          20.60          MC
024003         1966/11/07          19.90          MC
024003         1966/11/08          18.40          MC
024003         1966/11/09          18.20          MC
024003         1966/11/10          21.00          MC
024003         1966/11/11          30.30          MC
024003         1966/11/12          42.80          E
024003         1966/11/13          39.60          E
024003         1966/11/14          36.80          E
024003         1966/11/15          25.50          E
024003         1966/11/16          16.40          E
024003         1966/11/17          13.50          E
024003         1966/11/18          17.00          E
024003         1966/11/19          23.40          E
024003         1966/11/20          20.80          E
024003         1966/11/21          20.00          E
024003         1966/11/22          16.40          E
024003         1966/11/23          13.50          E
024003         1966/11/24          12.30          E
024003         1966/11/25          14.20          E
024003         1966/11/26          19.80          E
024003         1966/11/27          29.40          E
024003         1966/11/28          28.00          E
024003         1966/11/29          26.80          E
024003         1966/11/30          25.30          E
024003         1966/12/01          25.30          E
024003         1966/12/02          27.50          E
024003         1966/12/03          24.90          E
024003         1966/12/04          23.20          E
024003         1966/12/05          22.20          E
024003         1966/12/06          21.50          E
024003         1966/12/07          21.10          E
024003         1966/12/08          21.90          E
024003         1966/12/09          25.50          E
024003         1966/12/10          46.70          E
024003         1966/12/11          62.00          E
024003         1966/12/12          56.10          E
024003         1966/12/13          45.60          E
024003         1966/12/14          38.20          E
024003         1966/12/15          31.40          E
024003         1966/12/16          25.50          E
024003         1966/12/17          19.80          E
024003         1966/12/18          16.40          E
024003         1966/12/19          14.00          E
024003         1966/12/20          12.50          MC
024003         1966/12/21          11.40          MC
024003         1966/12/22          10.30          MC
