Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2001-10-01
Station:        024007         Bécancour - au pont-route près de Saint-Sylvère                                                                                                
Bassin versant: 2330 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 46° 11' 41" // -72° 17' 0"

Date de création du fichier: 2012-06-29 05:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
024007         1970/01/01          22.80          R
024007         1970/01/02          21.00          R
024007         1970/01/03          19.80          R
024007         1970/01/04          18.30          R
024007         1970/01/05          17.20          R
024007         1970/01/06          16.00          R
024007         1970/01/07          15.20          R
024007         1970/01/08          14.20          R
024007         1970/01/09          13.50          R
024007         1970/01/10          13.00          R
024007         1970/01/11          12.30          R
024007         1970/01/12          11.60          R
024007         1970/01/13          11.10          R
024007         1970/01/14          10.60          R
024007         1970/01/15          10.10          R
024007         1970/01/16          9.830          R
024007         1970/01/17          9.540          R
024007         1970/01/18          9.200          R
024007         1970/01/19          8.810          R
024007         1970/01/20          8.580          R
024007         1970/01/21          8.350          R
024007         1970/01/22          8.160          R
024007         1970/01/23          7.990          R
024007         1970/01/24          7.870          R
024007         1970/01/25          7.700          R
024007         1970/01/26          7.650          R
024007         1970/01/27          7.590          R
024007         1970/01/28          7.590          R
024007         1970/01/29          9.680          R
024007         1970/01/30          11.30          R
024007         1970/01/31          10.10          R
024007         1970/02/01          8.890          R
024007         1970/02/02          11.80          R
024007         1970/02/03          15.20          R
024007         1970/02/04          25.50          R
024007         1970/02/05          30.60          R
024007         1970/02/06          28.20          R
024007         1970/02/07          25.50          R
024007         1970/02/08          24.30          R
024007         1970/02/09          22.80          R
024007         1970/02/10          22.60          R
024007         1970/02/11          23.20          R
024007         1970/02/12          23.80          R
024007         1970/02/13          23.70          R
024007         1970/02/14          23.20          R
024007         1970/02/15          22.60          R
024007         1970/02/16          21.70          R
024007         1970/02/17          20.90          R
024007         1970/02/18          20.00          R
024007         1970/02/19          19.50          R
024007         1970/02/20          18.60          R
024007         1970/02/21          18.10          R
024007         1970/02/22          17.30          R
024007         1970/02/23          16.70          R
024007         1970/02/24          16.10          R
024007         1970/02/25          15.60          R
024007         1970/02/26          15.20          R
024007         1970/02/27          14.70          R
024007         1970/02/28          14.20          R
024007         1970/03/01          13.60          R
024007         1970/03/02          13.30          R
024007         1970/03/03          13.00          R
024007         1970/03/04          13.00          R
024007         1970/03/05          13.00          R
024007         1970/03/06          12.70          R
024007         1970/03/07          12.50          R
024007         1970/03/08          12.50          R
024007         1970/03/09          12.40          R
024007         1970/03/10          12.30          R
024007         1970/03/11          12.20          R
024007         1970/03/12          11.90          R
024007         1970/03/13          11.90          R
024007         1970/03/14          11.80          R
024007         1970/03/15          11.60          R
024007         1970/03/16          11.60          R
024007         1970/03/17          11.60          R
024007         1970/03/18          11.60          R
024007         1970/03/19          11.60          R
024007         1970/03/20          11.80          R
024007         1970/03/21          12.50          R
024007         1970/03/22          13.10          R
024007         1970/03/23          15.60          R
024007         1970/03/24          18.40          R
024007         1970/03/25          24.60          R
024007         1970/03/26          27.80          R
024007         1970/03/27          28.30          R
024007         1970/03/28          27.80          R
024007         1970/03/29          27.30          R
024007         1970/03/30          26.60          R
024007         1970/03/31          26.10          R
024007         1970/04/01          25.80          R
024007         1970/04/02          25.50          R
024007         1970/04/03          25.20          R
024007         1970/04/04          24.90          R
024007         1970/04/05          24.90          R
024007         1970/04/06          24.50          R
024007         1970/04/07          24.40          R
024007         1970/04/08          24.30          R
024007         1970/04/09          24.90          R
024007         1970/04/10          26.70          R
024007         1970/04/11          28.90          R
024007         1970/04/12          34.30          R
024007         1970/04/13          50.40          R
024007         1970/04/14          67.40          R
024007         1970/04/15          93.40          R
024007         1970/04/16          159.0          R
024007         1970/04/17          275.0          R
024007         1970/04/18          428.0          R
024007         1970/04/19          501.0          MC
024007         1970/04/20          464.0          MC
024007         1970/04/21          425.0          MC
024007         1970/04/22          419.0          MC
024007         1970/04/23          357.0          MC
024007         1970/04/24          422.0          MC
024007         1970/04/25          510.0          MC
024007         1970/04/26          416.0          MC
024007         1970/04/27          365.0          MC
024007         1970/04/28          345.0          MC
024007         1970/04/29          279.0          MC
024007         1970/04/30          227.0          MC
024007         1970/05/01          197.0          MC
024007         1970/05/02          197.0          MC
024007         1970/05/03          176.0          MC
024007         1970/05/04          139.0          MC
024007         1970/05/05          111.0          MC
024007         1970/05/06          121.0          MC
024007         1970/05/07          175.0          MC
024007         1970/05/08          146.0          MC
024007         1970/05/09          136.0          MC
024007         1970/05/10          115.0          MC
024007         1970/05/11          115.0          MC
024007         1970/05/12          105.0          MC
024007         1970/05/13          87.50          MC
024007         1970/05/14          88.60          MC
024007         1970/05/15          71.10          MC
024007         1970/05/16          57.20          MC
024007         1970/05/17          58.00          MC
024007         1970/05/18          115.0          MC
024007         1970/05/19          86.60          MC
024007         1970/05/20          69.10          MC
024007         1970/05/21          58.00          MC
024007         1970/05/22          49.00          MC
