Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1995-10-25
Station:        024010         Bullard - à 1,1 km en amont du pont-route 267 à Saint-Jean-de-Brébeuf                                                                          
Bassin versant: 25.7 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 46° 10' 32" // -71° 27' 26"

Date de création du fichier: 2012-06-29 05:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
024010         1977/11/01          0.216          MC
024010         1977/11/02          
024010         1977/11/03          
024010         1977/11/04          
024010         1977/11/05          
024010         1977/11/06          
024010         1977/11/07          
024010         1977/11/08          
024010         1977/11/09          
024010         1977/11/10          
024010         1977/11/11          
024010         1977/11/12          
024010         1977/11/13          
024010         1977/11/14          
024010         1977/11/15          0.265          MC
024010         1977/11/16          
024010         1977/11/17          
024010         1977/11/18          
024010         1977/11/19          
024010         1977/11/20          
024010         1977/11/21          
024010         1977/11/22          
024010         1977/11/23          
024010         1977/11/24          
024010         1977/11/25          
024010         1977/11/26          
024010         1977/11/27          
024010         1977/11/28          
024010         1977/11/29          
024010         1977/11/30          
024010         1977/12/01          
024010         1977/12/02          
024010         1977/12/03          
024010         1977/12/04          
024010         1977/12/05          
024010         1977/12/06          
024010         1977/12/07          
024010         1977/12/08          
024010         1977/12/09          
024010         1977/12/10          
024010         1977/12/11          
024010         1977/12/12          
024010         1977/12/13          
024010         1977/12/14          
024010         1977/12/15          
024010         1977/12/16          
024010         1977/12/17          
024010         1977/12/18          
024010         1977/12/19          
024010         1977/12/20          
024010         1977/12/21          
024010         1977/12/22          
024010         1977/12/23          
024010         1977/12/24          
024010         1977/12/25          
024010         1977/12/26          
024010         1977/12/27          
024010         1977/12/28          
024010         1977/12/29          
024010         1977/12/30          
024010         1977/12/31          
024010         1978/01/01          
024010         1978/01/02          
