Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-30, préliminaires par la suite
Station:        024015         Bourbon - sur le 11e rang à Plessisville                                                                                                       
Bassin versant: 48.1 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 46° 11' 3" // -71° 45' 15"

Date de création du fichier: 2019-11-30 01:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
024015         2006/07/24          0.2685         J
024015         2006/07/25          0.2886         MJ
024015         2006/07/26          0.2479         MJ
024015         2006/07/27          0.2132         MJ
024015         2006/07/28          0.1802         MJ
024015         2006/07/29          0.1662         MJ
024015         2006/07/30          0.1394         MJ
024015         2006/07/31          0.1254         MJ
024015         2006/08/01          0.329          MJ
024015         2006/08/02          0.6309         MJ
024015         2006/08/03          0.5339         MJ
024015         2006/08/04          0.3248         MJ
024015         2006/08/05          0.3216         MJ
024015         2006/08/06          0.2148         MJ
024015         2006/08/07          0.1765         MJ
024015         2006/08/08          0.151          MJ
024015         2006/08/09          0.1305         MJ
024015         2006/08/10          0.1654         MJ
024015         2006/08/11          0.1566         MJ
024015         2006/08/12          0.1235         MJ
024015         2006/08/13          0.1155         MJ
024015         2006/08/14          0.1027         MJ
024015         2006/08/15          0.179          MJ
024015         2006/08/16          0.1211         MJ
024015         2006/08/17          0.1035         MJ
024015         2006/08/18          0.0872         MJ
024015         2006/08/19          0.0795         MJ
024015         2006/08/20          0.3192         MJ
024015         2006/08/21          1.007          MJ
024015         2006/08/22          0.3824         MJ
024015         2006/08/23          0.3181         MJ
024015         2006/08/24          0.223          MJ
024015         2006/08/25          0.1792         MJ
024015         2006/08/26          0.1478         MJ
024015         2006/08/27          0.1869         MJ
024015         2006/08/28          0.479          MJ
024015         2006/08/29          0.2763         MJ
024015         2006/08/30          0.2008         MJ
024015         2006/08/31          0.1638         MJ
024015         2006/09/01          0.1428         MJ
024015         2006/09/02          0.1235         MJ
024015         2006/09/03          0.6131         MJ
024015         2006/09/04          0.566          MJ
024015         2006/09/05          0.4874         MJ
024015         2006/09/06          0.3514         MJ
024015         2006/09/07          0.288          MJ
024015         2006/09/08          0.2322         MJ
024015         2006/09/09          0.2367         MJ
024015         2006/09/10          0.2316         MJ
024015         2006/09/11          0.185          MJ
024015         2006/09/12          0.1621         MJ
024015         2006/09/13          0.1488         MJ
024015         2006/09/14          0.1867         MJ
024015         2006/09/15          0.1761         MJ
024015         2006/09/16          0.1573         MJ
024015         2006/09/17          0.1489         MJ
024015         2006/09/18          0.1299         MJ
024015         2006/09/19          0.1327         MJ
024015         2006/09/20          0.1873         MJ
024015         2006/09/21          0.1979         MJ
024015         2006/09/22          0.188          MJ
024015         2006/09/23          0.1397         MJ
024015         2006/09/24          0.2327         MJ
024015         2006/09/25          0.1875         MJ
024015         2006/09/26          0.1704         MJ
024015         2006/09/27          0.1543         MJ
024015         2006/09/28          0.1298         MJ
024015         2006/09/29          1.039          MJ
024015         2006/09/30          1.006          MJ
024015         2006/10/01          0.6334         MJ
024015         2006/10/02          0.6904         MJ
024015         2006/10/03          0.5098         MJ
024015         2006/10/04          0.658          MJ
024015         2006/10/05          1.164          MJ
024015         2006/10/06          0.6804         MJ
024015         2006/10/07          0.5448         MJ
024015         2006/10/08          0.4642         MJ
024015         2006/10/09          0.4076         MJ
024015         2006/10/10          0.3561         MJ
024015         2006/10/11          0.3238         MJ
024015         2006/10/12          0.9071         MJ
024015         2006/10/13          1.084          MJ
024015         2006/10/14          0.6681         MJ
024015         2006/10/15          0.5418         MJ
024015         2006/10/16          0.4786         MJ
024015         2006/10/17          0.4408         MJ
024015         2006/10/18          1.571          MJ
024015         2006/10/19          1.175          MJ
024015         2006/10/20          5.530          J
024015         2006/10/21          11.09          MJ
024015         2006/10/22          3.130          MJ
024015         2006/10/23          2.697          MJ
024015         2006/10/24          2.726          MJ
024015         2006/10/25          2.284          MJ
024015         2006/10/26          1.879          MJ
024015         2006/10/27          1.525          MJ
024015         2006/10/28          5.644          MJ
024015         2006/10/29          7.478          MJ
024015         2006/10/30          3.500          MJ
024015         2006/10/31          2.972          MJ
024015         2006/11/01          3.189          MJ
024015         2006/11/02          2.157          MJ
024015         2006/11/03          1.744          MJ
024015         2006/11/04          1.480          MJ
024015         2006/11/05          1.325          MJ
024015         2006/11/06          1.682          MJ
024015         2006/11/07          1.414          MJ
024015         2006/11/08          1.312          MJ
024015         2006/11/09          1.343          MJ
024015         2006/11/10          1.486          MJ
024015         2006/11/11          1.716          MJ
024015         2006/11/12          3.079          MJ
024015         2006/11/13          2.324          MJ
024015         2006/11/14          2.090          MJ
024015         2006/11/15          2.105          MJ
024015         2006/11/16          1.762          MJ
024015         2006/11/17          1.611          MJ
024015         2006/11/18          1.336          MJ
024015         2006/11/19          1.179          MJ
024015         2006/11/20          1.166          MJ
024015         2006/11/21          1.009          MJ
024015         2006/11/22          0.9433         MJ
024015         2006/11/23          0.8989         MJ
024015         2006/11/24          0.8301         MJ
024015         2006/11/25          0.7594         MJ
024015         2006/11/26          0.7766         MJ
024015         2006/11/27          0.9987         MJ
024015         2006/11/28          0.881          MJ
024015         2006/11/29          0.8185         MJ
024015         2006/11/30          1.578          MJ
024015         2006/12/01          3.215          MJ
024015         2006/12/02          2.407          MJ
024015         2006/12/03          1.709          MJ
024015         2006/12/04          1.451          MJ
024015         2006/12/05          1.170          R
024015         2006/12/06          1.020          R
024015         2006/12/07          0.907          R
024015         2006/12/08          0.826          R
024015         2006/12/09          0.768          R
024015         2006/12/10          0.726          R
024015         2006/12/11          0.697          R
024015         2006/12/12          0.677          R
024015         2006/12/13          1.002          MJ
024015         2006/12/14          2.295          MJ
024015         2006/12/15          2.637          MJ
024015         2006/12/16          2.500          MJ
024015         2006/12/17          1.936          MJ
024015         2006/12/18          1.737          MJ
024015         2006/12/19          1.326          MJ
024015         2006/12/20          1.070          MJ
024015         2006/12/21          1.034          MJ
024015         2006/12/22          0.8212         MJ
024015         2006/12/23          2.886          MJ
024015         2006/12/24          2.837          MJ
024015         2006/12/25          1.849          MJ
024015         2006/12/26          1.596          MJ
024015         2006/12/27          1.280          MJ
024015         2006/12/28          1.030          R
024015         2006/12/29          0.904          R
024015         2006/12/30          0.795          R
024015         2006/12/31          0.735          R
024015         2007/01/01          0.898          R
024015         2007/01/02          1.120          R
024015         2007/01/03          1.030          R
024015         2007/01/04          1.035          MJ
024015         2007/01/05          2.701          MJ
024015         2007/01/06          5.480          MJ
024015         2007/01/07          3.326          MJ
024015         2007/01/08          3.188          MJ
024015         2007/01/09          2.937          MJ
024015         2007/01/10          1.830          R
024015         2007/01/11          1.550          R
024015         2007/01/12          1.320          R
024015         2007/01/13          1.140          R
024015         2007/01/14          0.979          R
024015         2007/01/15          0.849          R
024015         2007/01/16          0.740          R
024015         2007/01/17          0.649          R
024015         2007/01/18          0.572          R
