Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-30, préliminaires par la suite
Station:        024016         Osgood - au pont de la rue des Églises à Kinnear's Mills                                                                                       
Bassin versant: 74.2 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 46° 13' 26" // -71° 22' 57"

Date de création du fichier: 2019-12-01 06:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
024016         2011/12/11          1.279          MJ
024016         2011/12/12          1.123          MJ
024016         2011/12/13          1.007          MJ
024016         2011/12/14          0.9611         MJ
024016         2011/12/15          7.634          MJ
024016         2011/12/16          12.77          MJ
024016         2011/12/17          3.330          R
024016         2011/12/18          2.460          R
024016         2011/12/19          1.880          R
024016         2011/12/20          1.490          R
024016         2011/12/21          1.220          R
024016         2011/12/22          1.030          R
024016         2011/12/23          0.901          R
024016         2011/12/24          0.811          R
024016         2011/12/25          0.752          R
024016         2011/12/26          0.718          R
024016         2011/12/27          0.704          R
024016         2011/12/28          1.630          R
024016         2011/12/29          3.980          R
024016         2011/12/30          3.260          R
024016         2011/12/31          2.490          R
024016         2012/01/01          1.910          R
024016         2012/01/02          2.420          R
024016         2012/01/03          1.900          R
024016         2012/01/04          1.480          R
024016         2012/01/05          1.160          R
024016         2012/01/06          0.911          R
024016         2012/01/07          0.733          R
024016         2012/01/08          0.685          R
024016         2012/01/09          0.642          R
024016         2012/01/10          0.604          R
024016         2012/01/11          0.569          R
024016         2012/01/12          0.538          R
024016         2012/01/13          0.511          R
024016         2012/01/14          0.486          R
024016         2012/01/15          0.463          R
024016         2012/01/16          0.443          R
024016         2012/01/17          0.424          R
024016         2012/01/18          0.408          R
024016         2012/01/19          0.393          J
024016         2012/01/20          0.380          R
024016         2012/01/21          0.368          R
024016         2012/01/22          0.357          R
024016         2012/01/23          0.347          R
024016         2012/01/24          3.260          R
024016         2012/01/25          2.280          R
