Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-30, préliminaires par la suite
Station:        030101         Nicolet Sud-Ouest - à 50 mètres en amont de la chute Nicolet près du Chemin Castlebar                                                          
Bassin versant: 562 km²        Régime: Influencé journellement                           
Coordonnées:    (NAD83) 45° 47' 30" // -71° 58' 5"

Date de création du fichier: 2019-11-28 19:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030101         1929/04/16          17.10          J
030101         1929/04/17          29.20          MC
030101         1929/04/18          41.10          MC
030101         1929/04/19          41.90          MC
030101         1929/04/20          40.50          MC
030101         1929/04/21          34.80          MC
030101         1929/04/22          29.70          MC
030101         1929/04/23          24.20          MC
030101         1929/04/24          21.10          MC
030101         1929/04/25          14.90          MC
030101         1929/04/26          24.20          MC
030101         1929/04/27          26.40          MC
030101         1929/04/28          24.70          MC
030101         1929/04/29          26.60          MC
030101         1929/04/30          35.40          MC
030101         1929/05/01          32.60          MC
030101         1929/05/02          25.30          MC
030101         1929/05/03          26.00          MC
030101         1929/05/04          37.10          MC
030101         1929/05/05          37.10          MC
030101         1929/05/06          41.60          MC
030101         1929/05/07          38.20          MC
030101         1929/05/08          37.70          MC
030101         1929/05/09          32.60          MC
030101         1929/05/10          24.20          MC
030101         1929/05/11          18.30          MC
030101         1929/05/12          13.80          MC
030101         1929/05/13          13.60          MC
030101         1929/05/14          13.60          MC
030101         1929/05/15          12.50          MC
030101         1929/05/16          14.70          J
030101         1929/05/17          23.10          MC
030101         1929/05/18          23.70          MC
030101         1929/05/19          23.70          MC
030101         1929/05/20          24.20          MC
030101         1929/05/21          14.10          MC
030101         1929/05/22          11.30          MC
030101         1929/05/23          10.60          MC
030101         1929/05/24          10.60          MC
030101         1929/05/25          9.200          MC
030101         1929/05/26          7.790          MC
030101         1929/05/27          7.020          MC
030101         1929/05/28          5.610          MC
030101         1929/05/29          4.900          MC
030101         1929/05/30          3.990          J
030101         1929/05/31          4.900          MC
030101         1929/06/01          4.900          MC
030101         1929/06/02          4.190          MC
030101         1929/06/03          4.190          MC
030101         1929/06/04          3.570          MC
030101         1929/06/05          3.570          MC
030101         1929/06/06          5.950          MC
030101         1929/06/07          9.150          MC
030101         1929/06/08          8.070          MC
030101         1929/06/09          7.360          E
030101         1929/06/10          6.940          MC
030101         1929/06/11          5.520          MC
030101         1929/06/12          5.520          MC
030101         1929/06/13          5.520          MC
030101         1929/06/14          5.180          MC
030101         1929/06/15          4.810          MC
030101         1929/06/16          3.960          E
030101         1929/06/17          3.260          MC
030101         1929/06/18          3.000          MC
030101         1929/06/19          2.610          J
030101         1929/06/20          1.780          MC
030101         1929/06/21          1.640          MC
030101         1929/06/22          2.150          MC
030101         1929/06/23          3.000          MC
030101         1929/06/24          5.660          E
030101         1929/06/25          11.30          E
030101         1929/06/26          18.60          MC
030101         1929/06/27          25.60          MC
030101         1929/06/28          17.90          MC
030101         1929/06/29          21.50          MC
030101         1929/06/30          26.00          MC
030101         1929/07/01          30.30          MC
030101         1929/07/02          29.40          MC
030101         1929/07/03          32.60          MC
030101         1929/07/04          23.90          MC
030101         1929/07/05          17.10          MC
030101         1929/07/06          15.50          MC
030101         1929/07/07          15.30          E
030101         1929/07/08          15.10          MC
030101         1929/07/09          22.50          MC
030101         1929/07/10          20.40          MC
030101         1929/07/11          16.00          MC
030101         1929/07/12          14.70          MC
030101         1929/07/13          10.80          MC
030101         1929/07/14          8.780          E
030101         1929/07/15          7.080          E
030101         1929/07/16          5.520          MC
030101         1929/07/17          4.810          MC
030101         1929/07/18          5.520          MC
030101         1929/07/19          3.510          MC
030101         1929/07/20          3.510          MC
030101         1929/07/21          2.830          E
030101         1929/07/22          2.270          E
030101         1929/07/23          1.840          E
030101         1929/07/24          1.420          MC
030101         1929/07/25          1.250          MC
030101         1929/07/26          0.820          MC
030101         1929/07/27          0.820          MC
030101         1929/07/28          0.710          E
030101         1929/07/29          0.590          MC
030101         1929/07/30          0.480          MC
030101         1929/07/31          0.480          MC
030101         1929/08/01          0.300          MC
030101         1929/08/02          0.300          MC
030101         1929/08/03          0.850          E
030101         1929/08/04          1.420          E
030101         1929/08/05          2.380          MC
030101         1929/08/06          5.320          MC
030101         1929/08/07          6.650          MC
030101         1929/08/08          5.320          MC
030101         1929/08/09          4.110          MC
030101         1929/08/10          3.570          MC
030101         1929/08/11          4.250          MC
030101         1929/08/12          5.520          J
030101         1929/08/13          6.940          MC
030101         1929/08/14          5.890          MC
030101         1929/08/15          17.10          MC
030101         1929/08/16          26.80          MC
030101         1929/08/17          22.90          MC
030101         1929/08/18          19.80          E
030101         1929/08/19          15.90          E
030101         1929/08/20          13.00          E
030101         1929/08/21          10.20          E
030101         1929/08/22          7.930          E
030101         1929/08/23          6.230          MC
030101         1929/08/24          21.50          MC
030101         1929/08/25          19.00          E
030101         1929/08/26          17.10          MC
030101         1929/08/27          10.80          MC
030101         1929/08/28          7.650          MC
030101         1929/08/29          4.560          J
030101         1929/08/30          3.820          MC
030101         1929/08/31          4.110          MC
030101         1929/09/01          3.400          E
030101         1929/09/02          2.830          E
030101         1929/09/03          2.270          E
030101         1929/09/04          1.850          MC
030101         1929/09/05          1.660          MC
030101         1929/09/06          1.420          E
030101         1929/09/07          1.490          MC
030101         1929/09/08          1.330          E
030101         1929/09/09          1.160          MC
030101         1929/09/10          1.080          E
030101         1929/09/11          1.020          MC
030101         1929/09/12          1.130          E
030101         1929/09/13          1.290          MC
030101         1929/09/14          2.720          MC
030101         1929/09/15          10.10          MC
