Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-30, préliminaires par la suite
Station:        030103         Nicolet - à 5,8 km en aval de la Bulstrode                                                                                                     
Bassin versant: 1550 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 46° 3' 37" // -72° 18' 47"

Date de création du fichier: 2019-11-29 04:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030103         1966/10/14          15.00          MC
030103         1966/10/15          13.50          MC
030103         1966/10/16          11.80          MC
030103         1966/10/17          12.40          MC
030103         1966/10/18          13.20          MC
030103         1966/10/19          11.00          MC
030103         1966/10/20          36.00          MC
030103         1966/10/21          109.0          MC
030103         1966/10/22          58.90          MC
030103         1966/10/23          37.70          MC
030103         1966/10/24          26.10          MC
030103         1966/10/25          19.90          MC
030103         1966/10/26          16.60          MC
030103         1966/10/27          14.80          MC
030103         1966/10/28          13.60          MC
030103         1966/10/29          12.30          MC
030103         1966/10/30          12.00          MC
030103         1966/10/31          11.90          MC
030103         1966/11/01          10.40          MC
030103         1966/11/02          10.40          MC
030103         1966/11/03          14.30          MC
030103         1966/11/04          36.50          MC
030103         1966/11/05          26.00          MC
030103         1966/11/06          17.80          MC
030103         1966/11/07          15.20          MC
030103         1966/11/08          14.40          MC
030103         1966/11/09          16.60          MC
030103         1966/11/10          33.70          MC
030103         1966/11/11          96.30          MC
030103         1966/11/12          62.00          MC
030103         1966/11/13          35.10          MC
030103         1966/11/14          24.50          MC
030103         1966/11/15          19.90          MC
030103         1966/11/16          16.70          MC
030103         1966/11/17          15.10          MC
030103         1966/11/18          17.60          MC
030103         1966/11/19          86.10          MC
030103         1966/11/20          34.30          MC
030103         1966/11/21          20.20          MC
030103         1966/11/22          16.10          MC
030103         1966/11/23          15.20          MC
030103         1966/11/24          15.80          MC
030103         1966/11/25          19.90          MC
030103         1966/11/26          60.30          MC
030103         1966/11/27          48.40          MC
030103         1966/11/28          32.60          MC
030103         1966/11/29          26.70          MC
030103         1966/11/30          36.80          MC
030103         1966/12/01          56.60          MC
030103         1966/12/02          34.50          MC
030103         1966/12/03          18.20          MC
030103         1966/12/04          16.70          MC
030103         1966/12/05          17.20          MC
030103         1966/12/06          15.10          MC
030103         1966/12/07          15.20          MC
030103         1966/12/08          49.80          MC
030103         1966/12/09          178.0          MC
030103         1966/12/10          163.0          MC
030103         1966/12/11          127.0          MC
030103         1966/12/12          88.10          MC
030103         1966/12/13          34.50          MC
030103         1966/12/14          25.40          MC
030103         1966/12/15          21.60          MC
030103         1966/12/16          16.80          MC
030103         1966/12/17          15.70          MC
030103         1966/12/18          19.00          MC
030103         1966/12/19          18.30          MC
030103         1966/12/20          13.70          MC
030103         1966/12/21          15.20          MC
030103         1966/12/22          14.40          MC
030103         1966/12/23          13.20          MC
030103         1966/12/24          10.90          MC
030103         1966/12/25          10.30          MC
030103         1966/12/26          9.910          MC
030103         1966/12/27          10.60          MC
030103         1966/12/28          11.10          MC
030103         1966/12/29          11.00          MC
030103         1966/12/30          10.50          MC
030103         1966/12/31          10.70          MC
030103         1967/01/01          11.20          MC
030103         1967/01/02          11.60          MC
030103         1967/01/03          11.50          MC
030103         1967/01/04          11.30          MC
030103         1967/01/05          10.80          J
030103         1967/01/06          10.50          R
030103         1967/01/07          9.910          R
030103         1967/01/08          9.630          R
030103         1967/01/09          9.340          R
030103         1967/01/10          9.060          R
030103         1967/01/11          8.830          R
030103         1967/01/12          8.660          R
030103         1967/01/13          8.520          R
030103         1967/01/14          8.440          R
030103         1967/01/15          8.350          R
030103         1967/01/16          8.380          R
030103         1967/01/17          8.380          R
030103         1967/01/18          8.300          R
030103         1967/01/19          7.870          R
030103         1967/01/20          7.560          R
030103         1967/01/21          7.310          R
030103         1967/01/22          7.140          R
030103         1967/01/23          6.970          R
030103         1967/01/24          9.000          R
030103         1967/01/25          17.00          R
030103         1967/01/26          37.90          R
030103         1967/01/27          54.70          R
030103         1967/01/28          50.10          R
030103         1967/01/29          41.90          R
030103         1967/01/30          36.00          R
030103         1967/01/31          31.70          R
030103         1967/02/01          27.80          R
030103         1967/02/02          23.20          R
030103         1967/02/03          20.40          R
030103         1967/02/04          18.10          R
030103         1967/02/05          17.00          R
030103         1967/02/06          14.40          R
030103         1967/02/07          13.60          R
030103         1967/02/08          12.50          R
030103         1967/02/09          11.30          R
030103         1967/02/10          10.50          R
030103         1967/02/11          9.910          R
030103         1967/02/12          9.200          R
030103         1967/02/13          8.780          R
030103         1967/02/14          8.210          R
030103         1967/02/15          7.870          R
030103         1967/02/16          7.360          R
030103         1967/02/17          7.080          R
030103         1967/02/18          6.800          R
030103         1967/02/19          6.510          R
030103         1967/02/20          6.230          R
030103         1967/02/21          5.950          R
030103         1967/02/22          5.660          R
030103         1967/02/23          5.520          R
030103         1967/02/24          5.380          R
030103         1967/02/25          5.270          R
030103         1967/02/26          5.210          R
030103         1967/02/27          5.100          R
030103         1967/02/28          5.100          J
030103         1967/03/01          4.960          R
030103         1967/03/02          4.870          R
030103         1967/03/03          4.840          R
030103         1967/03/04          4.810          R
030103         1967/03/05          4.810          R
030103         1967/03/06          4.810          R
030103         1967/03/07          4.810          R
030103         1967/03/08          4.810          R
030103         1967/03/09          4.790          R
030103         1967/03/10          4.730          R
030103         1967/03/11          4.730          R
030103         1967/03/12          4.700          R
030103         1967/03/13          4.700          R
030103         1967/03/14          4.670          R
030103         1967/03/15          4.730          R
030103         1967/03/16          4.790          R
030103         1967/03/17          4.810          R
030103         1967/03/18          4.810          R
030103         1967/03/19          4.790          R
030103         1967/03/20          4.730          R
030103         1967/03/21          4.640          R
030103         1967/03/22          4.590          R
030103         1967/03/23          4.530          R
030103         1967/03/24          4.530          R
030103         1967/03/25          4.590          R
030103         1967/03/26          4.870          R
030103         1967/03/27          5.780          R
