Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1978-11-09
Station:        030109         Danville - à 4,2 km en amont du pont-route 116                                                                                                 
Bassin versant: 66.3 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 45° 45' 1" // -71° 59' 43"

Date de création du fichier: 2012-06-29 06:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030109         1972/07/06          0.450          MC
030109         1972/07/07          0.290          MC
030109         1972/07/08          0.250          MC
030109         1972/07/09          0.250          MC
030109         1972/07/10          0.740          MC
030109         1972/07/11          1.270          MC
030109         1972/07/12          0.540          MC
030109         1972/07/13          0.370          MC
030109         1972/07/14          0.460          MC
030109         1972/07/15          0.460          MC
030109         1972/07/16          9.800          MC
030109         1972/07/17          4.190          MC
030109         1972/07/18          1.370          MC
030109         1972/07/19          2.720          MC
030109         1972/07/20          1.720          MC
030109         1972/07/21          9.710          MC
030109         1972/07/22          4.560          MC
030109         1972/07/23          1.470          MC
030109         1972/07/24          0.870          MC
030109         1972/07/25          0.820          MC
030109         1972/07/26          1.320          MC
030109         1972/07/27          0.940          MC
030109         1972/07/28          1.240          MC
030109         1972/07/29          1.240          MC
030109         1972/07/30          0.640          MC
030109         1972/07/31          0.440          MC
030109         1972/08/01          0.560          MC
030109         1972/08/02          0.930          MC
030109         1972/08/03          10.00          MC
030109         1972/08/04          6.740          MC
030109         1972/08/05          1.910          MC
030109         1972/08/06          0.990          MC
030109         1972/08/07          8.010          MC
030109         1972/08/08          28.90          MC
