Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1929-06-30
Station:        030210         Saint-François - au pont-route près de Bishopton                                                                                               
Bassin versant: 3150 km²       Régime: Influencé mensuellement                           
Coordonnées:    (NAD83) 45° 34' 50" // -71° 33' 51"

Date de création du fichier: 2012-06-29 07:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030210         1921/10/12          33.40          MC
030210         1921/10/13          35.70          MC
030210         1921/10/14          85.00          MC
030210         1921/10/15          71.40          MC
030210         1921/10/16          49.30          MC
030210         1921/10/17          35.70          MC
030210         1921/10/18          24.80          MC
030210         1921/10/19          17.70          MC
030210         1921/10/20          17.70          MC
030210         1921/10/21          26.90          MC
030210         1921/10/22          35.70          MC
030210         1921/10/23          46.20          MC
030210         1921/10/24          52.10          MC
030210         1921/10/25          43.30          MC
030210         1921/10/26          40.80          MC
030210         1921/10/27          38.20          MC
030210         1921/10/28          35.70          MC
030210         1921/10/29          31.10          MC
030210         1921/10/30          31.10          MC
030210         1921/10/31          31.10          MC
030210         1921/11/01          29.20          MC
030210         1921/11/02          29.20          MC
030210         1921/11/03          31.10          MC
030210         1921/11/04          33.40          MC
030210         1921/11/05          33.40          MC
030210         1921/11/06          35.70          MC
030210         1921/11/07          35.70          MC
030210         1921/11/08          38.20          MC
030210         1921/11/09          31.10          MC
030210         1921/11/10          29.20          MC
030210         1921/11/11          21.10          MC
030210         1921/11/12          19.40          MC
030210         1921/11/13          24.80          MC
030210         1921/11/14          26.90          MC
030210         1921/11/15          22.80          MC
030210         1921/11/16          22.80          MC
030210         1921/11/17          21.10          MC
030210         1921/11/18          21.10          MC
030210         1921/11/19          29.20          MC
030210         1921/11/20          120.0          MC
030210         1921/11/21          192.0          MC
030210         1921/11/22          181.0          MC
030210         1921/11/23          120.0          MC
030210         1921/11/24          81.60          MC
030210         1921/11/25          116.0          MC
030210         1921/11/26          112.0          MC
030210         1921/11/27          96.30          MC
030210         1921/11/28          71.40          MC
030210         1921/11/29          68.00          MC
030210         1921/11/30          78.20          MC
030210         1921/12/01          78.20          MC
030210         1921/12/02          71.40          MC
030210         1921/12/03          85.00          MC
030210         1921/12/04          85.00          MC
030210         1921/12/05          81.60          MC
030210         1921/12/06          78.20          MC
030210         1921/12/07          61.40          MC
030210         1921/12/08          71.40          MC
030210         1921/12/09          71.40          MC
030210         1921/12/10          74.80          MC
030210         1921/12/11          61.40          MC
030210         1921/12/12          61.40          MC
030210         1921/12/13          61.40          MC
030210         1921/12/14          58.00          MC
030210         1921/12/15          58.00          MC
030210         1921/12/16          58.00          MC
030210         1921/12/17          58.00          MC
030210         1921/12/18          78.20          MC
030210         1921/12/19          78.20          MC
030210         1921/12/20          78.20          MC
030210         1921/12/21          56.60          MC
030210         1921/12/22          56.60          MC
030210         1921/12/23          56.60          MC
030210         1921/12/24          51.00          MC
030210         1921/12/25          48.10          MC
030210         1921/12/26          34.00          MC
030210         1921/12/27          31.10          MC
030210         1921/12/28          31.10          MC
030210         1921/12/29          26.90          MC
030210         1921/12/30          24.10          MC
030210         1921/12/31          24.10          MC
030210         1922/01/01          24.10          MC
030210         1922/01/02          25.50          MC
030210         1922/01/03          25.50          MC
030210         1922/01/04          29.70          MC
030210         1922/01/05          32.80          MC
030210         1922/01/06          29.40          MC
030210         1922/01/07          30.60          MC
030210         1922/01/08          31.70          MC
030210         1922/01/09          30.60          MC
030210         1922/01/10          30.60          MC
030210         1922/01/11          32.80          MC
030210         1922/01/12          32.80          MC
030210         1922/01/13          32.80          MC
030210         1922/01/14          29.40          MC
030210         1922/01/15          29.40          MC
030210         1922/01/16          29.40          MC
030210         1922/01/17          29.40          MC
030210         1922/01/18          32.80          MC
030210         1922/01/19          34.00          MC
030210         1922/01/20          31.70          MC
030210         1922/01/21          30.60          MC
030210         1922/01/22          30.60          MC
030210         1922/01/23          31.70          MC
030210         1922/01/24          31.70          MC
030210         1922/01/25          31.70          MC
030210         1922/01/26          31.70          MC
030210         1922/01/27          30.60          MC
030210         1922/01/28          30.60          MC
030210         1922/01/29          29.40          MC
030210         1922/01/30          28.60          MC
030210         1922/01/31          28.60          MC
030210         1922/02/01          28.60          MC
030210         1922/02/02          28.60          MC
030210         1922/02/03          30.60          MC
030210         1922/02/04          31.70          MC
030210         1922/02/05          31.70          MC
030210         1922/02/06          29.40          MC
030210         1922/02/07          30.60          MC
030210         1922/02/08          29.40          MC
030210         1922/02/09          30.60          MC
030210         1922/02/10          30.60          MC
030210         1922/02/11          32.80          MC
030210         1922/02/12          34.00          MC
030210         1922/02/13          34.00          MC
030210         1922/02/14          32.80          MC
030210         1922/02/15          32.80          MC
030210         1922/02/16          31.70          MC
030210         1922/02/17          31.70          MC
030210         1922/02/18          31.70          MC
030210         1922/02/19          28.60          MC
030210         1922/02/20          31.70          MC
030210         1922/02/21          32.80          MC
030210         1922/02/22          31.70          MC
030210         1922/02/23          30.60          MC
030210         1922/02/24          30.60          MC
030210         1922/02/25          31.70          MC
030210         1922/02/26          31.70          MC
030210         1922/02/27          30.60          MC
030210         1922/02/28          29.40          MC
030210         1922/03/01          30.60          MC
