Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-30, préliminaires par la suite
Station:        030215         Coaticook - à 1,1 km en aval du pont-rue Principale Nord à Waterville                                                                          
Bassin versant: 514 km²        Régime: Influencé journellement                           
Coordonnées:    (NAD83) 45° 17' 4" // -71° 54' 3"

Date de création du fichier: 2019-11-29 01:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030215         1959/07/24          2.240          MC
030215         1959/07/25          2.180          MC
030215         1959/07/26          1.950          MC
030215         1959/07/27          1.980          MC
030215         1959/07/28          2.120          MC
030215         1959/07/29          2.010          MC
030215         1959/07/30          2.150          MC
030215         1959/07/31          2.380          MC
030215         1959/08/01          2.890          MC
030215         1959/08/02          1.780          MC
030215         1959/08/03          1.700          MC
030215         1959/08/04          1.390          MC
030215         1959/08/05          2.290          MC
030215         1959/08/06          1.220          MC
030215         1959/08/07          2.380          MC
030215         1959/08/08          2.720          MC
030215         1959/08/09          2.410          MC
030215         1959/08/10          3.620          MC
030215         1959/08/11          6.940          MC
030215         1959/08/12          5.950          MC
030215         1959/08/13          3.450          MC
030215         1959/08/14          3.340          MC
030215         1959/08/15          2.320          MC
030215         1959/08/16          2.350          MC
030215         1959/08/17          2.690          MC
030215         1959/08/18          5.100          MC
030215         1959/08/19          3.680          MC
030215         1959/08/20          2.610          MC
030215         1959/08/21          2.750          MC
030215         1959/08/22          2.520          MC
030215         1959/08/23          2.580          MC
030215         1959/08/24          2.690          MC
030215         1959/08/25          2.890          MC
030215         1959/08/26          2.610          MC
030215         1959/08/27          2.860          MC
030215         1959/08/28          2.520          J
030215         1959/08/29          1.980          MC
030215         1959/08/30          1.840          MC
030215         1959/08/31          2.120          MC
030215         1959/09/01          7.450          MC
030215         1959/09/02          4.900          MC
030215         1959/09/03          3.230          MC
030215         1959/09/04          3.000          MC
030215         1959/09/05          2.380          MC
030215         1959/09/06          2.100          MC
030215         1959/09/07          2.180          MC
030215         1959/09/08          2.630          MC
030215         1959/09/09          2.270          MC
030215         1959/09/10          2.180          MC
030215         1959/09/11          2.290          MC
030215         1959/09/12          2.210          MC
030215         1959/09/13          2.010          MC
030215         1959/09/14          2.440          MC
030215         1959/09/15          2.210          MC
030215         1959/09/16          2.150          MC
030215         1959/09/17          2.150          MC
030215         1959/09/18          2.210          MC
030215         1959/09/19          2.180          MC
030215         1959/09/20          1.810          MC
030215         1959/09/21          2.120          MC
030215         1959/09/22          1.670          MC
030215         1959/09/23          1.780          MC
030215         1959/09/24          1.900          MC
030215         1959/09/25          1.840          MC
030215         1959/09/26          1.780          MC
030215         1959/09/27          1.780          MC
030215         1959/09/28          1.780          MC
030215         1959/09/29          1.900          MC
030215         1959/09/30          1.930          MC
030215         1959/10/01          1.870          MC
030215         1959/10/02          1.980          MC
030215         1959/10/03          2.350          MC
030215         1959/10/04          2.240          MC
030215         1959/10/05          2.010          MC
030215         1959/10/06          1.780          MC
030215         1959/10/07          7.700          MC
030215         1959/10/08          5.320          J
030215         1959/10/09          6.600          MC
030215         1959/10/10          5.180          MC
030215         1959/10/11          3.910          MC
030215         1959/10/12          5.320          MC
030215         1959/10/13          5.180          MC
030215         1959/10/14          2.580          MC
030215         1959/10/15          2.120          MC
030215         1959/10/16          2.270          MC
030215         1959/10/17          2.320          MC
030215         1959/10/18          2.940          MC
030215         1959/10/19          3.400          MC
030215         1959/10/20          2.490          MC
030215         1959/10/21          7.530          MC
030215         1959/10/22          4.620          MC
030215         1959/10/23          5.800          MC
030215         1959/10/24          16.10          MC
030215         1959/10/25          56.40          E
030215         1959/10/26          19.60          MC
030215         1959/10/27          23.50          MC
030215         1959/10/28          19.60          MC
030215         1959/10/29          11.30          MC
030215         1959/10/30          8.640          MC
030215         1959/10/31          7.530          MC
030215         1959/11/01          13.60          MC
030215         1959/11/02          15.20          MC
030215         1959/11/03          14.10          MC
030215         1959/11/04          10.60          MC
030215         1959/11/05          13.10          MC
030215         1959/11/06          15.00          MC
030215         1959/11/07          35.70          MC
030215         1959/11/08          16.90          MC
030215         1959/11/09          11.60          MC
030215         1959/11/10          9.000          MC
030215         1959/11/11          7.990          MC
030215         1959/11/12          8.070          MC
030215         1959/11/13          8.070          MC
030215         1959/11/14          9.000          MC
030215         1959/11/15          19.90          MC
030215         1959/11/16          12.10          MC
030215         1959/11/17          12.50          MC
030215         1959/11/18          16.10          MC
030215         1959/11/19          10.30          MC
030215         1959/11/20          7.110          MC
030215         1959/11/21          7.360          MC
030215         1959/11/22          7.450          MC
030215         1959/11/23          7.620          MC
030215         1959/11/24          17.40          MC
030215         1959/11/25          38.80          MC
030215         1959/11/26          36.50          MC
030215         1959/11/27          18.70          MC
030215         1959/11/28          91.50          E
030215         1959/11/29          118.0          E
030215         1959/11/30          45.90          MC
030215         1959/12/01          26.10          MC
030215         1959/12/02          17.70          MC
030215         1959/12/03          14.60          MC
030215         1959/12/04          14.50          MC
030215         1959/12/05          13.00          MC
030215         1959/12/06          15.90          MC
030215         1959/12/07          16.80          MC
030215         1959/12/08          19.50          MC
030215         1959/12/09          13.10          MC
030215         1959/12/10          11.00          MC
030215         1959/12/11          9.120          MC
030215         1959/12/12          8.350          MC
030215         1959/12/13          36.80          MC
030215         1959/12/14          32.60          MC
030215         1959/12/15          18.00          MC
030215         1959/12/16          15.10          R
030215         1959/12/17          13.40          R
030215         1959/12/18          10.60          R
