Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1977-09-30
Station:        030219         Au Saumon - à 11,9 km de la rivière Saint-François                                                                                             
Bassin versant: 839 km²        Régime: Influencé journellement                           
Coordonnées:    (NAD83) 45° 37' 18" // -71° 23' 34"

Date de création du fichier: 2012-06-29 07:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030219         1938/01/01          3.000          R
030219         1938/01/02          3.000          R
030219         1938/01/03          3.000          R
030219         1938/01/04          3.000          R
030219         1938/01/05          3.000          R
030219         1938/01/06          3.000          R
030219         1938/01/07          3.000          R
030219         1938/01/08          3.000          R
030219         1938/01/09          3.000          R
030219         1938/01/10          3.000          R
030219         1938/01/11          3.000          R
030219         1938/01/12          3.000          R
030219         1938/01/13          3.000          R
030219         1938/01/14          3.000          R
030219         1938/01/15          3.000          R
030219         1938/01/16          4.590          R
030219         1938/01/17          4.590          R
030219         1938/01/18          4.590          R
030219         1938/01/19          4.590          R
030219         1938/01/20          4.590          R
030219         1938/01/21          4.590          R
030219         1938/01/22          4.590          R
030219         1938/01/23          4.590          R
030219         1938/01/24          4.590          R
030219         1938/01/25          4.590          R
030219         1938/01/26          4.590          R
030219         1938/01/27          4.590          R
030219         1938/01/28          4.590          R
030219         1938/01/29          4.590          R
030219         1938/01/30          4.590          R
030219         1938/01/31          4.590          R
030219         1938/02/01          11.00          R
030219         1938/02/02          11.00          R
030219         1938/02/03          11.00          R
030219         1938/02/04          11.00          R
030219         1938/02/05          11.00          R
030219         1938/02/06          11.00          R
030219         1938/02/07          11.00          R
030219         1938/02/08          11.00          R
030219         1938/02/09          11.00          R
030219         1938/02/10          11.00          R
030219         1938/02/11          11.00          R
030219         1938/02/12          11.00          R
030219         1938/02/13          11.00          R
030219         1938/02/14          11.00          R
030219         1938/02/15          11.00          R
030219         1938/02/16          5.150          R
030219         1938/02/17          5.150          R
030219         1938/02/18          5.150          R
030219         1938/02/19          5.150          R
030219         1938/02/20          5.150          R
030219         1938/02/21          5.150          R
030219         1938/02/22          5.150          R
030219         1938/02/23          5.150          R
030219         1938/02/24          5.150          R
030219         1938/02/25          5.150          R
030219         1938/02/26          5.150          R
030219         1938/02/27          5.150          R
030219         1938/02/28          5.150          R
030219         1938/03/01          3.400          R
030219         1938/03/02          3.400          R
030219         1938/03/03          3.400          R
030219         1938/03/04          3.400          R
030219         1938/03/05          3.400          R
030219         1938/03/06          3.400          R
030219         1938/03/07          3.400          R
030219         1938/03/08          3.400          R
030219         1938/03/09          3.400          R
030219         1938/03/10          3.400          R
030219         1938/03/11          4.670          R
030219         1938/03/12          4.670          R
030219         1938/03/13          4.670          R
030219         1938/03/14          4.670          R
030219         1938/03/15          4.670          R
030219         1938/03/16          4.670          R
030219         1938/03/17          4.670          R
030219         1938/03/18          4.670          R
030219         1938/03/19          4.670          R
030219         1938/03/20          4.670          R
030219         1938/03/21          60.90          R
030219         1938/03/22          60.90          R
030219         1938/03/23          60.90          R
030219         1938/03/24          60.90          R
030219         1938/03/25          60.90          R
030219         1938/03/26          60.90          R
030219         1938/03/27          60.90          R
030219         1938/03/28          60.90          R
030219         1938/03/29          60.90          R
030219         1938/03/30          60.90          R
030219         1938/03/31          60.90          R
030219         1938/04/01          63.70          MC
030219         1938/04/02          72.80          MC
030219         1938/04/03          53.50          MC
030219         1938/04/04          36.20          MC
030219         1938/04/05          30.60          MC
030219         1938/04/06          21.00          MC
030219         1938/04/07          18.00          MC
030219         1938/04/08          18.00          MC
030219         1938/04/09          18.00          MC
030219         1938/04/10          15.10          MC
030219         1938/04/11          10.10          MC
030219         1938/04/12          19.40          MC
030219         1938/04/13          21.00          MC
030219         1938/04/14          69.70          MC
030219         1938/04/15          183.0          MC
030219         1938/04/16          135.0          MC
030219         1938/04/17          101.0          MC
030219         1938/04/18          101.0          MC
030219         1938/04/19          153.0          MC
030219         1938/04/20          135.0          MC
030219         1938/04/21          128.0          MC
030219         1938/04/22          87.20          MC
030219         1938/04/23          69.70          MC
030219         1938/04/24          54.70          MC
030219         1938/04/25          42.80          MC
030219         1938/04/26          38.80          MC
030219         1938/04/27          31.10          MC
030219         1938/04/28          34.80          MC
030219         1938/04/29          37.10          MC
030219         1938/04/30          47.30          MC
030219         1938/05/01          43.90          MC
030219         1938/05/02          38.80          MC
030219         1938/05/03          29.40          MC
030219         1938/05/04          22.20          MC
030219         1938/05/05          19.10          MC
030219         1938/05/06          15.60          MC
030219         1938/05/07          14.90          MC
030219         1938/05/08          15.60          MC
030219         1938/05/09          16.30          MC
030219         1938/05/10          13.50          MC
030219         1938/05/11          15.60          MC
030219         1938/05/12          22.20          MC
030219         1938/05/13          24.60          MC
030219         1938/05/14          36.80          MC
030219         1938/05/15          38.80          MC
030219         1938/05/16          40.20          MC
030219         1938/05/17          38.20          MC
030219         1938/05/18          31.70          MC
030219         1938/05/19          24.10          MC
030219         1938/05/20          17.30          MC
030219         1938/05/21          55.80          MC
030219         1938/05/22          46.70          MC
030219         1938/05/23          30.60          MC
030219         1938/05/24          22.50          MC
030219         1938/05/25          22.50          MC
030219         1938/05/26          19.40          MC
030219         1938/05/27          15.10          MC
030219         1938/05/28          12.50          MC
030219         1938/05/29          11.90          MC
030219         1938/05/30          7.110          MC
030219         1938/05/31          10.70          MC
030219         1938/06/01          5.150          MC
030219         1938/06/02          6.030          MC
030219         1938/06/03          53.00          MC
030219         1938/06/04          25.30          MC
030219         1938/06/05          11.00          MC
030219         1938/06/06          6.940          MC
030219         1938/06/07          5.150          MC
030219         1938/06/08          8.780          MC
030219         1938/06/09          6.940          MC
030219         1938/06/10          6.030          MC
030219         1938/06/11          2.780          MC
030219         1938/06/12          5.580          MC
030219         1938/06/13          5.580          MC
030219         1938/06/14          3.940          MC
030219         1938/06/15          6.940          MC
030219         1938/06/16          2.630          MC
030219         1938/06/17          1.190          MC
030219         1938/06/18          1.190          MC
030219         1938/06/19          6.770          MC
030219         1938/06/20          33.70          MC
030219         1938/06/21          36.50          MC
030219         1938/06/22          15.30          MC
030219         1938/06/23          7.840          MC
030219         1938/06/24          5.860          MC
030219         1938/06/25          4.160          MC
030219         1938/06/26          41.60          MC
030219         1938/06/27          64.00          MC
030219         1938/06/28          34.50          MC
030219         1938/06/29          16.70          MC
030219         1938/06/30          10.20          MC
030219         1938/07/01          10.40          MC
030219         1938/07/02          6.480          MC
030219         1938/07/03          10.40          MC
030219         1938/07/04          11.60          MC
030219         1938/07/05          11.00          MC
030219         1938/07/06          16.30          MC
030219         1938/07/07          10.40          MC
030219         1938/07/08          7.840          MC
030219         1938/07/09          10.40          MC
030219         1938/07/10          54.10          MC
030219         1938/07/11          60.90          MC
030219         1938/07/12          34.30          MC
030219         1938/07/13          62.30          MC
030219         1938/07/14          55.80          MC
030219         1938/07/15          35.40          MC
030219         1938/07/16          26.40          MC
030219         1938/07/17          18.00          MC
030219         1938/07/18          11.60          MC
030219         1938/07/19          10.10          MC
030219         1938/07/20          8.040          MC
030219         1938/07/21          6.650          MC
030219         1938/07/22          5.780          MC
030219         1938/07/23          14.50          MC
030219         1938/07/24          13.80          MC
030219         1938/07/25          14.50          MC
030219         1938/07/26          12.50          MC
030219         1938/07/27          9.540          MC
030219         1938/07/28          6.650          MC
030219         1938/07/29          8.500          MC
030219         1938/07/30          10.10          MC
030219         1938/07/31          11.90          MC
030219         1938/08/01          10.10          MC
030219         1938/08/02          9.540          MC
030219         1938/08/03          9.540          MC
030219         1938/08/04          20.20          MC
030219         1938/08/05          14.50          MC
030219         1938/08/06          10.10          MC
030219         1938/08/07          6.650          MC
030219         1938/08/08          4.500          MC
030219         1938/08/09          3.710          MC
030219         1938/08/10          2.920          MC
030219         1938/08/11          3.710          MC
030219         1938/08/12          2.920          MC
030219         1938/08/13          4.110          MC
030219         1938/08/14          8.040          MC
030219         1938/08/15          4.500          MC
030219         1938/08/16          4.110          MC
030219         1938/08/17          4.110          MC
030219         1938/08/18          6.650          MC
030219         1938/08/19          7.110          MC
030219         1938/08/20          4.900          MC
030219         1938/08/21          3.710          MC
030219         1938/08/22          4.590          MC
030219         1938/08/23          7.560          MC
030219         1938/08/24          9.540          MC
030219         1938/08/25          27.20          MC
030219         1938/08/26          23.30          MC
030219         1938/08/27          12.50          MC
030219         1938/08/28          8.500          MC
030219         1938/08/29          9.540          MC
030219         1938/08/30          7.110          MC
030219         1938/08/31          6.200          MC
030219         1938/09/01          8.040          MC
030219         1938/09/02          10.70          MC
030219         1938/09/03          8.040          MC
030219         1938/09/04          5.780          MC
030219         1938/09/05          5.320          MC
030219         1938/09/06          5.780          MC
030219         1938/09/07          4.500          MC
030219         1938/09/08          4.900          MC
030219         1938/09/09          7.110          MC
030219         1938/09/10          7.110          MC
030219         1938/09/11          3.710          MC
030219         1938/09/12          4.500          MC
030219         1938/09/13          5.780          MC
030219         1938/09/14          31.70          MC
030219         1938/09/15          21.70          MC
030219         1938/09/16          30.60          MC
030219         1938/09/17          21.00          MC
030219         1938/09/18          19.40          MC
030219         1938/09/19          17.30          MC
030219         1938/09/20          13.80          MC
030219         1938/09/21          31.70          MC
030219         1938/09/22          79.60          MC
030219         1938/09/23          53.50          MC
030219         1938/09/24          30.60          MC
030219         1938/09/25          29.70          MC
030219         1938/09/26          23.30          MC
030219         1938/09/27          17.30          MC
030219         1938/09/28          16.60          MC
030219         1938/09/29          19.40          MC
030219         1938/09/30          19.40          MC
030219         1938/10/01          11.30          MC
030219         1938/10/02          13.80          MC
030219         1938/10/03          12.50          MC
030219         1938/10/04          12.50          MC
030219         1938/10/05          10.70          MC
030219         1938/10/06          11.90          MC
030219         1938/10/07          16.60          MC
030219         1938/10/08          12.50          MC
030219         1938/10/09          10.70          MC
030219         1938/10/10          8.500          MC
030219         1938/10/11          8.040          MC
030219         1938/10/12          8.040          MC
030219         1938/10/13          5.780          MC
030219         1938/10/14          5.780          MC
030219         1938/10/15          4.900          MC
030219         1938/10/16          4.900          MC
030219         1938/10/17          4.500          MC
030219         1938/10/18          4.900          MC
030219         1938/10/19          5.320          MC
030219         1938/10/20          7.110          MC
030219         1938/10/21          14.50          MC
030219         1938/10/22          22.50          MC
030219         1938/10/23          15.10          MC
030219         1938/10/24          16.60          MC
030219         1938/10/25          26.40          MC
030219         1938/10/26          37.40          MC
030219         1938/10/27          26.40          MC
030219         1938/10/28          17.30          MC
030219         1938/10/29          15.10          MC
030219         1938/10/30          11.90          MC
030219         1938/10/31          10.70          MC
030219         1938/11/01          9.000          MC
030219         1938/11/02          8.500          MC
030219         1938/11/03          7.560          MC
030219         1938/11/04          6.650          MC
030219         1938/11/05          5.780          MC
030219         1938/11/06          6.650          MC
030219         1938/11/07          6.200          MC
030219         1938/11/08          6.650          MC
030219         1938/11/09          7.560          MC
030219         1938/11/10          13.80          MC
030219         1938/11/11          12.50          MC
030219         1938/11/12          8.500          MC
030219         1938/11/13          8.500          MC
030219         1938/11/14          9.540          MC
030219         1938/11/15          19.40          MC
030219         1938/11/16          19.40          MC
030219         1938/11/17          9.540          MC
030219         1938/11/18          9.540          MC
030219         1938/11/19          15.90          MC
030219         1938/11/20          33.40          MC
030219         1938/11/21          23.30          MC
030219         1938/11/22          6.650          MC
030219         1938/11/23          14.50          MC
030219         1938/11/24          19.40          MC
030219         1938/11/25          7.560          MC
030219         1938/11/26          7.560          MC
030219         1938/11/27          8.500          MC
030219         1938/11/28          10.10          MC
030219         1938/11/29          10.10          MC
030219         1938/11/30          10.10          MC
030219         1938/12/01          9.320          MC
030219         1938/12/02          7.840          MC
030219         1938/12/03          7.840          MC
030219         1938/12/04          14.90          MC
030219         1938/12/05          19.90          MC
030219         1938/12/06          57.80          MC
030219         1938/12/07          170.0          MC
030219         1938/12/08          92.90          MC
030219         1938/12/09          53.00          MC
030219         1938/12/10          50.70          MC
030219         1938/12/11          67.40          MC
030219         1938/12/12          57.80          MC
030219         1938/12/13          40.80          MC
030219         1938/12/14          36.80          MC
030219         1938/12/15          18.40          MC
030219         1938/12/16          17.00          MC
030219         1938/12/17          4.900          R
030219         1938/12/18          4.900          R
030219         1938/12/19          4.900          R
030219         1938/12/20          4.900          R
030219         1938/12/21          4.900          R
030219         1938/12/22          4.900          R
030219         1938/12/23          4.900          R
030219         1938/12/24          4.900          R
030219         1938/12/25          4.900          R
030219         1938/12/26          4.900          R
030219         1938/12/27          4.900          R
030219         1938/12/28          4.900          R
030219         1938/12/29          4.900          R
030219         1938/12/30          4.900          R
030219         1938/12/31          4.900          R
030219         1939/01/01          2.550          R
030219         1939/01/02          2.550          R
030219         1939/01/03          2.550          R
030219         1939/01/04          2.550          R
030219         1939/01/05          2.550          R
030219         1939/01/06          2.550          R
030219         1939/01/07          
030219         1939/01/08          
030219         1939/01/09          
030219         1939/01/10          
030219         1939/01/11          
030219         1939/01/12          
030219         1939/01/13          
030219         1939/01/14          
030219         1939/01/15          
030219         1939/01/16          
030219         1939/01/17          
030219         1939/01/18          
030219         1939/01/19          
030219         1939/01/20          
030219         1939/01/21          
030219         1939/01/22          
030219         1939/01/23          
030219         1939/01/24          
030219         1939/01/25          
030219         1939/01/26          
030219         1939/01/27          
030219         1939/01/28          
030219         1939/01/29          
030219         1939/01/30          
030219         1939/01/31          
030219         1939/02/01          
030219         1939/02/02          
030219         1939/02/03          
030219         1939/02/04          
030219         1939/02/05          
030219         1939/02/06          
030219         1939/02/07          
030219         1939/02/08          
030219         1939/02/09          
030219         1939/02/10          
030219         1939/02/11          
030219         1939/02/12          
030219         1939/02/13          
030219         1939/02/14          
030219         1939/02/15          
030219         1939/02/16          
030219         1939/02/17          
030219         1939/02/18          
030219         1939/02/19          
030219         1939/02/20          
030219         1939/02/21          
030219         1939/02/22          
030219         1939/02/23          
030219         1939/02/24          
030219         1939/02/25          
030219         1939/02/26          
030219         1939/02/27          
030219         1939/02/28          
030219         1939/03/01          
030219         1939/03/02          
030219         1939/03/03          
030219         1939/03/04          
030219         1939/03/05          
030219         1939/03/06          
030219         1939/03/07          
030219         1939/03/08          
030219         1939/03/09          
030219         1939/03/10          
030219         1939/03/11          
030219         1939/03/12          
030219         1939/03/13          
030219         1939/03/14          
030219         1939/03/15          
030219         1939/03/16          
030219         1939/03/17          
030219         1939/03/18          
030219         1939/03/19          
030219         1939/03/20          
030219         1939/03/21          
030219         1939/03/22          
030219         1939/03/23          
030219         1939/03/24          
030219         1939/03/25          
030219         1939/03/26          
030219         1939/03/27          
030219         1939/03/28          
030219         1939/03/29          
030219         1939/03/30          
030219         1939/03/31          
030219         1939/04/01          
030219         1939/04/02          
030219         1939/04/03          
030219         1939/04/04          
030219         1939/04/05          
030219         1939/04/06          
030219         1939/04/07          
030219         1939/04/08          
030219         1939/04/09          
030219         1939/04/10          
030219         1939/04/11          
030219         1939/04/12          
030219         1939/04/13          
030219         1939/04/14          
030219         1939/04/15          
030219         1939/04/16          
030219         1939/04/17          
030219         1939/04/18          
030219         1939/04/19          
030219         1939/04/20          
030219         1939/04/21          
030219         1939/04/22          
030219         1939/04/23          
030219         1939/04/24          
030219         1939/04/25          
