Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2018-09-30, préliminaires par la suite
Station:        030220         Massawippi - à 1,6 km en aval du lac Massawippi                                                                                                
Bassin versant: 610 km²        Régime: Influencé mensuellement                           
Coordonnées:    (NAD83) 45° 17' 4" // -71° 57' 46"

Date de création du fichier: 2019-11-25 19:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030220         1952/08/06          1.930          MC
030220         1952/08/07          1.900          MC
030220         1952/08/08          1.870          MC
030220         1952/08/09          1.930          MC
030220         1952/08/10          1.810          MC
030220         1952/08/11          1.700          MC
030220         1952/08/12          1.610          MC
030220         1952/08/13          1.590          MC
030220         1952/08/14          1.560          MC
030220         1952/08/15          1.610          MC
030220         1952/08/16          1.730          MC
030220         1952/08/17          1.500          MC
030220         1952/08/18          1.500          MC
030220         1952/08/19          1.610          MC
030220         1952/08/20          1.500          MC
030220         1952/08/21          1.590          MC
030220         1952/08/22          1.390          MC
030220         1952/08/23          1.440          MC
030220         1952/08/24          1.470          MC
030220         1952/08/25          1.500          MC
030220         1952/08/26          1.590          MC
030220         1952/08/27          1.610          MC
030220         1952/08/28          1.670          MC
030220         1952/08/29          1.610          MC
030220         1952/08/30          1.500          MC
030220         1952/08/31          1.470          MC
030220         1952/09/01          1.080          MC
030220         1952/09/02          1.050          MC
030220         1952/09/03          1.080          MC
030220         1952/09/04          1.130          MC
030220         1952/09/05          1.160          MC
030220         1952/09/06          1.100          MC
030220         1952/09/07          1.130          MC
030220         1952/09/08          1.160          MC
030220         1952/09/09          1.130          MC
030220         1952/09/10          1.270          MC
030220         1952/09/11          1.300          MC
030220         1952/09/12          1.190          MC
030220         1952/09/13          1.250          MC
030220         1952/09/14          1.220          MC
030220         1952/09/15          1.160          MC
030220         1952/09/16          1.300          MC
030220         1952/09/17          1.250          MC
030220         1952/09/18          1.250          MC
030220         1952/09/19          1.190          MC
030220         1952/09/20          1.130          MC
030220         1952/09/21          1.160          MC
030220         1952/09/22          1.190          MC
030220         1952/09/23          1.220          MC
030220         1952/09/24          1.130          MC
030220         1952/09/25          1.160          MC
030220         1952/09/26          1.250          MC
030220         1952/09/27          1.300          MC
030220         1952/09/28          1.420          MC
030220         1952/09/29          1.470          MC
030220         1952/09/30          1.780          MC
030220         1952/10/01          3.450          MC
030220         1952/10/02          1.130          MC
030220         1952/10/03          1.420          MC
030220         1952/10/04          1.840          MC
030220         1952/10/05          2.440          MC
030220         1952/10/06          2.660          MC
030220         1952/10/07          3.090          MC
030220         1952/10/08          4.190          MC
030220         1952/10/09          4.790          MC
030220         1952/10/10          4.790          MC
030220         1952/10/11          4.670          MC
030220         1952/10/12          4.280          MC
030220         1952/10/13          4.080          MC
030220         1952/10/14          4.020          MC
030220         1952/10/15          3.600          MC
030220         1952/10/16          3.260          MC
030220         1952/10/17          3.310          MC
030220         1952/10/18          3.230          MC
030220         1952/10/19          3.110          MC
030220         1952/10/20          2.920          MC
030220         1952/10/21          2.660          MC
030220         1952/10/22          3.260          MC
030220         1952/10/23          3.110          MC
030220         1952/10/24          3.310          MC
030220         1952/10/25          3.110          MC
030220         1952/10/26          2.860          MC
030220         1952/10/27          2.720          MC
030220         1952/10/28          2.520          MC
030220         1952/10/29          2.490          MC
030220         1952/10/30          2.860          MC
030220         1952/10/31          2.660          MC
030220         1952/11/01          3.030          MC
030220         1952/11/02          2.780          MC
030220         1952/11/03          3.170          MC
030220         1952/11/04          3.110          MC
030220         1952/11/05          3.030          MC
030220         1952/11/06          2.860          MC
030220         1952/11/07          3.090          MC
030220         1952/11/08          3.170          MC
030220         1952/11/09          3.340          MC
030220         1952/11/10          3.450          MC
030220         1952/11/11          3.480          MC
030220         1952/11/12          3.600          MC
030220         1952/11/13          3.400          MC
030220         1952/11/14          3.110          MC
030220         1952/11/15          3.230          MC
030220         1952/11/16          3.340          MC
030220         1952/11/17          3.600          MC
030220         1952/11/18          7.790          MC
030220         1952/11/19          7.700          MC
030220         1952/11/20          6.800          MC
030220         1952/11/21          6.650          MC
030220         1952/11/22          6.370          MC
030220         1952/11/23          6.170          MC
030220         1952/11/24          5.970          MC
030220         1952/11/25          5.720          MC
030220         1952/11/26          5.470          MC
030220         1952/11/27          5.210          MC
030220         1952/11/28          5.270          MC
030220         1952/11/29          1.900          MC
030220         1952/11/30          1.900          MC
030220         1952/12/01          
030220         1952/12/02          
030220         1952/12/03          
030220         1952/12/04          
030220         1952/12/05          
030220         1952/12/06          
030220         1952/12/07          
030220         1952/12/08          
030220         1952/12/09          
030220         1952/12/10          
030220         1952/12/11          
030220         1952/12/12          
030220         1952/12/13          
030220         1952/12/14          
030220         1952/12/15          
030220         1952/12/16          
030220         1952/12/17          
030220         1952/12/18          
030220         1952/12/19          
030220         1952/12/20          
030220         1952/12/21          
030220         1952/12/22          
030220         1952/12/23          
030220         1952/12/24          
030220         1952/12/25          
030220         1952/12/26          
030220         1952/12/27          
030220         1952/12/28          
030220         1952/12/29          
030220         1952/12/30          
030220         1952/12/31          
030220         1953/01/01          
030220         1953/01/02          
030220         1953/01/03          
030220         1953/01/04          
030220         1953/01/05          
030220         1953/01/06          
030220         1953/01/07          
030220         1953/01/08          
030220         1953/01/09          
030220         1953/01/10          
030220         1953/01/11          
030220         1953/01/12          
030220         1953/01/13          
030220         1953/01/14          
030220         1953/01/15          
030220         1953/01/16          
030220         1953/01/17          
030220         1953/01/18          
030220         1953/01/19          
030220         1953/01/20          
030220         1953/01/21          
030220         1953/01/22          
030220         1953/01/23          
030220         1953/01/24          
030220         1953/01/25          
030220         1953/01/26          
030220         1953/01/27          
030220         1953/01/28          
030220         1953/01/29          
030220         1953/01/30          
030220         1953/01/31          
030220         1953/02/01          
030220         1953/02/02          
030220         1953/02/03          
030220         1953/02/04          
030220         1953/02/05          
030220         1953/02/06          
030220         1953/02/07          
030220         1953/02/08          
030220         1953/02/09          
030220         1953/02/10          
030220         1953/02/11          
030220         1953/02/12          
030220         1953/02/13          
030220         1953/02/14          
030220         1953/02/15          
030220         1953/02/16          
030220         1953/02/17          
030220         1953/02/18          
030220         1953/02/19          
030220         1953/02/20          
030220         1953/02/21          
030220         1953/02/22          
030220         1953/02/23          
030220         1953/02/24          
030220         1953/02/25          
030220         1953/02/26          
030220         1953/02/27          
030220         1953/02/28          
030220         1953/03/01          
030220         1953/03/02          
030220         1953/03/03          
030220         1953/03/04          
030220         1953/03/05          
030220         1953/03/06          
030220         1953/03/07          
030220         1953/03/08          
030220         1953/03/09          
030220         1953/03/10          
030220         1953/03/11          
030220         1953/03/12          
030220         1953/03/13          
030220         1953/03/14          
030220         1953/03/15          
030220         1953/03/16          
030220         1953/03/17          
030220         1953/03/18          
030220         1953/03/19          
030220         1953/03/20          
030220         1953/03/21          
030220         1953/03/22          
030220         1953/03/23          
030220         1953/03/24          
030220         1953/03/25          
030220         1953/03/26          
030220         1953/03/27          
030220         1953/03/28          
030220         1953/03/29          
030220         1953/03/30          
030220         1953/03/31          
030220         1953/04/01          41.10          MC
030220         1953/04/02          38.20          MC
030220         1953/04/03          35.70          MC
030220         1953/04/04          32.60          MC
030220         1953/04/05          32.00          MC
030220         1953/04/06          27.00          MC
030220         1953/04/07          27.30          MC
030220         1953/04/08          22.90          MC
030220         1953/04/09          21.70          MC
030220         1953/04/10          19.70          MC
030220         1953/04/11          18.60          MC
030220         1953/04/12          18.10          MC
030220         1953/04/13          17.20          MC
030220         1953/04/14          16.60          MC
030220         1953/04/15          16.30          MC
030220         1953/04/16          14.60          MC
030220         1953/04/17          14.50          MC
030220         1953/04/18          13.50          MC
030220         1953/04/19          12.80          MC
030220         1953/04/20          12.70          MC
030220         1953/04/21          13.10          MC
030220         1953/04/22          14.40          MC
