Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1972-06-07
Station:        030223         Watopeka - à 3,9 km de la rivière Saint-François                                                                                               
Bassin versant: 330 km²        Régime: Influencé mensuellement                           
Coordonnées:    (NAD83) 45° 35' 7" // -71° 58' 45"

Date de création du fichier: 2012-06-29 18:00
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030223         1955/06/01          1.530          MC
030223         1955/06/02          1.530          MC
030223         1955/06/03          3.960          E
030223         1955/06/04          3.790          E
030223         1955/06/05          2.890          E
030223         1955/06/06          2.510          E
030223         1955/06/07          1.880          E
030223         1955/06/08          1.790          E
030223         1955/06/09          1.330          E
030223         1955/06/10          1.210          E
030223         1955/06/11          1.210          E
030223         1955/06/12          1.110          E
030223         1955/06/13          1.020          E
030223         1955/06/14          1.110          E
030223         1955/06/15          1.210          E
030223         1955/06/16          1.740          E
030223         1955/06/17          1.620          E
030223         1955/06/18          1.470          E
030223         1955/06/19          1.330          E
030223         1955/06/20          1.210          E
030223         1955/06/21          1.270          E
030223         1955/06/22          1.210          E
030223         1955/06/23          1.160          E
030223         1955/06/24          1.110          E
030223         1955/06/25          1.020          E
030223         1955/06/26          1.020          E
030223         1955/06/27          1.020          E
030223         1955/06/28          1.020          E
030223         1955/06/29          0.950          E
030223         1955/06/30          0.950          E
030223         1955/07/01          0.930          E
030223         1955/07/02          0.930          E
030223         1955/07/03          0.930          E
030223         1955/07/04          0.930          E
030223         1955/07/05          0.870          E
030223         1955/07/06          0.830          E
030223         1955/07/07          0.830          E
030223         1955/07/08          0.830          E
030223         1955/07/09          0.830          E
030223         1955/07/10          0.830          E
030223         1955/07/11          0.830          E
030223         1955/07/12          0.830          E
030223         1955/07/13          0.830          E
030223         1955/07/14          0.830          E
030223         1955/07/15          0.830          E
030223         1955/07/16          0.820          E
030223         1955/07/17          0.820          E
030223         1955/07/18          0.820          E
030223         1955/07/19          0.820          E
030223         1955/07/20          0.820          E
030223         1955/07/21          0.820          E
030223         1955/07/22          0.820          E
030223         1955/07/23          0.820          E
030223         1955/07/24          0.820          E
030223         1955/07/25          0.820          E
030223         1955/07/26          0.820          E
030223         1955/07/27          0.820          E
030223         1955/07/28          0.820          E
030223         1955/07/29          0.880          E
030223         1955/07/30          0.880          E
030223         1955/07/31          0.870          E
030223         1955/08/01          0.970          E
030223         1955/08/02          1.570          E
030223         1955/08/03          1.570          E
030223         1955/08/04          1.470          E
030223         1955/08/05          1.490          E
030223         1955/08/06          1.570          E
030223         1955/08/07          1.650          E
030223         1955/08/08          1.750          E
030223         1955/08/09          1.860          E
030223         1955/08/10          2.020          E
030223         1955/08/11          2.010          E
030223         1955/08/12          1.950          E
030223         1955/08/13          1.900          E
030223         1955/08/14          1.910          E
030223         1955/08/15          1.910          E
030223         1955/08/16          1.740          E
030223         1955/08/17          1.830          E
030223         1955/08/18          2.010          E
030223         1955/08/19          2.050          E
030223         1955/08/20          1.970          E
030223         1955/08/21          2.790          E
030223         1955/08/22          4.640          E
030223         1955/08/23          5.690          E
030223         1955/08/24          8.610          E
030223         1955/08/25          5.970          E
030223         1955/08/26          4.220          E
030223         1955/08/27          2.790          E
030223         1955/08/28          2.100          E
030223         1955/08/29          1.910          E
030223         1955/08/30          1.770          E
030223         1955/08/31          1.630          E
030223         1955/09/01          1.380          E
030223         1955/09/02          1.290          E
030223         1955/09/03          1.210          E
030223         1955/09/04          1.090          E
030223         1955/09/05          1.020          E
030223         1955/09/06          0.970          E
030223         1955/09/07          0.930          E
030223         1955/09/08          0.910          E
030223         1955/09/09          0.890          E
030223         1955/09/10          0.920          E
030223         1955/09/11          0.930          E
030223         1955/09/12          1.100          E
030223         1955/09/13          1.250          E
030223         1955/09/14          1.410          E
030223         1955/09/15          1.570          E
030223         1955/09/16          1.740          E
030223         1955/09/17          1.910          E
030223         1955/09/18          1.910          E
030223         1955/09/19          1.910          E
030223         1955/09/20          1.740          E
030223         1955/09/21          1.640          E
030223         1955/09/22          1.720          E
030223         1955/09/23          1.560          E
030223         1955/09/24          1.420          E
030223         1955/09/25          1.420          E
030223         1955/09/26          1.350          E
030223         1955/09/27          1.350          E
030223         1955/09/28          1.420          E
030223         1955/09/29          1.350          E
030223         1955/09/30          1.350          E
030223         1955/10/01          1.280          E
030223         1955/10/02          1.280          E
030223         1955/10/03          1.280          E
030223         1955/10/04          1.280          E
030223         1955/10/05          1.170          E
030223         1955/10/06          1.170          E
030223         1955/10/07          1.170          E
030223         1955/10/08          1.170          E
030223         1955/10/09          1.170          E
030223         1955/10/10          1.170          E
030223         1955/10/11          1.170          E
030223         1955/10/12          1.170          E
030223         1955/10/13          1.070          E
030223         1955/10/14          1.070          E
030223         1955/10/15          1.030          E
030223         1955/10/16          0.990          E
030223         1955/10/17          0.910          E
030223         1955/10/18          1.040          E
030223         1955/10/19          1.060          E
030223         1955/10/20          1.090          E
030223         1955/10/21          1.520          E
030223         1955/10/22          2.460          E
030223         1955/10/23          2.570          E
030223         1955/10/24          2.640          E
030223         1955/10/25          2.690          E
030223         1955/10/26          3.090          E
030223         1955/10/27          3.090          E
030223         1955/10/28          3.000          E
030223         1955/10/29          2.790          E
030223         1955/10/30          2.460          E
030223         1955/10/31          2.400          E
030223         1955/11/01          3.940          MC
030223         1955/11/02          5.690          MC
030223         1955/11/03          7.530          MC
030223         1955/11/04          6.310          MC
030223         1955/11/05          7.530          MC
030223         1955/11/06          10.60          MC
030223         1955/11/07          13.00          MC
030223         1955/11/08          12.50          MC
030223         1955/11/09          11.40          MC
030223         1955/11/10          9.660          MC
030223         1955/11/11          7.280          MC
030223         1955/11/12          6.800          MC
030223         1955/11/13          6.310          MC
030223         1955/11/14          7.280          MC
030223         1955/11/15          6.310          MC
030223         1955/11/16          6.570          MC
030223         1955/11/17          9.000          MC
030223         1955/11/18          9.490          MC
030223         1955/11/19          9.000          MC
030223         1955/11/20          6.090          MC
030223         1955/11/21          3.990          MC
030223         1955/11/22          3.200          MC
030223         1955/11/23          2.490          MC
030223         1955/11/24          4.080          MC
030223         1955/11/25          5.300          MC
030223         1955/11/26          4.760          MC
030223         1955/11/27          3.450          MC
030223         1955/11/28          2.920          MC
030223         1955/11/29          2.240          MC
030223         1955/11/30          2.240          MC
030223         1955/12/01          1.470          MC
030223         1955/12/02          1.730          MC
030223         1955/12/03          1.870          MC
030223         1955/12/04          1.730          MC
030223         1955/12/05          1.980          MC
030223         1955/12/06          1.870          MC
030223         1955/12/07          1.810          MC
030223         1955/12/08          1.640          MC
