Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1982-08-04
Station:        030231         Massawippi - à 0,3 km de la rivière Saint-François                                                                                             
Bassin versant: 1690 km²       Régime: Influencé                                         
Coordonnées:    (NAD83) 45° 22' 0" // -71° 51' 1"
Constante géodésique: 0 m
Date de création du fichier: 2012-06-23 05:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
030231         1964/03/05          146.16         PL
030231         1964/03/06          
030231         1964/03/07          147.84         PL
030231         1964/03/08          146.53         PL
030231         1964/03/09          145.53         PL
030231         1964/03/10          144.98         PL
030231         1964/03/11          144.35         PL
030231         1964/03/12          143.90         PL
030231         1964/03/13          143.76         PL
030231         1964/03/14          143.74         PL
030231         1964/03/15          143.90         PL
030231         1964/03/16          143.76         PL
030231         1964/03/17          143.59         PL
030231         1964/03/18          143.45         PL
030231         1964/03/19          143.43         PL
030231         1964/03/20          143.28         PL
030231         1964/03/21          143.14         PL
030231         1964/03/22          142.98         PL
030231         1964/03/23          143.12         PL
030231         1964/03/24          143.14         PL
030231         1964/03/25          143.43         PL
030231         1964/03/26          143.59         PL
030231         1964/03/27          144.03         PL
030231         1964/03/28          143.58         PL
030231         1964/03/29          143.44         PL
030231         1964/03/30          143.42         PL
030231         1964/03/31          143.13         PL
030231         1964/04/01          143.13         PL
030231         1964/04/02          143.27         PL
030231         1964/04/03          143.58         PL
030231         1964/04/04          143.73         PL
030231         1964/04/05          143.88         PL
030231         1964/04/06          144.03         PL
030231         1964/04/07          144.17         PL
030231         1964/04/08          144.39         PL
030231         1964/04/09          144.35         PL
030231         1964/04/10          144.57         PL
030231         1964/04/11          144.33         PL
030231         1964/04/12          143.88         PL
030231         1964/04/13          145.19         PL
030231         1964/04/14          146.86         PL
030231         1964/04/15          145.09         PL
030231         1964/04/16          144.65         PL
030231         1964/04/17          144.48         PL
030231         1964/04/18          143.88         PL
030231         1964/04/19          143.73         PL
030231         1964/04/20          143.55         PL
030231         1964/04/21          143.42         PL
030231         1964/04/22          143.71         PL
030231         1964/04/23          143.57         PL
030231         1964/04/24          143.40         PL
030231         1964/04/25          143.26         PL
030231         1964/04/26          143.55         PL
030231         1964/04/27          143.42         PL
030231         1964/04/28          143.26         PL
030231         1964/04/29          143.09         PL
030231         1964/04/30          142.81         PL
030231         1964/05/01          143.08         PL
030231         1964/05/02          142.80         PL
030231         1964/05/03          142.78         PL
030231         1964/05/04          142.72         PL
030231         1964/05/05          142.64         PL
030231         1964/05/06          
030231         1964/05/07          
030231         1964/05/08          142.67         PL
030231         1964/05/09          142.90         PL
030231         1964/05/10          142.97         PL
030231         1964/05/11          142.90         PL
030231         1964/05/12          143.09         PL
030231         1964/05/13          143.10         PL
030231         1964/05/14          143.14         PL
030231         1964/05/15          143.10         PL
030231         1964/05/16          143.02         PL
030231         1964/05/17          142.80         PL
030231         1964/05/18          142.93         PL
030231         1964/05/19          
030231         1964/05/20          142.63         PL
030231         1964/05/21          142.79         PL
030231         1964/05/22          142.93         PL
030231         1964/05/23          142.83         PL
030231         1964/05/24          
030231         1964/05/25          142.93         PL
030231         1964/05/26          143.08         PL
030231         1964/05/27          143.13         PL
030231         1964/05/28          143.23         PL
030231         1964/05/29          143.38         PL
030231         1964/05/30          143.54         PL
030231         1964/05/31          143.69         PL
030231         1964/06/01          143.54         PL
030231         1964/06/02          143.13         PL
030231         1964/06/03          143.23         PL
030231         1964/06/04          143.54         PL
030231         1964/06/05          143.87         PL
030231         1964/06/06          143.99         PL
030231         1964/06/07          143.83         PL
030231         1964/06/08          143.68         PL
030231         1964/06/09          143.43         PL
030231         1964/06/10          143.09         PL
030231         1964/06/11          143.23         PL
030231         1964/06/12          143.37         PL
030231         1964/06/13          143.53         PL
030231         1964/06/14          143.39         PL
030231         1964/06/15          143.37         PL
030231         1964/06/16          143.23         PL
030231         1964/06/17          143.08         PL
030231         1964/06/18          143.07         PL
030231         1964/06/19          142.92         PL
