Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2018-09-30, préliminaires par la suite
Station:        030234         Eaton - à 0,6 km de la rivière Saint-François                                                                                                  
Bassin versant: 646 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 45° 28' 5" // -71° 39' 18"

Date de création du fichier: 2019-11-25 19:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030234         1953/04/01          36.50          MC
030234         1953/04/02          30.00          MC
030234         1953/04/03          24.00          MC
030234         1953/04/04          19.80          MC
030234         1953/04/05          18.00          MC
030234         1953/04/06          16.70          MC
030234         1953/04/07          15.00          MC
030234         1953/04/08          14.90          MC
030234         1953/04/09          12.80          MC
030234         1953/04/10          11.20          MC
030234         1953/04/11          14.80          MC
030234         1953/04/12          15.60          MC
030234         1953/04/13          11.80          MC
030234         1953/04/14          11.20          MC
030234         1953/04/15          10.20          MC
030234         1953/04/16          9.540          J
030234         1953/04/17          9.460          MC
030234         1953/04/18          10.60          MC
030234         1953/04/19          8.950          MC
030234         1953/04/20          11.10          MC
030234         1953/04/21          21.20          MC
030234         1953/04/22          19.80          MC
030234         1953/04/23          37.40          MC
030234         1953/04/24          36.20          MC
030234         1953/04/25          21.00          MC
030234         1953/04/26          26.80          MC
030234         1953/04/27          26.20          MC
030234         1953/04/28          25.60          MC
030234         1953/04/29          20.70          MC
030234         1953/04/30          16.30          MC
030234         1953/05/01          14.50          MC
030234         1953/05/02          19.10          MC
030234         1953/05/03          14.10          MC
030234         1953/05/04          11.10          MC
030234         1953/05/05          9.660          MC
030234         1953/05/06          9.340          MC
030234         1953/05/07          7.590          MC
030234         1953/05/08          6.510          MC
030234         1953/05/09          5.890          MC
030234         1953/05/10          5.380          MC
030234         1953/05/11          4.530          MC
030234         1953/05/12          4.360          MC
030234         1953/05/13          11.00          MC
030234         1953/05/14          19.60          J
030234         1953/05/15          25.30          MC
030234         1953/05/16          36.00          MC
030234         1953/05/17          19.50          MC
030234         1953/05/18          23.50          MC
030234         1953/05/19          24.90          MC
030234         1953/05/20          17.50          MC
030234         1953/05/21          12.20          MC
030234         1953/05/22          8.550          J
030234         1953/05/23          7.390          MC
030234         1953/05/24          6.510          MC
030234         1953/05/25          5.380          MC
030234         1953/05/26          4.420          MC
030234         1953/05/27          4.020          MC
030234         1953/05/28          3.570          MC
030234         1953/05/29          3.170          MC
030234         1953/05/30          3.030          MC
030234         1953/05/31          2.830          MC
