Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1982-07-08
Station:        030236         Lac Lovering - au lac Lovering à Stanstead                                                                                                     
Bassin versant: 42.3 km²       Régime: Influencé                                         
Coordonnées:    (NAD83) 45° 8' 48" // -72° 9' 13"
Constante géodésique: 0 m
Date de création du fichier: 2012-06-23 05:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
030236         1965/05/04          242.51         PL
030236         1965/05/05          242.49         PL
030236         1965/05/06          242.47         PL
030236         1965/05/07          242.45         PL
030236         1965/05/08          242.43         PL
030236         1965/05/09          242.43         PL
030236         1965/05/10          242.40         PL
030236         1965/05/11          242.40         PL
030236         1965/05/12          242.40         PL
030236         1965/05/13          242.40         PL
030236         1965/05/14          242.40         PL
030236         1965/05/15          242.40         PL
030236         1965/05/16          242.39         PL
030236         1965/05/17          242.39         PL
030236         1965/05/18          242.38         PL
030236         1965/05/19          242.36         PL
030236         1965/05/20          242.36         PL
030236         1965/05/21          242.34         PL
030236         1965/05/22          242.33         PL
030236         1965/05/23          242.33         PL
030236         1965/05/24          242.31         PL
030236         1965/05/25          242.30         PL
030236         1965/05/26          242.29         PL
030236         1965/05/27          242.28         PL
030236         1965/05/28          242.30         PL
030236         1965/05/29          242.30         PL
030236         1965/05/30          242.28         PL
030236         1965/05/31          242.27         PL
030236         1965/06/01          242.26         PL
030236         1965/06/02          242.26         PL
030236         1965/06/03          242.25         PL
030236         1965/06/04          242.25         PL
030236         1965/06/05          242.24         PL
030236         1965/06/06          242.24         PL
030236         1965/06/07          242.25         PL
030236         1965/06/08          242.25         PL
030236         1965/06/09          242.25         PL
030236         1965/06/10          242.25         PL
030236         1965/06/11          242.25         PL
030236         1965/06/12          242.25         PL
030236         1965/06/13          242.25         PL
030236         1965/06/14          242.26         PL
030236         1965/06/15          242.26         PL
030236         1965/06/16          242.27         PL
030236         1965/06/17          242.26         PL
030236         1965/06/18          242.26         PL
030236         1965/06/19          242.26         PL
030236         1965/06/20          242.26         PL
030236         1965/06/21          242.26         PL
030236         1965/06/22          242.26         PL
030236         1965/06/23          242.26         PL
030236         1965/06/24          242.26         PL
030236         1965/06/25          242.26         PL
030236         1965/06/26          242.25         PL
030236         1965/06/27          242.24         PL
030236         1965/06/28          242.23         PL
030236         1965/06/29          242.23         PL
030236         1965/06/30          242.23         PL
030236         1965/07/01          242.22         PL
030236         1965/07/02          242.21         PL
030236         1965/07/03          242.19         PL
030236         1965/07/04          242.20         PL
030236         1965/07/05          242.20         PL
030236         1965/07/06          242.20         PL
030236         1965/07/07          242.19         PL
030236         1965/07/08          242.17         PL
030236         1965/07/09          242.16         PL
030236         1965/07/10          242.15         PL
030236         1965/07/11          242.14         PL
030236         1965/07/12          242.13         PL
030236         1965/07/13          242.11         PL
030236         1965/07/14          242.11         PL
030236         1965/07/15          242.10         PL
030236         1965/07/16          242.09         PL
030236         1965/07/17          242.08         PL
030236         1965/07/18          242.07         PL
030236         1965/07/19          242.07         PL
030236         1965/07/20          242.05         PL
030236         1965/07/21          242.04         PL
030236         1965/07/22          242.04         PL
030236         1965/07/23          242.03         PL
030236         1965/07/24          242.02         PL
030236         1965/07/25          242.01         PL
030236         1965/07/26          242.01         PL
030236         1965/07/27          242.01         PL
030236         1965/07/28          242.00         PL
030236         1965/07/29          241.99         PL
030236         1965/07/30          241.97         PL
030236         1965/07/31          241.97         PL
030236         1965/08/01          241.97         PL
030236         1965/08/02          241.95         PL
030236         1965/08/03          241.94         PL
030236         1965/08/04          241.93         PL
030236         1965/08/05          241.93         PL
030236         1965/08/06          241.92         PL
030236         1965/08/07          241.93         PL
030236         1965/08/08          241.93         PL
030236         1965/08/09          241.97         PL
030236         1965/08/10          241.99         PL
030236         1965/08/11          241.99         PL
030236         1965/08/12          241.99         PL
030236         1965/08/13          241.99         PL
030236         1965/08/14          242.00         PL
030236         1965/08/15          241.99         PL
030236         1965/08/16          242.00         PL
030236         1965/08/17          241.98         PL
030236         1965/08/18          242.03         PL
030236         1965/08/19          242.13         PL
030236         1965/08/20          242.18         PL
030236         1965/08/21          242.20         PL
030236         1965/08/22          242.19         PL
030236         1965/08/23          242.15         PL
030236         1965/08/24          242.16         PL
030236         1965/08/25          242.16         PL
030236         1965/08/26          242.15         PL
030236         1965/08/27          242.14         PL
030236         1965/08/28          242.15         PL
030236         1965/08/29          242.13         PL
030236         1965/08/30          242.08         PL
030236         1965/08/31          242.09         PL
030236         1965/09/01          242.10         PL
030236         1965/09/02          242.16         PL
030236         1965/09/03          242.16         PL
030236         1965/09/04          242.17         PL
030236         1965/09/05          242.16         PL
030236         1965/09/06          242.11         PL
030236         1965/09/07          242.11         PL
030236         1965/09/08          242.10         PL
030236         1965/09/09          242.05         PL
030236         1965/09/10          242.04         PL
030236         1965/09/11          242.03         PL
030236         1965/09/12          241.95         PL
030236         1965/09/13          241.94         PL
030236         1965/09/14          241.93         PL
030236         1965/09/15          241.90         PL
030236         1965/09/16          241.90         PL
030236         1965/09/17          241.87         PL
030236         1965/09/18          
030236         1965/09/19          
030236         1965/09/20          
030236         1965/09/21          
030236         1965/09/22          
030236         1965/09/23          
030236         1965/09/24          
030236         1965/09/25          
030236         1965/09/26          
030236         1965/09/27          
030236         1965/09/28          
030236         1965/09/29          
030236         1965/09/30          
030236         1965/10/01          
030236         1965/10/02          
030236         1965/10/03          
030236         1965/10/04          
030236         1965/10/05          
030236         1965/10/06          241.80         PL
030236         1965/10/07          241.80         PL
030236         1965/10/08          241.79         PL
030236         1965/10/09          241.80         PL
030236         1965/10/10          241.81         PL
030236         1965/10/11          241.80         PL
030236         1965/10/12          241.80         PL
030236         1965/10/13          241.80         PL
030236         1965/10/14          241.80         PL
030236         1965/10/15          241.80         PL
030236         1965/10/16          241.79         PL
030236         1965/10/17          241.93         PL
030236         1965/10/18          241.97         PL
030236         1965/10/19          241.97         PL
030236         1965/10/20          241.97         PL
030236         1965/10/21          241.95         PL
030236         1965/10/22          241.93         PL
030236         1965/10/23          241.89         PL
030236         1965/10/24          241.89         PL
030236         1965/10/25          241.89         PL
030236         1965/10/26          241.87         PL
030236         1965/10/27          241.83         PL
030236         1965/10/28          241.83         PL
030236         1965/10/29          241.82         PL
030236         1965/10/30          241.79         PL
030236         1965/10/31          241.78         PL
030236         1965/11/01          241.78         PL
030236         1965/11/02          241.78         PL
030236         1965/11/03          241.78         PL
030236         1965/11/04          241.77         PL
030236         1965/11/05          241.74         PL
030236         1965/11/06          241.73         PL
030236         1965/11/07          241.72         PL
030236         1965/11/08          241.69         PL
030236         1965/11/09          241.67         PL
030236         1965/11/10          241.67         PL
030236         1965/11/11          241.64         PL
030236         1965/11/12          241.61         PL
030236         1965/11/13          241.59         PL
030236         1965/11/14          241.58         PL
030236         1965/11/15          241.57         PL
030236         1965/11/16          241.54         PL
030236         1965/11/17          241.54         PL
030236         1965/11/18          241.62         PL
030236         1965/11/19          241.67         PL
030236         1965/11/20          241.68         PL
030236         1965/11/21          241.69         PL
030236         1965/11/22          241.68         PL
030236         1965/11/23          241.67         PL
030236         1965/11/24          241.66         PL
030236         1965/11/25          241.66         PL
030236         1965/11/26          241.64         PL
030236         1965/11/27          241.63         PL
030236         1965/11/28          241.66         PL
030236         1965/11/29          241.66         PL
030236         1965/11/30          241.63         PL
030236         1965/12/01          241.62         PL
030236         1965/12/02          241.61         PL
030236         1965/12/03          241.61         PL
030236         1965/12/04          241.58         PL
030236         1965/12/05          241.61         PL
030236         1965/12/06          241.61         PL
030236         1965/12/07          241.61         PL
030236         1965/12/08          241.57         PL
030236         1965/12/09          241.56         PL
030236         1965/12/10          241.54         PL
030236         1965/12/11          241.53         PL
030236         1965/12/12          241.52         PL
030236         1965/12/13          241.49         PL
030236         1965/12/14          241.48         PL
030236         1965/12/15          241.46         PL
030236         1965/12/16          241.43         PL
030236         1965/12/17          241.42         PL
030236         1965/12/18          241.41         PL
030236         1965/12/19          241.39         PL
030236         1965/12/20          241.37         PL
030236         1965/12/21          241.34         PL
030236         1965/12/22          241.32         PL
030236         1965/12/23          241.29         PL
030236         1965/12/24          241.29         PL
030236         1965/12/25          241.28         PL
030236         1965/12/26          241.28         PL
030236         1965/12/27          241.27         PL
030236         1965/12/28          241.26         PL
030236         1965/12/29          241.23         PL
030236         1965/12/30          241.22         PL
030236         1965/12/31          241.20         PL
030236         1966/01/01          241.07         PL
030236         1966/01/02          241.15         PL
030236         1966/01/03          241.16         PL
