Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1987-08-12
Station:        030246         Aux Saumons - à 0,5 km en amont du ruisseau Haseltine                                                                                          
Bassin versant: 217 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 45° 19' 28" // -71° 46' 21"

Date de création du fichier: 2012-06-29 19:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030246         1968/03/23          49.60          MC
030246         1968/03/24          54.70          MC
030246         1968/03/25          20.30          MC
030246         1968/03/26          13.20          MC
030246         1968/03/27          20.30          MC
030246         1968/03/28          20.30          MC
030246         1968/03/29          29.70          MC
030246         1968/03/30          47.30          MC
030246         1968/03/31          19.50          MC
030246         1968/04/01          22.30          MC
030246         1968/04/02          10.80          MC
030246         1968/04/03          6.850          MC
030246         1968/04/04          10.30          MC
030246         1968/04/05          17.20          MC
030246         1968/04/06          7.330          MC
030246         1968/04/07          10.00          MC
030246         1968/04/08          4.390          MC
030246         1968/04/09          10.00          MC
030246         1968/04/10          5.040          MC
030246         1968/04/11          3.850          MC
030246         1968/04/12          3.090          MC
030246         1968/04/13          3.370          MC
030246         1968/04/14          3.030          MC
030246         1968/04/15          2.590          MC
030246         1968/04/16          7.730          MC
030246         1968/04/17          4.670          MC
030246         1968/04/18          2.860          MC
030246         1968/04/19          8.920          MC
030246         1968/04/20          2.180          MC
030246         1968/04/21          2.140          MC
030246         1968/04/22          1.900          MC
030246         1968/04/23          1.900          MC
030246         1968/04/24          4.960          MC
030246         1968/04/25          24.90          MC
030246         1968/04/26          9.060          MC
030246         1968/04/27          12.20          MC
030246         1968/04/28          10.70          MC
030246         1968/04/29          4.900          MC
030246         1968/04/30          3.540          MC
030246         1968/05/01          2.700          MC
030246         1968/05/02          2.270          MC
030246         1968/05/03          1.900          MC
030246         1968/05/04          1.900          MC
030246         1968/05/05          1.630          MC
030246         1968/05/06          1.460          MC
030246         1968/05/07          1.310          MC
030246         1968/05/08          1.120          MC
030246         1968/05/09          0.990          MC
030246         1968/05/10          1.460          MC
030246         1968/05/11          1.780          MC
030246         1968/05/12          1.780          MC
030246         1968/05/13          1.120          MC
030246         1968/05/14          0.990          MC
030246         1968/05/15          0.840          MC
030246         1968/05/16          0.710          MC
030246         1968/05/17          1.460          MC
030246         1968/05/18          4.670          MC
030246         1968/05/19          4.960          MC
030246         1968/05/20          8.810          MC
030246         1968/05/21          12.20          MC
030246         1968/05/22          4.670          MC
030246         1968/05/23          3.090          MC
030246         1968/05/24          2.180          MC
030246         1968/05/25          1.980          MC
030246         1968/05/26          1.590          MC
030246         1968/05/27          1.120          MC
030246         1968/05/28          0.990          MC
030246         1968/05/29          0.840          MC
030246         1968/05/30          0.840          MC
030246         1968/05/31          1.630          MC
030246         1968/06/01          1.980          MC
030246         1968/06/02          1.460          MC
030246         1968/06/03          6.740          MC
030246         1968/06/04          2.860          MC
030246         1968/06/05          2.590          MC
030246         1968/06/06          2.180          MC
030246         1968/06/07          1.460          MC
030246         1968/06/08          1.900          MC
030246         1968/06/09          2.590          MC
030246         1968/06/10          3.650          MC
030246         1968/06/11          2.590          MC
030246         1968/06/12          2.180          MC
030246         1968/06/13          1.460          MC
030246         1968/06/14          1.310          MC
030246         1968/06/15          1.120          MC
030246         1968/06/16          1.060          MC
030246         1968/06/17          0.840          MC
030246         1968/06/18          0.620          MC
030246         1968/06/19          0.460          MC
030246         1968/06/20          3.990          MC
030246         1968/06/21          2.590          MC
030246         1968/06/22          2.590          MC
030246         1968/06/23          2.590          MC
030246         1968/06/24          2.590          MC
030246         1968/06/25          4.900          MC
030246         1968/06/26          3.090          MC
030246         1968/06/27          1.900          MC
030246         1968/06/28          2.180          MC
030246         1968/06/29          2.180          MC
030246         1968/06/30          1.630          MC
030246         1968/07/01          1.310          MC
030246         1968/07/02          5.750          MC
030246         1968/07/03          4.900          MC
030246         1968/07/04          3.090          MC
030246         1968/07/05          1.310          MC
030246         1968/07/06          1.460          MC
030246         1968/07/07          2.140          MC
030246         1968/07/08          1.780          MC
030246         1968/07/09          1.630          MC
030246         1968/07/10          2.400          MC
030246         1968/07/11          3.990          MC
030246         1968/07/12          2.420          MC
030246         1968/07/13          1.780          MC
030246         1968/07/14          0.990          MC
030246         1968/07/15          1.460          MC
030246         1968/07/16          1.980          MC
030246         1968/07/17          1.630          MC
030246         1968/07/18          1.120          MC
030246         1968/07/19          0.710          MC
030246         1968/07/20          0.840          MC
030246         1968/07/21          0.620          MC
030246         1968/07/22          0.510          MC
030246         1968/07/23          0.460          MC
030246         1968/07/24          0.400          MC
030246         1968/07/25          1.120          MC
030246         1968/07/26          0.990          MC
030246         1968/07/27          0.990          MC
030246         1968/07/28          34.50          MC
030246         1968/07/29          13.80          MC
030246         1968/07/30          2.400          MC
030246         1968/07/31          2.180          MC
030246         1968/08/01          1.310          MC
030246         1968/08/02          1.120          MC
030246         1968/08/03          0.960          MC
030246         1968/08/04          0.840          MC
030246         1968/08/05          0.650          MC
030246         1968/08/06          0.840          MC
030246         1968/08/07          1.120          MC
030246         1968/08/08          0.840          MC
030246         1968/08/09          0.510          MC
030246         1968/08/10          0.400          MC
030246         1968/08/11          0.280          MC
030246         1968/08/12          0.280          MC
030246         1968/08/13          0.230          MC
030246         1968/08/14          0.180          MC
030246         1968/08/15          0.230          MC
030246         1968/08/16          0.480          MC
030246         1968/08/17          0.620          MC
030246         1968/08/18          0.650          MC
030246         1968/08/19          1.120          MC
030246         1968/08/20          1.060          MC
030246         1968/08/21          0.990          MC
030246         1968/08/22          0.930          MC
030246         1968/08/23          0.760          MC
030246         1968/08/24          0.910          MC
030246         1968/08/25          0.480          MC
030246         1968/08/26          0.430          MC
030246         1968/08/27          0.400          MC
030246         1968/08/28          0.400          MC
030246         1968/08/29          0.400          MC
030246         1968/08/30          0.400          MC
030246         1968/08/31          0.280          MC
030246         1968/09/01          0.200          MC
030246         1968/09/02          0.180          MC
030246         1968/09/03          0.180          MC
030246         1968/09/04          0.180          MC
030246         1968/09/05          0.180          MC
030246         1968/09/06          0.180          MC
030246         1968/09/07          0.180          MC
030246         1968/09/08          0.180          MC
030246         1968/09/09          0.180          MC
030246         1968/09/10          0.280          MC
030246         1968/09/11          0.400          MC
030246         1968/09/12          0.990          MC
030246         1968/09/13          4.760          MC
030246         1968/09/14          3.370          MC
