Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1972-06-07
Station:        030253         Birchton - à 0,2 km de la rivière Eaton                                                                                                        
Bassin versant: 21.9 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 45° 24' 16" // -71° 36' 7"

Date de création du fichier: 2012-06-29 19:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030253         1968/06/20          0.110          MC
030253         1968/06/21          0.100          MC
030253         1968/06/22          0.400          MC
030253         1968/06/23          0.450          MC
030253         1968/06/24          0.410          MC
030253         1968/06/25          0.310          MC
030253         1968/06/26          0.150          MC
030253         1968/06/27          0.084          MC
030253         1968/06/28          0.073          MC
030253         1968/06/29          0.110          MC
030253         1968/06/30          0.150          MC
030253         1968/07/01          0.340          MC
030253         1968/07/02          0.390          MC
030253         1968/07/03          0.110          MC
030253         1968/07/04          0.086          MC
030253         1968/07/05          0.057          MC
030253         1968/07/06          0.420          MC
030253         1968/07/07          0.400          MC
030253         1968/07/08          0.180          MC
030253         1968/07/09          0.078          MC
030253         1968/07/10          0.800          MC
030253         1968/07/11          0.350          MC
030253         1968/07/12          0.120          MC
030253         1968/07/13          0.075          MC
030253         1968/07/14          0.062          MC
030253         1968/07/15          0.052          MC
030253         1968/07/16          0.200          MC
030253         1968/07/17          0.910          MC
030253         1968/07/18          0.540          E
030253         1968/07/19          0.300          MC
030253         1968/07/20          0.260          MC
030253         1968/07/21          0.086          MC
030253         1968/07/22          0.078          MC
030253         1968/07/23          0.056          MC
030253         1968/07/24          0.054          MC
030253         1968/07/25          0.097          MC
030253         1968/07/26          0.079          MC
030253         1968/07/27          0.060          MC
030253         1968/07/28          0.290          MC
030253         1968/07/29          0.280          MC
030253         1968/07/30          0.099          MC
030253         1968/07/31          0.066          MC
030253         1968/08/01          0.110          MC
030253         1968/08/02          0.081          MC
030253         1968/08/03          0.064          MC
030253         1968/08/04          0.054          MC
030253         1968/08/05          0.056          MC
030253         1968/08/06          0.050          MC
030253         1968/08/07          0.048          MC
030253         1968/08/08          0.044          MC
030253         1968/08/09          0.052          MC
030253         1968/08/10          0.046          MC
030253         1968/08/11          0.041          MC
030253         1968/08/12          0.038          MC
030253         1968/08/13          0.035          MC
030253         1968/08/14          0.032          MC
030253         1968/08/15          0.032          MC
030253         1968/08/16          0.030          MC
030253         1968/08/17          0.065          E
030253         1968/08/18          0.100          E
030253         1968/08/19          0.077          E
030253         1968/08/20          0.058          E
030253         1968/08/21          0.065          MC
030253         1968/08/22          0.053          MC
030253         1968/08/23          0.044          MC
030253         1968/08/24          0.040          MC
030253         1968/08/25          0.039          MC
030253         1968/08/26          0.038          MC
030253         1968/08/27          0.037          MC
030253         1968/08/28          0.036          E
030253         1968/08/29          0.042          E
030253         1968/08/30          0.041          MC
030253         1968/08/31          0.044          MC
030253         1968/09/01          0.039          MC
030253         1968/09/02          0.035          MC
030253         1968/09/03          0.076          MC
030253         1968/09/04          0.160          MC
030253         1968/09/05          0.074          MC
030253         1968/09/06          0.063          MC
030253         1968/09/07          0.087          MC
030253         1968/09/08          0.059          MC
030253         1968/09/09          0.050          MC
030253         1968/09/10          0.046          MC
030253         1968/09/11          0.160          E
030253         1968/09/12          0.600          E
030253         1968/09/13          0.480          E
030253         1968/09/14          0.330          E
030253         1968/09/15          0.250          E
030253         1968/09/16          0.190          E
030253         1968/09/17          0.140          E
030253         1968/09/18          0.099          E
030253         1968/09/19          0.071          E
030253         1968/09/20          0.061          E
030253         1968/09/21          0.054          E
030253         1968/09/22          0.059          E
030253         1968/09/23          0.094          E
030253         1968/09/24          0.140          E
030253         1968/09/25          0.220          MC
030253         1968/09/26          0.140          MC
030253         1968/09/27          0.087          MC
030253         1968/09/28          0.061          E
030253         1968/09/29          0.086          E
030253         1968/09/30          0.072          E
030253         1968/10/01          0.078          E
030253         1968/10/02          0.069          E
030253         1968/10/03          0.063          E
030253         1968/10/04          0.160          E
030253         1968/10/05          0.440          E
030253         1968/10/06          0.190          E
030253         1968/10/07          0.150          E
030253         1968/10/08          0.390          MC
030253         1968/10/09          0.280          MC
030253         1968/10/10          0.180          MC
030253         1968/10/11          0.150          MC
030253         1968/10/12          0.120          MC
030253         1968/10/13          0.095          MC
030253         1968/10/14          0.086          MC
030253         1968/10/15          0.077          MC
030253         1968/10/16          0.077          MC
