Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1986-08-26
Station:        030260         Tomifobia - à 0,3 km en aval du pont-route 245 à Boynton                                                                                       
Bassin versant: 214 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 45° 6' 37" // -72° 4' 58"

Date de création du fichier: 2012-06-29 02:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030260         1972/07/07          1.780          MC
030260         1972/07/08          1.680          MC
030260         1972/07/09          1.490          MC
030260         1972/07/10          1.610          MC
030260         1972/07/11          2.610          MC
030260         1972/07/12          1.890          MC
030260         1972/07/13          1.530          MC
030260         1972/07/14          1.520          MC
030260         1972/07/15          1.580          MC
030260         1972/07/16          5.970          MC
030260         1972/07/17          7.840          MC
030260         1972/07/18          4.160          MC
030260         1972/07/19          3.680          MC
030260         1972/07/20          5.070          MC
030260         1972/07/21          12.00          MC
030260         1972/07/22          10.30          MC
030260         1972/07/23          4.500          MC
030260         1972/07/24          3.450          MC
030260         1972/07/25          3.820          MC
030260         1972/07/26          5.860          MC
030260         1972/07/27          4.020          MC
030260         1972/07/28          2.830          MC
030260         1972/07/29          2.340          MC
030260         1972/07/30          2.070          MC
030260         1972/07/31          1.790          MC
030260         1972/08/01          1.660          MC
030260         1972/08/02          1.540          MC
030260         1972/08/03          3.370          MC
030260         1972/08/04          7.960          MC
030260         1972/08/05          3.790          MC
030260         1972/08/06          2.370          MC
030260         1972/08/07          2.010          MC
030260         1972/08/08          2.150          MC
030260         1972/08/09          2.700          MC
030260         1972/08/10          2.190          MC
030260         1972/08/11          2.360          MC
030260         1972/08/12          2.000          MC
030260         1972/08/13          1.820          MC
030260         1972/08/14          1.630          MC
030260         1972/08/15          1.510          MC
030260         1972/08/16          1.300          MC
030260         1972/08/17          1.200          MC
030260         1972/08/18          1.300          MC
030260         1972/08/19          1.820          MC
030260         1972/08/20          1.470          MC
030260         1972/08/21          1.180          MC
030260         1972/08/22          1.100          MC
030260         1972/08/23          1.030          MC
030260         1972/08/24          1.650          MC
030260         1972/08/25          1.390          MC
030260         1972/08/26          1.950          MC
030260         1972/08/27          1.450          MC
030260         1972/08/28          1.510          MC
030260         1972/08/29          1.490          MC
030260         1972/08/30          1.100          MC
030260         1972/08/31          0.890          MC
030260         1972/09/01          0.810          MC
