Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1978-11-14
Station:        030263         Kee - à 2,6 km de la rivière Saint-Francois                                                                                                    
Bassin versant: 130 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 45° 28' 9" // -71° 57' 56"

Date de création du fichier: 2012-06-29 02:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
030263         1973/03/22          4.470          J
030263         1973/03/23          3.790          MC
030263         1973/03/24          3.790          MC
030263         1973/03/25          4.870          MC
030263         1973/03/26          6.060          MC
030263         1973/03/27          5.240          MC
030263         1973/03/28          4.530          MC
030263         1973/03/29          4.500          MC
030263         1973/03/30          5.100          MC
030263         1973/03/31          5.660          MC
030263         1973/04/01          6.060          MC
030263         1973/04/02          8.920          MC
030263         1973/04/03          6.850          MC
030263         1973/04/04          5.550          MC
030263         1973/04/05          5.800          MC
030263         1973/04/06          6.680          MC
030263         1973/04/07          6.060          MC
030263         1973/04/08          5.130          MC
030263         1973/04/09          4.020          MC
030263         1973/04/10          3.370          MC
030263         1973/04/11          2.830          MC
030263         1973/04/12          2.600          MC
030263         1973/04/13          2.540          MC
030263         1973/04/14          3.030          MC
030263         1973/04/15          5.100          MC
030263         1973/04/16          5.970          MC
030263         1973/04/17          5.550          MC
030263         1973/04/18          4.280          MC
030263         1973/04/19          3.370          MC
030263         1973/04/20          2.600          MC
030263         1973/04/21          2.100          MC
030263         1973/04/22          2.690          MC
030263         1973/04/23          4.220          MC
030263         1973/04/24          3.060          MC
